geneID	Chr	Start	End	Strand	Length	logExpression	knownGene
FBgn0037231	3R	4309976	4310358	-	669	6.56244409369372	No
FBgn0027930	3R	4307987	4308056	+	1227	6.12029741895095	No
FBgn0037232	3R	4311665	4311974	+	2289	8.25582842728183	No
FBgn0261086	3R	4315940	4317106	-	1944	5.40267738187228	No
FBgn0037234	3R	4319787	4319890	+	2215	7.39572160860205	No
FBgn0027866	3R	4328010	4328017	-	3788	8.60995467149755	No
FBgn0037236	3R	4335546	4335729	-	1677	8.36194190614495	No
FBgn0040687	3R	4335117	4335407	+	291	2.39789527279837	No
FBgn0037235	3R	4338072	4338303	+	690	6.70441435496411	No
FBgn0261434	3R	4345548	4345783	-	891	8.77986510086385	No
FBgn0037238	3R	4363308	4363508	+	2087	4.89034912822175	No
FBgn0037239	3R	4379456	4379618	+	963	5.28826703069454	No
FBgn0037240	3R	4381968	4382817	+	4170	8.78063379949498	No
FBgn0003882	3R	4387930	4388392	+	1386	7.72841577984104	No
FBgn0037241	3R	4390426	4391058	+	1227	8.9441588309704	No
FBgn0086608	3R	4392111	4392248	-	437	4.36944785246702	No
FBgn0037242	3R	4396379	4396802	-	1146	7.36327958696304	No
FBgn0086605	3R	4398756	4399385	-	1017	7.6889133368648	No
FBgn0037244	3R	4400578	4401138	+	1005	8.2602342916073	No
FBgn0263594	3R	4403202	4403280	+	1635	8.15908865466791	No
FBgn0052944	3R	4407440	4408003	-	1783	5.18738580584075	No
FBgn0051528	3R	4416542	4417573	+	1032	4.88280192258637	No
FBgn0037248	3R	4423468	4423664	-	3201	8.36590507720246	No
FBgn0051525	3R	4427169	4428116	+	948	3.04452243772342	No
FBgn0037249	3R	4430122	4430168	-	3420	9.5027114339141	No
FBgn0037250	3R	4434061	4434186	+	1464	8.53424694598207	No
FBgn0037251	3R	4436406	4437107	-	702	6.54391184556479	No
FBgn0037252	3R	4437628	4439759	+	2910	7.82724090175281	No
FBgn0051522	3R	4442750	4443055	-	1176	7.01301578963963	No
FBgn0051523	3R	4466694	4466843	-	1062	6.96318998587024	No
FBgn0037254	3R	4480819	4484055	+	3237	6.30078579466324	No
FBgn0037255	3R	4485106	4486531	+	2103	8.61395685984855	No
FBgn0085386	3R	4493395	4494547	-	5231	5.28826703069454	No
FBgn0085454	3R	4504668	4506263	-	1596	4.35670882668959	No
FBgn0037260	3R	4541404	4541428	+	1734	4.17438726989564	No
FBgn0052945	3R	4578096	4578593	-	498	4.89034912822175	No
FBgn0087012	3R	4622580	4623624	+	2792	7.40062057737113	No
FBgn0037261	3R	4638312	4638409	-	1373	9.88867843688242	No
FBgn0037262	3R	4641996	4642008	+	625	7.98378106897745	No
FBgn0037263	3R	4641996	4642008	+	891	7.54855597916987	No
FBgn0040466	3R	4644787	4645076	-	678	7.12367278520461	No
FBgn0022981	3R	4646064	4646330	+	1704	7.35372233039963	No
FBgn0087013	3R	4649687	4649767	+	3315	8.90340751993226	No
FBgn0037265	3R	4655533	4656655	+	1659	6.3750248198281	No
FBgn0263346	3R	4697432	4697542	+	6990	8.83448260862068	No
FBgn0053927	3R	4689954	4690112	-	546	2.83321334405622	No
FBgn0037270	3R	4713246	4714085	-	840	7.78613643778307	No
FBgn0027570	3R	4719956	4720104	-	2322	5.23644196282995	No
FBgn0026620	3R	4734849	4734853	-	4151	8.38822281011928	No
FBgn0010750	3R	4775706	4775779	+	1614	8.30449489796357	No
FBgn0264907	3R	4751612	4752590	-	2592	4.66343909411207	No
FBgn0264897	3R	4774675	4775046	-	372	2.89037175789616	No
FBgn0037275	3R	4777831	4778339	-	1575	4.62497281328427	No
FBgn0037276	3R	4781274	4781965	-	2901	6.18826412308259	No
FBgn0260794	3R	4787830	4788287	-	9420	10.5448413136668	No
FBgn0026417	3R	4808426	4809259	-	834	7.56837926783652	No
FBgn0037279	3R	4813803	4813976	+	1107	7.26542972325395	No
FBgn0037280	3R	4816334	4816428	+	1143	5.65948221575962	No
FBgn0037282	3R	4819110	4819737	-	1333	7.5595594960077	No
FBgn0037283	3R	4830067	4830465	-	399	3.13549421592915	No
FBgn0037284	3R	4830973	4831263	-	291	2.70805020110221	No
FBgn0003002	3R	4853106	4854054	+	1827	9.37220408686774	No
FBgn0020280	3R	4876093	4876731	-	2265	4.51085950651685	No
FBgn0004913	3R	4906714	4906722	+	3024	8.24485939591126	No
FBgn0265082	3R	4917874	4918131	+	14667	9.83134687475845	No
FBgn0004436	3R	4950282	4950404	-	453	6.52795791762255	No
FBgn0037288	3R	4953611	4954278	-	738	3.13549421592915	No
FBgn0250839	3R	4957072	4957223	-	762	5.24702407216049	No
FBgn0037290	3R	4965584	4965647	+	738	4.38202663467388	No
FBgn0037291	3R	4982180	4982393	-	1650	4.68213122712422	No
FBgn0037292	3R	4986668	4986886	-	579	4.17438726989564	No
FBgn0010313	3R	5084376	5086025	-	1650	9.71986515000913	No
FBgn0262605	3R	5108754	5109092	-	363	4.64439089914137	No
FBgn0037293	3R	5128168	5129712	+	1545	8.97246382105991	No
FBgn0040684	3R	5137190	5137477	-	288	2.484906649788	No
FBgn0037295	3R	5153932	5154097	+	1495	4.7361984483945	No
FBgn0037294	3R	5159751	5160749	+	999	3.80666248977032	No
FBgn0259212	3R	5173806	5173995	-	8277	9.91016520728937	No
FBgn0037296	3R	5218012	5218705	-	966	5.26269018890489	No
FBgn0037297	3R	5219707	5219855	+	1329	8.46421426662535	No
FBgn0037298	3R	5221842	5223131	-	1290	5.18738580584075	No
FBgn0040682	3R	5224155	5224406	+	252	4.62497281328427	No
FBgn0037299	3R	5226270	5226911	+	642	7.94236223767433	No
FBgn0040208	3R	5227995	5228190	-	1815	8.25218543600333	No
FBgn0037301	3R	5232642	5232726	+	2877	8.73905592283072	No
FBgn0087005	3R	5236402	5236666	-	594	7.12849594568004	No
FBgn0260462	3R	5237894	5238156	-	2367	8.16536363247398	No
FBgn0053293	3R	5240307	5240564	-	258	5.85793315448346	No
FBgn0037304	3R	5253456	5253669	+	1686	4.56434819146784	No
FBgn0037305	3R	5255465	5255619	-	768	6.29894924685594	No
FBgn0264785	3R	5257565	5258121	+	1532	7.69575799055476	No
FBgn0037307	3R	5258474	5259145	-	672	3.36729582998647	No
FBgn0013576	3R	5273950	5274082	-	4959	8.64206217346211	No
FBgn0051538	3R	5275908	5277596	-	1689	7.33106030521863	No
FBgn0037310	3R	5300192	5300513	+	537	2.94443897916644	No
FBgn0037312	3R	5353847	5354433	-	648	6.80572255341699	No
FBgn0037313	3R	5355185	5355253	+	816	7.95402108727804	No
FBgn0250746	3R	5357134	5357283	-	804	7.74932246466036	No
FBgn0037315	3R	5359161	5359287	-	2061	6.20657592672493	No
FBgn0051542	3R	5369592	5369595	+	597	4.61512051684126	No
FBgn0085306	3R	5370420	5370423	+	933	5.12989871492307	No
FBgn0003275	3R	5371887	5371915	+	393	8.32772616646141	No
FBgn0086695	3R	5372678	5374175	-	1704	8.25686684897431	No
FBgn0037317	3R	5375091	5375216	+	1011	8.15219801586179	No
FBgn0041707	3R	5376932	5376950	+	828	6.67456139181443	No
FBgn0001311	3R	5378641	5378820	-	5022	6.06378520868761	No
FBgn0037320	3R	5386784	5387593	-	810	4.60517018598809	No
FBgn0264712	3R	5394309	5394393	+	747	7.45240245122364	No
FBgn0037322	3R	5397646	5397702	-	1359	5.73009978297357	No
FBgn0037323	3R	5400825	5401443	-	924	3.80666248977032	No
FBgn0037324	3R	5407455	5407502	-	1458	4.84418708645859	No
FBgn0037326	3R	5437314	5437544	+	1035	3.85014760171006	No
FBgn0037325	3R	5425747	5427177	-	1431	5.5683445037611	No
FBgn0037327	3R	5459395	5460765	-	3577	7.97865372908273	No
FBgn0037328	3R	5465711	5465731	-	471	7.74673290775362	No
FBgn0037329	3R	5468030	5468149	+	1293	7.16394668434255	No
FBgn0037330	3R	5469564	5470459	-	963	8.17159948034546	No
FBgn0011715	3R	5471059	5471330	+	1110	7.86365126544865	No
FBgn0266539	3R	5474376	5474489	-	114	4.55387689160054	No
FBgn0025825	3R	5472879	5473945	-	1314	6.62804137617953	No
FBgn0037332	3R	5475260	5475401	+	3141	6.00635315960173	No
FBgn0015402	3R	5480740	5483637	-	2898	8.83229585944401	No
FBgn0051550	3R	5485639	5486180	+	2506	8.99553694493697	No
FBgn0051547	3R	5489786	5489899	-	3245	5.24174701505964	No
FBgn0010399	3R	5509781	5510125	-	2991	5.11799381241676	No
FBgn0010051	3R	5527819	5527919	+	8511	7.86748856869913	No
FBgn0264427	3R	5522461	5522658	-	198	1.94591014905531	No
FBgn0037336	3R	5541035	5541238	-	3912	8.21148291644507	No
FBgn0014342	3R	5548390	5549188	-	1767	7.614312146452	No
FBgn0086768	3R	5552965	5553045	-	690	7.18690102041163	No
FBgn0037338	3R	5555135	5556201	+	2289	6.4831073514572	No
FBgn0037339	3R	5558301	5558301	-	2482	7.82604401351897	No
FBgn0037340	3R	5564196	5564340	-	465	6.71780469502369	No
FBgn0037341	3R	5566142	5566398	+	1089	5.40717177146012	No
FBgn0037342	3R	5567616	5568521	-	906	7.77022320415879	No
FBgn0041191	3R	5569223	5569271	+	546	6.7990558620588	No
FBgn0023023	3R	5574262	5574340	+	2006	6.17586727010576	No
FBgn0037344	3R	5580147	5580305	-	6933	9.50807178028096	No
FBgn0037345	3R	5588943	5589536	+	594	4.36944785246702	No
FBgn0014366	3R	5589824	5591332	-	1509	8.23004431012611	No
FBgn0283535	3R	5592006	5592038	+	678	6.74523634948436	No
FBgn0250753	3R	5596088	5596122	-	1266	9.01917986651502	No
FBgn0037347	3R	5601556	5601669	+	1434	7.26052259808985	No
FBgn0261004	3R	5603344	5604375	-	2982	8.45892828328426	No
FBgn0017550	3R	5607376	5607592	-	1755	8.18979961872823	No
FBgn0019637	3R	5613462	5613492	+	2175	8.57414047185799	No
FBgn0044823	3R	5617644	5617649	-	255	3.89182029811063	No
FBgn0037350	3R	5622140	5622688	-	549	5.92692602597041	No
FBgn0037351	3R	5624500	5624520	+	656	9.39889247852077	No
FBgn0051551	3R	5627852	5632030	+	4179	6.88141130364254	No
FBgn0051549	3R	5632396	5633166	+	771	4.97673374242057	No
FBgn0037354	3R	5633692	5634462	+	771	7.97522083865341	No
FBgn0051546	3R	5634771	5635562	-	792	6.1527326947041	No
FBgn0051548	3R	5636038	5636805	-	768	6.45519856334012	No
FBgn0037356	3R	5637266	5638579	+	1314	9.08704215563169	No
FBgn0027951	3R	5640306	5640564	-	2821	9.17253465724028	No
FBgn0262125	3R	5649382	5649660	+	2343	7.89245204352035	No
FBgn0037358	3R	5653255	5653754	-	567	7.43661726523423	No
FBgn0037359	3R	5655206	5655375	+	879	7.76811037852599	No
FBgn0037360	3R	5656356	5656571	-	2013	9.14963449685879	No
FBgn0046222	3R	5660964	5661248	+	2421	8.73985662749357	No
FBgn0010772	3R	5665525	5665975	-	2432	8.41316512099219	No
FBgn0037363	3R	5673709	5676560	+	4071	10.2749131684208	No
FBgn0037364	3R	5681234	5681917	-	804	6.44730586254121	No
FBgn0261261	3R	5687250	5687369	+	4797	7.50823877467866	No
FBgn0037365	3R	5691971	5693242	-	1272	3.98898404656427	No
FBgn0004878	3R	5713554	5713952	-	2379	6.80461452006262	No
FBgn0037368	3R	5733695	5734432	+	900	7.44307837434852	No
FBgn0037369	3R	5734765	5735097	-	1431	5.98896141688986	No
FBgn0037370	3R	5736789	5736928	+	1041	9.81000070944266	No
FBgn0037371	3R	5738321	5738488	-	3495	8.74814616962193	No
FBgn0027497	3R	5742985	5744115	+	1911	8.18757739559151	No
FBgn0037372	3R	5753434	5754239	-	1122	7.9043348420851	No
FBgn0266672	3R	5755161	5755334	-	2955	8.63817111796914	No
FBgn0027608	3R	5758699	5758850	-	1379	5.55295958492162	No
FBgn0037374	3R	5779428	5779516	+	591	7.38956395367764	No
FBgn0037375	3R	5781900	5782021	+	2141	5.88332238848828	No
FBgn0037376	3R	5787472	5788117	-	1215	7.50108212425987	No
FBgn0028690	3R	5789776	5790824	+	1506	8.21932609390609	No
FBgn0037377	3R	5791973	5793319	+	1347	7.15773548424991	No
FBgn0037378	3R	5793401	5793576	-	705	7.20117088328168	No
FBgn0037379	3R	5794885	5795040	+	2877	7.36518012602101	No
FBgn0263353	3R	5803156	5803264	+	996	4.57471097850338	No
FBgn0261561	3R	5815230	5815283	+	1494	4.36944785246702	No
FBgn0037382	3R	5818894	5819644	-	2103	7.54697411751653	No
FBgn0284081	3R	5822081	5822344	+	264	2.89037175789616	No
FBgn0037383	3R	5823708	5824307	-	681	7.71423114484909	No
FBgn0037384	3R	5824949	5824975	+	957	7.37400185935016	No
FBgn0037385	3R	5830154	5830347	+	588	3.36729582998647	No
FBgn0037386	3R	5831825	5831851	+	1533	4.12713438504509	No
FBgn0037387	3R	5844559	5844703	+	1473	4.11087386417331	No
FBgn0037388	3R	5847298	5848029	+	732	4.47733681447821	No
FBgn0029088	3R	5850524	5850758	-	3654	7.89282552625112	No
FBgn0085316	3R	5853396	5854100	+	705	2.83321334405622	No
FBgn0028436	3R	5856671	5857897	+	1227	6.91869521902047	No
FBgn0037391	3R	5858315	5858584	-	1929	6.83087423464618	No
FBgn0083949	3R	5865152	5865802	-	5067	5.66988092298052	No
FBgn0040679	3R	5960485	5960505	-	177	1.38629436111989	No
FBgn0011281	3R	5972301	5972315	-	522	3.78418963391826	No
FBgn0010403	3R	5976268	5976542	-	423	2.19722457733622	No
FBgn0003261	3R	6001166	6001360	-	2385	10.2147884905865	No
FBgn0037395	3R	6010576	6011378	-	1086	4.63472898822964	No
FBgn0037396	3R	6026195	6027202	-	1008	3.40119738166216	No
FBgn0037398	3R	6054808	6055299	-	2229	4.67282883446191	No
FBgn0037399	3R	6076807	6076854	-	1191	3.49650756146648	No
FBgn0026077	3R	6089642	6089693	-	826	4.43081679884331	No
FBgn0046878	3R	6108187	6108237	+	726	3.80666248977032	No
FBgn0046876	3R	6109782	6110465	-	735	3.58351893845611	No
FBgn0046875	3R	6111746	6112123	-	438	4.27666611901606	No
FBgn0037402	3R	6122657	6122710	+	441	2.83321334405622	No
FBgn0051559	3R	6150578	6151048	-	1362	4.65396035015752	No
FBgn0037405	3R	6167518	6167728	+	2190	5.06890420222023	No
FBgn0037406	3R	6173645	6174035	+	924	3.52636052461616	No
FBgn0037408	3R	6189198	6189200	+	1468	5.73979291217923	No
FBgn0037409	3R	6204445	6205108	+	1599	4.31748811353631	No
FBgn0037410	3R	6211462	6211814	+	1170	4.62497281328427	No
FBgn0037411	3R	6216064	6216153	+	864	3.61091791264422	No
FBgn0037412	3R	6218536	6218600	-	1185	3.98898404656427	No
FBgn0037413	3R	6227706	6228024	+	606	3.46573590279973	No
FBgn0027527	3R	6234736	6234954	+	936	5.50533153593236	No
FBgn0037414	3R	6249207	6250070	+	864	4.53259949315326	No
FBgn0037415	3R	6255275	6255742	+	822	3.40119738166216	No
FBgn0037416	3R	6260413	6260547	+	699	4.51085950651685	No
FBgn0037417	3R	6263976	6264435	+	1728	4.30406509320417	No
FBgn0037418	3R	6267783	6268688	-	906	3.89182029811063	No
FBgn0037419	3R	6278707	6279181	+	885	4.04305126783455	No
FBgn0037420	3R	6284654	6285094	-	447	3.43398720448515	No
FBgn0037421	3R	6287867	6288464	+	969	3.73766961828337	No
FBgn0037422	3R	6291902	6292172	+	630	3.40119738166216	No
FBgn0040279	3R	6299251	6299492	+	804	4.15888308335967	No
FBgn0037424	3R	6301913	6302231	+	642	3.46573590279973	No
FBgn0286874	3R	6304042	6304350	+	309	3.58351893845611	No
FBgn0051561	3R	6305270	6305585	+	834	3.36729582998647	No
FBgn0267690	3R	6306905	6306923	+	1998	3.8286413964891	No
FBgn0051560	3R	6309996	6310014	+	837	2.89037175789616	No
FBgn0037427	3R	6315887	6316541	+	2250	5.14166355650266	No
FBgn0037428	3R	6330351	6330792	+	918	3.63758615972639	No
FBgn0037429	3R	6335443	6335643	+	798	3.61091791264422	No
FBgn0037430	3R	6340188	6340590	+	840	4.30406509320417	No
FBgn0037431	3R	6342001	6342135	+	633	3.25809653802148	No
FBgn0037432	3R	6343070	6343150	+	561	2.63905732961526	No
FBgn0037433	3R	6344121	6344249	+	606	3.3322045101752	No
FBgn0261789	3R	6345282	6345636	-	357	6.56244409369372	No
FBgn0037435	3R	6346193	6347515	+	1323	6.14203740558736	No
FBgn0037436	3R	6349243	6349867	+	834	5.68357976733868	No
FBgn0267698	3R	6355021	6355180	+	2520	7.71199650704767	No
FBgn0261641	3R	6361788	6361911	-	3628	9.45171669155145	No
FBgn0037439	3R	6369017	6370891	+	1875	8.66939912430557	No
FBgn0037440	3R	6371240	6371798	-	2003	6.76849321164863	No
FBgn0260766	3R	6374479	6374700	+	1500	5.00394630594546	No
FBgn0027514	3R	6378473	6379954	-	1629	9.01188943325234	No
FBgn0260645	3R	6377820	6377904	+	270	2.99573227355399	No
FBgn0010282	3R	6380596	6380619	+	1731	8.10167774745457	No
FBgn0037442	3R	6385148	6385258	+	1608	8.090708716084	No
FBgn0037443	3R	6389562	6389685	-	2056	8.30003171177957	No
FBgn0264495	3R	6437656	6437934	+	6889	8.94910546953925	No
FBgn0037445	3R	6451705	6454248	-	3987	8.35490952835879	No
FBgn0037446	3R	6457287	6457430	+	1164	8.41249912030157	No
FBgn0037447	3R	6468673	6470841	+	2169	4.85203026391962	No
FBgn0037448	3R	6479255	6479384	+	3520	5.16478597392351	No
FBgn0037449	3R	6527529	6528554	+	1026	3.78418963391826	No
FBgn0053202	3R	6531671	6531783	-	1080	4.02535169073515	No
FBgn0046873	3R	6549218	6549571	+	354	2.484906649788	No
FBgn0037454	3R	6558718	6559030	-	1137	4.17438726989564	No
FBgn0037455	3R	6580917	6580927	+	966	3.85014760171006	No
FBgn0037456	3R	6597067	6597936	-	870	3.43398720448515	No
FBgn0051482	3R	6601310	6601351	+	585	2.70805020110221	No
FBgn0250846	3R	6607600	6607697	-	764	4.83628190695148	No
FBgn0037460	3R	6626962	6627144	-	651	4.66343909411207	No
FBgn0037461	3R	6628411	6628590	-	675	4.81218435537242	No
FBgn0037462	3R	6630245	6630598	+	660	3.49650756146648	No
FBgn0051286	3R	6641322	6641372	+	615	2.56494935746154	No
FBgn0026565	3R	6642413	6643252	-	1257	3.93182563272433	No
FBgn0010355	3R	6646990	6647171	+	6519	9.44383021534454	No
FBgn0026566	3R	6656525	6656893	-	558	8.60502090178176	No
FBgn0262801	3R	6658029	6658097	+	555	8.03883475778775	No
FBgn0024912	3R	6659441	6660022	-	582	5.12396397940326	No
FBgn0002522	3R	6662071	6662325	-	1887	6.38350663488401	No
FBgn0000552	3R	6684506	6684517	+	564	3.13549421592915	No
FBgn0004777	3R	6686774	6686785	+	573	3.68887945411394	No
FBgn0004778	3R	6689676	6690116	-	453	3.29583686600433	No
FBgn0004779	3R	6690962	6691573	-	624	3.55534806148941	No
FBgn0004780	3R	6692798	6692809	+	597	3.85014760171006	No
FBgn0004781	3R	6695468	6696106	-	651	3.17805383034795	No
FBgn0004782	3R	6702081	6702731	-	663	3.55534806148941	No
FBgn0004783	3R	6704147	6704158	+	615	3.09104245335832	No
FBgn0051481	3R	6708211	6708655	-	2346	5.61312810638807	No
FBgn0004054	3R	6743252	6743947	-	756	6.77422388635761	No
FBgn0085326	3R	6747095	6747299	-	699	3.63758615972639	No
FBgn0004053	3R	6753026	6753997	-	1059	9.60891512937959	Yes
FBgn0000166	3R	6756679	6756960	-	1482	5.50533153593236	No
FBgn0000071	3R	6762980	6762996	+	1023	9.10509096125709	No
FBgn0000439	3R	6792325	6793111	+	1758	7.06987412845857	No
FBgn0003339	3R	6825112	6825689	-	1524	6.21660610108486	No
FBgn0001077	3R	6864394	6865141	+	1230	9.88032127450429	No
FBgn0260642	3R	6898291	6898538	-	1139	7.29709100516042	No
FBgn0024289	3R	7052596	7052649	+	1080	6.52649485957079	No
FBgn0026563	3R	7054658	7055138	+	3141	6.82979373751242	No
FBgn0019828	3R	7059398	7059491	+	744	3.52636052461616	No
FBgn0037463	3R	7060891	7060984	+	858	3.87120101090789	No
FBgn0037464	3R	7062320	7062509	+	1734	4.40671924726425	No
FBgn0037465	3R	7064618	7064769	-	1266	5.92425579741453	No
FBgn0037466	3R	7067510	7067729	+	2725	8.47532898731754	No
FBgn0037467	3R	7071725	7071861	-	2346	9.18962733037864	No
FBgn0037468	3R	7076919	7077272	+	354	6.45990445437753	No
FBgn0010774	3R	7078256	7078407	-	798	8.84678466694523	No
FBgn0037469	3R	7082277	7082388	+	708	7.40974195408092	No
FBgn0037470	3R	7083385	7083586	-	1689	6.89365635460264	No
FBgn0003884	3R	7086742	7086744	+	1350	10.0683661957184	No
FBgn0040670	3R	7094124	7094200	+	285	4.43081679884331	No
FBgn0261238	3R	7094892	7095515	-	7622	10.0462450038911	No
FBgn0014863	3R	7114275	7115759	-	1485	7.08086789669078	No
FBgn0037472	3R	7124660	7124806	+	1059	7.7332456465298	No
FBgn0037473	3R	7126775	7127472	-	948	6.5206211275587	No
FBgn0051248	3R	7129520	7129562	+	753	4.68213122712422	No
FBgn0051493	3R	7131675	7131755	+	752	2.94443897916644	No
FBgn0037475	3R	7137166	7137356	+	768	4.34380542185368	No
FBgn0037477	3R	7143762	7144181	-	441	3.43398720448515	No
FBgn0037478	3R	7144816	7144860	+	849	7.9592759601164	No
FBgn0250732	3R	7146317	7146883	-	3135	8.7684187268574	No
FBgn0011020	3R	7151408	7153252	+	2703	8.92611897115338	No
FBgn0037481	3R	7154369	7155064	-	696	7.35244110024358	No
FBgn0002306	3R	7164521	7164860	+	5079	7.5522372875608	No
FBgn0037482	3R	7184597	7185757	-	1824	8.3742461820963	No
FBgn0086372	3R	7187412	7187547	+	2456	7.7393592026891	No
FBgn0037483	3R	7201094	7201313	+	1791	6.13122648948314	No
FBgn0250845	3R	7207695	7207708	-	561	3.58351893845611	No
FBgn0037485	3R	7214739	7214933	-	1398	4.23410650459726	No
FBgn0037486	3R	7217732	7217926	-	1296	3.36729582998647	No
FBgn0037487	3R	7225231	7225252	+	3411	6.28599809450886	No
FBgn0037488	3R	7241861	7241903	+	1203	4.04305126783455	No
FBgn0037489	3R	7244252	7244471	-	2466	8.38731227056172	No
FBgn0037490	3R	7247250	7247296	+	798	8.50694081495189	No
FBgn0037491	3R	7248288	7248401	-	960	6.94793706861497	No
FBgn0037492	3R	7249878	7249957	+	753	6.95463886488099	No
FBgn0011282	3R	7250844	7250935	-	679	3.46573590279973	No
FBgn0001112	3R	7252739	7254324	-	1875	4.36944785246702	No
FBgn0028400	3R	7266853	7266895	+	1422	5.65948221575962	No
FBgn0267337	3R	7274027	7274358	-	3993	6.21060007702465	No
FBgn0045843	3R	7286105	7286424	+	1173	4.24849524204936	No
FBgn0260713	3R	7304592	7304951	+	360	3.55534806148941	No
FBgn0037498	3R	7315836	7316502	-	1230	3.55534806148941	No
FBgn0265423	3R	7325852	7326172	+	321	2.19722457733622	No
FBgn0051496	3R	7345213	7345261	+	807	2.70805020110221	No
FBgn0051501	3R	7346833	7347735	+	903	5.27299955856375	No
FBgn0262982	3R	7349032	7349214	-	366	4.62497281328427	No
FBgn0037500	3R	7361432	7362031	-	600	3.25809653802148	No
FBgn0004175	3R	7363401	7363616	-	216	1.6094379124341	No
FBgn0004174	3R	7364365	7364529	-	165	3.25809653802148	No
FBgn0004173	3R	7365284	7365505	-	222	2.77258872223978	No
FBgn0004172	3R	7365933	7365971	+	189	1.09861228866811	No
FBgn0015770	3R	7366306	7368535	-	2895	5.27811465923052	No
FBgn0261502	3R	7391482	7391789	+	564	2.89037175789616	No
FBgn0037501	3R	7406869	7407377	+	1932	4.30406509320417	No
FBgn0037502	3R	7420855	7421146	+	1740	3.95124371858143	No
FBgn0037503	3R	7439847	7439861	+	687	4.35670882668959	No
FBgn0037504	3R	7472482	7472847	-	843	9.55393007636626	No
FBgn0015569	3R	7486833	7487455	-	1798	4.46590811865458	No
FBgn0261508	3R	7493025	7493145	-	156	2.484906649788	No
FBgn0015577	3R	7495074	7495535	-	1761	4.8283137373023	No
FBgn0037506	3R	7501149	7502243	-	1095	3.58351893845611	No
FBgn0015576	3R	7509805	7510278	-	1722	4.38202663467388	No
FBgn0017456	3R	7518900	7519358	-	459	4.33073334028633	No
FBgn0015575	3R	7519754	7520224	-	1716	5.59098698051086	No
FBgn0015574	3R	7524639	7525082	-	1704	6.19236248947487	No
FBgn0015831	3R	7528958	7529247	-	765	5.29831736654804	No
FBgn0003885	3R	7531259	7532608	+	1350	8.9621353900666	No
FBgn0261393	3R	7534267	7534716	-	1629	5.65948221575962	No
FBgn0015572	3R	7536755	7537938	-	1623	4.68213122712422	No
FBgn0015571	3R	7539046	7539501	-	1653	4.74493212836325	No
FBgn0015570	3R	7542850	7542896	+	1698	5.47646355193151	No
FBgn0015568	3R	7545975	7547155	-	1695	6.24610676548156	No
FBgn0083963	3R	7572247	7573403	-	3477	5.605802066296	No
FBgn0051146	3R	7662597	7663203	+	4062	5.24702407216049	No
FBgn0037512	3R	7722547	7723223	+	1347	4.91265488573605	No
FBgn0262899	3R	7739036	7739244	-	396	1.94591014905531	No
FBgn0037513	3R	7748023	7748193	-	1158	6.03548143252476	No
FBgn0037514	3R	7758270	7758574	+	561	3.09104245335832	No
FBgn0037515	3R	7761187	7761274	+	1173	3.97029191355212	No
FBgn0037516	3R	7771010	7771151	-	573	2.94443897916644	No
FBgn0042104	3R	7780993	7781174	-	1254	4.23410650459726	No
FBgn0042102	3R	7783945	7784198	-	1299	4.59511985013459	No
FBgn0042105	3R	7786372	7786541	-	1227	3.58351893845611	No
