# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "gbc" "-g" "transcript_id" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/PolII-PROseq.counts.cds.txt" "./ChIP-nexus/mapped/bam_dm6/Input_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped/bam_dm6/PolII_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep2.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep2.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP-nexus/mapped/bam_dm6/Input_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped/bam_dm6/PolII_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep2.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep2.dm6.bowtie2.sorted.bam
FBtr0330643	2L	144331	152800	-	8470	0	0	0	0	0	0
FBtr0078147	2L	153639	154805	-	1167	0	0	0	0	0	0
FBtr0340650	2L	156529	157566	+	1038	27	111	15	38	261	261
FBtr0078119	2L	156649	157566	+	918	0	0	0	0	0	0
FBtr0330652	2L	159532	201488	+	41957	0	0	0	0	0	0
FBtr0332336	2L	159532	203150	+	43619	0	0	0	0	0	0
FBtr0078121	2L	159532	203297	+	43766	13	52	7	25	171	140
FBtr0330653	2L	183320	203150	+	19831	0	0	0	0	0	0
FBtr0332337	2L	183320	201488	+	18169	0	0	0	0	0	0
FBtr0078124	2L	204279	204682	+	404	189	149	145	341	623	592
FBtr0078146	2L	204843	206797	-	1955	87	34	36	143	132	149
FBtr0308246	2L	204843	206297	-	1455	0	0	0	0	0	0
FBtr0332338	2L	207679	210406	+	2728	81	135	45	161	423	444
FBtr0332339	2L	207906	210625	+	2720	38	221	28	60	690	649
FBtr0078125	2L	207906	210406	+	2501	0	0	0	0	0	0
FBtr0308253	2L	210835	250323	-	39489	6793	23234	4657	12055	65110	66119
FBtr0078145	2L	210835	221462	-	10628	0	0	0	0	0	0
FBtr0078126	2L	232987	234108	+	1122	0	0	0	0	0	0
FBtr0336990	2L	251139	251873	-	735	37	53	18	40	260	244
FBtr0078143	2L	251263	251873	-	611	0	0	0	0	0	0
FBtr0336989	2L	252689	254250	-	1562	0	0	0	0	0	0
FBtr0078141	2L	252689	271244	-	18556	1880	1562	1258	3474	4697	4216
FBtr0308252	2L	260049	267005	-	6957	0	0	0	0	0	0
FBtr0078142	2L	263566	267005	-	3440	0	0	0	0	0	0
FBtr0078127	2L	269588	271526	+	1939	57	124	43	109	423	368
FBtr0078139	2L	272012	273215	-	1204	387	768	228	651	2347	2429
FBtr0330650	2L	274840	277734	-	2895	279	2064	192	483	4279	5219
FBtr0330648	2L	274840	276712	-	1873	0	0	0	0	0	0
FBtr0078129	2L	278082	282067	+	3986	1108	4080	751	1926	10157	10786
FBtr0343780	2L	281770	282695	-	926	0	0	0	0	0	0
FBtr0343779	2L	282071	282695	-	625	0	0	0	0	0	0
FBtr0078137	2L	282071	282769	-	699	35	128	21	67	272	309
FBtr0113009	2L	283485	291295	-	7811	868	685	603	1664	1820	1714
FBtr0078136	2L	283485	285226	-	1742	0	0	0	0	0	0
FBtr0078135	2L	283762	286031	-	2270	0	0	0	0	0	0
FBtr0330647	2L	287352	288644	-	1293	0	0	0	0	0	0
FBtr0078134	2L	287352	288432	-	1081	0	0	0	0	0	0
FBtr0333408	2L	293059	294181	-	1123	55	268	38	107	806	741
FBtr0078133	2L	293453	294181	-	729	0	0	0	0	0	0
FBtr0078131	2L	295622	297349	+	1728	542	1353	317	939	3328	3474
FBtr0331205	2L	298380	303834	+	5455	0	0	0	0	0	0
FBtr0331208	2L	298380	305133	+	6754	0	0	0	0	0	0
FBtr0331207	2L	302206	305133	+	2928	0	0	0	0	0	0
FBtr0078047	2L	306435	346155	+	39721	0	0	0	0	0	0
FBtr0078049	2L	306435	355466	+	49032	1319	534	997	2900	2697	2603
FBtr0330674	2L	310700	346155	+	35456	0	0	0	0	0	0
FBtr0078048	2L	310700	346441	+	35742	0	0	0	0	0	0
FBtr0078050	2L	310700	347827	+	37128	0	0	0	0	0	0
FBtr0330695	2L	325622	329261	-	3640	0	0	0	0	0	0
FBtr0330696	2L	327529	329261	-	1733	0	0	0	0	0	0
FBtr0078096	2L	330010	331835	-	1826	0	0	0	0	0	0
FBtr0330651	2L	355665	357374	-	1710	490	1102	288	850	3050	3197
FBtr0078053	2L	378612	387339	+	8728	2144	507	1381	3851	2242	1828
FBtr0331204	2L	396695	401554	-	4860	0	0	0	0	0	0
FBtr0078093	2L	396695	401698	-	5004	50	6	36	88	42	48
FBtr0078054	2L	404785	407869	+	3085	995	981	637	1727	2638	2651
FBtr0089488	2L	408130	414277	-	6148	497	541	300	936	1656	1586
FBtr0089489	2L	408976	412385	-	3410	0	0	0	0	0	0
FBtr0078055	2L	415567	418436	+	2870	984	2109	649	1830	4445	4777
FBtr0078090	2L	418534	419152	-	619	203	780	128	392	1426	1570
FBtr0078058	2L	423373	425221	+	1849	648	179	522	1167	723	639
FBtr0329832	2L	431727	448601	+	16875	4270	3119	2815	7695	10529	9963
FBtr0331233	2L	448354	452524	-	4171	20	14	11	28	50	13
FBtr0078088	2L	448816	452524	-	3709	0	0	0	0	0	0
FBtr0304741	2L	448816	450802	-	1987	0	0	0	0	0	0
FBtr0331232	2L	448816	452252	-	3437	0	0	0	0	0	0
FBtr0078060	2L	453608	454554	+	947	270	404	166	496	957	885
FBtr0078061	2L	456031	458645	+	2615	930	454	654	1657	1202	1226
FBtr0310034	2L	458976	471700	-	12725	124	35	73	213	80	97
FBtr0310035	2L	458976	471055	-	12080	0	0	0	0	0	0
FBtr0078062	2L	473513	476070	+	2558	781	861	452	1375	1997	2018
FBtr0310030	2L	476546	479188	-	2643	18	11	12	46	58	38
FBtr0333012	2L	476720	540432	+	63713	2970	1277	1956	5256	4797	4151
FBtr0310027	2L	491335	540432	+	49098	0	0	0	0	0	0
FBtr0078063	2L	523966	540460	+	16495	0	0	0	0	0	0
FBtr0329895	2L	524236	540460	+	16225	0	0	0	0	0	0
FBtr0310028	2L	540699	542080	-	1382	98	598	70	213	4688	4062
FBtr0078082	2L	541337	542080	-	744	0	0	0	0	0	0
FBtr0078081	2L	541493	542080	-	588	0	0	0	0	0	0
FBtr0078080	2L	542886	544153	-	1268	541	1156	346	873	4353	4796
FBtr0344014	2L	545025	551954	-	6930	221	94	147	492	391	351
FBtr0078064	2L	545629	546996	+	1368	0	0	0	0	0	0
FBtr0112854	2L	547116	549002	-	1887	0	0	0	0	0	0
FBtr0345429	2L	547116	552423	-	5308	127	44	60	228	101	111
FBtr0078079	2L	547116	551954	-	4839	0	0	0	0	0	0
FBtr0303763	2L	553842	559810	-	5969	242	79	209	527	281	357
FBtr0078078	2L	553842	558579	-	4738	0	0	0	0	0	0
FBtr0345577	2L	560668	563319	-	2652	154	89	92	308	233	189
FBtr0078076	2L	560668	562847	-	2180	0	0	0	0	0	0
FBtr0078067	2L	564663	566372	+	1710	618	1574	347	1166	3641	3822
FBtr0078075	2L	566466	567621	-	1156	447	965	309	808	2352	2481
FBtr0078068	2L	568840	572616	+	3777	0	0	0	0	0	0
FBtr0332340	2L	568840	572807	+	3968	31	40	13	46	134	88
FBtr0078074	2L	573133	573764	-	632	204	505	147	426	1060	1062
FBtr0310022	2L	574791	575634	+	844	72	79	30	131	242	219
FBtr0078069	2L	575008	575634	+	627	0	0	0	0	0	0
FBtr0346650	2L	575811	576396	-	586	222	254	118	456	672	674
FBtr0078070	2L	577986	579449	+	1464	590	132	308	951	275	375
FBtr0347398	2L	583640	587547	-	3908	0	0	1	2	0	0
FBtr0343220	2L	583644	594185	-	10542	1410	807	971	2662	2879	2513
FBtr0310023	2L	603313	604330	+	1018	260	335	126	473	1156	1264
FBtr0077999	2L	626152	628100	+	1949	145	37	110	273	240	99
FBtr0078045	2L	640113	714483	-	74371	25	10	20	37	55	34
FBtr0343249	2L	640406	714483	-	74078	0	0	0	0	0	0
FBtr0078000	2L	728862	730464	+	1603	573	116	427	1142	353	260
FBtr0301317	2L	737312	743895	-	6584	575	123	345	1015	312	340
FBtr0301316	2L	737312	741291	-	3980	0	0	0	0	0	0
FBtr0343785	2L	750445	762042	+	11598	175	44	104	296	152	104
FBtr0308257	2L	751109	762042	+	10934	0	0	0	0	0	0
FBtr0343787	2L	751109	762299	+	11191	41	12	26	82	36	28
FBtr0301439	2L	753300	757420	+	4121	0	0	0	0	0	0
FBtr0346526	2L	753300	762042	+	8743	0	0	0	0	0	0
FBtr0078006	2L	780982	782785	+	1804	271	44	146	417	162	103
FBtr0331651	2L	781776	782785	+	1010	0	0	0	0	0	0
FBtr0331652	2L	784836	788676	+	3841	33	3	19	41	17	21
FBtr0078007	2L	784836	786058	+	1223	0	0	0	0	0	0
FBtr0078042	2L	786253	790298	-	4046	320	81	254	632	275	188
FBtr0078009	2L	812084	813280	+	1197	498	586	341	843	1785	1643
FBtr0078041	2L	813414	815450	-	2037	682	695	451	1304	1774	2053
FBtr0332972	2L	816493	817996	+	1504	386	202	228	696	641	676
FBtr0078010	2L	816493	816932	+	440	0	0	0	0	0	0
FBtr0078039	2L	818179	819008	-	830	285	150	179	441	531	450
FBtr0078011	2L	820464	821109	+	646	271	573	184	468	1201	1376
FBtr0305507	2L	821789	824237	+	2449	60	190	24	108	324	404
FBtr0301908	2L	821922	824237	+	2316	0	0	0	0	0	0
FBtr0078038	2L	824429	825361	-	933	348	930	249	624	2484	2718
FBtr0078014	2L	826469	833141	+	6673	183	886	113	314	2174	2210
FBtr0332973	2L	826469	832231	+	5763	0	0	0	0	0	0
FBtr0302120	2L	833684	850571	-	16888	0	0	0	0	0	0
FBtr0302121	2L	833684	842443	-	8760	0	0	0	0	0	0
FBtr0078037	2L	833687	842443	-	8757	0	0	0	0	0	0
FBtr0334763	2L	834967	850571	-	15605	0	0	0	0	0	0
FBtr0334797	2L	851351	852230	-	880	7	36	10	24	115	70
FBtr0078034	2L	851416	852230	-	815	0	0	0	0	0	0
FBtr0078016	2L	853268	854439	+	1172	35	15	11	50	53	71
FBtr0334794	2L	853348	854439	+	1092	0	0	0	0	0	0
FBtr0334796	2L	855971	856539	+	569	218	61	176	408	221	206
FBtr0445832	2L	860697	861706	+	1010	12	11	16	53	57	52
FBtr0078018	2L	860809	861706	+	898	0	0	0	0	0	0
FBtr0078033	2L	861949	865361	-	3413	0	0	0	0	0	0
FBtr0078031	2L	861949	867854	-	5906	86	90	46	135	343	323
FBtr0078032	2L	861949	867513	-	5565	0	0	0	0	0	0
FBtr0078030	2L	868773	869357	-	585	246	645	144	452	1389	1546
FBtr0091489	2L	870965	876938	+	5974	848	2828	587	1572	6887	6437
FBtr0091487	2L	870965	874049	+	3085	0	0	0	0	0	0
FBtr0091486	2L	871595	874049	+	2455	0	0	0	0	0	0
FBtr0345634	2L	877272	884641	-	7370	315	613	238	615	1354	1280
FBtr0332181	2L	878281	884641	-	6361	0	0	0	0	0	0
FBtr0345738	2L	899000	901216	+	2217	36	10	30	74	26	30
FBtr0078025	2L	899144	901216	+	2073	0	0	0	0	0	0
FBtr0336969	2L	914586	917705	+	3120	1113	213	691	1879	642	509
FBtr0077949	2L	923293	957998	+	34706	7336	1799	4696	13153	5887	4198
FBtr0301417	2L	1008478	1047553	-	39076	1857	411	1082	3094	1477	948
FBtr0332270	2L	1011521	1034082	-	22562	0	0	0	0	0	0
FBtr0301416	2L	1011521	1042718	-	31198	0	0	0	0	0	0
FBtr0077951	2L	1037746	1038585	+	840	0	0	0	0	0	0
FBtr0301087	2L	1037746	1038433	+	688	0	0	0	0	0	0
FBtr0077993	2L	1049774	1077315	-	27542	415	580	250	637	1721	1607
FBtr0077994	2L	1051892	1077311	-	25420	0	0	0	0	0	0
FBtr0077952	2L	1078448	1080703	+	2256	767	527	559	1366	1920	2074
FBtr0332569	2L	1081411	1085280	+	3870	0	0	0	0	0	0
FBtr0077953	2L	1081411	1083278	+	1868	0	0	0	0	0	0
FBtr0332570	2L	1083191	1102004	-	18814	0	0	0	0	0	0
FBtr0332571	2L	1083348	1102004	-	18657	0	0	0	0	0	0
FBtr0332273	2L	1103354	1107873	-	4520	43	6	34	72	34	10
FBtr0077989	2L	1103583	1107873	-	4291	0	0	0	0	0	0
FBtr0077954	2L	1109040	1112594	+	3555	1169	602	812	2195	1401	1040
FBtr0077955	2L	1113441	1114038	+	598	232	715	135	417	1207	1406
FBtr0077988	2L	1114754	1118531	-	3778	0	0	0	0	0	0
FBtr0077987	2L	1114754	1128453	-	13700	2439	5251	1597	4476	12416	13190
FBtr0077956	2L	1129816	1132311	+	2496	953	1041	616	1641	2278	2260
FBtr0077986	2L	1132432	1133598	-	1167	404	254	222	687	725	661
FBtr0077957	2L	1135193	1140888	+	5696	0	0	0	0	0	0
FBtr0332271	2L	1135193	1141056	+	5864	18	3	8	18	19	4
FBtr0077958	2L	1143701	1147295	+	3595	1161	331	638	1996	864	707
FBtr0077959	2L	1148322	1149349	+	1028	485	1092	268	806	2468	2787
FBtr0077985	2L	1149545	1150177	-	633	238	601	147	419	1396	1569
FBtr0332274	2L	1151778	1155811	-	4034	0	0	0	0	0	0
FBtr0100022	2L	1151778	1157762	-	5985	526	359	328	952	1705	1702
FBtr0077961	2L	1159161	1160120	+	960	247	439	205	508	981	1071
FBtr0331289	2L	1160390	1163386	-	2997	932	1123	728	1857	2772	2971
FBtr0077962	2L	1164943	1166325	+	1383	480	408	367	935	1204	1392
FBtr0077980	2L	1167272	1169579	-	2308	0	0	0	0	0	0
FBtr0304710	2L	1167272	1169442	-	2171	0	0	0	0	0	0
FBtr0344015	2L	1167272	1169865	-	2594	101	501	59	206	1011	1403
FBtr0077979	2L	1170853	1172305	-	1453	461	324	300	857	1281	1182
FBtr0331288	2L	1173509	1177489	+	3981	15	31	7	16	126	72
FBtr0077966	2L	1173509	1177396	+	3888	0	0	0	0	0	0
FBtr0344790	2L	1178190	1182354	+	4165	1323	1156	822	2476	4227	4221
FBtr0077978	2L	1182397	1183520	-	1124	471	524	321	818	1723	1742
FBtr0077971	2L	1184565	1185598	+	1034	441	438	292	798	950	929
FBtr0307056	2L	1186257	1196707	+	10451	43	64	31	94	72	78
FBtr0335379	2L	1186395	1196707	+	10313	0	0	0	0	0	0
FBtr0077972	2L	1186754	1196707	+	9954	0	0	0	0	0	0
FBtr0114498	2L	1204715	1205150	+	436	106	18	76	215	77	41
FBtr0299796	2L	1219793	1229702	+	9910	1832	555	1304	3604	2850	2662
FBtr0335383	2L	1240536	1242918	+	2383	205	45	122	355	152	101
FBtr0077920	2L	1240536	1242105	+	1570	0	0	0	0	0	0
FBtr0335384	2L	1256917	1296496	+	39580	437	95	241	718	376	173
FBtr0077921	2L	1256917	1294587	+	37671	0	0	0	0	0	0
FBtr0343837	2L	1334628	1335414	+	787	186	51	136	370	189	100
FBtr0077948	2L	1351828	1352368	-	541	12	6	9	26	7	9
FBtr0343845	2L	1351905	1352368	-	464	0	0	0	0	0	0
FBtr0077947	2L	1353070	1353609	-	540	181	45	155	298	164	215
FBtr0077944	2L	1355011	1355424	-	414	127	38	88	255	108	84
FBtr0343844	2L	1359937	1361321	-	1385	43	6	35	61	34	10
FBtr0077942	2L	1360083	1361235	-	1153	0	0	0	0	0	0
FBtr0343838	2L	1368496	1368950	+	455	201	50	121	398	173	116
FBtr0329985	2L	1380186	1419953	-	39768	9347	41184	6233	17187	96024	93642
FBtr0343842	2L	1443127	1443732	+	606	111	39	75	156	155	76
FBtr0077929	2L	1492795	1493545	+	751	0	0	0	0	0	0
FBtr0334817	2L	1492795	1493759	+	965	27	12	23	45	20	10
FBtr0077930	2L	1494570	1495356	+	787	347	71	269	679	233	195
FBtr0334818	2L	1495960	1496971	+	1012	71	8	47	149	60	45
FBtr0077931	2L	1496229	1496971	+	743	0	0	0	0	0	0
FBtr0077932	2L	1497743	1498483	+	741	280	56	180	446	274	207
FBtr0334822	2L	1498555	1500108	-	1554	51	27	28	86	131	83
FBtr0077936	2L	1498555	1499938	-	1384	0	0	0	0	0	0
FBtr0077938	2L	1498555	1499786	-	1232	0	0	0	0	0	0
FBtr0077937	2L	1498555	1499929	-	1375	0	0	0	0	0	0
FBtr0334820	2L	1500884	1502404	-	1521	3	6	7	16	50	45
FBtr0077933	2L	1500935	1502404	-	1470	0	0	0	0	0	0
FBtr0077873	2L	1520991	1522056	+	1066	280	92	187	545	324	281
FBtr0077874	2L	1523197	1524157	+	961	244	58	138	362	269	228
FBtr0344146	2L	1555629	1608304	+	52676	0	0	0	0	0	0
FBtr0310019	2L	1555629	1609289	+	53661	0	0	0	0	0	0
FBtr0077917	2L	1584966	1586655	-	1690	0	0	0	0	0	0
FBtr0077916	2L	1594922	1610657	-	15736	434	281	289	718	719	628
FBtr0077876	2L	1611910	1612476	+	567	135	255	85	240	547	602
FBtr0334842	2L	1612529	1613660	-	1132	21	23	9	22	96	51
FBtr0334843	2L	1612647	1613660	-	1014	0	0	0	0	0	0
FBtr0077915	2L	1612796	1613660	-	865	0	0	0	0	0	0
FBtr0307047	2L	1651758	1704582	+	52825	885	254	575	1489	826	510
FBtr0303935	2L	1651758	1698517	+	46760	0	0	0	0	0	0
FBtr0303934	2L	1668347	1698517	+	30171	0	0	0	0	0	0
FBtr0077878	2L	1668347	1697737	+	29391	0	0	0	0	0	0
FBtr0077881	2L	1705402	1706677	+	1276	79	116	57	141	305	335
FBtr0331630	2L	1705631	1706862	+	1232	28	65	15	59	178	180
FBtr0077912	2L	1707232	1709921	-	2690	815	1118	605	1466	3230	3326
FBtr0077882	2L	1710962	1711365	+	404	119	446	77	234	963	969
FBtr0077911	2L	1711402	1715351	-	3950	44	69	41	99	146	150
FBtr0333544	2L	1711700	1715351	-	3652	0	0	0	0	0	0
FBtr0306167	2L	1716344	1723888	-	7545	135	83	90	165	227	252
FBtr0077910	2L	1716999	1723888	-	6890	0	0	0	0	0	0
FBtr0077906	2L	1724868	1729136	-	4269	28	13	17	39	28	23
FBtr0077905	2L	1725074	1729136	-	4063	0	0	0	0	0	0
FBtr0077907	2L	1725074	1727963	-	2890	0	0	0	0	0	0
FBtr0077909	2L	1725074	1727217	-	2144	0	0	0	0	0	0
FBtr0302115	2L	1725160	1727217	-	2058	0	0	0	0	0	0
FBtr0345430	2L	1729232	1729662	+	431	149	242	94	278	668	644
FBtr0077884	2L	1730387	1730970	+	584	238	411	180	508	970	948
FBtr0333543	2L	1731133	1731856	-	724	206	235	121	336	693	728
FBtr0077885	2L	1733024	1750512	+	17489	955	483	632	1739	1601	1479
FBtr0077886	2L	1737967	1750512	+	12546	0	0	0	0	0	0
FBtr0077903	2L	1750787	1751622	-	836	348	238	222	548	591	622
FBtr0077902	2L	1755353	1755951	-	599	134	20	103	286	88	81
FBtr0077888	2L	1784562	1785186	+	625	150	38	93	329	113	63
FBtr0310114	2L	1789241	1789861	-	621	133	25	95	257	99	57
FBtr0077899	2L	1790717	1791323	-	607	108	22	51	210	110	52
FBtr0100188	2L	1792157	1792768	-	612	117	22	82	228	69	61
FBtr0077897	2L	1793768	1794417	-	650	142	31	87	246	115	60
FBtr0077896	2L	1821356	1822831	-	1476	419	108	247	775	381	196
FBtr0473603	2L	1824272	1826000	-	1729	13	4	8	26	4	3
FBtr0473602	2L	1824373	1826000	-	1628	0	0	0	0	0	0
FBtr0089786	2L	1837038	1858450	+	21413	4126	885	2682	7211	3196	1918
FBtr0334826	2L	1858709	1880980	-	22272	167	42	89	347	112	63
FBtr0304597	2L	1858709	1880172	-	21464	0	0	0	0	0	0
FBtr0077891	2L	1870303	1870856	+	554	0	0	0	0	0	0
FBtr0334824	2L	1870303	1870932	+	630	0	0	0	0	0	0
FBtr0473590	2L	1882108	1882714	-	607	173	37	130	295	149	95
FBtr0333007	2L	1885122	1943361	+	58240	0	0	0	0	0	0
FBtr0077811	2L	1885122	1943718	+	58597	0	0	0	0	0	0
FBtr0309828	2L	1912242	1943718	+	31477	0	0	0	0	0	0
FBtr0113011	2L	1912242	1944189	+	31948	46	21	36	62	59	33
FBtr0110882	2L	1928253	1943839	+	15587	0	0	0	0	0	0
FBtr0110883	2L	1928253	1943847	+	15595	0	0	0	0	0	0
FBtr0330202	2L	1950339	1954053	-	3715	0	0	0	0	0	0
FBtr0330200	2L	1950339	1969862	-	19524	3424	1325	2404	6741	4589	3817
FBtr0334758	2L	1974457	1975313	+	857	59	105	26	114	238	305
FBtr0077813	2L	1974612	1975313	+	702	0	0	0	0	0	0
FBtr0077869	2L	1975563	1980255	-	4693	1562	1199	1074	2788	3144	2794
FBtr0077815	2L	1982717	1984414	+	1698	644	478	395	1109	1378	1217
FBtr0077867	2L	1984612	1987258	-	2647	149	38	94	229	142	125
FBtr0077868	2L	1984612	1986455	-	1844	0	0	0	0	0	0
FBtr0309285	2L	1997202	2005813	-	8612	1859	377	1253	3291	1308	821
FBtr0330672	2L	2010359	2030436	+	20078	276	117	162	524	482	457
FBtr0330671	2L	2012216	2030436	+	18221	0	0	0	0	0	0
FBtr0334774	2L	2018040	2030688	+	12649	0	0	0	0	0	0
FBtr0301067	2L	2018040	2030436	+	12397	0	0	0	0	0	0
FBtr0301066	2L	2024512	2030436	+	5925	0	0	0	0	0	0
FBtr0334773	2L	2024512	2030688	+	6177	0	0	0	0	0	0
FBtr0299676	2L	2032619	2035541	-	2923	1224	313	747	2256	910	560
FBtr0077822	2L	2038214	2044272	+	6059	0	0	0	0	0	0
FBtr0339529	2L	2038214	2043577	+	5364	0	0	0	0	0	0
FBtr0334778	2L	2039028	2043577	+	4550	0	0	0	0	0	0
FBtr0077824	2L	2040233	2044272	+	4040	0	0	0	0	0	0
FBtr0310547	2L	2045994	2047902	+	1909	0	0	0	0	0	0
FBtr0077825	2L	2045994	2047954	+	1961	4	4	5	8	19	14
FBtr0077826	2L	2055089	2057867	+	2779	636	265	430	1240	781	674
FBtr0334783	2L	2058890	2109378	-	50489	10	6	4	23	8	9
FBtr0300671	2L	2058959	2109378	-	50420	0	0	0	0	0	0
FBtr0334782	2L	2059224	2109378	-	50155	0	0	0	0	0	0
FBtr0334779	2L	2080419	2081186	+	768	0	0	0	0	0	0
FBtr0334781	2L	2127409	2128737	-	1329	232	68	130	388	183	133
