# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "gbc" "-g" "transcript_id" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/K27me3-PROseq.counts.cds.txt" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam
FBtr0100310	2L	117274	120131	-	2858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078153	2L	122724	130291	-	7568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0100379	2L	122724	128745	-	6022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0300568	2L	132577	133895	+	1319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078114	2L	132577	134372	+	1796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302194	2L	138484	140492	-	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0346127	2L	138484	139088	-	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302195	2L	139546	140492	-	947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0300987	2L	141177	142591	-	1415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330644	2L	141177	142072	-	896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330643	2L	144331	152800	-	8470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078147	2L	153639	154805	-	1167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0340650	2L	156529	157566	+	1038	26	11	12	23	17	6	31	20	12	5	26	5	16	0	28
FBtr0078119	2L	156649	157566	+	918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330652	2L	159532	201488	+	41957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332336	2L	159532	203150	+	43619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078121	2L	159532	203297	+	43766	4	4	0	10	58	11	36	27	10	4	19	3	5	0	12
FBtr0330653	2L	183320	203150	+	19831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332337	2L	183320	201488	+	18169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078124	2L	204279	204682	+	404	53	28	47	111	53	35	94	57	63	30	263	21	69	2	200
FBtr0078146	2L	204843	206797	-	1955	25	15	19	53	48	19	96	92	65	37	84	20	56	15	97
FBtr0308246	2L	204843	206297	-	1455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332338	2L	207679	210406	+	2728	34	27	28	69	28	29	55	26	38	21	164	5	38	4	87
FBtr0332339	2L	207906	210625	+	2720	4	12	4	20	86	38	64	34	24	10	66	8	24	3	50
FBtr0078125	2L	207906	210406	+	2501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0308253	2L	210835	250323	-	39489	1650	1371	1107	4130	4182	2583	5763	3689	3553	1957	10217	1059	4533	621	8563
FBtr0078145	2L	210835	221462	-	10628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078126	2L	232987	234108	+	1122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0336990	2L	251139	251873	-	735	6	7	4	14	15	14	24	25	22	10	32	6	26	4	32
FBtr0078143	2L	251263	251873	-	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0336989	2L	252689	254250	-	1562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078141	2L	252689	271244	-	18556	721	644	637	1206	1534	679	1352	1028	939	483	2244	261	950	138	2011
FBtr0308252	2L	260049	267005	-	6957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078142	2L	263566	267005	-	3440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078127	2L	269588	271526	+	1939	18	19	7	54	31	21	53	46	36	21	114	12	40	10	76
FBtr0078139	2L	272012	273215	-	1204	54	72	54	203	136	80	253	165	171	107	506	70	209	24	386
FBtr0330650	2L	274840	277734	-	2895	128	141	57	237	94	92	231	132	138	70	452	29	205	21	380
FBtr0330648	2L	274840	276712	-	1873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078129	2L	278082	282067	+	3986	376	244	203	652	534	391	769	508	538	318	1556	179	644	101	1352
FBtr0343780	2L	281770	282695	-	926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343779	2L	282071	282695	-	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078137	2L	282071	282769	-	699	6	4	4	12	16	10	18	14	12	4	35	4	17	2	32
FBtr0113009	2L	283485	291295	-	7811	336	283	255	533	574	293	778	550	430	258	1158	143	498	93	1030
FBtr0078136	2L	283485	285226	-	1742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078135	2L	283762	286031	-	2270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330647	2L	287352	288644	-	1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078134	2L	287352	288432	-	1081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0333408	2L	293059	294181	-	1123	17	13	8	42	72	39	94	52	25	20	82	12	45	7	83
FBtr0078133	2L	293453	294181	-	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078131	2L	295622	297349	+	1728	140	93	80	312	213	159	353	273	258	130	760	84	323	37	618
FBtr0331205	2L	298380	303834	+	5455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331208	2L	298380	305133	+	6754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331207	2L	302206	305133	+	2928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078047	2L	306435	346155	+	39721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078049	2L	306435	355466	+	49032	714	574	1077	1276	1083	437	1347	971	715	438	1632	346	780	147	2276
FBtr0330674	2L	310700	346155	+	35456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078048	2L	310700	346441	+	35742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078050	2L	310700	347827	+	37128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330695	2L	325622	329261	-	3640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330696	2L	327529	329261	-	1733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078096	2L	330010	331835	-	1826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330651	2L	355665	357374	-	1710	140	122	114	257	225	157	400	224	236	112	630	65	307	47	564
FBtr0078053	2L	378612	387339	+	8728	5048	5001	4906	2944	7634	3035	1493	1137	950	542	2680	266	885	146	2089
FBtr0331204	2L	396695	401554	-	4860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078093	2L	396695	401698	-	5004	41	37	22	32	47	17	31	22	18	6	72	8	38	3	52
FBtr0078054	2L	404785	407869	+	3085	270	188	157	521	406	197	588	384	413	219	1335	116	510	62	1087
FBtr0089488	2L	408130	414277	-	6148	137	110	99	352	337	145	544	360	310	165	640	94	290	60	570
FBtr0089489	2L	408976	412385	-	3410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078055	2L	415567	418436	+	2870	245	180	174	555	384	250	547	407	367	201	1363	124	438	59	1040
FBtr0078090	2L	418534	419152	-	619	84	37	39	117	105	90	138	95	86	52	259	21	134	14	221
FBtr0078058	2L	423373	425221	+	1849	219	220	279	484	499	217	281	234	226	131	815	70	221	21	570
FBtr0329832	2L	431727	448601	+	16875	1420	1169	1501	2757	2798	1302	2945	2157	1793	1078	5473	570	1911	302	4462
FBtr0331233	2L	448354	452524	-	4171	2	2	3	7	23	4	34	19	11	5	18	6	5	1	30
FBtr0078088	2L	448816	452524	-	3709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0304741	2L	448816	450802	-	1987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331232	2L	448816	452252	-	3437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078060	2L	453608	454554	+	947	116	63	112	164	108	73	139	111	90	73	386	33	117	25	267
FBtr0078061	2L	456031	458645	+	2615	225	245	200	602	398	251	388	311	324	208	1421	95	324	49	928
FBtr0310034	2L	458976	471700	-	12725	45	34	54	63	63	26	87	71	48	32	143	11	49	19	170
FBtr0310035	2L	458976	471055	-	12080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078062	2L	473513	476070	+	2558	190	170	132	436	268	156	463	318	287	160	881	80	302	56	768
FBtr0310030	2L	476546	479188	-	2643	11	6	5	19	23	14	33	30	23	6	33	3	16	4	33
FBtr0333012	2L	476720	540432	+	63713	1123	961	1101	1948	2320	980	2028	1498	1233	768	3943	444	1448	239	3503
FBtr0310027	2L	491335	540432	+	49098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078063	2L	523966	540460	+	16495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0329895	2L	524236	540460	+	16225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0310028	2L	540699	542080	-	1382	45	36	23	69	121	47	132	91	80	24	142	22	115	14	132
FBtr0078082	2L	541337	542080	-	744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078081	2L	541493	542080	-	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078080	2L	542886	544153	-	1268	249	124	108	292	162	76	223	187	151	94	834	54	205	18	617
FBtr0344014	2L	545025	551954	-	6930	143	92	177	162	138	47	112	92	85	41	291	30	71	6	241
FBtr0078064	2L	545629	546996	+	1368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0112854	2L	547116	549002	-	1887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345429	2L	547116	552423	-	5308	89	83	153	121	106	40	71	58	53	20	131	11	39	2	113
FBtr0078079	2L	547116	551954	-	4839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0303763	2L	553842	559810	-	5969	93	87	81	151	164	54	214	128	108	63	329	38	128	12	283
FBtr0078078	2L	553842	558579	-	4738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345577	2L	560668	563319	-	2652	48	51	36	83	78	51	54	54	59	17	180	14	38	2	127
FBtr0078076	2L	560668	562847	-	2180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078067	2L	564663	566372	+	1710	130	100	82	347	187	146	279	226	183	107	827	68	248	33	607
FBtr0078075	2L	566466	567621	-	1156	104	82	68	252	148	107	224	182	143	78	526	51	167	23	444
FBtr0078068	2L	568840	572616	+	3777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332340	2L	568840	572807	+	3968	6	7	4	15	18	6	29	27	14	13	37	3	9	6	29
FBtr0078074	2L	573133	573764	-	632	45	29	20	126	84	74	117	103	74	51	292	32	109	4	238
FBtr0310022	2L	574791	575634	+	844	33	24	23	46	12	15	48	34	28	14	101	9	33	5	77
FBtr0078069	2L	575008	575634	+	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0346650	2L	575811	576396	-	586	71	58	60	126	119	53	90	91	58	60	276	20	100	7	202
FBtr0078070	2L	577986	579449	+	1464	1443	1327	1586	750	717	256	241	175	151	89	609	60	155	14	514
FBtr0347398	2L	583640	587547	-	3908	5	3	2	3	7	2	0	0	0	0	2	0	0	0	3
FBtr0343220	2L	583644	594185	-	10542	13886	16915	17262	14949	13347	7352	1225	793	625	369	1972	185	703	105	1452
FBtr0310023	2L	603313	604330	+	1018	217	185	130	177	296	114	228	143	104	75	301	36	150	23	296
FBtr0077999	2L	626152	628100	+	1949	170	236	180	253	411	109	400	266	176	159	532	40	108	39	360
FBtr0078045	2L	640113	714483	-	74371	8	10	23	17	40	13	59	36	21	4	44	4	17	5	52
FBtr0343249	2L	640406	714483	-	74078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078000	2L	728862	730464	+	1603	355	309	242	357	330	181	204	167	162	97	568	51	152	14	555
FBtr0301317	2L	737312	743895	-	6584	268	266	262	437	420	203	355	321	237	128	673	81	226	28	541
FBtr0301316	2L	737312	741291	-	3980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343785	2L	750445	762042	+	11598	89	67	69	112	137	51	84	82	54	32	175	29	60	14	153
FBtr0308257	2L	751109	762042	+	10934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343787	2L	751109	762299	+	11191	24	12	18	39	43	12	39	24	21	17	55	4	20	1	45
FBtr0301439	2L	753300	757420	+	4121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0346526	2L	753300	762042	+	8743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078006	2L	780982	782785	+	1804	142	133	117	193	153	63	95	99	84	47	253	27	62	9	228
FBtr0331651	2L	781776	782785	+	1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331652	2L	784836	788676	+	3841	6	11	12	23	20	6	13	14	16	5	37	2	8	3	20
FBtr0078007	2L	784836	786058	+	1223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078042	2L	786253	790298	-	4046	145	134	123	231	313	116	228	196	118	65	328	32	112	20	305
FBtr0078009	2L	812084	813280	+	1197	116	82	90	222	142	95	224	146	154	70	612	48	196	11	525
FBtr0078041	2L	813414	815450	-	2037	149	143	97	405	230	123	336	262	266	142	876	83	255	40	636
FBtr0332972	2L	816493	817996	+	1504	81	71	66	186	94	72	185	133	132	71	414	51	158	22	367
FBtr0078010	2L	816493	816932	+	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078039	2L	818179	819008	-	830	58	60	64	154	101	50	168	117	104	70	331	36	118	21	277
FBtr0078011	2L	820464	821109	+	646	50	50	35	156	98	72	136	93	103	38	438	37	84	12	244
FBtr0305507	2L	821789	824237	+	2449	19	19	3	39	12	10	30	19	18	9	84	3	20	3	63
FBtr0301908	2L	821922	824237	+	2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078038	2L	824429	825361	-	933	98	69	41	194	155	73	184	102	116	77	459	31	175	20	407
FBtr0078014	2L	826469	833141	+	6673	65	31	56	89	401	131	198	149	82	47	241	27	112	24	234
FBtr0332973	2L	826469	832231	+	5763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302120	2L	833684	850571	-	16888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302121	2L	833684	842443	-	8760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078037	2L	833687	842443	-	8757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334763	2L	834967	850571	-	15605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334797	2L	851351	852230	-	880	4	2	5	2	7	5	20	9	6	7	9	2	5	1	8
FBtr0078034	2L	851416	852230	-	815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078016	2L	853268	854439	+	1172	0	6	7	15	6	7	12	15	11	5	33	2	16	5	19
FBtr0334794	2L	853348	854439	+	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334796	2L	855971	856539	+	569	81	68	47	97	108	41	126	87	105	47	290	18	92	12	237
FBtr0445832	2L	860697	861706	+	1010	19	6	8	22	19	9	16	19	8	6	21	2	9	0	17
FBtr0078018	2L	860809	861706	+	898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078033	2L	861949	865361	-	3413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078031	2L	861949	867854	-	5906	25	16	18	36	25	19	72	41	50	21	102	11	65	5	141
FBtr0078032	2L	861949	867513	-	5565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078030	2L	868773	869357	-	585	76	42	42	126	85	62	126	82	106	62	374	29	107	11	299
FBtr0091489	2L	870965	876938	+	5974	233	152	125	534	412	246	498	380	368	195	1221	106	403	60	1000
FBtr0091487	2L	870965	874049	+	3085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0091486	2L	871595	874049	+	2455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345634	2L	877272	884641	-	7370	63	62	41	179	170	84	162	128	119	59	436	29	89	11	268
FBtr0332181	2L	878281	884641	-	6361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345738	2L	899000	901216	+	2217	20	36	27	38	31	17	19	6	14	7	63	6	14	1	34
FBtr0078025	2L	899144	901216	+	2073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0336969	2L	914586	917705	+	3120	529	439	555	679	685	287	433	357	311	170	1127	85	321	52	990
FBtr0077949	2L	923293	957998	+	34706	4091	3871	3748	5526	6404	2810	4415	3819	2805	1649	8163	974	2613	490	7638
FBtr0301417	2L	1008478	1047553	-	39076	957	838	900	1288	1578	702	1129	947	697	443	2112	258	726	128	2006
