# Program:featureCounts v2.0.0; Command:"featureCounts" "-s" "2" "-t" "gbc" "-O" "-g" "transcript_id" "-a" "references/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "counts.gbc.txt" "bam_dmel6/gd7_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_dmel6/gd7_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_4-5_5h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_4-5_5h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_4-5_5h_rep2.dmel6.bowtie2.sorted.bam
FBtr0078147	2L	153639	154805	-	1167	111	58	82	82	60	64	68	85	72	69	36	77
FBtr0340650	2L	156529	157566	+	1038	565	251	325	299	237	326	240	235	390	392	162	369
FBtr0078119	2L	156649	157566	+	918	498	224	290	266	211	291	209	203	349	338	139	329
FBtr0330652	2L	159532	201488	+	41957	16503	7739	10597	10217	6781	8026	8216	8478	11458	11685	5211	13543
FBtr0332336	2L	159532	203150	+	43619	17022	7999	10989	10634	7024	8261	8524	8803	11858	12089	5428	14045
FBtr0078121	2L	159532	203297	+	43766	17079	8030	11037	10686	7053	8296	8559	8839	11901	12129	5449	14105
FBtr0330653	2L	183320	203150	+	19831	7687	3586	5599	5076	3368	4014	4109	4270	5434	5299	2547	6954
FBtr0332337	2L	183320	201488	+	18169	7168	3326	5207	4659	3125	3779	3801	3945	5034	4895	2330	6452
FBtr0078124	2L	204279	204682	+	404	83	62	41	35	29	39	18	21	49	46	8	25
FBtr0078146	2L	204843	206797	-	1955	63	27	31	43	24	30	20	26	38	40	12	21
FBtr0308246	2L	204843	206297	-	1455	15	8	10	15	6	9	10	7	8	11	5	9
FBtr0332338	2L	207679	210406	+	2728	297	170	290	276	209	236	260	263	255	275	162	334
FBtr0332339	2L	207906	210625	+	2720	295	164	292	283	209	238	254	266	261	274	170	353
FBtr0078125	2L	207906	210406	+	2501	272	155	257	255	187	209	233	245	229	251	149	316
FBtr0308253	2L	210835	250323	-	39489	29153	14070	15456	15315	12850	14896	11424	12438	21688	22305	7333	17730
FBtr0078145	2L	210835	221462	-	10628	7405	3475	4323	3912	3243	3884	3040	3236	5385	5872	1920	4647
FBtr0078126	2L	232987	234108	+	1122	6	6	4	3	1	2	4	3	6	1	7	6
FBtr0336990	2L	251139	251873	-	735	103	38	105	122	61	65	87	123	62	65	37	111
FBtr0078143	2L	251263	251873	-	611	82	26	81	84	45	51	66	98	48	54	28	76
FBtr0336989	2L	252689	254250	-	1562	204	113	116	109	119	129	86	89	129	138	28	96
FBtr0078141	2L	252689	271244	-	18556	2802	1290	1121	1054	1493	1517	890	917	1935	1970	491	1137
FBtr0308252	2L	260049	267005	-	6957	999	453	433	400	492	557	323	342	770	738	188	441
FBtr0078142	2L	263566	267005	-	3440	568	281	248	231	288	316	179	183	447	383	92	248
FBtr0078127	2L	269588	271526	+	1939	72	32	13	9	18	18	9	7	22	20	7	14
FBtr0078139	2L	272012	273215	-	1204	121	58	215	173	93	127	193	196	112	121	64	169
FBtr0330650	2L	274840	277734	-	2895	1739	945	823	791	977	1183	892	1057	1325	1283	562	1020
FBtr0330648	2L	274840	276712	-	1873	670	304	332	336	364	463	333	348	562	557	177	428
FBtr0078129	2L	278082	282067	+	3986	3889	1791	601	569	1679	1915	418	434	2680	2664	299	728
FBtr0343780	2L	281770	282695	-	926	325	175	42	41	111	135	17	11	200	184	22	24
FBtr0343779	2L	282071	282695	-	625	276	160	38	37	97	116	12	9	164	150	18	18
FBtr0078137	2L	282071	282769	-	699	286	166	46	42	100	117	14	12	167	153	21	26
FBtr0113009	2L	283485	291295	-	7811	2937	1604	2088	2788	1120	1399	1865	2206	1761	1543	1400	2814
FBtr0078136	2L	283485	285226	-	1742	218	92	143	139	77	121	114	111	152	188	81	172
FBtr0078135	2L	283762	286031	-	2270	2716	1455	1787	2456	973	1185	1562	1800	1580	1364	1264	2564
FBtr0330647	2L	287352	288644	-	1293	26	12	13	3	13	16	6	8	14	7	7	7
FBtr0078134	2L	287352	288432	-	1081	23	10	9	3	12	15	5	6	10	4	6	7
FBtr0333408	2L	293059	294181	-	1123	766	405	373	371	417	479	370	347	605	655	202	473
FBtr0078133	2L	293453	294181	-	729	553	290	251	229	288	363	222	239	421	442	119	299
FBtr0078131	2L	295622	297349	+	1728	773	394	468	459	471	634	483	530	663	667	250	594
FBtr0331205	2L	298380	303834	+	5455	440	224	444	407	298	316	345	391	477	438	233	563
FBtr0331208	2L	298380	305133	+	6754	532	270	547	527	344	376	428	461	579	552	279	686
FBtr0331207	2L	302206	305133	+	2928	216	103	220	216	116	138	168	180	233	220	98	283
FBtr0078047	2L	306435	346155	+	39721	243	132	505	400	199	232	417	418	330	252	298	539
FBtr0078049	2L	306435	355466	+	49032	497	243	666	560	250	296	481	500	512	454	390	696
FBtr0330674	2L	310700	346155	+	35456	190	103	425	332	150	177	333	323	268	209	240	419
FBtr0078048	2L	310700	346441	+	35742	198	106	429	337	155	179	336	328	269	212	247	424
FBtr0078050	2L	310700	347827	+	37128	212	115	449	358	165	184	352	355	281	229	265	445
FBtr0330695	2L	325622	329261	-	3640	17	9	18	10	15	21	4	13	9	8	10	14
FBtr0330696	2L	327529	329261	-	1733	11	6	11	1	4	7	1	2	4	5	5	10
FBtr0078096	2L	330010	331835	-	1826	6	5	15	4	8	7	12	3	13	6	5	8
FBtr0330651	2L	355665	357374	-	1710	408	201	227	258	298	298	181	196	317	379	112	261
FBtr0078053	2L	378612	387339	+	8728	61	42	244	202	27	50	31	27	48	42	59	45
FBtr0331204	2L	396695	401554	-	4860	38	22	29	18	34	39	22	29	27	22	12	19
FBtr0078093	2L	396695	401698	-	5004	39	23	31	20	35	43	25	29	31	25	15	20
FBtr0078054	2L	404785	407869	+	3085	262	109	440	371	219	251	455	458	265	272	142	417
FBtr0089488	2L	408130	414277	-	6148	576	243	639	686	404	488	555	559	546	548	356	826
FBtr0089489	2L	408976	412385	-	3410	366	147	342	419	216	285	305	304	305	326	177	478
FBtr0078055	2L	415567	418436	+	2870	704	400	627	576	517	578	546	585	710	754	337	843
FBtr0078090	2L	418534	419152	-	619	214	114	131	123	139	181	87	99	146	160	54	146
FBtr0078058	2L	423373	425221	+	1849	22	14	26	19	6	9	9	6	15	6	12	9
FBtr0329832	2L	431727	448601	+	16875	1030	631	1771	1587	823	976	912	985	1111	1125	590	1620
FBtr0331233	2L	448354	452524	-	4171	98	56	350	374	101	148	393	399	125	180	199	480
FBtr0078088	2L	448816	452524	-	3709	91	52	322	325	99	137	374	372	114	161	175	438
FBtr0304741	2L	448816	450802	-	1987	29	16	138	173	37	58	170	148	67	61	84	213
FBtr0331232	2L	448816	452252	-	3437	87	48	290	300	82	123	339	333	113	153	163	400
FBtr0078060	2L	453608	454554	+	947	92	61	120	100	79	104	106	131	84	91	59	115
FBtr0078061	2L	456031	458645	+	2615	97	64	139	106	66	80	86	73	92	90	30	70
FBtr0310034	2L	458976	471700	-	12725	77	41	124	62	40	60	67	53	80	56	51	65
FBtr0310035	2L	458976	471055	-	12080	72	40	123	61	37	57	64	52	78	54	45	64
FBtr0078062	2L	473513	476070	+	2558	269	99	331	282	160	234	269	242	227	234	162	352
FBtr0310030	2L	476546	479188	-	2643	40	20	219	170	33	62	126	138	65	47	70	158
FBtr0333012	2L	476720	540432	+	63713	14564	7926	13622	12947	2809	3715	4216	5277	4204	4341	2321	4361
FBtr0310027	2L	491335	540432	+	49098	14207	7714	13184	12554	2523	3386	3856	4853	3828	3979	2011	3901
FBtr0078063	2L	523966	540460	+	16495	9825	4999	9945	9121	591	802	1408	1576	844	859	488	1148
FBtr0329895	2L	524236	540460	+	16225	9610	4855	9775	8974	579	786	1387	1551	825	843	484	1136
FBtr0310028	2L	540699	542080	-	1382	642	274	563	676	398	406	408	489	582	532	258	600
FBtr0078082	2L	541337	542080	-	744	476	192	383	390	274	281	268	303	366	345	175	398
FBtr0078081	2L	541493	542080	-	588	361	140	281	290	206	202	196	232	267	261	128	311
FBtr0078080	2L	542886	544153	-	1268	780	397	388	400	307	332	333	360	509	439	152	353
FBtr0344014	2L	545025	551954	-	6930	55	32	50	25	41	42	50	39	49	43	31	44
FBtr0078064	2L	545629	546996	+	1368	9	2	26	17	5	9	21	13	4	7	12	12
FBtr0112854	2L	547116	549002	-	1887	15	5	9	5	8	6	8	8	14	7	4	14
FBtr0345429	2L	547116	552423	-	5308	48	32	35	20	35	39	47	28	40	39	31	32
FBtr0078079	2L	547116	551954	-	4839	40	24	30	17	30	35	32	25	34	33	24	27
FBtr0303763	2L	553842	559810	-	5969	49	22	45	43	24	21	29	23	47	52	28	40
FBtr0078078	2L	553842	558579	-	4738	42	15	35	33	21	18	22	21	35	40	19	30
FBtr0345577	2L	560668	563319	-	2652	99	46	37	28	30	31	29	15	59	53	15	11
FBtr0078076	2L	560668	562847	-	2180	32	14	21	17	14	18	21	12	29	34	10	6
FBtr0078067	2L	564663	566372	+	1710	220	105	146	124	140	151	119	91	145	175	59	139
FBtr0078075	2L	566466	567621	-	1156	263	157	209	170	186	218	155	158	217	200	62	154
FBtr0078068	2L	568840	572616	+	3777	760	388	534	469	537	633	405	429	660	680	225	651
FBtr0332340	2L	568840	572807	+	3968	787	405	550	487	555	659	424	454	681	702	234	660
FBtr0078074	2L	573133	573764	-	632	62	42	79	56	42	53	55	54	71	78	48	95
FBtr0310022	2L	574791	575634	+	844	157	62	94	121	73	82	84	88	128	121	57	126
FBtr0078069	2L	575008	575634	+	627	91	41	61	86	53	49	61	54	77	71	41	92
FBtr0346650	2L	575811	576396	-	586	4	4	4	3	3	1	0	2	3	1	3	5
FBtr0078070	2L	577986	579449	+	1464	10	2	9	5	2	12	5	8	18	12	12	8
FBtr0347398	2L	583640	587547	-	3908	93	60	23	18	13	19	34	24	151	146	112	227
FBtr0343220	2L	583644	594185	-	10542	335	210	46	43	37	57	77	63	476	425	280	546
FBtr0310023	2L	603313	604330	+	1018	42	24	40	25	96	106	149	152	171	156	108	240
FBtr0077999	2L	626152	628100	+	1949	8	2	8	2	4	9	4	5	2	4	5	3
FBtr0078045	2L	640113	714483	-	74371	1800	1078	9357	8457	1532	2147	4277	4441	3239	3383	4535	10834
FBtr0343249	2L	640406	714483	-	74078	1799	1075	9341	8438	1529	2140	4266	4431	3234	3371	4517	10802
FBtr0078000	2L	728862	730464	+	1603	4	2	13	7	5	6	5	2	9	4	3	4
FBtr0301317	2L	737312	743895	-	6584	75	23	34	23	28	24	31	32	31	26	25	41
FBtr0301316	2L	737312	741291	-	3980	28	5	19	12	12	11	8	10	12	6	14	15
FBtr0343785	2L	750445	762042	+	11598	78	29	46	36	36	55	50	72	57	42	46	58
FBtr0308257	2L	751109	762042	+	10934	39	16	38	31	17	36	32	34	36	32	35	33
FBtr0343787	2L	751109	762299	+	11191	40	18	43	31	17	36	32	34	36	34	35	35
FBtr0301439	2L	753300	757420	+	4121	14	5	18	14	1	15	12	11	12	7	15	12
FBtr0346526	2L	753300	762042	+	8743	26	11	33	25	12	30	24	24	26	22	30	25
FBtr0078006	2L	780982	782785	+	1804	7	4	6	3	2	7	2	2	4	4	7	10
FBtr0331651	2L	781776	782785	+	1010	4	2	6	0	2	6	1	1	3	4	5	4
FBtr0331652	2L	784836	788676	+	3841	12	6	15	12	8	15	17	5	4	10	6	16
FBtr0078007	2L	784836	786058	+	1223	5	2	5	3	4	2	6	2	1	4	3	6
FBtr0078042	2L	786253	790298	-	4046	15	15	28	18	11	12	13	10	26	17	20	21
FBtr0078009	2L	812084	813280	+	1197	61	28	45	36	11	19	30	27	42	54	36	76
FBtr0078041	2L	813414	815450	-	2037	404	192	165	169	197	219	128	118	262	274	62	183
FBtr0332972	2L	816493	817996	+	1504	75	38	72	65	58	44	42	50	53	61	34	69
FBtr0078010	2L	816493	816932	+	440	19	8	15	20	16	9	13	12	15	17	6	21
FBtr0078039	2L	818179	819008	-	830	26	10	15	17	20	22	11	4	17	12	7	15
FBtr0078011	2L	820464	821109	+	646	254	120	77	69	137	149	66	104	183	158	49	99
FBtr0305507	2L	821789	824237	+	2449	357	176	255	238	205	268	188	185	331	334	124	323
FBtr0301908	2L	821922	824237	+	2316	330	163	233	217	180	238	173	171	310	310	121	295
FBtr0078038	2L	824429	825361	-	933	223	111	99	90	135	151	82	63	156	157	38	106
FBtr0078014	2L	826469	833141	+	6673	1959	1011	845	843	1147	1196	792	808	1408	1368	331	867
FBtr0332973	2L	826469	832231	+	5763	1544	800	702	641	933	981	646	664	1103	1076	269	685
FBtr0302120	2L	833684	850571	-	16888	3834	1901	1952	1949	2269	2665	1436	1620	4994	5490	1290	2815
FBtr0302121	2L	833684	842443	-	8760	1697	846	998	993	1004	1217	713	791	2347	2562	686	1442
FBtr0078037	2L	833687	842443	-	8757	1697	846	996	992	1004	1217	713	791	2344	2562	686	1442
FBtr0334763	2L	834967	850571	-	15605	3502	1740	1784	1775	2080	2450	1308	1456	4597	5007	1146	2562
FBtr0334797	2L	851351	852230	-	880	160	88	91	91	132	126	98	86	175	173	56	153
FBtr0078034	2L	851416	852230	-	815	148	85	83	88	124	120	94	81	166	163	53	146
FBtr0078016	2L	853268	854439	+	1172	98	49	87	68	28	28	35	20	64	74	23	58
FBtr0334794	2L	853348	854439	+	1092	95	48	83	64	26	28	32	20	63	67	22	53
FBtr0334796	2L	855971	856539	+	569	2	4	2	2	2	3	5	2	0	2	2	4
FBtr0445832	2L	860697	861706	+	1010	6	2	5	2	5	5	9	10	6	9	6	7
FBtr0078018	2L	860809	861706	+	898	5	2	5	2	5	5	7	9	5	9	6	7
FBtr0078033	2L	861949	865361	-	3413	213	131	297	281	86	106	87	75	193	179	84	203
FBtr0078031	2L	861949	867854	-	5906	334	204	464	421	139	176	164	171	290	284	152	362
FBtr0078032	2L	861949	867513	-	5565	312	196	422	385	135	158	151	135	275	265	136	318
FBtr0078030	2L	868773	869357	-	585	185	107	175	137	119	155	137	123	147	168	66	132
FBtr0091489	2L	870965	876938	+	5974	6089	3009	4394	4536	2831	3519	3231	3328	5158	4996	2269	5150
FBtr0091487	2L	870965	874049	+	3085	4551	2190	3294	3420	2144	2632	2516	2638	3705	3574	1634	3749
FBtr0091486	2L	871595	874049	+	2455	2627	1231	1825	1769	1194	1418	1334	1360	2131	2039	877	2257
FBtr0345634	2L	877272	884641	-	7370	27	8	38	22	21	27	19	10	19	14	17	26
FBtr0332181	2L	878281	884641	-	6361	22	7	33	15	19	23	15	9	18	12	14	21
FBtr0345738	2L	899000	901216	+	2217	19	12	6	7	8	9	8	8	14	8	5	7
FBtr0078025	2L	899144	901216	+	2073	19	10	6	7	8	9	8	8	13	8	5	7
FBtr0336969	2L	914586	917705	+	3120	16	7	28	11	7	18	9	7	13	9	15	14
FBtr0077949	2L	923293	957998	+	34706	195	110	274	131	156	212	267	187	227	169	169	192
FBtr0301417	2L	1008478	1047553	-	39076	161	94	226	189	154	194	172	137	174	135	125	184
FBtr0332270	2L	1011521	1034082	-	22562	80	49	120	108	84	91	94	76	85	73	59	94
FBtr0301416	2L	1011521	1042718	-	31198	114	70	171	155	114	149	136	99	115	102	90	138
FBtr0077951	2L	1037746	1038585	+	840	13	6	7	4	9	6	6	4	8	3	4	7
FBtr0301087	2L	1037746	1038433	+	688	13	6	6	4	9	6	6	4	7	3	3	7
FBtr0077993	2L	1049774	1077315	-	27542	4955	2451	7769	7330	4810	5464	4540	4932	5580	6073	2809	6507
FBtr0077994	2L	1051892	1077311	-	25420	4617	2251	7134	6660	4429	5071	4165	4493	5137	5586	2599	5945
FBtr0077952	2L	1078448	1080703	+	2256	263	128	174	195	138	167	164	179	201	226	73	231
FBtr0332569	2L	1081411	1085280	+	3870	611	294	512	474	302	352	401	459	250	254	120	282
FBtr0077953	2L	1081411	1083278	+	1868	271	117	215	199	198	245	245	292	226	227	104	256
FBtr0332570	2L	1083191	1102004	-	18814	64	42	94	52	52	74	47	60	83	67	70	98
FBtr0332571	2L	1083348	1102004	-	18657	64	42	94	50	45	70	45	52	82	67	70	97
FBtr0332273	2L	1103354	1107873	-	4520	171	86	340	311	52	105	174	169	135	89	72	209
FBtr0077989	2L	1103583	1107873	-	4291	170	85	334	308	51	104	172	165	135	88	70	205
FBtr0077954	2L	1109040	1112594	+	3555	16	4	18	8	4	4	15	8	12	8	12	8
FBtr0077955	2L	1113441	1114038	+	598	3	6	5	1	0	4	4	5	2	4	2	5
FBtr0077988	2L	1114754	1118531	-	3778	2169	947	423	429	1923	2250	469	546	1641	1670	186	449
FBtr0077987	2L	1114754	1128453	-	13700	5894	2889	1779	1611	3971	4589	1540	1624	4051	4006	799	1503
FBtr0077956	2L	1129816	1132311	+	2496	446	253	294	273	270	268	221	243	356	355	124	314
FBtr0077986	2L	1132432	1133598	-	1167	3	1	4	2	3	2	5	0	5	2	4	5
FBtr0077957	2L	1135193	1140888	+	5696	50	22	38	14	18	23	16	14	23	25	13	18
FBtr0332271	2L	1135193	1141056	+	5864	53	22	42	14	23	23	21	15	26	27	16	24
FBtr0077958	2L	1143701	1147295	+	3595	18	9	12	15	12	20	20	14	9	11	9	15
FBtr0077959	2L	1148322	1149349	+	1028	101	46	28	15	64	58	18	16	72	86	12	50
FBtr0077985	2L	1149545	1150177	-	633	212	98	81	78	124	173	107	74	169	150	46	90
FBtr0332274	2L	1151778	1155811	-	4034	68	30	87	67	91	98	87	121	62	55	53	106
FBtr0100022	2L	1151778	1157762	-	5985	388	231	190	172	374	415	258	327	229	240	117	201
FBtr0077961	2L	1159161	1160120	+	960	145	83	156	130	81	141	113	107	129	148	51	113
FBtr0331289	2L	1160390	1163386	-	2997	16	9	18	11	41	30	49	29	23	17	9	18
FBtr0077962	2L	1164943	1166325	+	1383	114	74	133	111	36	67	78	84	107	106	46	139
FBtr0077980	2L	1167272	1169579	-	2308	518	258	186	150	290	315	159	183	417	373	92	257
FBtr0304710	2L	1167272	1169442	-	2171	492	244	180	146	273	292	149	170	401	355	88	241
FBtr0344015	2L	1167272	1169865	-	2594	1099	602	337	307	622	660	377	459	828	752	235	429
FBtr0077979	2L	1170853	1172305	-	1453	24	15	97	82	26	37	101	110	43	20	63	150
FBtr0331288	2L	1173509	1177489	+	3981	635	332	475	436	340	452	465	437	475	456	209	592
FBtr0077966	2L	1173509	1177396	+	3888	618	321	462	422	326	435	447	423	464	443	199	566
FBtr0344790	2L	1178190	1182354	+	4165	686	381	347	368	328	398	275	285	461	472	178	489
FBtr0077978	2L	1182397	1183520	-	1124	50	27	47	42	27	43	42	41	54	40	31	52
FBtr0077971	2L	1184565	1185598	+	1034	122	52	84	69	59	67	71	85	95	84	36	105
FBtr0307056	2L	1186257	1196707	+	10451	238	146	582	297	142	289	440	281	320	153	182	465
FBtr0335379	2L	1186395	1196707	+	10313	203	131	575	295	128	265	425	253	303	145	176	456
FBtr0077972	2L	1186754	1196707	+	9954	197	128	567	291	124	261	419	248	296	139	173	451
FBtr0114498	2L	1204715	1205150	+	436	0	1	3	1	3	1	4	0	0	0	2	2
FBtr0299796	2L	1219793	1229702	+	9910	366	258	153	137	88	96	114	121	132	131	65	115
FBtr0335383	2L	1240536	1242918	+	2383	11	7	11	2	4	7	9	4	15	11	12	14
FBtr0077920	2L	1240536	1242105	+	1570	3	3	7	1	2	6	3	2	9	5	6	10
FBtr0335384	2L	1256917	1296496	+	39580	138	71	177	78	117	131	140	120	227	159	147	205
