# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/zld.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/zld.featureCount.count.tab.txt" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep2.dm6.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep2.dm6.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region88	chr2L	1177563	1177748	.	186	144	211	222	222	51	57	44	35	3	16	8	47	26
Region89	chr2L	1183848	1184161	.	314	177	295	308	336	60	67	150	113	0	15	13	55	48
Region90	chr2L	1220407	1220725	.	319	139	180	379	484	40	49	97	127	7	22	14	41	27
Region91	chr2L	1220944	1221380	.	437	379	609	533	863	74	96	151	167	7	22	13	49	43
Region92	chr2L	1404784	1405649	.	866	320	556	584	1666	119	237	332	291	12	59	27	156	116
Region93	chr2L	1409298	1409587	.	290	263	496	306	506	44	83	214	174	5	24	11	60	39
Region94	chr2L	1410711	1412153	.	1443	2893	5527	4668	13456	180	332	532	524	25	100	62	298	180
Region95	chr2L	1419671	1420753	.	1083	2770	5648	3950	6434	159	283	525	463	28	79	36	208	152
Region96	chr2L	1421464	1422406	.	943	1154	2336	1572	4279	138	249	382	378	15	72	28	218	107
Region97	chr2L	1422662	1422916	.	255	110	142	278	454	42	65	126	121	3	23	16	55	27
Region98	chr2L	1429494	1429947	.	454	412	906	615	2062	69	113	162	157	7	32	16	91	69
Region99	chr2L	1460929	1461130	.	202	152	471	182	369	29	50	132	102	3	12	10	39	35
Region100	chr2L	1461862	1462771	.	910	278	279	1057	3230	141	205	306	335	24	65	30	124	99
Region101	chr2L	1463335	1463586	.	252	155	412	115	192	34	82	93	95	11	14	12	49	26
Region102	chr2L	1470214	1470410	.	197	110	165	365	161	26	41	45	35	3	18	9	20	15
Region103	chr2L	1485896	1486397	.	502	107	156	523	1699	80	93	164	188	10	38	23	72	71
Region104	chr2L	1491882	1492084	.	203	353	416	517	283	40	60	29	48	7	7	4	33	22
Region105	chr2L	1492335	1492548	.	214	165	256	327	177	37	61	93	87	1	12	12	49	29
Region106	chr2L	1504395	1504675	.	281	194	419	290	521	47	86	92	92	10	16	11	61	40
Region107	chr2L	1508236	1508519	.	284	273	434	105	174	34	73	129	119	5	23	5	43	28
Region108	chr2L	1517697	1518457	.	761	1550	2605	2651	7284	102	213	376	305	25	60	28	172	122
Region109	chr2L	1525096	1525552	.	457	527	698	486	1167	79	90	208	189	7	27	15	68	48
Region110	chr2L	1614023	1614392	.	370	759	1121	1171	608	61	95	93	98	3	19	17	55	42
Region111	chr2L	1669740	1669994	.	255	310	307	458	302	27	64	93	107	3	16	7	39	31
Region112	chr2L	1679200	1679570	.	371	119	184	468	535	41	54	98	131	4	20	15	32	28
Region113	chr2L	1679792	1680274	.	483	442	684	590	1032	55	77	145	182	4	30	25	52	36
Region114	chr2L	1686227	1686385	.	159	55	119	247	319	25	28	46	68	5	9	5	21	16
Region115	chr2L	1710248	1710548	.	301	313	552	464	492	51	99	118	128	3	20	11	60	36
Region116	chr2L	1715797	1715992	.	196	304	439	418	345	26	58	60	86	9	18	6	48	29
Region117	chr2L	1724283	1724520	.	238	236	300	407	341	43	60	68	77	3	10	13	41	18
Region118	chr2L	1751980	1752212	.	233	193	215	316	252	41	57	58	64	4	11	9	34	19
Region119	chr2L	1759053	1759256	.	204	156	153	253	228	35	45	77	62	2	12	6	39	21
Region120	chr2L	1805840	1806067	.	228	271	322	341	398	64	95	217	213	8	30	17	64	58
Region121	chr2L	1884377	1884734	.	358	1265	1421	1654	907	43	92	148	137	6	28	18	55	31
Region122	chr2L	1886497	1886864	.	368	281	619	247	334	61	131	130	86	13	21	14	34	39
Region123	chr2L	1909774	1910037	.	264	377	606	469	489	44	79	86	58	2	15	12	41	28
Region124	chr2L	1954421	1955097	.	677	1807	3521	3115	3473	88	157	342	282	21	32	22	112	92
Region125	chr2L	1958074	1958665	.	592	782	1450	475	778	79	133	218	177	10	41	21	68	77
Region126	chr2L	1960966	1961262	.	297	210	447	180	245	41	62	108	76	7	15	17	55	38
Region127	chr2L	1962073	1962412	.	340	137	209	263	476	53	58	124	94	5	18	14	42	37
Region128	chr2L	1970385	1970905	.	521	730	1215	1338	1368	82	130	298	279	5	33	28	101	61
Region129	chr2L	1972549	1973066	.	518	2624	4687	4113	4196	68	132	279	295	13	33	18	77	72
Region130	chr2L	1973998	1974446	.	449	587	733	814	719	55	91	245	203	5	35	26	79	62
Region131	chr2L	2013800	2014198	.	399	484	714	928	1106	47	84	159	120	4	28	16	61	57
Region132	chr2L	2037503	2038283	.	781	1152	1552	1206	1435	86	183	332	255	13	53	26	121	112
Region133	chr2L	2073240	2073552	.	313	66	26	478	862	32	37	146	126	2	16	9	36	31
Region134	chr2L	2112430	2112671	.	242	340	352	734	556	95	104	201	190	18	21	18	51	29
Region135	chr2L	2119522	2119746	.	225	315	284	745	557	71	90	175	148	9	25	22	39	21
Region136	chr2L	2144777	2145261	.	485	396	336	536	432	79	103	247	113	9	29	20	77	43
Region137	chr2L	2146965	2147412	.	448	394	533	765	647	65	118	199	179	9	34	26	87	62
Region138	chr2L	2151703	2151863	.	161	222	236	429	251	13	52	43	33	2	6	2	16	18
Region139	chr2L	2155476	2156053	.	578	289	329	567	1704	100	164	258	178	20	36	31	91	54
Region140	chr2L	2158060	2158380	.	321	228	316	389	643	53	73	210	183	10	30	15	58	49
Region141	chr2L	2161332	2161881	.	550	1139	2090	2018	4315	90	156	359	187	12	43	29	114	75
Region142	chr2L	2163673	2164054	.	382	335	651	358	593	52	109	122	121	11	22	10	81	53
Region143	chr2L	2164487	2165536	.	1050	2655	5161	3719	8044	127	271	431	375	18	72	54	200	136
Region144	chr2L	2172240	2172914	.	675	1395	2925	1301	2597	90	175	284	227	25	65	33	119	74
Region145	chr2L	2178266	2178555	.	290	272	696	326	420	58	94	203	169	10	30	19	74	52
Region146	chr2L	2181419	2182424	.	1006	875	1763	431	452	126	214	407	426	30	80	33	158	117
Region147	chr2L	2217172	2217418	.	247	262	402	320	359	45	66	91	97	11	20	12	40	26
Region148	chr2L	2365173	2365686	.	514	468	422	719	565	70	145	154	163	11	24	19	92	66
Region149	chr2L	2370365	2370824	.	460	244	326	303	588	68	108	227	227	1	29	19	85	65
Region150	chr2L	2374540	2374767	.	228	287	319	413	316	42	83	93	106	5	15	13	70	40
Region151	chr2L	2376192	2376463	.	272	299	340	384	631	44	61	145	99	5	15	9	36	33
Region152	chr2L	2447980	2448699	.	720	757	1860	840	991	102	155	361	253	20	57	31	107	82
Region153	chr2L	2449588	2450170	.	583	555	825	343	482	84	117	285	221	13	44	26	95	59
Region154	chr2L	2450917	2451359	.	443	471	961	644	1027	61	112	221	186	9	38	17	76	59
Region155	chr2L	2453459	2453747	.	289	116	126	193	556	46	83	101	72	1	17	6	45	31
Region156	chr2L	2454371	2455236	.	866	3195	4433	3946	7113	106	169	561	363	5	60	27	156	114
Region157	chr2L	2456309	2457974	.	1666	2724	5248	2886	9125	176	345	745	426	33	101	59	212	218
Region158	chr2L	2461344	2461697	.	354	351	583	114	164	57	83	198	87	18	34	13	52	46
Region159	chr2L	2461960	2462305	.	346	293	602	95	100	64	84	164	114	4	21	11	52	47
Region160	chr2L	2492582	2493313	.	732	1119	1733	1371	1315	106	213	283	231	17	59	28	151	100
Region161	chr2L	2576304	2578738	.	2435	2969	5040	4875	11651	346	541	1101	849	36	178	109	391	293
Region162	chr2L	2579951	2580549	.	599	426	638	863	788	96	142	242	167	7	42	21	91	67
Region163	chr2L	2585320	2585612	.	293	613	663	911	633	50	74	104	94	3	12	9	49	32
Region164	chr2L	2739896	2740114	.	219	302	465	412	300	51	92	65	71	1	11	5	38	25
Region165	chr2L	2748454	2748789	.	336	268	401	408	494	68	83	167	147	3	29	16	87	54
Region166	chr2L	2759434	2759724	.	291	238	348	356	341	45	84	205	115	8	23	17	71	36
Region167	chr2L	2766108	2766401	.	294	199	343	336	355	58	84	139	146	5	23	15	63	36
Region168	chr2L	2770005	2770284	.	280	328	364	455	312	40	105	77	81	13	16	15	53	31
Region169	chr2L	2808002	2808386	.	385	857	1075	1718	1166	60	57	183	128	9	18	16	51	61
Region170	chr2L	2814777	2815306	.	530	825	1552	927	2192	83	90	268	226	4	50	23	68	70
Region171	chr2L	2855654	2856210	.	557	739	956	1158	754	82	160	130	128	5	29	11	107	62
Region172	chr2L	2857045	2857221	.	177	216	273	362	227	33	64	43	61	6	14	6	33	22
Region173	chr2L	2873593	2873946	.	354	146	328	307	538	35	85	162	127	8	38	24	88	42
Region174	chr2L	2874775	2874986	.	212	166	246	256	255	39	61	81	57	2	11	10	42	21
Region175	chr2L	2884977	2885363	.	387	442	674	616	729	60	123	129	117	20	22	21	82	63
Region176	chr2L	2885794	2886275	.	482	418	561	576	625	74	121	147	195	14	28	23	80	53
Region177	chr2L	2888818	2889497	.	680	426	871	750	1056	106	173	249	265	11	51	28	163	99
Region178	chr2L	2987534	2987809	.	276	245	296	410	335	48	79	86	82	6	16	11	57	30
Region179	chr2L	2999121	2999986	.	866	456	950	688	1163	131	232	290	228	12	70	37	156	96
Region180	chr2L	3000249	3001037	.	789	662	1284	896	1410	118	183	327	343	13	63	35	144	99
Region181	chr2L	3005468	3005895	.	428	228	555	334	1017	78	116	109	119	10	32	22	51	47
Region182	chr2L	3006974	3007284	.	311	172	355	273	702	38	70	115	80	5	18	10	55	43
Region183	chr2L	3022992	3023332	.	341	385	593	688	638	61	94	176	114	5	33	13	69	39
Region184	chr2L	3029139	3029309	.	171	121	205	240	201	40	67	50	45	2	19	10	29	19
Region185	chr2L	3030431	3030621	.	191	153	227	233	251	33	75	59	56	2	15	7	22	23
Region186	chr2L	3071556	3072906	.	1351	1491	3001	2897	7404	181	292	545	449	37	111	57	241	185
Region187	chr2L	3078818	3079053	.	236	81	114	213	448	43	67	73	79	7	22	13	40	33
Region188	chr2L	3079452	3079719	.	268	116	212	189	534	44	85	90	107	7	17	17	53	57
Region189	chr2L	3082902	3083307	.	406	185	339	357	999	59	94	117	103	7	26	17	71	45
Region190	chr2L	3083520	3083957	.	438	585	1199	1069	2503	61	114	216	192	14	31	19	83	52
Region191	chr2L	3159496	3159690	.	195	237	254	318	230	48	51	51	64	0	10	15	32	28
Region192	chr2L	3373338	3373574	.	237	403	542	747	404	37	81	58	74	8	6	8	45	17
Region193	chr2L	3456897	3457486	.	590	857	1189	1435	784	95	113	186	158	7	42	22	85	40
Region194	chr2L	3465299	3466464	.	1166	1267	1546	1931	2633	162	259	509	426	13	86	42	221	144
Region195	chr2L	3469871	3470158	.	288	300	604	501	602	51	67	111	114	7	21	18	66	51
Region196	chr2L	3472369	3472532	.	164	213	263	207	197	33	60	64	69	9	6	5	40	18
Region197	chr2L	3476451	3476824	.	374	381	684	252	383	54	108	151	92	5	23	14	70	47
Region198	chr2L	3478334	3478570	.	237	154	336	218	451	38	60	131	89	8	16	10	80	42
Region199	chr2L	3533027	3533706	.	680	300	670	596	840	92	133	300	265	9	49	25	121	94
Region200	chr2L	3538569	3540301	.	1733	3122	4651	4471	4258	256	423	720	599	49	137	79	280	230
Region201	chr2L	3541958	3542229	.	272	169	341	186	553	43	87	103	91	4	24	16	48	32
Region202	chr2L	3549106	3550181	.	1076	972	2128	2230	5031	152	221	325	299	24	52	47	154	110
Region203	chr2L	3580670	3581205	.	536	942	1753	1450	2109	73	124	242	192	20	34	23	92	58
Region204	chr2L	3602391	3603188	.	798	803	2099	1148	2790	122	195	313	278	16	53	44	135	109
Region205	chr2L	3605058	3606050	.	993	503	652	1124	1436	127	206	691	425	5	59	41	145	158
Region206	chr2L	3606253	3607442	.	1190	2868	6117	4457	11255	157	297	840	573	19	96	46	276	175
Region207	chr2L	3608357	3609732	.	1376	349	438	923	2814	196	298	473	411	19	111	44	189	181
Region208	chr2L	3610288	3611406	.	1119	2039	3700	3021	11226	157	246	418	371	22	86	43	193	170
Region209	chr2L	3611871	3612172	.	302	174	217	381	745	45	69	118	93	1	22	19	37	29
Region210	chr2L	3613508	3613781	.	274	71	116	231	326	44	75	128	70	5	14	11	38	24
Region211	chr2L	3614174	3615778	.	1605	1915	4142	2698	10539	219	323	583	529	29	111	58	272	199
Region212	chr2L	3632055	3632350	.	296	245	549	258	511	35	63	136	93	6	24	11	60	35
Region213	chr2L	3657366	3657701	.	336	687	998	463	435	53	100	77	77	8	22	8	44	37
Region214	chr2L	3662405	3662753	.	349	404	521	699	756	58	89	160	140	2	25	12	48	38
Region215	chr2L	3770122	3770428	.	307	171	412	233	465	50	81	123	117	6	26	7	53	48
Region216	chr2L	3771006	3772165	.	1160	1584	2866	1879	3351	148	300	465	401	27	72	38	174	119
Region217	chr2L	3775481	3776042	.	562	301	348	557	1742	86	137	170	129	8	47	22	104	64
Region218	chr2L	3778580	3778929	.	350	184	358	259	562	48	78	135	117	5	19	19	60	50
Region219	chr2L	3786289	3786537	.	249	467	754	480	406	33	91	71	71	9	20	7	43	44
Region220	chr2L	3803690	3804087	.	398	259	340	688	588	54	108	146	157	11	31	17	77	51
Region221	chr2L	3806390	3806685	.	296	223	458	293	494	46	68	160	160	1	24	12	71	43
Region222	chr2L	3813310	3813593	.	284	621	721	888	672	46	86	93	74	1	15	9	51	31
Region223	chr2L	3817808	3818492	.	685	777	1677	1453	3839	115	152	311	305	15	73	27	104	91
Region224	chr2L	3821210	3821854	.	645	227	400	538	1563	88	134	252	258	16	51	27	133	105
Region225	chr2L	3822219	3823151	.	933	670	1855	1397	3913	138	224	418	398	18	64	51	176	102
Region226	chr2L	3825329	3825816	.	488	1323	2567	2143	3737	73	155	209	174	23	32	13	110	75
Region227	chr2L	3827353	3827718	.	366	340	886	420	615	66	94	149	139	8	26	21	81	50
Region228	chr2L	3833703	3834415	.	713	767	1409	1437	3897	109	142	295	248	14	43	35	142	97
Region229	chr2L	3835402	3835606	.	205	151	277	224	326	43	63	98	87	1	12	9	37	45
Region230	chr2L	3836483	3836964	.	482	871	1677	1745	2443	86	115	153	124	8	34	17	87	46
