VTID,Chrosome,Start,End,Length,Verification Status,Positive,stg4_6,stg7_8,stg9_10,stg11_12,stg13_14,stg15_16
VT12319,chr2R,1766613,1768691,2078,correct,0,NA,NA,NA,NA,NA,NA
VT12320,chr2R,1768154,1770383,2229,correct,0,NA,NA,NA,ventral_nerve_cord_primordium_subset;1,ventral_nerve_cord_subset;1,ventral_nerve_cord_subset;1
VT12323,chr2R,1773032,1775140,2108,correct,1,NA,NA,NA,hypopharynx_primordium;2,dorsal_epidermis_subset;2|hypopharynx;4|clypeolabrum;2,head_subset;2|dorsal_epidermis_subset;3
VT12327,chr2R,1780575,1782664,2089,correct,0,NA,NA,NA,NA,NA,NA
VT12328,chr2R,1782378,1784481,2103,correct,1,NA,NA,ventral_nerve_cord_anlage_subset;2,anterior_ventral_nerve_cord_primordium_subset;2,brain_subset;1|anterior_ventral_nerve_cord_subset;1,head_subset;2
VT12330,chr2R,1785922,1788049,2127,correct,1,NA,NA,NA,NA,hindgut;1|anal_pad;2,pharynx;2
VT12398,chr2R,1934826,1937520,2694,correct,0,NA,NA,NA,NA,NA,NA
VT12399,chr2R,1937578,1938520,942,not_verified,0,NA,NA,NA,NA,NA,NA
VT12400,chr2R,1938485,1940652,2167,correct,0,NA,NA,NA,NA,NA,NA
VT12402,chr2R,1941266,1943454,2188,correct,1,NA,trunk_mesoderm_anlage_broad;1,trunk_mesoderm_anlage;1,trunk_mesoderm_primordium;2,NA,NA
VT12403,chr2R,1942814,1944899,2085,correct,1,NA,NA,head_subset;3,ventral_nerve_cord_primordium_subset;1|anterior_ventral_nerve_cord_primordium_subset;3,brain_subset;3|anterior_ventral_nerve_cord_subset;3,head_subset;3|anterior_ventral_nerve_cord_subset;3
VT12405,chr2R,1948359,1950508,2149,correct,1,NA,NA,NA,NA,NA,amnioserosa;3
VT12407,chr2R,1951702,1953832,2130,correct,0,NA,NA,NA,NA,NA,NA
VT12408,chr2R,1952731,1955051,2320,correct,0,NA,NA,NA,NA,NA,NA
VT12409,chr2R,1955128,1957242,2114,correct,1,dorsal_ectoderm_AISN_subset;1,A-P_stripes;1|procephalic_ectoderm_anlage;2|dorsal_ectoderm_anlage_subset;3,hindgut_anlage;2,NA,NA,NA
VT12410,chr2R,1956926,1959044,2118,correct,1,dorsal_ectoderm_AISN_subset;2,dorsal_ectoderm_anlage_subset;2,NA,NA,NA,NA
VT12411,chr2R,1958739,1960828,2089,correct,1,NA,NA,NA,NA,telson_subset;2,pharynx;3|amnioserosa;2|telson_subset;3
VT12412,chr2R,1960517,1962673,2156,correct,0,NA,NA,NA,NA,NA,NA
VT12429,chr2R,1997980,2000083,2103,correct,0,NA,NA,NA,NA,NA,NA
VT12430,chr2R,1999731,2001833,2102,correct,0,NA,NA,NA,NA,NA,NA
VT12431,chr2R,2001448,2003519,2071,correct,1,NA,NA,yolk;3|amnioserosa_anlage;3,amnioserosa;3|yolk;3,yolk;2,amnioserosa;3|midgut_broad;3|yolk;3
VT12433,chr2R,2004909,2007015,2106,correct,1,NA,NA,NA,NA,trunk_epidermis_subset;2|esophagus;3,head_subset;4|ventral_nerve_cord_subset;3|midgut_chamber;3|ubiquitous;2|head_epidermis_subset;3|trunk_epidermis_subset;3|proventriculus;4|atrium;4|esophagus;3|foregut;3
VT12436,chr2R,2010839,2013130,2291,correct,0,NA,NA,NA,NA,NA,NA
VT12438,chr2R,2014410,2016507,2097,correct,0,NA,NA,NA,NA,NA,NA
VT12439,chr2R,2016056,2018247,2191,correct,0,NA,NA,NA,NA,NA,NA
VT12440,chr2R,2017803,2019929,2126,correct,1,ubiquitous;2,ubiquitous;3,ubiquitous;3|mesectoderm_anlage;3,ubiquitous;3,ubiquitous;3,ubiquitous;2
VT12441,chr2R,2019503,2021604,2101,correct,1,NA,NA,ubiquitous;1|anterior_endoderm_anlage;3|mesectoderm_anlage;1|posterior_midgut_anlage;2|hindgut_anlage;3,ubiquitous;3|posterior_midgut_primordium;3|foregut_primordium;3|salivary_gland_primordium;3,brain_broad;3|hindgut;2|ubiquitous;3|ventral_nerve_cord_broad;3|salivary_gland;3,brain_broad;2|hindgut;2|ventral_nerve_cord_broad;2
VT12442,chr2R,2021198,2023290,2092,correct,1,NA,NA,mesectoderm_anlage;4,ventral_midline;4,ventral_midline;3|brain_broad;3|ventral_nerve_cord_broad;3,brain_broad;1|ventral_nerve_cord_broad;1
VT12445,chr2R,2027037,2029142,2105,correct,0,NA,NA,NA,NA,NA,NA
VT12446,chr2R,2028770,2030850,2080,correct,0,NA,NA,NA,NA,NA,NA
VT12447,chr2R,2030512,2032615,2103,correct,1,NA,NA,NA,NA,hindgut;3,hindgut;2
VT12449,chr2R,2033882,2036126,2244,correct,0,procephalic_ectoderm_AISN;1,ventral_ectoderm_anlage;1|procephalic_ectoderm_anlage;1,brain_anlage_subset;1|ventral_nerve_cord_anlage_subset;1,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;1,brain_subset;1|anterior_ventral_nerve_cord_subset;1,NA
VT12451,chr2R,2037540,2039688,2148,correct,1,NA,NA,mesectoderm_anlage;2,NA,NA,NA
VT12557,chr2R,2417645,2419715,2070,correct,1,NA,NA,NA,hindgut_proper_primordium;3,tracheal_system_broad;3|hindgut;3,tracheal_system_broad;1
VT12590,chr2R,2479035,2481219,2184,correct,1,NA,NA,NA,brain_primordium_broad;3|ventral_nerve_cord_primordium_broad;2,brain_broad;3|ventral_nerve_cord_broad;2|anterior_ventral_nerve_cord_broad;3,ventral_nerve_cord_subset;1|brain_subset;3|anterior_ventral_nerve_cord_subset;3
VT12591,chr2R,2480596,2482814,2218,correct,1,procephalic_ectoderm_AISN;2,ventral_ectoderm_anlage;1|procephalic_ectoderm_anlage;2,brain_anlage_subset;3|ventral_nerve_cord_anlage_subset;3,brain_primordium_broad;4|ventral_nerve_cord_primordium_broad;4,brain_broad;4|ventral_nerve_cord_broad;4,brain_broad;3|ventral_nerve_cord_broad;3
VT12593,chr2R,2484045,2486168,2123,correct,1,NA,NA,ventral_nerve_cord_anlage_subset;2,brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;2,ventral_nerve_cord_subset;3|brain_subset;3|dorsal_epidermis_subset;2,ventral_nerve_cord_subset;2|brain_subset;3|dorsal_epidermis_subset;2
VT12595,chr2R,2487391,2489497,2106,correct,1,NA,procephalic_ectoderm_anlage;1,hypopharynx_anlage;3,epipharynx_primordium;1|ventral_nerve_cord_primordium_subset;1|hypopharynx_primordium;2,ventral_nerve_cord_subset;1|epipharynx;2,NA
VT12597,chr2R,2490783,2492883,2100,correct,1,NA,NA,head_epidermis_ventral_anlage;2,head_epidermis_ventral_primordium_subset;3,head_epidermis_ventral_subset;3,ventral_nerve_cord_subset;1
VT12601,chr2R,2498412,2500474,2062,correct,1,posterior_endoderm_AISN;1,NA,NA,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;1|malpighian_tubule_primordium;2,ventral_nerve_cord_subset;1|brain_subset;1|malpighian_tubule;1,brain_broad;1|ventral_nerve_cord_broad;1
VT12602,chr2R,2499708,2501858,2150,correct,1,posterior_endoderm_AISN;3,ubiquitous;2|posterior_endoderm_anlage;3,ubiquitous;2,ubiquitous;3,ubiquitous;3,brain_broad;2|ventral_nerve_cord_broad;2
VT12603,chr2R,2505544,2506461,917,correct,0,NA,NA,NA,NA,NA,NA
VT12606,chr2R,2511991,2514764,2773,correct,0,NA,NA,NA,NA,NA,NA
VT12608,chr2R,2516834,2518932,2098,not_verified,1,NA,NA,NA,brain_primordium_subset;1|anterior_midgut_primordium;1|malpighian_tubule_primordium;2|posterior_midgut_primordium;3,midgut_broad;3|brain_subset;2|proventriculus;2|midgut_interstitial_cell;3|malpighian_tubule;2,midgut_broad;3|midgut_chamber;4|proventriculus;3|midgut_interstitial_cell;4
VT12609,chr2R,2518557,2520668,2111,correct,0,NA,NA,NA,NA,NA,NA
VT12610,chr2R,2520588,2521280,692,correct,0,NA,NA,NA,NA,NA,NA
VT12626,chr2R,2555654,2556639,985,correct,0,NA,NA,NA,NA,NA,NA
VT12630,chr2R,2562928,2564628,1700,correct,0,NA,NA,NA,NA,NA,NA
VT12632,chr2R,2566392,2568652,2260,correct,0,NA,NA,NA,NA,NA,NA
VT12633,chr2R,2567663,2569791,2128,correct,0,NA,NA,NA,NA,NA,NA
VT12634,chr2R,2568711,2570878,2167,correct,0,NA,NA,NA,NA,NA,NA
VT12636,chr2R,2573105,2575009,1904,correct,0,NA,NA,NA,NA,NA,NA
VT12637,chr2R,2575752,2577854,2102,correct,0,NA,NA,NA,NA,NA,NA
VT12639,chr2R,2577769,2579844,2075,correct,0,NA,NA,NA,NA,NA,ventral_nerve_cord_subset;1
VT12642,chr2R,2583575,2585628,2053,correct,1,ubiquitous;3,ubiquitous;3,ubiquitous;3,ubiquitous;3,ubiquitous;3,ubiquitous;3
VT12643,chr2R,2584090,2584257,167,correct,0,NA,NA,NA,NA,NA,brain_broad;1|ventral_nerve_cord_broad;1
VT12709,chr2R,2704038,2706154,2116,correct,1,NA,procephalic_ectoderm_anlage;2,brain_anlage_broad;3,brain_primordium_broad;3,brain_subset;3,brain_subset;2
VT12711,chr2R,2707141,2709243,2102,correct,0,NA,NA,NA,NA,NA,NA
VT12712,chr2R,2708716,2710801,2085,correct,0,NA,NA,NA,NA,NA,NA
VT12713,chr2R,2710269,2712415,2146,correct,1,procephalic_ectoderm_AISN;3,procephalic_ectoderm_anlage;3,procephalic_ectoderm_anlage;2,brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;3,ventral_nerve_cord_subset;3|brain_subset;2,ventral_nerve_cord_subset;2|brain_subset;2
VT12714,chr2R,2711743,2713991,2248,correct,0,NA,NA,NA,NA,NA,NA
VT12716,chr2R,2715886,2718001,2115,correct,1,NA,NA,NA,NA,anterior_ventral_nerve_cord_subset;1|posterior_ventral_nerve_cord_subset;1,anterior_ventral_nerve_cord_subset;2|posterior_ventral_nerve_cord_subset;2
VT12717,chr2R,2716870,2719075,2205,correct,1,NA,posterior_endoderm_anlage;3|anterior_endoderm_anlage;2,NA,NA,NA,NA
VT12718,chr2R,2718105,2720337,2232,correct,0,NA,NA,NA,NA,NA,NA
VT12720,chr2R,2722353,2723048,695,correct,0,NA,NA,NA,NA,NA,NA
VT12721,chr2R,2723467,2724258,791,correct,0,NA,NA,NA,NA,NA,NA
VT12752,chr2R,2774923,2777391,2468,correct,0,NA,NA,NA,NA,NA,NA
VT12754,chr2R,2779294,2781440,2146,correct,1,NA,NA,NA,NA,anterior_ventral_nerve_cord_broad;1,ventral_nerve_cord_subset;2
VT12755,chr2R,2780961,2783121,2160,correct,1,NA,NA,NA,NA,NA,brain_neuron;3
VT12756,chr2R,2782790,2784903,2113,correct,0,NA,NA,ventral_nerve_cord_anlage_subset;1,ventral_nerve_cord_primordium_subset;1,ventral_nerve_cord_subset;1|brain_subset;1,ventral_nerve_cord_subset;1|brain_subset;1
VT12757,chr2R,2784541,2786652,2111,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;3,NA
VT12759,chr2R,2788110,2790286,2176,correct,0,NA,NA,NA,NA,brain_broad;1|ventral_nerve_cord_broad;1|dorsal_epidermis_subset;1,brain_broad;1|ventral_nerve_cord_broad;1
VT12760,chr2R,2789788,2791982,2194,correct,0,NA,NA,NA,NA,NA,NA
VT12761,chr2R,2791588,2793694,2106,correct,1,NA,NA,head_epidermis_lateral_anlage;3,NA,NA,NA
VT12762,chr2R,2793359,2795480,2121,correct,0,NA,NA,NA,NA,NA,NA
VT12764,chr2R,2796892,2798992,2100,correct,1,NA,NA,NA,NA,NA,pharynx;3|atrium;3
VT12765,chr2R,2798649,2800773,2124,correct,1,NA,NA,NA,NA,NA,pharynx;3|atrium;3
VT12766,chr2R,2800437,2802526,2089,correct,0,NA,NA,NA,NA,NA,NA
VT12767,chr2R,2802086,2804299,2213,not_verified,0,NA,NA,NA,NA,NA,NA
VT12768,chr2R,2803968,2806077,2109,correct,0,posterior_endoderm_AISN;1|anterior_endoderm_AISN;1,NA,NA,NA,NA,NA
VT12769,chr2R,2805706,2807886,2180,correct,0,NA,NA,NA,NA,NA,NA
VT12771,chr2R,2810869,2811463,594,correct,0,NA,NA,NA,NA,NA,NA
VT12772,chr2R,2811905,2815113,3208,correct,0,NA,NA,NA,NA,NA,NA
VT12773,chr2R,2816261,2818678,2417,correct,0,NA,NA,NA,NA,NA,NA
VT12781,chr2R,2830469,2832559,2090,correct,0,NA,NA,NA,NA,NA,NA
VT12784,chr2R,2836408,2837927,1519,correct,0,NA,NA,NA,NA,NA,NA
VT12786,chr2R,2847205,2849287,2082,correct,1,NA,ventral_ectoderm_anlage;3,ventral_ectoderm_anlage;3|head_epidermis_lateral_anlage;3,lateral_epidermis_primordium_subset;2|ventral_epidermis_primordium_subset;3|head_epidermis_lateral_primordium_subset;3,head_subset;2|trunk_epidermis_subset;2|visceral_muscle_subset;2,head_subset;2|ventral_epidermis_subset;2|visceral_muscle_subset;1
VT12788,chr2R,2850465,2852544,2079,correct,1,NA,NA,NA,NA,antenno-maxillary-labial_complex;3|head_subset;3|amnioserosa;3|telson_subset;3|hindgut;3|ubiquitous;2|posterior_spiracle;3,amnioserosa;3|ubiquitous;2
VT12793,chr2R,2859014,2859702,688,correct,0,NA,NA,NA,NA,NA,NA
VT12795,chr2R,2862447,2862819,372,correct,1,NA,NA,ubiquitous;2,ubiquitous;2,ubiquitous;2,ubiquitous;2
VT12975,chr2R,3204971,3207166,2195,correct,1,NA,NA,NA,NA,NA,head_subset;2
VT12989,chr2R,3231155,3233404,2249,correct,0,NA,NA,NA,NA,NA,NA
VT12990,chr2R,3232826,3234962,2136,correct,0,NA,NA,NA,NA,NA,NA
VT13000,chr2R,3250372,3252476,2104,correct,0,NA,NA,NA,NA,NA,NA
VT13027,chr2R,3298739,3300850,2111,correct,1,NA,NA,ventral_nerve_cord_anlage_subset;2,NA,lateral_epidermis_subset;2,midgut_chamber;2
VT13028,chr2R,3299980,3302119,2139,correct,0,NA,NA,NA,NA,NA,NA
VT13029,chr2R,3301276,3303366,2090,correct,0,NA,NA,NA,NA,NA,NA
VT13030,chr2R,3302453,3304622,2169,correct,1,NA,NA,NA,NA,antenno-maxillary-labial_complex;1,antenno-maxillary-labial_complex;2
VT13033,chr2R,3308171,3310272,2101,correct,1,NA,NA,NA,posterior_spiracle_specific_anlage;2,lateral_epidermis_subset;3|posterior_spiracle;4,posterior_spiracle;3|head_epidermis_lateral_subset;3
VT13036,chr2R,3313624,3315739,2115,correct,1,posterior_endoderm_AISN;2|anterior_endoderm_AISN;3,posterior_endoderm_anlage;3|anterior_endoderm_anlage;3,posterior_endoderm_anlage;2|anterior_endoderm_anlage;3|clypeolabrum_anlage;3,brain_primordium_subset;1,brain_subset;1,NA
VT13037,chr2R,3315923,3318056,2133,correct,1,NA,NA,head_subset;3|head_epidermis_lateral_anlage;3,brain_primordium_subset;3,lateral_epidermis_subset;1|brain_subset;3|head_epidermis_dorsal_subset;3|head_epidermis_lateral_subset;3,brain_subset;3
VT13039,chr2R,3319200,3321454,2254,correct,1,NA,NA,NA,brain_primordium_subset;2|trunk_mesoderm_primordium;2,brain_subset;2,ventral_nerve_cord_subset;1|brain_subset;3
VT13120,chr2R,3487453,3489582,2129,correct,0,NA,NA,NA,NA,NA,NA
VT13123,chr2R,3492290,3494388,2098,correct,1,NA,NA,head_subset;3|mesectoderm_anlage;2,head_subset;3,NA,NA
VT13127,chr2R,3503931,3506031,2100,correct,0,NA,NA,NA,NA,NA,NA
VT13280,chr2R,3799784,3802053,2269,correct,0,NA,NA,NA,NA,NA,NA
VT13330,chr2R,3900178,3901317,1139,correct,1,NA,NA,NA,NA,NA,brain_broad;1|ventral_nerve_cord_broad;2
VT13332,chr2R,3905048,3907259,2211,correct,0,NA,NA,NA,NA,NA,NA
VT13333,chr2R,3906762,3908877,2115,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;3|brain_subset;3,ventral_nerve_cord_subset;3|brain_subset;3
VT13334,chr2R,3908436,3910563,2127,correct,1,procephalic_ectoderm_AISN;2,procephalic_ectoderm_anlage;2,brain_anlage_subset;3|ventral_nerve_cord_anlage_subset;1,brain_primordium_subset;3|ventral_nerve_cord_primordium_subset;1,ventral_nerve_cord_subset;1|brain_subset;3,ventral_nerve_cord_subset;1|brain_subset;3
VT13335,chr2R,3910149,3912266,2117,correct,1,NA,NA,ventral_nerve_cord_anlage_subset;1|head_epidermis_dorsal_anlage;3,ventral_nerve_cord_primordium_subset;1|head_epidermis_dorsal_primordium_subset;3|atrium_primordium;3,antenno-maxillary-labial_complex;3|amnioserosa;3,antenno-maxillary-labial_complex;3|amnioserosa;3|posterior_spiracle;3|sensory_system_head;3
VT13336,chr2R,3911707,3913904,2197,correct,1,NA,NA,NA,NA,amnioserosa;3,amnioserosa;3
VT13338,chr2R,3915124,3917212,2088,not_verified,1,NA,NA,NA,brain_primordium_subset;3|ventral_nerve_cord_primordium_subset;3|posterior_midgut_primordium;3,midgut_broad;3|brain_broad;4|ventral_nerve_cord_broad;4,brain_broad;4|ventral_nerve_cord_broad;4
VT13341,chr2R,3920619,3922832,2213,correct,0,NA,NA,NA,NA,NA,NA
VT13343,chr2R,3923626,3925809,2183,correct,1,NA,NA,NA,NA,epipharynx;3|clypeolabrum;3,pharynx;3
VT13344,chr2R,3925138,3927268,2130,correct,1,NA,NA,head_epidermis_dorsal_anlage;2,epipharynx_primordium;2|head_epidermis_dorsal_primordium_broad;3,ventral_epidermis_subset;1|epipharynx;3|head_epidermis_dorsal_subset;3,pharynx;4
VT13345,chr2R,3926586,3928779,2193,correct,1,NA,NA,head_epidermis_ventral_anlage;3,head_epidermis_lateral_primordium_subset;3,ventral_epidermis_subset;2|head_epidermis_lateral_subset;3,head_subset;2
VT13347,chr2R,3931534,3933655,2121,correct,1,NA,NA,NA,epipharynx_primordium;2|yolk;2,epipharynx;2|yolk;2|brain_subset;3|clypeolabrum;2,brain_subset;3|clypeolabrum;2
VT13348,chr2R,3933113,3935181,2068,correct,1,procephalic_ectoderm_AISN;3|anterior_endoderm_AISN;3,procephalic_ectoderm_anlage;3|anterior_endoderm_anlage;3,head_epidermis_dorsal_anlage;3,head_epidermis_dorsal_primordium_subset;3,head_epidermis_dorsal_subset;3,sensory_system_head;2
VT13350,chr2R,3936099,3938380,2281,correct,1,anterior_endoderm_AISN;3,anterior_endoderm_anlage;3,brain_anlage_subset;3|ventral_nerve_cord_anlage_subset;1,ventral_nerve_cord_primordium_subset;1|head_epidermis_dorsal_primordium_subset;3,head_epidermis_dorsal_subset;3,head_epidermis_dorsal_subset;3
VT13448,chr2R,4117833,4119871,2038,correct,1,NA,NA,dorsal_epidermis_anlage_subset;2,NA,NA,NA
VT13450,chr2R,4121650,4122860,1210,correct,0,NA,NA,NA,NA,trunk_epidermis_subset;1,NA
VT13451,chr2R,4122293,4124824,2531,correct,0,NA,NA,NA,NA,NA,NA
VT13452,chr2R,4127610,4129906,2296,correct,1,NA,NA,salivary_gland_anlage;2,anterior_midgut_primordium;2|posterior_midgut_primordium;2|salivary_common_duct_primordium;3,head_subset;3|lateral_epidermis_subset;3|midgut_broad;2|proventriculus;2|salivary_gland;3|muscle_system;2,head_subset;3|lateral_epidermis_subset;3|leading_edge_cell;2|dorsal_epidermis_subset;2
VT13454,chr2R,4131109,4133238,2129,correct,0,NA,NA,NA,NA,NA,NA
VT13456,chr2R,4134452,4136542,2090,correct,1,A-P_stripes;3|hindgut_AISN;4,posterior_endoderm_anlage;4,brain_anlage_subset;1|ventral_nerve_cord_anlage_subset;2,brain_primordium_broad;4|ventral_nerve_cord_primordium_broad;4,brain_broad;4|ventral_nerve_cord_broad;4,brain_broad;3|ventral_nerve_cord_broad;3
VT13457,chr2R,4136091,4138192,2101,correct,1,anterior;2|A-P_semi-stripe_dorsal;2,posterior_endoderm_anlage;1|procephalic_ectoderm_anlage;2,ventral_epidermis_anlage_broad;2|head_epidermis_dorsal_anlage;3,brain_primordium_subset;3|ventral_epidermis_primordium_subset;3|head_epidermis_dorsal_primordium_subset;4,brain_subset;3|head_epidermis_dorsal_subset;3,brain_subset;2
