geneID	Chr	ATAC_Start	ATAC_End	ATAC_factor	ATAC_direction	enhancerID	insituID	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	Enhancer_Time	Background
Region118	chr2L	544313	544788	Toll9	Down	None	region 6927	6.03226634591149	-2.24023027980793	-3.323352974319	-0.548136399136821	No
Region120	chr2L	564008	564504	Toll9	Down	None	None	0.338505855178485	-0.229824074426551	-0.09283036735703	-0.80943214575489	Yes
Region121	chr2L	567809	568169	Toll9	Down	None	None	-1.02373604975724	1.74289933681711	-0.746377930916795	-0.588094993605225	Yes
Region122	chr2L	573971	574721	Time	Up	None	None	-1.91866811751804	-1.40064865290022	3.4023822024264	0.394611773691026	Yes
Region134	chr2L	819784	820238	Toll9	Up	None	None	-1.01738823530799	-0.846224667412783	2.26660034335751	-0.492212871058429	Yes
Region135	chr2L	821252	821826	Toll10b	Up	None	None	0.209315884543846	-0.118294821813726	0.146819498568437	-0.59418854308261	Yes
Region136	chr2L	825598	826857	Toll9	Down	None	None	0.81279668883513	1.20721232695354	-2.34690438478061	0.365850910693408	Yes
Region137	chr2L	849755	851292	Toll10b	Down	None	None	0.268816218288427	-2.2155602286782	2.19074948723159	-0.175012298652093	Yes
Region138	chr2L	852446	853070	Gd7	Down	None	None	-1.86702514821908	-1.41701661055187	3.27633627100099	-0.682179534643974	Yes
Region141	chr2L	867041	868514	Toll10b	Down	None	None	3.14348113018213	-4.3713746569254	1.48190201141221	0.011720884530656	No
Region142	chr2L	869648	869844	Time	Up	None	None	0.146287715117625	0.689217285916381	-0.701040207665133	0.047903483267586	Yes
Region143	chr2L	870516	871957	Time	Up	None	None	0.0833624522217855	0.34442164487031	-0.274026811293995	1.0999421581443	Yes
Region149	chr2L	1066045	1067117	Toll10b	Down	None	None	3.84706898417987	-4.09473958264035	0.28956407985715	-0.402450559716184	No
Region149	chr2L	1066045	1067117	Toll10b	Down	None	None	3.93942962729078	-4.87558041485632	1.05213886256069	-0.402450559716184	No
Region150	chr2L	1067653	1068987	Gd7	Up	None	None	2.48135641502119	-2.54421380455526	-0.132246535061335	0.817956070052184	Yes
Region150	chr2L	1067653	1068987	Gd7	Up	None	None	1.60952027165087	-0.893628484584946	-1.12706965634867	0.817956070052184	Yes
Region151	chr2L	1076088	1078185	Toll9	Up	None	None	-1.64981075993269	0.655469429740694	1.11061894492208	0.355172430984571	Yes
Region151	chr2L	1076088	1078185	Toll9	Up	None	None	-0.887804577891831	0.575969006334336	0.501783633223505	0.355172430984571	Yes
Region153	chr2L	1118106	1118528	Toll9	Down	None	None	0.449960187248795	1.35788529033492	-2.35272141673798	-2.70893617555649	Yes
Region154	chr2L	1118804	1120220	Time	Down	None	None	3.67535284786781	0.457937906683921	-4.19843671716871	-4.49179183170058	No
Region156	chr2L	1150417	1151092	Toll10b	Up	None	None	-0.546682261792433	1.54256637118631	-0.767913001453068	-0.141485494902357	Yes
Region158	chr2L	1158640	1159023	Toll10b	Down	None	None	1.08234298474291	-0.588077335410543	-0.332835421636413	0.00633704244532701	Yes
Region159	chr2L	1164369	1164696	Time	Up	None	None	-0.892959795689456	-0.0161814263255671	0.850026771236256	1.66367127908828	Yes
Region160	chr2L	1169700	1170009	Time	Up	None	None	-0.480986773682001	0.438482153239799	0.245576097559942	-0.257491832532377	Yes
Region161	chr2L	1177564	1177813	Toll9	Down	None	None	1.71090532094944	0.763798490177244	-2.14253224334231	0.451209820176172	Yes
Region162	chr2L	1183785	1184300	Toll10b	Down	None	None	-0.962453156796316	-0.268842877201048	1.00351869781026	0.267993886375335	Yes
Region166	chr2L	1404834	1405566	Toll9	Up	None	None	-2.77008022310311	-0.0940351218520319	2.50425943247139	0.585466875839945	Yes
Region167	chr2L	1409138	1409525	Toll10b	Down	None	region 6997	-0.498950846328107	-2.39856948693052	2.95195718171979	-0.799059906754281	No
Region168	chr2L	1410110	1412449	Toll9	Up	None	None	-1.23482163351406	-1.98938692823891	3.09032690382366	0.086940257373287	Yes
Region168	chr2L	1410110	1412449	Toll9	Up	None	None	-1.73627028198752	-1.92978714713884	3.48308048530354	0.086940257373287	No
Region169	chr2L	1418155	1418569	Toll9	Up	None	None	-3.42231832022115	-0.365942413501	3.91865531443918	0.634293315910157	No
Region170	chr2L	1419528	1420754	Gd7	Down	None	None	-2.22314956114218	-0.114606658857369	2.04471059874767	0.583665868422904	Yes
Region171	chr2L	1421442	1422475	Toll9	Up	None	None	-0.411329577358521	-4.45238686630127	5.60749921890473	-1.12040715995768	No
Region171	chr2L	1421442	1422475	Toll9	Up	None	None	-0.552247756957351	-3.41492541297044	4.61091098817162	-1.12040715995768	No
Region177	chr2L	1461859	1462731	Toll10b	Up	region 270	None	-6.11413398929868	10.7281895607857	-5.05137817606534	3.06204735473391	No
Region181	chr2L	1502598	1503003	Gd7	Down	None	None	-1.9286453399563	1.04903345536834	1.11090243414992	-1.26381846087393	Yes
Region186	chr2L	1517660	1518466	Time	Down	None	None	-0.00576886527171597	-4.10275251457337	4.37073213384971	-5.62604488442392	No
Region186	chr2L	1517660	1518466	Time	Down	None	None	0.113219448654514	-4.24787011214984	4.4195783290139	-5.62604488442392	No
Region189	chr2L	1610928	1611546	Time	Up	None	None	-1.0441741531952	-0.999185151677666	2.13828945526386	1.40389072320949	Yes
Region189	chr2L	1610928	1611546	Time	Up	None	None	-0.654934941145042	-0.850224257534452	1.62170253371055	1.40389072320949	Yes
Region190	chr2L	1613900	1614430	Time	Up	None	None	-1.05922027052645	1.5045871594345	-0.330090507421753	0.695340727247153	Yes
Region195	chr2L	1679113	1679464	Toll9	Down	None	None	3.3271161479785	-1.03124120527223	-2.91993157992702	-0.831628051213411	Yes
Region196	chr2L	1679686	1680314	Gd7	Up	None	None	7.38074965011691	-5.13675487113088	-3.472015183415	-2.10085082250691	No
Region197	chr2L	1710092	1710733	Time	Up	None	None	-0.377865763790262	-0.167322665599571	0.925428305764639	0.054266559332344	Yes
Region198	chr2L	1715577	1716068	Time	Up	None	None	-0.425733553834103	-0.177082317369989	0.766538764914842	1.17909931188337	Yes
Region200	chr2L	1724146	1724558	Gd7	Up	None	None	2.13814900601736	-2.03155474653502	-0.010542190231059	1.62101243404779	Yes
Region201	chr2L	1728742	1728975	Time	Up	None	None	-0.0707347959554565	0.931810364399075	-0.855282232679414	-0.03079824222043	Yes
Region203	chr2L	1732241	1732525	Time	Up	None	region 7039	0.724365232046425	-0.844757034494337	-0.135479076149551	0.868343831851501	Yes
Region203	chr2L	1732241	1732525	Time	Up	None	region 7040	0.724365232046425	-0.844757034494337	-0.135479076149551	0.868343831851501	Yes
Region203	chr2L	1732241	1732525	Time	Up	None	region 7041	0.724365232046425	-0.844757034494337	-0.135479076149551	0.868343831851501	Yes
Region205	chr2L	1751752	1752283	Toll10b	Up	None	None	-0.992644687554786	1.37353704160585	-0.235564575836956	1.2605810860585	Yes
Region208	chr2L	1884348	1885462	Time	Up	None	None	-0.572225980878961	-2.22278778744889	3.35182419909834	2.9141878932483	No
Region209	chr2L	1886347	1887109	Toll10b	Down	None	None	-0.148270372966655	-7.93652131750827	9.21592968189826	1.64045537255728	No
Region216	chr2L	1973918	1974424	Time	Up	None	None	-0.707879021381457	0.516913719979943	0.540428190202124	1.15765958592128	Yes
Region217	chr2L	1980476	1980976	Time	Up	None	None	-0.873920481972608	0.446387171945861	0.669449760966951	2.29745015193178	Yes
Region218	chr2L	1982146	1982453	Time	Up	None	None	0.0782017154844845	0.978535586535769	-0.927605947646613	1.94007187062883	Yes
Region221	chr2L	2037453	2038556	Time	Up	None	None	0.562375718269089	0.018739254128003	-0.325136110221	-0.151251963791548	Yes
Region222	chr2L	2045189	2045624	Time	Up	None	None	0.625859347544361	-0.149585639292171	-0.307351683877488	-0.146278953446621	Yes
Region225	chr2L	2144730	2145308	Time	Up	None	None	0.615549351000202	-0.744412682726048	0.498567429412444	-0.284749919167298	Yes
Region226	chr2L	2146851	2147766	Toll9	Up	None	None	0.343993192784519	-1.02040318941793	0.8593959260815	-1.0821134853707	Yes
Region227	chr2L	2151692	2152076	Time	Up	None	None	-1.7471294548902	1.03201124531652	0.970053903780884	0.636427518223555	Yes
Region228	chr2L	2161046	2162007	Time	Up	None	None	-1.01786451682577	-0.643670737147214	1.89560781857305	1.93514137819201	Yes
Region228	chr2L	2161046	2162007	Time	Up	None	None	-0.75301309361303	0.308902543039315	0.62096352765397	1.93514137819201	Yes
Region229	chr2L	2162298	2164218	Time	Up	None	region 7063	-2.02868705674014	-0.045494807185204	1.66839950208925	3.40062116493916	No
Region229	chr2L	2162298	2164218	Time	Up	None	region 7064	-2.02868705674014	-0.045494807185204	1.66839950208925	3.40062116493916	No
Region229	chr2L	2162298	2164218	Time	Up	None	region 7065	-2.02868705674014	-0.045494807185204	1.66839950208925	3.40062116493916	No
Region229	chr2L	2162298	2164218	Time	Up	None	region 7066	-2.02868705674014	-0.045494807185204	1.66839950208925	3.40062116493916	No
Region229	chr2L	2162298	2164218	Time	Up	None	region 7063	-0.410809437660857	-1.47719613743318	1.7453520206045	3.40062116493916	No
Region229	chr2L	2162298	2164218	Time	Up	None	region 7064	-0.410809437660857	-1.47719613743318	1.7453520206045	3.40062116493916	No
Region229	chr2L	2162298	2164218	Time	Up	None	region 7065	-0.410809437660857	-1.47719613743318	1.7453520206045	3.40062116493916	No
Region229	chr2L	2162298	2164218	Time	Up	None	region 7066	-0.410809437660857	-1.47719613743318	1.7453520206045	3.40062116493916	No
Region230	chr2L	2164421	2165493	Time	Up	None	region 7064	0.461114119079002	-3.32656531072644	2.79863914146336	2.63672043905393	No
Region230	chr2L	2164421	2165493	Time	Up	None	region 7065	0.461114119079002	-3.32656531072644	2.79863914146336	2.63672043905393	No
Region230	chr2L	2164421	2165493	Time	Up	None	region 7066	0.461114119079002	-3.32656531072644	2.79863914146336	2.63672043905393	No
Region230	chr2L	2164421	2165493	Time	Up	None	region 7064	-0.465019912546984	-4.40466542047535	4.81259676526381	2.63672043905393	No
Region230	chr2L	2164421	2165493	Time	Up	None	region 7065	-0.465019912546984	-4.40466542047535	4.81259676526381	2.63672043905393	No
Region230	chr2L	2164421	2165493	Time	Up	None	region 7066	-0.465019912546984	-4.40466542047535	4.81259676526381	2.63672043905393	No
Region231	chr2L	2172213	2172892	Toll9	Up	region 541	None	0.0296547239132048	-7.1370241550468	8.21907507984053	1.20569837416668	No
Region232	chr2L	2175334	2175820	Toll10b	Down	None	region 7069	0.00315455871010073	-4.84510154785766	5.27108440183767	3.45162511920822	No
Region232	chr2L	2175334	2175820	Toll10b	Down	None	region 7069	0.2804039331805	-3.97884884233203	4.07874597578176	3.45162511920822	No
Region233	chr2L	2178060	2178950	Time	Up	None	region 7070	-0.578329800465944	-2.24297347968451	2.92923054652436	1.18619529655574	No
Region234	chr2L	2181426	2182501	Time	Up	None	region 7071	1.07946457177002	-2.40579953931703	1.41587972355045	3.23982352161517	No
Region235	chr2L	2182760	2183435	Time	Up	None	region 7071	0.344846330985858	-1.83577091433279	2.00533441701917	4.23264068811957	No
Region240	chr2L	2215893	2216376	Time	Up	None	None	5.75938914276927	-2.7608803291604	-3.50292049593285	0.191994628383239	No
Region241	chr2L	2217098	2217611	Toll10b	Up	None	None	-0.134371664457079	-0.0483448169650642	0.343675554225843	-0.39249226701969	Yes
Region243	chr2L	2226533	2227135	Time	Up	None	None	-0.404189867930318	-0.031734750811548	0.735407437405344	1.75009893264522	Yes
Region244	chr2L	2236663	2237084	Time	Up	None	None	0.0883447682814615	1.03022029036893	-0.889919908669799	1.74479629195876	Yes
Region245	chr2L	2364175	2365859	Time	Up	None	None	-0.28144610888865	-0.184222656580645	0.799504568070628	1.56662654181259	Yes
Region247	chr2L	2375704	2376498	Time	Up	None	None	1.09884270395686	0.695681747860941	-1.81442813080334	0.219363598324038	Yes
Region248	chr2L	2380612	2381419	Toll9	Up	None	None	0.50682003360735	-1.69198850380634	1.45361351219157	0.036094320337033	Yes
Region252	chr2L	2454249	2455929	Toll10b	Down	region 13	None	10.921528852284	-7.7242582780321	-2.68862437957883	-1.71222172065504	No
Region253	chr2L	2456350	2458314	Time	Down	region 13	None	15.6586696924848	-12.5256780197558	-3.12542856551113	-4.52003139407797	No
Region253	chr2L	2456350	2458314	Time	Down	region 13	None	16.5658618346631	-12.650026019309	-3.81805613114524	-4.52003139407797	No
Region255	chr2L	2492458	2493468	Time	Up	None	None	-0.737392762898886	-0.53516236509662	1.38577330936276	0.405855711096913	Yes
Region255	chr2L	2492458	2493468	Time	Up	None	None	-1.44934433210622	0.0222407067757177	1.43066757160405	0.405855711096913	Yes
Region256	chr2L	2493904	2494103	Toll9	Up	None	None	0.801302348077092	-5.46405463324681	4.20262053446594	-2.52610242222986	No
Region257	chr2L	2574865	2575205	Toll9	Up	None	None	-0.190920501065762	-2.65040681323877	2.34032718057896	-1.81964318978215	No
Region258	chr2L	2575641	2576987	Toll9	Up	None	None	-0.00789758486294623	-2.48711767137633	2.47225158366477	-2.07715074559877	No
Region259	chr2L	2577620	2579055	Time	Down	None	None	0.785806352388909	-2.65533779066224	1.71254605852284	-7.92886185305046	No
Region260	chr2L	2579324	2579662	Time	Down	None	None	-0.354843424557465	-1.1979440986614	1.37859302349188	-5.80071482809116	No
Region261	chr2L	2580230	2580606	Gd7	Down	None	None	-0.818588449911395	1.82443544981179	-0.774876498943434	-1.0847312145657	Yes
Region262	chr2L	2585018	2585653	Time	Up	None	None	-1.46402912504483	0.243272073837775	1.36728708564179	2.12562646891519	Yes
Region264	chr2L	2748378	2748912	Time	Up	None	None	0.91991930417744	-0.615076787304187	-0.24964838049893	-0.117326693045602	Yes
Region270	chr2L	2758461	2760175	Time	Down	None	region 7087	0.733198371063506	-2.0901197036768	1.44529300155209	-1.6644355456225	Yes
Region271	chr2L	2766073	2766616	Time	Up	None	None	-0.026292905294063	0.785777111812772	-0.486488816682554	-0.118706305004541	Yes
Region272	chr2L	2767366	2768176	Toll10b	Up	None	None	-0.50203992449032	0.700622349721734	0.137150650896458	-0.677210942365523	Yes
Region273	chr2L	2769461	2770533	Time	Down	None	None	-0.0766444917425322	0.312915941688592	-0.0283571015941305	-0.598942058722611	Yes
Region275	chr2L	2814805	2815303	Time	Down	None	None	4.39335397885348	-3.87438336870542	-0.614666460327507	-5.90180503058902	No
Region276	chr2L	2855608	2856395	Time	Up	None	None	-0.133857519059797	1.77759032434447	-1.27480913519018	1.67804809496171	Yes
Region280	chr2L	2873571	2875261	Toll9	Up	None	None	-0.396551711703346	0.10911859340457	0.590594537448905	-0.232105722711667	Yes
Region280	chr2L	2873571	2875261	Toll9	Up	None	None	0.887822480981587	-0.25236895369317	-0.188897050300849	-0.232105722711667	Yes
Region281	chr2L	2877951	2879449	Time	Up	None	None	-0.490518917717793	-0.561690974584317	1.02534851626189	-0.327853189151594	Yes
Region283	chr2L	2884872	2885477	Toll9	Up	None	None	-0.052831061054015	-0.370503398529735	0.678866999870597	0.300338697874934	Yes
Region284	chr2L	2885693	2887230	Time	Up	None	None	-0.302079299619139	0.992276909885202	-0.534188007693419	-0.045496122711268	Yes
Region290	chr2L	2969116	2969821	Toll10b	Down	None	None	-1.45465352074616	0.00852683581910096	1.38143357022831	0.213065715946346	Yes
Region291	chr2L	2972085	2972580	Time	Up	None	None	-2.42583817033707	0.654437924737751	1.80647355083221	1.03982844112794	Yes
Region292	chr2L	2978805	2979494	Time	Down	None	None	1.06959582635108	-1.48462291756363	0.535219262543821	-0.666194458397181	Yes
Region293	chr2L	2987461	2988442	Gd7	Down	None	None	-0.882627666184082	-0.282340807164378	1.33534138184055	-0.560587375756097	Yes
Region293	chr2L	2987461	2988442	Gd7	Down	None	None	0.725942387954467	-1.20303370502285	0.866596083000307	-0.560587375756097	Yes
Region294	chr2L	2992509	2993510	Gd7	Up	None	None	0.800581763307964	-0.946272353021944	0.224707363697592	-1.22738207672588	Yes
Region295	chr2L	2999092	3001105	Toll9	Up	None	None	0.719453785830658	-1.70115504803707	1.48291119455115	-0.29750890148062	Yes
Region299	chr2L	3022817	3023412	Gd7	Down	None	None	-1.4799130516801	0.715027492364665	0.885379976754089	-0.014688811705184	Yes
Region300	chr2L	3028956	3029384	Toll10b	Up	None	None	0.118892857396786	-0.300404569126873	0.101917982357789	-0.132345458777846	Yes
Region301	chr2L	3030378	3030784	Toll10b	Up	None	None	-0.55807606427393	-0.1325253639911	0.997818614563535	-0.576017410602208	Yes
Region302	chr2L	3037045	3037291	Time	Up	None	None	-0.736195454638763	0.955545618316725	0.0891969530061949	2.30057886236045	Yes
Region304	chr2L	3071281	3072922	Time	Down	None	None	2.78783970934443	-2.53730659546436	0.039404439684614	-5.29176318416358	No
Region304	chr2L	3071281	3072922	Time	Down	None	None	3.28948151822035	-3.02121795926166	0.106639699670973	-5.29176318416358	No
Region311	chr2L	3145504	3145837	Time	Up	None	None	-0.349532437448334	0.230971396732337	0.260195914719869	0.849863365324478	Yes
Region313	chr2L	3158564	3159664	Time	Up	None	None	-2.18847889915557	-0.209036569272734	2.53823230075928	1.03966141729476	Yes
Region316	chr2L	3301857	3303813	Time	Up	None	None	-2.71351173991135	-0.019415107813789	3.36146690426485	4.42054710198151	No
Region316	chr2L	3301857	3303813	Time	Up	None	None	-2.5925490999354	0.613936209510885	2.56426432418806	4.42054710198151	No
Region317	chr2L	3376512	3377270	Toll9	Down	None	None	-0.618297812128531	2.00237269900691	-1.69775257753101	1.35076875251386	No
Region319	chr2L	3456780	3457658	Toll10b	Up	None	None	0.0518912557979141	1.69529502778373	-1.35305805792532	-0.221700893456534	Yes
Region319	chr2L	3456780	3457658	Toll10b	Up	None	None	-0.707671556866265	1.78497325838111	-0.757489242425766	-0.221700893456534	Yes
Region320	chr2L	3465357	3466513	Time	Down	None	None	0.65659030541183	1.4637139678327	-2.03817603415894	-2.12944119901271	Yes
Region321	chr2L	3469611	3470184	Time	Up	None	None	-1.31970684468319	0.419181495045662	1.07073741638559	-0.549409247206007	Yes
Region323	chr2L	3476356	3476963	Time	Up	None	region 7124	2.97171418795375	-5.22467271011498	2.42132602566355	1.68062870014421	No
Region323	chr2L	3476356	3476963	Time	Up	None	region 7124	5.35964961379579	-6.12594349997387	1.22063019154354	1.68062870014421	No
Region324	chr2L	3477999	3478720	Time	Up	None	region 7124	2.01544466809577	-3.36531532672456	1.93399092792969	2.4347098073156	No
Region346	chr2L	3711407	3711865	Toll9	Down	None	None	-2.16286189891255	0.521330953806181	1.81426385662547	-0.042021189715786	Yes
Region354	chr2L	3806191	3806793	Time	Down	None	None	0.43747332338118	-0.203369026767008	-0.235191614479831	-2.32533471505812	Yes
Region355	chr2L	3813145	3813647	Time	Up	None	None	-0.0416643856599233	0.532870709297488	-0.618471619385678	1.05609325830588	Yes
Region371	chr2L	3872177	3872705	Toll9	Down	None	None	2.35370356715382	-1.7744239366889	-0.906622875946695	1.26475005196682	No
Region374	chr2L	4031255	4032063	Toll9	Up	None	region 7203	0.420411027651843	-1.24803349956196	1.07095460323037	0.519674942342221	Yes
Region375	chr2L	4034333	4034940	Toll9	Up	None	None	0.895248368076705	-1.49768864691696	0.54417279739144	-0.478034233637839	Yes
Region375	chr2L	4034333	4034940	Toll9	Up	None	None	-0.0693149722176902	-0.106881317345265	-0.0843418081033338	-0.478034233637839	No
Region377	chr2L	4053757	4054346	Toll9	Up	None	None	0.740900400643367	-4.11930078725081	4.0051965693003	-0.22365963924356	No
Region378	chr2L	4055764	4056113	Time	Down	None	None	-0.271514907217257	-1.30040369321731	1.48743915195624	-0.861496299073918	Yes
Region381	chr2L	4221161	4222104	Toll10b	Down	None	None	0.480424405170509	-1.97506372753383	1.60420394324058	1.77868933505713	Yes
Region381	chr2L	4221161	4222104	Toll10b	Down	None	None	2.24392508455374	-3.45060813171058	1.59587613240515	1.77868933505713	No
Region382	chr2L	4222421	4222982	Time	Up	None	None	0.843847547892675	-2.336461660763	2.43913889168379	3.87299495725565	No
Region383	chr2L	4226676	4227012	Time	Up	None	None	0.893716384748048	-0.204905055580709	-0.54256285685577	0.980116066558622	Yes
Region385	chr2L	4281217	4283806	Time	Down	None	region 7204	1.79941545802227	-1.97698716404072	0.0743360082602332	-1.37536132255808	Yes
Region385	chr2L	4281217	4283806	Time	Down	None	region 7205	1.79941545802227	-1.97698716404072	0.0743360082602332	-1.37536132255808	Yes
Region385	chr2L	4281217	4283806	Time	Down	None	region 7206	1.79941545802227	-1.97698716404072	0.0743360082602332	-1.37536132255808	Yes
Region385	chr2L	4281217	4283806	Time	Down	None	region 7204	2.72272301667135	-2.59214887057566	-0.100704564995703	-1.37536132255808	No
Region385	chr2L	4281217	4283806	Time	Down	None	region 7205	2.72272301667135	-2.59214887057566	-0.100704564995703	-1.37536132255808	No
Region385	chr2L	4281217	4283806	Time	Down	None	region 7206	2.72272301667135	-2.59214887057566	-0.100704564995703	-1.37536132255808	No
Region385	chr2L	4281217	4283806	Time	Down	None	region 7204	1.64665277118115	-2.61392488434498	0.904434006008256	-1.37536132255808	Yes
Region385	chr2L	4281217	4283806	Time	Down	None	region 7205	1.64665277118115	-2.61392488434498	0.904434006008256	-1.37536132255808	Yes
Region385	chr2L	4281217	4283806	Time	Down	None	region 7206	1.64665277118115	-2.61392488434498	0.904434006008256	-1.37536132255808	Yes
Region396	chr2L	4363587	4364379	Time	Up	None	None	-2.14601639545521	-0.292094800024349	2.40073324424046	-0.00197106375982004	Yes
Region396	chr2L	4363587	4364379	Time	Up	None	None	-2.80744836858739	-0.0535225056081259	2.74531807443669	-0.00197106375982004	Yes
Region398	chr2L	4367830	4369436	Toll10b	Down	None	None	0.571656950227901	-4.39794687803485	3.80005879878025	-1.95154084234169	No
Region398	chr2L	4367830	4369436	Toll10b	Down	None	None	-0.466314278605047	-2.68401277321806	2.88807186273608	-1.95154084234169	No
Region399	chr2L	4369964	4371076	Toll9	Up	None	None	-7.12220369043591	4.08023258987324	3.5170779563661	0.428840928711247	No
Region400	chr2L	4371661	4372540	Gd7	Down	None	None	-4.2630744422429	2.78789967447572	0.930743810011199	1.19266902996022	No
Region401	chr2L	4372816	4373462	Toll10b	Up	None	None	-10.1047415955743	8.50294744390872	1.43511214164008	0.945260304047445	No
Region402	chr2L	4375063	4375631	Toll9	Up	None	None	-3.59252165165506	-0.585345320038866	5.29495947098619	1.96808650734991	No
Region405	chr2L	4386832	4387350	Gd7	Down	None	None	-1.15136649856045	0.354758959494988	0.947684524477399	-0.228968273253506	Yes
