geneID	Chr	ATAC_factor	ATAC_direction
Region262	chr2L	Time	Up
Region264	chr2L	Time	Up
Region270	chr2L	Time	Down
Region271	chr2L	Time	Up
Region272	chr2L	Toll10b	Up
Region273	chr2L	Time	Down
Region275	chr2L	Time	Down
Region276	chr2L	Time	Up
Region280	chr2L	Toll9	Up
Region280	chr2L	Toll9	Up
Region281	chr2L	Time	Up
Region283	chr2L	Toll9	Up
Region284	chr2L	Time	Up
Region290	chr2L	Toll10b	Down
Region291	chr2L	Time	Up
Region292	chr2L	Time	Down
Region293	chr2L	Gd7	Down
Region293	chr2L	Gd7	Down
Region294	chr2L	Gd7	Up
Region295	chr2L	Toll9	Up
Region299	chr2L	Gd7	Down
Region300	chr2L	Toll10b	Up
Region301	chr2L	Toll10b	Up
Region302	chr2L	Time	Up
Region304	chr2L	Time	Down
Region304	chr2L	Time	Down
Region311	chr2L	Time	Up
Region313	chr2L	Time	Up
Region316	chr2L	Time	Up
Region316	chr2L	Time	Up
Region317	chr2L	Toll9	Down
Region319	chr2L	Toll10b	Up
Region319	chr2L	Toll10b	Up
Region320	chr2L	Time	Down
Region321	chr2L	Time	Up
Region323	chr2L	Time	Up
Region323	chr2L	Time	Up
Region324	chr2L	Time	Up
Region346	chr2L	Toll9	Down
Region354	chr2L	Time	Down
Region355	chr2L	Time	Up
Region371	chr2L	Toll9	Down
Region374	chr2L	Toll9	Up
Region375	chr2L	Toll9	Up
Region375	chr2L	Toll9	Up
Region377	chr2L	Toll9	Up
Region378	chr2L	Time	Down
Region381	chr2L	Toll10b	Down
Region381	chr2L	Toll10b	Down
Region382	chr2L	Time	Up
Region383	chr2L	Time	Up
Region385	chr2L	Time	Down
Region385	chr2L	Time	Down
Region385	chr2L	Time	Down
Region385	chr2L	Time	Down
Region385	chr2L	Time	Down
Region385	chr2L	Time	Down
Region385	chr2L	Time	Down
Region385	chr2L	Time	Down
Region385	chr2L	Time	Down
Region396	chr2L	Time	Up
Region396	chr2L	Time	Up
Region398	chr2L	Toll10b	Down
Region398	chr2L	Toll10b	Down
Region399	chr2L	Toll9	Up
Region400	chr2L	Gd7	Down
Region401	chr2L	Toll10b	Up
Region402	chr2L	Toll9	Up
Region405	chr2L	Gd7	Down
Region406	chr2L	Time	Up
Region407	chr2L	Toll10b	Up
Region408	chr2L	Gd7	Down
Region409	chr2L	Toll10b	Up
Region410	chr2L	Time	Up
Region411	chr2L	Time	Up
Region411	chr2L	Time	Up
Region419	chr2L	Toll9	Up
Region419	chr2L	Toll9	Up
Region420	chr2L	Time	Down
Region421	chr2L	Toll10b	Down
Region422	chr2L	Toll10b	Up
Region423	chr2L	Time	Up
Region424	chr2L	Time	Down
Region426	chr2L	Time	Down
Region426	chr2L	Time	Down
Region427	chr2L	Gd7	Down
Region427	chr2L	Gd7	Down
Region428	chr2L	Time	Down
Region429	chr2L	Toll9	Down
Region430	chr2L	Gd7	Down
Region431	chr2L	Gd7	Down
Region432	chr2L	Toll9	Down
Region433	chr2L	Time	Up
Region434	chr2L	Time	Up
Region436	chr2L	Toll9	Up
Region436	chr2L	Toll9	Up
Region439	chr2L	Gd7	Down
Region440	chr2L	Time	Down
Region440	chr2L	Time	Down
Region441	chr2L	Gd7	Down
Region441	chr2L	Gd7	Down
Region442	chr2L	Toll10b	Up
Region443	chr2L	Toll10b	Up
Region444	chr2L	Time	Up
Region444	chr2L	Time	Up
Region447	chr2L	Gd7	Down
Region447	chr2L	Gd7	Down
Region448	chr2L	Toll9	Up
Region448	chr2L	Toll9	Up
Region449	chr2L	Time	Down
Region450	chr2L	Toll10b	Up
Region454	chr2L	Time	Up
Region455	chr2L	Time	Up
Region471	chr2L	Toll10b	Down
Region472	chr2L	Toll10b	Up
Region473	chr2L	Time	Up
Region474	chr2L	Toll10b	Up
Region475	chr2L	Time	Up
Region476	chr2L	Gd7	Down
Region479	chr2L	Time	Up
Region481	chr2L	Time	Up
Region482	chr2L	Time	Down
Region492	chr2L	Toll10b	Up
Region497	chr2L	Toll10b	Down
Region498	chr2L	Time	Up
Region501	chr2L	Toll9	Down
Region502	chr2L	Time	Down
Region503	chr2L	Toll10b	Up
Region504	chr2L	Toll10b	Up
Region505	chr2L	Toll9	Down
Region506	chr2L	Time	Up
Region506	chr2L	Time	Up
Region512	chr2L	Gd7	Down
Region513	chr2L	Time	Down
Region527	chr2L	Toll10b	Up
Region528	chr2L	Time	Up
Region530	chr2L	Time	Down
Region533	chr2L	Time	Up
Region534	chr2L	Toll9	Down
Region535	chr2L	Time	Up
Region536	chr2L	Time	Down
Region537	chr2L	Time	Up
Region537	chr2L	Time	Up
Region538	chr2L	Toll9	Down
Region539	chr2L	Toll10b	Up
Region544	chr2L	Gd7	Down
Region545	chr2L	Toll10b	Up
Region546	chr2L	Toll9	Up
Region547	chr2L	Time	Down
Region548	chr2L	Toll9	Up
Region548	chr2L	Toll9	Up
Region549	chr2L	Time	Up
Region549	chr2L	Time	Up
Region550	chr2L	Toll9	Down
Region551	chr2L	Toll9	Down
Region554	chr2L	Toll9	Down
Region557	chr2L	Toll10b	Up
Region558	chr2L	Gd7	Down
Region559	chr2L	Toll9	Down
Region561	chr2L	Time	Up
Region561	chr2L	Time	Up
Region561	chr2L	Time	Up
Region567	chr2L	Time	Up
Region568	chr2L	Time	Up
Region569	chr2L	Toll9	Down
Region570	chr2L	Toll10b	Up
Region571	chr2L	Time	Up
Region572	chr2L	Toll9	Up
Region575	chr2L	Gd7	Down
Region576	chr2L	Toll9	Up
Region577	chr2L	Gd7	Down
Region578	chr2L	Toll9	Down
Region579	chr2L	Toll9	Up
Region580	chr2L	Time	Down
Region581	chr2L	Toll10b	Up
Region582	chr2L	Toll10b	Down
Region582	chr2L	Toll10b	Down
Region582	chr2L	Toll10b	Down
Region583	chr2L	Gd7	Down
Region584	chr2L	Toll9	Down
Region585	chr2L	Time	Down
Region588	chr2L	Time	Down
Region589	chr2L	Gd7	Down
Region590	chr2L	Toll10b	Down
Region591	chr2L	Toll10b	Up
Region597	chr2L	Time	Up
Region600	chr2L	Time	Down
Region601	chr2L	Time	Down
Region602	chr2L	Toll9	Down
Region616	chr2L	Time	Up
Region617	chr2L	Toll9	Down
Region620	chr2L	Time	Up
Region621	chr2L	Toll10b	Down
Region622	chr2L	Toll10b	Down
Region622	chr2L	Toll10b	Down
Region624	chr2L	Toll9	Down
Region625	chr2L	Gd7	Up
Region628	chr2L	Toll9	Up
Region632	chr2L	Time	Up
Region633	chr2L	Time	Up
Region634	chr2L	Time	Up
Region635	chr2L	Time	Up
Region636	chr2L	Time	Up
Region636	chr2L	Time	Up
Region640	chr2L	Toll10b	Up
Region645	chr2L	Gd7	Down
Region648	chr2L	Toll9	Up
Region649	chr2L	Gd7	Down
Region650	chr2L	Gd7	Down
Region651	chr2L	Toll10b	Up
Region652	chr2L	Time	Up
Region653	chr2L	Time	Up
Region654	chr2L	Time	Up
Region654	chr2L	Time	Up
Region658	chr2L	Time	Down
Region661	chr2L	Gd7	Down
Region662	chr2L	Gd7	Down
Region665	chr2L	Toll10b	Up
Region666	chr2L	Toll10b	Up
Region667	chr2L	Gd7	Down
Region669	chr2L	Toll10b	Down
Region670	chr2L	Gd7	Up
Region671	chr2L	Toll9	Down
Region673	chr2L	Time	Up
Region674	chr2L	Time	Down
Region676	chr2L	Toll10b	Up
Region677	chr2L	Time	Up
Region678	chr2L	Toll10b	Up
Region679	chr2L	Toll9	Up
Region680	chr2L	Toll9	Down
Region681	chr2L	Toll10b	Up
Region682	chr2L	Time	Down
Region683	chr2L	Time	Up
Region684	chr2L	Toll9	Up
Region684	chr2L	Toll9	Up
Region684	chr2L	Toll9	Up
Region684	chr2L	Toll9	Up
Region684	chr2L	Toll9	Up
Region684	chr2L	Toll9	Up
Region684	chr2L	Toll9	Up
Region684	chr2L	Toll9	Up
Region687	chr2L	Toll10b	Up
Region688	chr2L	Toll10b	Up
Region689	chr2L	Toll10b	Down
Region690	chr2L	Time	Down
Region691	chr2L	Toll10b	Up
Region692	chr2L	Toll10b	Down
Region693	chr2L	Time	Up
Region695	chr2L	Time	Up
Region696	chr2L	Gd7	Down
Region703	chr2L	Toll9	Up
Region703	chr2L	Toll9	Up
Region703	chr2L	Toll9	Up
Region703	chr2L	Toll9	Up
Region703	chr2L	Toll9	Up
Region703	chr2L	Toll9	Up
Region703	chr2L	Toll9	Up
Region703	chr2L	Toll9	Up
Region707	chr2L	Gd7	Down
Region708	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region710	chr2L	Toll9	Up
Region712	chr2L	Toll9	Up
Region712	chr2L	Toll9	Up
Region712	chr2L	Toll9	Up
Region712	chr2L	Toll9	Up
Region712	chr2L	Toll9	Up
Region712	chr2L	Toll9	Up
Region721	chr2L	Toll10b	Down
Region723	chr2L	Time	Down
Region725	chr2L	Toll10b	Up
Region727	chr2L	Time	Up
Region732	chr2L	Toll10b	Up
Region733	chr2L	Toll10b	Up
Region736	chr2L	Gd7	Down
Region736	chr2L	Gd7	Down
Region739	chr2L	Gd7	Down
Region740	chr2L	Gd7	Down
Region741	chr2L	Gd7	Down
Region743	chr2L	Toll9	Up
Region744	chr2L	Gd7	Down
Region745	chr2L	Toll10b	Down
Region750	chr2L	Time	Up
Region750	chr2L	Time	Up
Region751	chr2L	Toll9	Up
Region752	chr2L	Time	Up
Region759	chr2L	Gd7	Up
Region760	chr2L	Time	Up
Region762	chr2L	Time	Up
Region762	chr2L	Time	Up
Region762	chr2L	Time	Up
Region763	chr2L	Toll9	Up
Region767	chr2L	Time	Up
Region768	chr2L	Time	Up
Region773	chr2L	Toll10b	Up
Region774	chr2L	Time	Up
Region775	chr2L	Gd7	Down
Region776	chr2L	Gd7	Down
Region777	chr2L	Time	Up
Region778	chr2L	Toll10b	Down
Region780	chr2L	Toll10b	Up
Region782	chr2L	Gd7	Down
Region784	chr2L	Toll9	Up
Region784	chr2L	Toll9	Up
Region785	chr2L	Toll9	Up
Region785	chr2L	Toll9	Up
Region786	chr2L	Gd7	Down
Region787	chr2L	Toll9	Up
Region788	chr2L	Time	Down
Region789	chr2L	Toll9	Up
Region791	chr2L	Time	Up
Region792	chr2L	Time	Up
Region793	chr2L	Time	Up
Region794	chr2L	Time	Down
Region795	chr2L	Toll9	Up
Region795	chr2L	Toll9	Up
Region799	chr2L	Toll10b	Up
Region800	chr2L	Gd7	Down
Region801	chr2L	Gd7	Down
Region802	chr2L	Time	Up
Region803	chr2L	Toll10b	Up
Region804	chr2L	Time	Up
Region805	chr2L	Gd7	Down
Region807	chr2L	Toll9	Down
Region808	chr2L	Toll10b	Up
Region809	chr2L	Toll10b	Down
Region810	chr2L	Gd7	Down
Region811	chr2L	Toll9	Up
Region813	chr2L	Toll9	Up
Region814	chr2L	Toll10b	Down
Region815	chr2L	Toll10b	Up
Region816	chr2L	Toll10b	Up
Region817	chr2L	Toll10b	Up
Region818	chr2L	Gd7	Down
Region819	chr2L	Time	Down
Region820	chr2L	Gd7	Down
Region821	chr2L	Toll9	Up
Region822	chr2L	Time	Down
Region823	chr2L	Time	Down
Region824	chr2L	Toll9	Down
Region826	chr2L	Time	Up
Region827	chr2L	Toll9	Up
Region828	chr2L	Toll9	Up
Region829	chr2L	Toll9	Up
Region834	chr2L	Time	Up
Region835	chr2L	Gd7	Down
Region836	chr2L	Gd7	Down
Region837	chr2L	Time	Up
Region838	chr2L	Gd7	Down
Region839	chr2L	Toll10b	Up
Region841	chr2L	Time	Up
Region842	chr2L	Time	Up
Region843	chr2L	Time	Up
Region844	chr2L	Time	Up
Region845	chr2L	Time	Up
Region846	chr2L	Time	Up
Region852	chr2L	Time	Down
Region854	chr2L	Time	Up
Region855	chr2L	Time	Up
Region855	chr2L	Time	Up
Region856	chr2L	Time	Up
Region857	chr2L	Gd7	Down
Region861	chr2L	Time	Up
Region862	chr2L	Toll10b	Up
Region863	chr2L	Toll10b	Up
Region873	chr2L	Toll10b	Down
Region874	chr2L	Time	Down
Region876	chr2L	Toll10b	Up
Region877	chr2L	Time	Up
Region883	chr2L	Toll9	Up
Region883	chr2L	Toll9	Up
Region886	chr2L	Time	Up
Region887	chr2L	Time	Up
Region889	chr2L	Time	Up
Region897	chr2L	Toll10b	Up
Region898	chr2L	Time	Up
Region903	chr2L	Time	Up
Region903	chr2L	Time	Up
Region912	chr2L	Toll10b	Up
Region913	chr2L	Time	Up
Region914	chr2L	Time	Up
Region915	chr2L	Time	Up
Region919	chr2L	Time	Up
Region920	chr2L	Toll10b	Up
Region921	chr2L	Time	Up
Region922	chr2L	Time	Up
Region926	chr2L	Toll9	Up
Region926	chr2L	Toll9	Up
Region927	chr2L	Gd7	Down
Region927	chr2L	Gd7	Down
Region940	chr2L	Time	Up
Region943	chr2L	Time	Up
Region948	chr2L	Gd7	Down
Region950	chr2L	Time	Up
Region953	chr2L	Time	Up
Region953	chr2L	Time	Up
Region954	chr2L	Toll10b	Up
Region955	chr2L	Time	Up
Region956	chr2L	Toll10b	Up
Region959	chr2L	Gd7	Down
Region961	chr2L	Gd7	Down
Region968	chr2L	Time	Up
Region969	chr2L	Gd7	Down
Region970	chr2L	Time	Up
Region971	chr2L	Gd7	Down
Region972	chr2L	Gd7	Down
Region973	chr2L	Gd7	Down
Region974	chr2L	Time	Up
Region978	chr2L	Toll9	Up
Region979	chr2L	Gd7	Down
Region981	chr2L	Toll9	Up
Region982	chr2L	Toll9	Up
Region983	chr2L	Toll10b	Down
Region987	chr2L	Time	Up
Region988	chr2L	Time	Up
Region989	chr2L	Toll9	Down
Region990	chr2L	Time	Up
Region991	chr2L	Time	Up
Region991	chr2L	Time	Up
Region992	chr2L	Time	Up
Region993	chr2L	Time	Up
Region1001	chr2L	Gd7	Down
Region1004	chr2L	Toll10b	Up
Region1006	chr2L	Toll10b	Up
Region1007	chr2L	Toll10b	Up
Region1008	chr2L	Toll10b	Up
Region1009	chr2L	Gd7	Down
Region1010	chr2L	Time	Up
Region1015	chr2L	Gd7	Down
Region1016	chr2L	Gd7	Up
Region1021	chr2L	Toll10b	Up
Region1024	chr2L	Toll10b	Down
Region1024	chr2L	Toll10b	Down
Region1030	chr2L	Gd7	Down
Region1031	chr2L	Time	Up
Region1038	chr2L	Toll10b	Up
Region1039	chr2L	Gd7	Down
Region1040	chr2L	Gd7	Down
Region1063	chr2L	Time	Up
Region1064	chr2L	Gd7	Down
Region1084	chr2L	Gd7	Down
Region1085	chr2L	Gd7	Down
Region1086	chr2L	Time	Down
Region1087	chr2L	Toll10b	Up
Region1091	chr2L	Toll10b	Up
Region1094	chr2L	Time	Up
Region1094	chr2L	Time	Up
Region1095	chr2L	Time	Up
Region1099	chr2L	Time	Up
Region1102	chr2L	Gd7	Down
Region1122	chr2L	Gd7	Down
Region1129	chr2L	Time	Up
Region1132	chr2L	Gd7	Down
Region1134	chr2L	Gd7	Down
Region1136	chr2L	Gd7	Down
Region1137	chr2L	Time	Down
Region1138	chr2L	Toll9	Up
Region1138	chr2L	Toll9	Up
Region1139	chr2L	Toll9	Up
Region1140	chr2L	Gd7	Down
Region1141	chr2L	Toll9	Up
Region1142	chr2L	Toll9	Up
Region1144	chr2L	Time	Up
Region1145	chr2L	Toll10b	Up
Region1145	chr2L	Toll10b	Up
Region1146	chr2L	Toll10b	Up
Region1147	chr2L	Toll10b	Down
Region1148	chr2L	Toll10b	Down
Region1149	chr2L	Toll10b	Up
Region1150	chr2L	Toll9	Down
Region1152	chr2L	Gd7	Down
Region1154	chr2L	Gd7	Down
Region1164	chr2L	Time	Up
Region1171	chr2L	Time	Up
Region1172	chr2L	Toll9	Up
Region1173	chr2L	Toll9	Up
Region1176	chr2L	Toll9	Down
Region1177	chr2L	Gd7	Down
Region1178	chr2L	Toll10b	Up
Region1179	chr2L	Toll9	Up
Region1179	chr2L	Toll9	Up
Region1180	chr2L	Time	Up
Region1181	chr2L	Time	Up
Region1182	chr2L	Gd7	Down
Region1183	chr2L	Time	Down
Region1184	chr2L	Time	Down
Region1185	chr2L	Time	Up
Region1186	chr2L	Time	Up
Region1187	chr2L	Toll9	Up
Region1188	chr2L	Toll10b	Down
Region1189	chr2L	Toll10b	Up
Region1190	chr2L	Time	Down
Region1190	chr2L	Time	Down
Region1194	chr2L	Time	Up
Region1206	chr2L	Time	Up
Region1210	chr2L	Time	Up
Region1211	chr2L	Toll10b	Up
Region1212	chr2L	Time	Up
Region1213	chr2L	Time	Up
Region1214	chr2L	Time	Up
Region1219	chr2L	Gd7	Down
Region1220	chr2L	Gd7	Down
Region1222	chr2L	Time	Up
Region1223	chr2L	Gd7	Down
Region1224	chr2L	Gd7	Down
Region1230	chr2L	Gd7	Down
Region1230	chr2L	Gd7	Down
Region1231	chr2L	Time	Up
Region1231	chr2L	Time	Up
Region1231	chr2L	Time	Up
Region1233	chr2L	Time	Up
Region1234	chr2L	Time	Up
Region1234	chr2L	Time	Up
Region1235	chr2L	Toll10b	Up
Region1236	chr2L	Gd7	Down
Region1237	chr2L	Toll10b	Up
Region1245	chr2L	Gd7	Down
Region1251	chr2L	Toll10b	Up
Region1251	chr2L	Toll10b	Up
Region1251	chr2L	Toll10b	Up
Region1251	chr2L	Toll10b	Up
Region1259	chr2L	Gd7	Down
Region1260	chr2L	Time	Up
Region1261	chr2L	Gd7	Down
Region1263	chr2L	Toll9	Up
Region1263	chr2L	Toll9	Up
Region1265	chr2L	Toll9	Up
Region1266	chr2L	Gd7	Down
Region1266	chr2L	Gd7	Down
Region1267	chr2L	Gd7	Down
Region1276	chr2L	Time	Up
Region1278	chr2L	Toll10b	Up
Region1279	chr2L	Time	Up
Region1280	chr2L	Time	Up
Region1281	chr2L	Toll9	Up
Region1282	chr2L	Toll10b	Down
Region1282	chr2L	Toll10b	Down
Region1283	chr2L	Gd7	Down
Region1283	chr2L	Gd7	Down
Region1287	chr2L	Toll10b	Up
Region1291	chr2L	Toll10b	Up
Region1293	chr2L	Gd7	Down
Region1294	chr2L	Time	Up
Region1295	chr2L	Toll10b	Up
Region1296	chr2L	Toll10b	Up
Region1296	chr2L	Toll10b	Up
Region1297	chr2L	Time	Up
Region1306	chr2L	Time	Up
Region1307	chr2L	Time	Down
Region1309	chr2L	Toll9	Down
Region1309	chr2L	Toll9	Down
Region1312	chr2L	Time	Up
Region1314	chr2L	Gd7	Up
Region1314	chr2L	Gd7	Up
Region1321	chr2L	Gd7	Down
Region1322	chr2L	Time	Down
Region1326	chr2L	Time	Up
Region1327	chr2L	Toll10b	Up
Region1328	chr2L	Toll10b	Up
Region1329	chr2L	Toll10b	Up
Region1331	chr2L	Time	Down
Region1332	chr2L	Toll10b	Up
Region1333	chr2L	Time	Up
Region1334	chr2L	Time	Up
Region1335	chr2L	Time	Up
Region1336	chr2L	Gd7	Down
Region1337	chr2L	Time	Down
Region1337	chr2L	Time	Down
Region1338	chr2L	Gd7	Down
Region1338	chr2L	Gd7	Down
Region1339	chr2L	Time	Down
Region1339	chr2L	Time	Down
Region1340	chr2L	Gd7	Down
Region1340	chr2L	Gd7	Down
Region1341	chr2L	Toll9	Up
Region1342	chr2L	Toll9	Up
Region1343	chr2L	Toll10b	Down
Region1344	chr2L	Time	Down
Region1344	chr2L	Time	Down
Region1345	chr2L	Gd7	Up
Region1353	chr2L	Toll10b	Up
Region1356	chr2L	Toll9	Up
Region1356	chr2L	Toll9	Up
Region1358	chr2L	Toll9	Up
Region1359	chr2L	Toll9	Up
Region1360	chr2L	Toll10b	Down
Region1361	chr2L	Gd7	Up
Region1365	chr2L	Gd7	Down
Region1371	chr2L	Gd7	Down
Region1372	chr2L	Time	Down
Region1375	chr2L	Time	Up
Region1376	chr2L	Time	Up
Region1377	chr2L	Toll9	Up
Region1378	chr2L	Time	Up
Region1379	chr2L	Time	Up
Region1380	chr2L	Time	Up
Region1381	chr2L	Toll9	Up
Region1382	chr2L	Time	Up
Region1383	chr2L	Gd7	Down
Region1384	chr2L	Time	Up
Region1388	chr2L	Time	Up
Region1389	chr2L	Time	Up
Region1390	chr2L	Toll9	Up
Region1405	chr2L	Time	Up
Region1406	chr2L	Time	Down
Region1407	chr2L	Time	Down
Region1408	chr2L	Gd7	Down
Region1409	chr2L	Time	Up
Region1411	chr2L	Gd7	Down
Region1412	chr2L	Toll10b	Down
Region1420	chr2L	Gd7	Down
Region1426	chr2L	Time	Up
Region1427	chr2L	Toll10b	Up
Region1430	chr2L	Toll9	Down
Region1430	chr2L	Toll9	Down
Region1431	chr2L	Toll9	Down
Region1434	chr2L	Toll10b	Up
Region1435	chr2L	Toll10b	Up
Region1441	chr2L	Gd7	Down
Region1442	chr2L	Time	Up
Region1443	chr2L	Time	Up
Region1444	chr2L	Gd7	Down
Region1445	chr2L	Gd7	Down
Region1446	chr2L	Gd7	Down
Region1447	chr2L	Toll9	Up
Region1448	chr2L	Toll9	Up
Region1454	chr2L	Time	Up
Region1455	chr2L	Toll9	Up
Region1462	chr2L	Time	Up
Region1468	chr2L	Toll9	Down
Region1468	chr2L	Toll9	Down
Region1470	chr2L	Gd7	Down
Region1471	chr2L	Toll9	Up
Region1473	chr2L	Time	Up
Region1476	chr2L	Time	Up
Region1477	chr2L	Time	Up
Region1479	chr2L	Toll10b	Up
Region1481	chr2L	Toll10b	Up
Region1482	chr2L	Toll10b	Down
Region1483	chr2L	Toll9	Down
Region1484	chr2L	Time	Up
Region1485	chr2L	Time	Down
Region1488	chr2L	Time	Up
Region1489	chr2L	Toll10b	Up
Region1492	chr2L	Toll10b	Up
Region1493	chr2L	Toll9	Up
Region1494	chr2L	Time	Down
Region1497	chr2L	Time	Up
Region1499	chr2L	Toll10b	Down
Region1584	chr2L	Toll9	Up
Region1584	chr2L	Toll9	Up
Region1585	chr2L	Toll10b	Down
Region1586	chr2L	Gd7	Down
Region1587	chr2L	Time	Up
Region1588	chr2L	Toll10b	Down
Region1590	chr2L	Gd7	Down
Region1591	chr2L	Time	Up
Region1592	chr2L	Time	Down
Region1593	chr2L	Toll9	Down
Region1594	chr2L	Time	Up
Region1595	chr2L	Gd7	Up
Region1595	chr2L	Gd7	Up
Region1600	chr2L	Time	Up
Region1600	chr2L	Time	Up
Region1600	chr2L	Time	Up
Region1600	chr2L	Time	Up
