SampleInfo	Antibody	Assaytype	Nuclearcycle	Genotyope	SRRid	bamFiles
H3K4me1 ChIP-seq cycle 14a	H3K4me1	ChIP-seq	14a	wt	SRR1505717	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505717.dm6.bowtie2.sorted.bam
H3K4me1 ChIP-seq cycle 14c	H3K4me1	ChIP-seq	14c	wt	SRR1505718	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505718.dm6.bowtie2.sorted.bam
H3K4me3 ChIP-seq cycle 8	H3K4me3	ChIP-seq	8	wt	SRR1505719	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505719.dm6.bowtie2.sorted.bam
H3K4me3 ChIP-seq cycle 12	H3K4me3	ChIP-seq	12	wt	SRR1505720	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505720.dm6.bowtie2.sorted.bam
H3K4me3 ChIP-seq cycle 14a	H3K4me3	ChIP-seq	14a	wt	SRR1505721	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505721.dm6.bowtie2.sorted.bam
H3K4me3 ChIP-seq cycle 14c	H3K4me3	ChIP-seq	14c	wt	SRR1505722	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505722.dm6.bowtie2.sorted.bam
H3K9ac ChIP-seq cycle 8	H3K9ac	ChIP-seq	8	wt	SRR1505723	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505723.dm6.bowtie2.sorted.bam
H3K9ac ChIP-seq cycle 12	H3K9ac	ChIP-seq	12	wt	SRR1505724	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505724.dm6.bowtie2.sorted.bam
H3K9ac ChIP-seq cycle 14a	H3K9ac	ChIP-seq	14a	wt	SRR1505725	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505725.dm6.bowtie2.sorted.bam
H3K9ac ChIP-seq cycle 14c	H3K9ac	ChIP-seq	14c	wt	SRR1505726	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505726.dm6.bowtie2.sorted.bam
H3K27me3 ChIP-seq cycle 12	H3K27me3	ChIP-seq	12	wt	SRR1505727	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505727.dm6.bowtie2.sorted.bam
H3K27me3 ChIP-seq cycle 14a	H3K27me3	ChIP-seq	14a	wt	SRR1505728	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505728.dm6.bowtie2.sorted.bam
H3K27me3 ChIP-seq cycle 14c	H3K27me3	ChIP-seq	14c	wt	SRR1505729	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505729.dm6.bowtie2.sorted.bam
H3K36me3 ChIP-seq cycle 12	H3K36me3	ChIP-seq	12	wt	SRR1505730	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505730.dm6.bowtie2.sorted.bam
H3K36me3 ChIP-seq cycle 14a	H3K36me3	ChIP-seq	14a	wt	SRR1505731	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505731.dm6.bowtie2.sorted.bam
H3K36me3 ChIP-seq cycle 14c	H3K36me3	ChIP-seq	14c	wt	SRR1505732	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505732.dm6.bowtie2.sorted.bam
H3 ChIP-seq cycle 8	H3	ChIP-seq	8	wt	SRR1505733	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505733.dm6.bowtie2.sorted.bam
H3 ChIP-seq cycle 12	H3	ChIP-seq	12	wt	SRR1505734	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505734.dm6.bowtie2.sorted.bam
H3 ChIP-seq cycle 14a	H3	ChIP-seq	14a	wt	SRR1505735	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505735.dm6.bowtie2.sorted.bam
H3 ChIP-seq cycle 14c	H3	ChIP-seq	14c	wt	SRR1505736	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505736.dm6.bowtie2.sorted.bam
Zelda ChIP-seq  wt embryos	Zelda	ChIP-seq	2_4_hrs	wt	SRR1508419	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508419.dm6.bowtie2.sorted.bam
Zelda ChIP-seq  zelda mutant embryos	Zelda	ChIP-seq	2_4_hrs	zelda	SRR1508420	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508420.dm6.bowtie2.sorted.bam
H3 ChIP-seq  wt embryos	H3	ChIP-seq	2_4_hrs	wt	SRR1508421	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508421.dm6.bowtie2.sorted.bam
H3 ChIP-seq  zelda mutant embryos	H3	ChIP-seq	2_4_hrs	zelda	SRR1508422	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508422.dm6.bowtie2.sorted.bam
H3K4me1 ChIP-seq  wt embryos	H3K4me1	ChIP-seq	2_4_hrs	wt	SRR1508423	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508423.dm6.bowtie2.sorted.bam
H3K4me1 ChIP-seq  zelda mutant embryos	H3K4me1	ChIP-seq	2_4_hrs	zelda	SRR1508424	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508424.dm6.bowtie2.sorted.bam
H3K18ac ChIP-seq  wt embryos	H3K18ac	ChIP-seq	2_4_hrs	wt	SRR1508425	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508425.dm6.bowtie2.sorted.bam
H3K18ac ChIP-seq  zelda mutant embryos	H3K18ac	ChIP-seq	2_4_hrs	zelda	SRR1508426	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508426.dm6.bowtie2.sorted.bam
Input  cycle 8 ChIP-seq samples	Input	ChIP-seq	8	wt	SRR1505737	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505737.dm6.bowtie2.sorted.bam
Input  cycle 12 ChIP-seq samples	Input	ChIP-seq	12	wt	SRR1505738	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505738.dm6.bowtie2.sorted.bam
Input  cycle 14a ChIP-seq samples	Input	ChIP-seq	14a	wt	SRR1505739	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505739.dm6.bowtie2.sorted.bam
Input  cycle 14c ChIP-seq samples	Input	ChIP-seq	14c	wt	SRR1505740	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505740.dm6.bowtie2.sorted.bam
