Geneid	Chr	Start	End	Strand	Length	factor	direction	PC1	PC2	distance	Gd7	Toll10b	Toll9
Region363	chr2L	3829272	3829764	.	493	Gd7	Up	-2.26144437378262	0.38198426056073	2.29347828222313	2.29316986063676	-1.78819182619846	-1.15712623892929
Region367	chr2L	3853226	3853697	.	472	Toll9	Up	0.693110104262921	-2.96945370353311	3.04927153826252	-1.22396401170345	-0.842662617174239	3.02266597534899
Region368	chr2L	3854314	3854920	.	607	Toll9	Up	1.1239867775999	-2.57089124328755	2.80585602999013	-1.57477100264198	-0.272144533650491	2.80225738209616
Region369	chr2L	3861122	3862131	.	1010	Gd7	Up	-2.45703461491635	-0.266780916579392	2.47147550187092	2.36693850992449	-2.2752752416538	-0.619470084468505
Region393	chr2L	4350944	4351524	.	581	Gd7	Down	3.75588694637379	0.230450733448032	3.76295021153454	-3.65056695685831	3.39157120965169	1.11283222711283
Region401	chr2L	4372816	4373462	.	647	Toll10b	Up	2.64641423115913	0.497841261059352	2.69283386121289	-2.51091583648668	2.5532772299217	0.470324199159834
Region404	chr2L	4379057	4379997	.	941	Gd7	Down	1.9385730783265	-0.81610534571848	2.10335292219888	-2.05504694195096	1.29463448465993	1.44899466838061
Region412	chr2L	4574485	4575152	.	668	Toll10b	Down	-2.50706115197302	-0.783902182573728	2.6267581258228	2.32164485931438	-2.57108386882129	-0.153465955133385
Region426	chr2L	4889347	4889920	.	574	Toll9	Down	0.778162833448804	2.28123893788121	2.41030879496102	-0.348282435941784	1.79165924897373	-1.8585712394881
Region448	chr2L	5239352	5240344	.	993	Gd7	Down	3.33824995288676	-1.78348837878865	3.78480429417726	-3.60790649040244	2.04500843343644	2.84889167140577
Region458	chr2L	5381337	5381832	.	496	Gd7	Down	2.47008284022723	-1.0007356434532	2.66510432547446	-2.61134268344083	1.66866843377459	1.80967675694002
Region459	chr2L	5391803	5392449	.	647	Toll9	Up	2.27505516270513	-3.01427139853102	3.77646766931129	-2.78747102776663	0.516659325256931	3.6240917265177
Region463	chr2L	5412541	5412766	.	226	Toll10b	Down	-1.2735111974447	-2.25327607919225	2.58825884700064	0.840402246919638	-2.21050704575121	1.65722014943269
Region466	chr2L	5456779	5457261	.	483	Toll9	Up	0.974856752427004	-2.07305628306914	2.29083129901025	-1.33719647291376	-0.159620010263411	2.28385500022523
Region468	chr2L	5464561	5465070	.	510	Toll9	Up	1.02333751935311	-1.79894289427564	2.06964132529784	-1.33478066464043	0.016356447702913	2.04460543990391
Region477	chr2L	5614968	5615404	.	437	Toll9	Up	1.40691284217245	-3.55943860907166	3.82740211595538	-2.03354287538619	-0.507108742324295	3.82697660303939
Region480	chr2L	5789331	5789617	.	287	Toll10b	Up	1.09833365175513	1.97489341381722	2.25976565300838	-0.719033750037385	1.9218318879788	-1.4587875687321
Region488	chr2L	5891805	5892165	.	361	Gd7	Up	-3.29129377402025	0.769459145994265	3.38004172818305	3.37647727244812	-2.49841868126907	-1.88379578030067
Region489	chr2L	5902868	5903261	.	394	Toll9	Down	-1.93463560276131	2.6489497863585	3.28020576886883	2.38603684049505	-0.397562584166502	-3.16198222791709
Region491	chr2L	5925206	5925686	.	481	Toll10b	Up	1.69868874328062	1.32115901925492	2.15197690524478	-1.42872148887518	2.12725411225653	-0.634972184885934
Region515	chr2L	6176860	6177271	.	412	Toll10b	Up	2.09363246556526	1.01731370840586	2.3277079031054	-1.87253038970197	2.32392892336925	-0.211081330403465
Region520	chr2L	6213118	6213781	.	664	Toll10b	Up	1.87352420434368	1.57206453104546	2.44570640797966	-1.5547737411554	2.40223365227455	-0.807824562386998
Region521	chr2L	6229184	6229763	.	580	Toll10b	Down	-4.04797823800095	-4.53898777195351	6.08182027104327	3.15057125384602	-5.74729166095434	2.81391905007529
Region522	chr2L	6240975	6241448	.	474	Toll9	Down	-0.331770836172257	2.60286776554233	2.62392692212145	0.801731230261006	0.979407612374582	-2.55197495433449
Region540	chr2L	6531120	6531420	.	301	Toll10b	Up	2.66710300678444	2.66553411768668	3.77074403551214	-2.13521840860939	3.62823542994702	-1.54994452106109
Region542	chr2L	6543795	6544308	.	514	Gd7	Up	-2.74243816277937	0.223493214251646	2.75152980966684	2.73711153190457	-2.28541558793083	-1.17899775754297
Region552	chr2L	6675720	6676141	.	422	Toll10b	Up	3.41055619049259	4.5801444706084	5.71048307064753	-2.51635853137009	5.21083424547312	-3.07786005108395
Region587	chr2L	7043001	7043487	.	487	Toll10b	Up	3.08865448419684	1.90900302684122	3.63098871923863	-2.68789301674492	3.62742652175774	-0.693216156388383
Region593	chr2L	7122005	7122327	.	323	Toll9	Up	-0.0734741217890905	-2.05954753081083	2.06085770451084	-0.304042353585629	-1.06831625614416	1.90044406728016
Region595	chr2L	7136610	7136966	.	357	Toll9	Down	0.254489879768545	2.81673741371651	2.82821052199707	0.264412098156895	1.59553918886781	-2.5446717192314
Region599	chr2L	7212445	7212722	.	278	Toll10b	Up	3.30586115223233	0.560011176631755	3.3529584661596	-3.1479049283248	3.15934287630007	0.645406801463025
Region603	chr2L	7226712	7227084	.	373	Toll10b	Down	-1.14891689248033	-1.76076358620605	2.1024505778581	0.807887176133222	-1.86159279021659	1.2406074720117
Region608	chr2L	7281483	7281792	.	310	Toll10b	Up	2.65519723653647	1.01177482382849	2.84143637251375	-2.42565523196515	2.81152250219022	-0.00728533824416845
Region622	chr2L	7519655	7520238	.	584	Gd7	Up	-3.33791978745999	1.23170591716738	3.55792186169147	3.50677109936657	-2.31375099434498	-2.332656404494
Region625	chr2L	7532355	7533377	.	1023	Gd7	Up	-2.01419940700238	1.15987275340924	2.32428570861456	2.1922067631383	-1.19305316467287	-1.79729061421483
Region630	chr2L	7633003	7633307	.	305	Toll9	Down	-1.50945421020697	1.3124433367499	2.00023986683866	1.72383178200133	-0.677979010451436	-1.76148086134469
Region637	chr2L	7832745	7833176	.	432	Toll10b	Up	1.45187881585981	2.05669436662515	2.51752732133141	-1.05168322451349	2.27039053596033	-1.41025898195957
Region638	chr2L	7855127	7855565	.	439	Toll9	Down	0.841431440872234	2.84880277396578	2.97046866919068	-0.306792104824798	2.12362346184892	-2.3670741521021
Region664	chr2L	8167268	8168098	.	831	Gd7	Up	-1.68759370336539	1.17618453515654	2.0570324665352	1.87407843544887	-0.899945320915603	-1.69703368125189
Region665	chr2L	8208955	8209313	.	359	Toll10b	Up	2.21083732317623	1.90167858764249	2.91619325838446	-1.82618886623639	2.85744578263473	-0.996832875292787
Region702	chr2L	8789180	8789458	.	279	Toll9	Up	0.458321687578535	-2.11614949726208	2.16521302971957	-0.83722852239012	-0.631610195926431	2.14147399147687
Region704	chr2L	8811195	8812007	.	813	Toll9	Up	1.38304513003653	-4.11292390609229	4.33923459714075	-2.1111987798369	-0.797808369466688	4.33624630083381
Region705	chr2L	8817878	8818440	.	563	Gd7	Up	-2.23754620216462	0.119135444430208	2.24071556895133	2.22165138792307	-1.89548303805526	-0.902814079207161
Region706	chr2L	8822172	8822626	.	455	Toll9	Up	1.02466523541	-2.17572187107023	2.40493336808136	-1.40492363924288	-0.16618927235846	2.39750123168943
Region708	chr2L	8826446	8828846	.	2401	Toll9	Up	2.13400002910213	-2.95754429952716	3.64705695155333	-2.63842598617872	0.421164360831886	3.52114253229377
Region716	chr2L	8875692	8876394	.	703	Toll9	Up	1.04666902841465	-2.61781240259423	2.81930094708221	-1.50732712091804	-0.362526753351181	2.81879997131848
Region724	chr2L	9149711	9150526	.	816	Toll9	Down	0.968885732075251	4.65794838040634	4.75764886013555	-0.101569851608655	3.11698135889686	-4.01420900951909
Region725	chr2L	9150838	9151197	.	360	Toll10b	Up	3.33400163595659	4.16837303652974	5.33768682860182	-2.51632322788432	4.94322946954585	-2.7197790318804
Region731	chr2L	9226218	9226569	.	352	Toll10b	Up	1.08370738758012	1.96047571766681	2.24006400387509	-0.707287781804127	1.90203231594456	-1.45047478757602
Region735	chr2L	9421309	9421758	.	450	Toll9	Down	-0.581956821940538	3.55576240107107	3.60307091180202	1.22180032137756	1.22557362619963	-3.53176626510761
Region738	chr2L	9445773	9446106	.	334	Gd7	Up	-2.36643461685693	1.19558392031036	2.6513079237168	2.54503782295856	-1.48317309911175	-1.95527272279172
Region769	chr2L	9782130	9782489	.	360	Toll10b	Up	0.989040449137818	2.22253296368223	2.43266392760794	-0.566336295056049	1.94715038816332	-1.72907614799382
Region770	chr2L	9874610	9874866	.	257	Toll10b	Up	1.9891657240485	1.57478749979353	2.53707231809331	-1.66797137280654	2.50452623539841	-0.769471260515981
Region771	chr2L	9879651	9880032	.	382	Toll9	Up	1.63559732576666	-1.97362261621517	2.56327229206946	-1.96864934718944	0.465743674320596	2.42453990159508
Region783	chr2L	9970480	9970752	.	273	Toll9	Down	-1.60927069647611	2.01315408530832	2.57731285367731	1.94998823868996	-0.423484038582086	-2.45220504586495
Region809	chr2L	10314247	10314571	.	325	Toll9	Up	-0.0359378808927021	-2.29915491492734	2.2994357686436	-0.384723133701146	-1.1523685138807	2.137840517974
Region828	chr2L	10548119	10548484	.	366	Toll9	Up	1.71773383883741	-2.17476083814539	2.77131633781096	-2.08615139261877	0.439387562484749	2.64172790432407
Region829	chr2L	10548735	10549317	.	583	Toll9	Up	-0.217735570969492	-2.08572668006027	2.09706093444626	-0.16699195362571	-1.20703294509839	1.87390853504873
Region830	chr2L	10608699	10609218	.	520	Toll9	Down	0.266693332844261	2.066840705061	2.08397596768308	0.115407744211462	1.24056909061189	-1.83892778026705
Region847	chr2L	11045032	11045743	.	712	Toll9	Down	-3.19781005776742	2.73161333930603	4.20567480923491	3.64305303456001	-1.46011809537025	-3.68606441700306
Region852	chr2L	11074778	11075785	.	1008	Gd7	Up	-2.50834974447925	0.750822965156434	2.61831120488674	2.60330640080468	-1.82392785097782	-1.58945126077835
Region853	chr2L	11078349	11078722	.	374	Gd7	Up	-3.94302661848844	1.9925071150868	4.41786639881515	4.24069172920822	-2.47111967278458	-3.25829902686352
Region858	chr2L	11190756	11191229	.	474	Gd7	Up	-1.75792951021258	1.39614700934771	2.24489256637969	1.9834175915025	-0.854108100629476	-1.92765555518198
Region866	chr2L	11418702	11419184	.	483	Gd7	Up	-2.69920439424161	0.242490880341844	2.71007494157305	2.6980763233301	-2.23840617232997	-1.18147653937394
Region869	chr2L	11450871	11451223	.	353	Gd7	Up	-3.47043444723023	0.395822544161904	3.49293440233123	3.48433927601409	-2.83699664838374	-1.59766760167134
Region874	chr2L	11487036	11487639	.	604	Gd7	Down	1.91154830412729	-0.852551312672251	2.09305056311383	-2.03513571730191	1.25326969709058	1.4735268182091
Region879	chr2L	11713679	11714898	.	1220	Gd7	Up	-1.80720944343945	1.15976484820056	2.14733799751655	1.98868100247007	-1.01238580432665	-1.72398114859151
Region881	chr2L	11756702	11757043	.	342	Toll9	Down	-1.18764697501664	1.83781127005455	2.18816260858412	1.50342583418499	-0.140861748525203	-2.13907481865601
Region882	chr2L	11781443	11781717	.	275	Toll10b	Up	3.96976865260008	4.00417130021778	5.63847948977861	-3.17138913257194	5.41824922279248	-2.34133125358278
Region890	chr2L	11948556	11948810	.	255	Toll9	Up	-0.725017567922988	-2.23247503524888	2.34725270407906	0.304940852362103	-1.72148321788749	1.83175564910305
Region917	chr2L	12365969	12366450	.	482	Toll10b	Up	0.991151154618255	2.22844748937459	2.43892575208862	-0.567330889342422	1.951876941396	-1.7338618759611
Region923	chr2L	12446050	12446496	.	447	Toll9	Up	1.37826660868559	-3.02686964220734	3.32589216234292	-1.90807832340209	-0.272456397374843	3.31869811242021
Region928	chr2L	12466529	12467001	.	473	Gd7	Up	-4.66301019506958	1.2409918933088	4.82532122853816	4.81125501778918	-3.46614090885242	-2.81000224229068
Region929	chr2L	12473084	12474000	.	917	Gd7	Up	-2.13757120972414	0.88960987995767	2.31530050212922	2.26412496466643	-1.43253852937666	-1.58813027353721
Region941	chr2L	12611687	12612383	.	697	Toll9	Up	2.43461461420968	-3.28269244816634	4.0869815302949	-2.99338546840473	0.52509519685119	3.93159685751386
Region945	chr2L	12662658	12663169	.	512	Gd7	Up	-2.49309978114742	1.23616142359021	2.78273994184327	2.67698456275732	-1.57397839464862	-2.03802666912983
Region946	chr2L	12665839	12666842	.	1004	Gd7	Up	-2.42654151011122	0.264568459469421	2.44092199179713	2.43403629804631	-1.9895838198385	-1.10569131757009
Region952	chr2L	12700017	12700462	.	446	Toll9	Down	-0.599472245982129	2.2692373074989	2.34708434689675	1.0039725067721	0.583014203629562	-2.33458945814966
Region957	chr2L	12822684	12822989	.	306	Toll10b	Up	0.84364961319532	1.8866037102105	2.06664419512035	-0.484766932751716	1.65642377255262	-1.46628144148807
Region958	chr2L	12854494	12854929	.	436	Toll9	Down	0.391235759334933	2.21565132903888	2.24992805023942	0.0201492681423473	1.42186042233417	-1.93407180143286
Region960	chr2L	12862795	12863169	.	375	Toll10b	Up	2.55470173136315	0.444009882759798	2.59299936602735	-2.43058198560709	2.44695796617361	0.488239213562915
Region962	chr2L	12895122	12895496	.	375	Gd7	Down	2.70137126317248	0.438980939480158	2.73680670978441	-2.57570166264079	2.57256108693834	0.544817425487381
Region964	chr2L	12940034	12940612	.	579	Gd7	Up	-2.88914771026829	0.608553175188994	2.95254321878294	2.95170230549266	-2.22576312864316	-1.59105817346236
Region966	chr2L	12974760	12975233	.	474	Toll10b	Up	1.30955601982334	2.90188500609339	3.18368867159545	-0.757339386630248	2.55821745969313	-2.25115842654388
Region967	chr2L	12986884	12987516	.	633	Toll9	Down	1.87710006379245	7.06430796959924	7.30944264214673	-0.554855273828964	5.08319138643805	-5.9438170206562
Region976	chr2L	13214196	13214611	.	416	Toll9	Down	-1.11341701465851	2.88775987304929	3.09497246077	1.62227111449678	0.435867474388447	-3.09490715976744
Region985	chr2L	13241745	13242024	.	280	Toll9	Up	0.774577808496139	-7.03415819173269	7.07667663863023	-2.04668295130638	-2.75334939900634	6.85346553324065
Region996	chr2L	13521464	13521899	.	436	Gd7	Up	-2.12853649301362	0.99131362122634	2.34805670666609	2.27382361122742	-1.37506307731839	-1.68006507127128
Region997	chr2L	13527615	13528100	.	486	Toll9	Down	-4.07977103205976	3.50574783837448	5.37910769368873	4.65160398031331	-1.85270328408424	-4.7220967618341
Region998	chr2L	13546841	13547147	.	307	Gd7	Up	-1.95287865486363	1.20446150314022	2.29444166479969	2.14006449589507	-1.1177748994161	-1.8173093900686
Region999	chr2L	13547653	13548227	.	575	Gd7	Up	-1.94023003537181	0.904748476824071	2.14080881829144	2.07287113065355	-1.25286170000956	-1.53249446479443
Region1002	chr2L	13597310	13597780	.	471	Toll10b	Up	4.21011316307819	2.32603129223132	4.80993497028427	-3.71428489002231	4.80988517337801	-0.686650907695998
Region1003	chr2L	13665884	13666336	.	453	Toll10b	Down	-1.78829276427325	-1.5369727099709	2.35802377467814	1.47738814370277	-2.31070969535162	0.805145659249314
Region1016	chr2L	13905074	13905775	.	702	Gd7	Up	-2.20876107618803	0.719031968880259	2.32285007349917	2.30295198710077	-1.5778615124857	-1.45375605743241
Region1017	chr2L	13929523	13929907	.	385	Toll9	Down	-1.59210177539301	1.71190973437534	2.33782441638773	1.87807088120286	-0.555370851708453	-2.16435902442475
Region1019	chr2L	14023816	14024725	.	910	Toll10b	Up	2.75565243814226	1.35458924581904	3.0705915366144	-2.46178736472754	3.06637343908163	-0.292413102120633
Region1020	chr2L	14025624	14026064	.	441	Toll10b	Up	5.80373257153109	3.54011963045215	6.7982173221929	-5.05926733920001	6.79320064273481	-1.2586339167267
Region1021	chr2L	14026923	14027994	.	1072	Toll10b	Up	3.82570638947099	4.73070117879305	6.0840416682887	-2.89701445347312	5.64670239213749	-3.07185468735445
Region1032	chr2L	14252929	14253220	.	292	Toll9	Down	-1.16499397839309	2.44471192245387	2.70810401452386	1.59203500658713	0.174820883205041	-2.69873704037832
Region1036	chr2L	14264981	14265461	.	481	Gd7	Down	3.61489150402781	0.0308439537248042	3.61502308918958	-3.54841286048388	3.17114846508778	1.24967011128506
Region1041	chr2L	14367002	14367285	.	284	Gd7	Up	-1.7651339978081	1.37757098767528	2.23906227164468	1.98710697452645	-0.869455287451967	-1.91282827259733
Region1046	chr2L	14434467	14434782	.	316	Toll10b	Up	2.58366009246356	1.12900183265029	2.81956461382188	-2.33390475196189	2.80622044736089	-0.142236852972809
Region1048	chr2L	14439653	14440050	.	398	Gd7	Up	-2.2694502541802	0.301337421888782	2.28936862432182	2.28630679540117	-1.83450236884305	-1.08452346920044
Region1054	chr2L	14459299	14460066	.	768	Toll10b	Up	2.80851578633299	2.09133971218023	3.50163714765304	-2.37915647248018	3.4717427575854	-0.962847566192017
Region1055	chr2L	14461398	14461996	.	599	Gd7	Down	3.34693942907779	-2.71499642430825	4.30966461872872	-3.78663644542545	1.59842266918024	3.72326583131833
Region1056	chr2L	14464471	14465318	.	848	Gd7	Down	2.00309747325064	-1.54396880202402	2.52907871545482	-2.25146612622456	0.996087733976107	2.15263440737018
Region1058	chr2L	14479805	14480136	.	332	Toll9	Up	2.18483177696652	-2.91106526721872	3.63975148652348	-2.67991043801938	0.488206465824711	3.49564588312058
Region1060	chr2L	14484837	14485402	.	566	Toll10b	Up	0.941288877139782	2.23811137940173	2.42799656030123	-0.51654226557558	1.91305469356761	-1.76053651751864
Region1065	chr2L	14497461	14498169	.	709	Gd7	Down	2.60043864944195	-1.2086309983394	2.86758959051995	-2.77748695968411	1.6811173446253	2.05023942759692
Region1067	chr2L	14512582	14513370	.	789	Gd7	Up	-2.09250823704001	1.04108496732722	2.33718818910139	2.24749499524951	-1.31934046599775	-1.71387696068276
Region1072	chr2L	14554104	14554558	.	455	Toll10b	Up	1.94021261605385	2.02816061088888	2.80675265370066	-1.53701083917729	2.68283566712858	-1.21085481620006
Region1076	chr2L	14585025	14585552	.	528	Toll10b	Up	2.32124886019152	2.38875000434676	3.33081414284963	-1.84575396986641	3.19132437839539	-1.41337233915281
Region1078	chr2L	14683571	14684007	.	437	Gd7	Down	2.70788412612705	-1.78449559811893	3.24300184709116	-2.98833458058744	1.4941539755106	2.62688501629843
Region1079	chr2L	14684633	14685266	.	634	Toll9	Up	1.24102791763537	-2.27694934659095	2.59319274626691	-1.6361389319849	-0.0266412736166226	2.5687094520564
Region1082	chr2L	14773206	14773745	.	540	Gd7	Up	-3.54439301563139	2.34496213434484	4.24989049985617	3.91316127478249	-1.95123301077476	-3.44698407223461
Region1083	chr2L	14950301	14950533	.	233	Toll9	Up	1.00677921434538	-3.40391731045351	3.54968413282689	-1.61173025322241	-0.780632653508097	3.53998739638798
Region1088	chr2L	15012586	15012903	.	318	Toll9	Up	-0.41816736901544	-2.47111167893217	2.50624357919661	-0.0403436180991294	-1.56992801689752	2.16349548512894
Region1089	chr2L	15013433	15014003	.	571	Toll9	Up	0.212637483728797	-3.95219331413413	3.95790938397698	-0.931125139338837	-1.74130761075043	3.7719527766111
Region1096	chr2L	15098726	15099139	.	414	Toll9	Up	1.32560447688826	-3.66460758578621	3.89699576429691	-1.97281743460198	-0.629374815233267	3.89659080649435
Region1100	chr2L	15150063	15150423	.	361	Gd7	Up	-2.41020163582164	1.9472717644797	3.09853824408497	2.72540172674546	-1.15488739971936	-2.67385548028049
Region1104	chr2L	15311034	15311659	.	626	Toll9	Up	1.34377536532283	-5.5847770678192	5.74416809726942	-2.34149788904904	-1.54972101318365	5.69907855195649
Region1105	chr2L	15313527	15314182	.	656	Toll9	Up	-0.607142232144414	-2.26322382400232	2.34324641631754	0.183431704942321	-1.63356004053188	1.90220735080107
Region1106	chr2L	15319502	15320317	.	816	Gd7	Up	-5.05862573877253	0.825759462360254	5.12558026516505	5.12434876345793	-4.0140007300391	-2.56152991544826
Region1107	chr2L	15323144	15323704	.	561	Toll9	Up	0.758545250429954	-2.45282883090242	2.56744234027874	-1.19391031393984	-0.533642979110516	2.56257589645771
Region1109	chr2L	15325855	15326376	.	522	Toll10b	Down	-1.40745307452429	-2.25980718577968	2.66226457623756	0.970896468859436	-2.33063413036404	1.61595635072001
Region1115	chr2L	15446851	15447397	.	547	Gd7	Up	-2.23134286470387	0.201834874188108	2.24045269896586	2.23066166575719	-1.84974549449979	-0.977974298836017
Region1117	chr2L	15457552	15458057	.	506	Gd7	Down	2.02621780663064	-1.68722956533868	2.63672186740658	-2.30037108798215	0.946424570071833	2.29481287454938
Region1118	chr2L	15458396	15458842	.	447	Toll9	Up	2.39728212380679	-2.49768021000004	3.46198902548079	-2.8132594170276	0.875246659953175	3.18411937271214
Region1121	chr2L	15474870	15475470	.	601	Toll9	Up	1.99018097769488	-2.95161336242192	3.55989350475631	-2.49594401768001	0.298489735930194	3.46472878848832
Region1123	chr2L	15479392	15480350	.	959	Toll10b	Up	2.64242772333841	0.690797065656196	2.73123138144439	-2.47174335700081	2.64387551632418	0.288429966862702
Region1124	chr2L	15480744	15481468	.	725	Gd7	Down	3.41407905209811	-1.96983313231487	3.94159591322355	-3.7165045140792	2.02035821337474	3.05001155236917
Region1125	chr2L	15481980	15482497	.	518	Gd7	Down	3.63662818107776	-1.68784724259456	4.00922596541315	-3.88378895739623	2.3521496344159	2.86496309435424
Region1126	chr2L	15482876	15483159	.	284	Gd7	Down	2.07495614723414	-1.6445178301878	2.64761815727841	-2.34048565345637	1.00980214206162	2.27209962707466
Region1127	chr2L	15485625	15487083	.	1459	Toll10b	Up	2.94125363949329	3.73225847468717	4.75191816992957	-2.20986393493048	4.38769182848063	-2.45076007347955
Region1130	chr2L	15537325	15538050	.	726	Gd7	Up	-2.86938094880992	0.453598133848847	2.9050126155362	2.90395792328101	-2.28405599016338	-1.43912737408001
Region1131	chr2L	15653150	15653508	.	359	Toll10b	Up	2.74124116690574	0.451187522742868	2.77812406415149	-2.61267035713823	2.61332245367605	0.547501053914739
Region1140	chr2L	15735871	15736318	.	448	Toll10b	Up	2.56984031261482	1.58973892648657	3.02181221897174	-2.2361408043581	3.01879471818375	-0.578082416359283
Region1141	chr2L	15741638	15742139	.	502	Toll10b	Up	1.72432476580778	1.23514128271695	2.12105395646827	-1.46964148320891	2.10769716139316	-0.5454471395323
Region1151	chr2L	15838483	15838841	.	359	Gd7	Down	2.72355434305891	0.358101655768416	2.74699564168914	-2.6122880354505	2.5524947604671	0.62831489517258
Region1155	chr2L	15957130	15957497	.	368	Toll10b	Up	2.62532231797446	0.444687491712767	2.66271745375671	-2.4998901342297	2.50894616810874	0.512582601032484
