SampleInfo	Antibody	Assaytype	Nuclearcycle	Genotype	seqID	bamFiles	Time	Treatment	Replicate	Experiment	bamFiles2
Toll9/10_3h_3	NA	ATAC-Seq	Mutant	Toll9	P13169_1012_S64	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1012_S64.dmel.bowtie2.sorted.bam	3h	NA	3	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1012_S64.dmel.bowtie2.sorted.bam
Toll9/10_4h_1	NA	ATAC-Seq	Mutant	Toll9	P13169_1013_S65	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1013_S65.dmel.bowtie2.sorted.bam	4h	NA	1	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1013_S65.dmel.bowtie2.sorted.bam
Toll9/10_4h_2	NA	ATAC-Seq	Mutant	Toll9	P13169_1014_S66	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1014_S66.dmel.bowtie2.sorted.bam	4h	NA	2	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1014_S66.dmel.bowtie2.sorted.bam
Toll9/10_4h_3	NA	ATAC-Seq	Mutant	Toll9	P13169_1015_S67	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1015_S67.dmel.bowtie2.sorted.bam	4h	NA	3	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1015_S67.dmel.bowtie2.sorted.bam
Toll9/10_5h_1	NA	ATAC-Seq	Mutant	Toll9	P13169_1016_S68	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1016_S68.dmel.bowtie2.sorted.bam	5h	NA	1	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1016_S68.dmel.bowtie2.sorted.bam
Toll9/10_5h_2	NA	ATAC-Seq	Mutant	Toll9	P13169_1017_S69	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1017_S69.dmel.bowtie2.sorted.bam	5h	NA	2	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1017_S69.dmel.bowtie2.sorted.bam
Toll9/10_5h_3	NA	ATAC-Seq	Mutant	Toll9	P13169_1018_S70	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1018_S70.dmel.bowtie2.sorted.bam	5h	NA	3	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1018_S70.dmel.bowtie2.sorted.bam
gd7_3h_1	NA	ATAC-Seq	Mutant	Gd7	P13169_1019_S71	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1019_S71.dmel.bowtie2.sorted.bam	3h	NA	1	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1019_S71.dmel.bowtie2.sorted.bam
gd7_3h_2	NA	ATAC-Seq	Mutant	Gd7	P13169_1020_S72	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1020_S72.dmel.bowtie2.sorted.bam	3h	NA	2	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1020_S72.dmel.bowtie2.sorted.bam
gd7_3h_3	NA	ATAC-Seq	Mutant	Gd7	P13169_1021_S73	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1021_S73.dmel.bowtie2.sorted.bam	3h	NA	3	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1021_S73.dmel.bowtie2.sorted.bam
gd7_4h_1	NA	ATAC-Seq	Mutant	Gd7	P13169_1022_S74	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1022_S74.dmel.bowtie2.sorted.bam	4h	NA	1	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1022_S74.dmel.bowtie2.sorted.bam
gd7_4h_2	NA	ATAC-Seq	Mutant	Gd7	P13169_1023_S75	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1023_S75.dmel.bowtie2.sorted.bam	4h	NA	2	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1023_S75.dmel.bowtie2.sorted.bam
gd7_4h_3	NA	ATAC-Seq	Mutant	Gd7	P13169_1024_S76	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1024_S76.dmel.bowtie2.sorted.bam	4h	NA	3	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1024_S76.dmel.bowtie2.sorted.bam
gd7_5h_1	NA	ATAC-Seq	Mutant	Gd7	P13169_1025_S77	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1025_S77.dmel.bowtie2.sorted.bam	5h	NA	1	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1025_S77.dmel.bowtie2.sorted.bam
gd7_5h_2	NA	ATAC-Seq	Mutant	Gd7	P13169_1026_S78	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1026_S78.dmel.bowtie2.sorted.bam	5h	NA	2	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1026_S78.dmel.bowtie2.sorted.bam
gd7_5h_3	NA	ATAC-Seq	Mutant	Gd7	P13169_1027_S79	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1027_S79.dmel.bowtie2.sorted.bam	5h	NA	3	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1027_S79.dmel.bowtie2.sorted.bam
