Geneid	Chr	Start	End	Strand	Length	factor	direction	PC1	PC2	PC3	distance	Gd7	Time	Toll10B	Toll9
Region238	chr2L	2200219	2200575	.	357	Time	Up	2.51450064880858	-0.0867052154181706	0.721644141830424	2.61744179967342	-0.624492145350459	2.45783208695687	-0.609105466619393	1.01572072641815
Region249	chr2L	2447939	2448844	.	906	Toll10B	Up	0.349982337328783	-2.77641001386104	2.4510978119242	3.72005654327049	-1.60522928238185	1.062240615892	3.19734065547637	-1.90657803859894
Region250	chr2L	2449494	2450213	.	720	Toll10B	Up	0.439411327188676	-2.96939200743412	0.86798868318565	3.12470407597483	-0.0272994303016024	1.1880565680406	2.50042936777557	-2.35236202481454
Region253	chr2L	2456350	2458314	.	1965	Time	Down	-3.59121730603374	-1.06828538833766	-0.12621762049903	3.74886733531828	0.342350182481155	-3.20040467006755	2.22973286468077	-2.35489534961101
Region254	chr2L	2460885	2462662	.	1778	Toll10B	Up	0.149479700178681	-4.39053956640181	1.36334118510512	4.59976967378902	-0.126668969981417	1.27349860400895	3.94504084160436	-3.65279287362407
Region259	chr2L	2577620	2579055	.	1436	Time	Down	-3.19260099648461	0.908981286001005	-1.23165774823478	3.54061137514997	0.881288492471767	-3.32649663064028	0.010007501856137	-0.627629103208255
Region275	chr2L	2814805	2815303	.	499	Time	Down	-3.30705178890189	0.265767640975856	0.428460263823793	3.34526563536366	-0.545910268161695	-3.26263032692958	1.38749699343918	-0.93305653637844
Region279	chr2L	2867537	2867800	.	264	Toll9	Up	0.590613561680862	2.21300989631271	0.91306006959438	2.46574854174286	-1.4644640817533	0.0120042438061335	-1.45014405309143	2.40255432150896
Region296	chr2L	3005377	3005799	.	423	Gd7	Up	-1.32408542880716	1.23875900121068	-2.60339744532097	3.17260214085593	2.14805357552319	-1.61262114217024	-1.71089946063368	0.116038077476857
Region297	chr2L	3006933	3007287	.	355	Time	Down	-2.49750488899824	1.13166483373653	-0.20862505643885	2.7498582473757	-0.150740493875753	-2.70486101434269	0.0745195639976197	0.0350522802983234
Region304	chr2L	3071281	3072922	.	1642	Time	Down	-3.24693822976418	0.326954617921909	-1.27463819039004	3.50345682240917	1.07850522758031	-3.23077163296791	0.44987237440355	-1.18314324029358
Region305	chr2L	3078582	3079025	.	444	Gd7	Up	-1.37087000263463	0.0861420835536538	-3.91998540202465	4.15367193875116	3.72543664824202	-1.37194471935563	-1.49159015459964	-1.19834363568249
Region306	chr2L	3079451	3079883	.	433	Gd7	Up	-0.878663166367584	0.518199427749067	-1.93694613753688	2.18914137199259	1.70887894571796	-0.993905364012561	-1.0125703176922	-0.238247964473982
Region308	chr2L	3082765	3084011	.	1247	Time	Down	-2.77317274807542	0.539547377404314	-1.69144845730285	3.29280979512092	1.43137595005911	-2.82956125137168	-0.118907570776274	-0.891193238227117
Region316	chr2L	3301857	3303813	.	1957	Time	Up	2.40490921685029	-1.11283309224951	-0.5588452695127	2.7081901461592	0.882874315835128	2.60572873409397	-0.440863353716285	-0.201116966884056
Region317	chr2L	3376512	3377270	.	759	Gd7	Down	0.821008744101311	0.241128272566429	2.21741470628196	2.37678904856051	-2.18462647647114	0.746137506657624	0.606137893569065	0.957415472511912
Region327	chr2L	3541076	3542320	.	1245	Gd7	Up	-0.269671165577483	-2.31202299566368	-2.44933818956192	3.37896884224582	2.97630395074158	0.313967237045167	0.610235684867948	-2.66635835255771
Region331	chr2L	3594182	3594571	.	390	Time	Up	1.60604303958865	-1.2838342629396	0.701726340107299	2.17256174045968	-0.299668607699216	1.88485011407355	0.660523923902743	-0.416279833007204
Region332	chr2L	3600629	3600997	.	369	Toll10B	Up	0.987098645346236	-4.00497598338377	2.09981433023414	4.62854367858637	-0.924024466265305	1.98957716012921	3.68178869165269	-2.84384692342579
Region333	chr2L	3601208	3601519	.	312	Toll10B	Up	0.3975840291979	-1.43568326474467	1.41793845348499	2.05664993492149	-0.970900052518694	0.759657649806909	1.64017205787627	-0.874615227858201
Region334	chr2L	3602347	3603352	.	1006	Gd7	Up	-0.629069618403737	-1.26321598123128	-1.8447661060263	2.32262893850485	2.10485615743958	-0.297395064632175	0.275262604867151	-1.73742083592923
Region336	chr2L	3608451	3609569	.	1119	Time	Down	-1.28846014820049	2.25780929183974	-0.184456637666552	2.60611906922879	-0.454913815769309	-1.82310906174582	-1.26390702898053	1.51781882776199
Region337	chr2L	3610286	3611416	.	1131	Time	Down	-3.03333245943089	0.756789411881162	-0.159447337573671	3.13037689054079	-0.107072052912413	-3.12696208988541	0.604422741881119	-0.498158791173221
Region339	chr2L	3614124	3615802	.	1679	Time	Down	-3.34788347670452	1.29130655087129	0.0905989343078521	3.58942955757763	-0.497742109833854	-3.56593486724843	0.458590861265393	-0.0858290578302111
Region341	chr2L	3624569	3624876	.	308	Toll10B	Up	0.19896071396888	-2.48827972740435	1.38419585253773	2.85431594706983	-0.658459529994091	0.836022048528993	2.49962480372411	-1.90890193953009
Region343	chr2L	3655901	3656164	.	264	Gd7	Down	0.540044142850103	-0.101178529747567	3.10527952482279	3.15351323104759	-2.95248246748903	0.567388090458286	1.43260691461708	0.712134096449428
Region347	chr2L	3770068	3770494	.	427	Toll9	Down	0.0843678907886412	-2.92333453824582	-0.698462690113489	3.00680110632173	1.46187345885609	0.823228122273046	1.81574123891159	-2.74748463888008
Region349	chr2L	3775513	3776696	.	1184	Time	Up	2.30928397609999	-2.13037638453347	-0.142701929452571	3.14510093045033	0.754631454039817	2.77554628343928	0.578370995086223	-1.07785087256741
Region350	chr2L	3778505	3779014	.	510	Toll9	Down	0.976627223521577	-2.2763607734037	0.459342731920314	2.51924886618662	0.189423250965586	1.52806039369635	1.54695733622755	-1.60005973057999
Region357	chr2L	3820000	3820723	.	724	Gd7	Up	1.69489078355816	-1.51866714040288	-3.23339228429005	3.95396387384056	3.55409705043425	2.00607833978025	-1.20128000463472	-1.35350775511798
Region359	chr2L	3822312	3823129	.	818	Time	Down	-1.92102995358444	0.53127243437516	-1.06057651133545	2.25774866149712	0.842101483327625	-1.99959438664058	-0.144699537200457	-0.453412744210376
Region360	chr2L	3823439	3824061	.	623	Time	Up	2.15357690400406	-0.357171626543727	-1.72937145834695	2.78499384078541	1.80154876725138	2.16256297463291	-1.50256617655358	0.161485426451982
Region363	chr2L	3829272	3829764	.	493	Toll10B	Up	-0.657582133034682	-2.194078750008	1.59855688120652	2.79316664833586	-0.960130304955113	-0.0658813919083044	2.74152682157875	-1.92673924029519
Region364	chr2L	3833708	3834374	.	667	Time	Down	-2.47288576163733	1.66574984932458	0.0600072961443709	2.98219506843936	-0.552855331338301	-2.81567414211175	-0.20204177590184	0.579398594541708
Region367	chr2L	3853226	3853697	.	472	Gd7	Up	-0.292951437833987	-0.823824693840173	-2.27376986088754	2.43609052610744	2.40577717018964	-0.0872258770260273	-0.413848605365582	-1.2949060860245
Region368	chr2L	3854314	3854920	.	607	Gd7	Up	-0.224559455233288	-0.233615659547792	-2.67238295391566	2.69195725777725	2.63179418104446	-0.174210932755254	-1.0903962099482	-0.811769353321107
Region369	chr2L	3861122	3862131	.	1010	Toll10B	Up	0.278782386391913	-4.02710728021342	0.911461089332883	4.13836610061002	0.212885708252639	1.30294564121513	3.38729202373437	-3.36196534466633
Region382	chr2L	4222421	4222982	.	562	Time	Up	2.44890851845077	-1.92342202587203	-0.605163230176796	3.17221180826698	1.14673555986349	2.85483954783862	0.129047275032474	-0.926716436821493
Region386	chr2L	4286906	4287708	.	803	Toll9	Down	-1.19148087738985	-1.92368071395163	-0.951771557205487	2.45480004634196	1.41254482424436	-0.667041960264755	1.46103588582029	-2.37646830802423
Region392	chr2L	4346663	4347308	.	646	Toll10B	Down	1.98219098736932	1.03712499813655	-0.749949853094156	2.35947751723212	0.479593236626261	1.64716046495896	-1.98542544053586	1.54667133531102
Region393	chr2L	4350944	4351524	.	581	Toll10B	Down	2.74955531912064	1.69782802564138	-1.82275607633344	3.71013667825977	1.34879455089117	2.21378509114896	-3.34777623731877	2.22912117543391
Region397	chr2L	4366565	4367038	.	474	Time	Down	-2.46966825879253	0.234826587488701	-1.51558862507503	2.90713152697564	1.34984036554855	-2.45724910040902	0.0747898589366359	-1.01771460729924
Region398	chr2L	4367830	4369436	.	1607	Toll9	Down	-1.07718120497801	-1.51688206074078	-0.860719542416106	2.04989967199667	1.21738521778226	-0.659773112130248	1.15302338541768	-1.94745124999344
Region399	chr2L	4369964	4371076	.	1113	Gd7	Up	0.167661248528533	0.300516335371057	-2.74128832393294	2.76280329321761	2.56152051450318	0.0682761406995277	-1.69102504193275	-0.192818206455634
Region401	chr2L	4372816	4373462	.	647	Toll9	Up	0.773912558533073	1.88114151749628	0.103910364309991	2.03676984976567	-0.592538879092327	0.268862598555696	-1.68733934728359	2.0159499332836
Region402	chr2L	4375063	4375631	.	569	Gd7	Up	0.917877891402235	-1.54707497394046	-1.7266286467423	2.49342882037347	2.09649580853792	1.27147908707661	-0.0912893690713329	-1.38390392394982
Region404	chr2L	4379057	4379997	.	941	Toll10B	Down	-0.0992829992969928	1.13090570927936	-1.87556111384123	2.192380972592	1.49921398091447	-0.39632291717476	-1.76659561751552	0.623960038152528
Region412	chr2L	4574485	4575152	.	668	Toll9	Down	-0.54498002689181	-3.36372402575288	-1.80062516992316	3.85407492839708	2.62998726063586	0.320225276907475	1.84801951793491	-3.59741612894965
Region414	chr2L	4594801	4595338	.	538	Toll9	Down	-0.192522447096393	-2.35787295521107	-1.48933102872871	2.79548505248837	2.06578388036367	0.406263101703785	1.10133184535235	-2.49349345300432
Region415	chr2L	4596936	4598066	.	1131	Toll9	Down	0.781609747860586	-3.744248496706	-1.2478401428196	4.02335874923774	2.22507336659698	1.70342856929638	1.86685704853048	-3.33127497105172
Region421	chr2L	4823736	4824287	.	552	Toll9	Down	-3.32788997763035	-1.64941942375493	-2.36476643202026	4.40313029749091	2.65920191286949	-2.81149514908766	1.42020344982492	-3.21214901779006
Region426	chr2L	4889347	4889920	.	574	Time	Down	-2.74368625594185	1.1045710990738	-0.892992495731062	3.08955129126955	0.510888162938618	-2.94025098582027	-0.151255771919682	-0.214880831697992
Region428	chr2L	4901985	4902849	.	865	Time	Down	-1.91055766030056	-0.570721733108286	0.438815043541546	2.04169354027818	-0.304377673544413	-1.69886990234945	1.44547366708577	-1.1574554577821
Region445	chr2L	5202675	5203003	.	329	Time	Down	-2.21833673208268	0.936402554848546	-0.0831498568883102	2.40931141622138	-0.21371677726563	-2.38432728889673	0.17006097406241	-0.0113914209154508
Region446	chr2L	5233594	5234242	.	649	Gd7	Up	0.237988379139782	-0.315977383158991	-2.03905852067566	2.07707482436565	2.05284833136261	0.297990532245898	-0.897628851732448	-0.588524012181094
Region448	chr2L	5239352	5240344	.	993	Gd7	Up	2.38893288492565	0.295626481909637	-3.04054343908917	3.87805360335228	2.89244929667382	2.21533203877521	-2.7598316827273	0.58876777166331
Region449	chr2L	5276995	5277644	.	650	Time	Down	-3.0861706720542	1.5739539059769	-0.460437363089901	3.49482229598539	-0.0384743434548698	-3.38846856759634	-0.143500581481973	0.163087829205915
Region451	chr2L	5297005	5297220	.	216	Toll9	Down	0.278194761387888	-2.52420623131127	-0.0717658914431364	2.54050384109707	0.754535043045011	0.91269591937288	1.75310952815783	-2.19195351949086
Region458	chr2L	5381337	5381832	.	496	Toll10B	Down	-0.0822386717806736	2.10410745123022	-1.73462761198662	2.72817967108569	1.1015725831527	-0.627319040922535	-2.4363693120427	1.53810741837102
Region459	chr2L	5391803	5392449	.	647	Gd7	Up	0.943572860463269	0.605290806544001	-3.73732959873353	3.90183793013745	3.45288870021225	0.734476293634779	-2.74925923374193	0.185647066193491
Region462	chr2L	5410212	5410846	.	635	Time	Down	-2.22598546236098	-0.110719598090128	-1.93743920611931	2.95312390282763	1.85367878241062	-2.13609540980138	0.0199604970938788	-1.31910549989779
Region468	chr2L	5464561	5465070	.	510	Gd7	Up	0.032457305960103	-1.34413218027793	-2.29724936073409	2.66178500637487	2.57467701310512	0.360035264205102	-0.167959637596413	-1.64658398172523
Region469	chr2L	5473909	5474529	.	621	Time	Down	-3.77635922791886	1.25532331449577	0.0816132304480803	3.98037515337295	-0.487395054025063	-3.97108828560122	0.658683411415132	-0.282862496357141
Region477	chr2L	5614968	5615404	.	437	Gd7	Up	-0.0549847573208064	0.191680920682628	-2.87804995648765	2.88494999106223	2.71836968935677	-0.120074188883466	-1.58623986610465	-0.402215107338738
Region478	chr2L	5658520	5658812	.	293	Toll9	Up	-0.670311963133925	2.20186711518515	1.32714885497798	2.65685170909549	-1.88370265704114	-1.20171312750657	-0.708665068383956	1.99336000750826
Region480	chr2L	5789331	5789617	.	287	Time	Down	-3.10877774936507	1.73141372455659	-0.0331918331291868	3.55856632343936	-0.492691712579613	-3.44783838346399	-0.0355759036694402	0.379316637725316
Region485	chr2L	5877524	5878050	.	527	Toll9	Down	-1.15263133804233	-1.75809176760235	-1.38416038047145	2.51701124820993	1.78495999086825	-0.674440636842588	1.09997867407712	-2.29523959094143
Region488	chr2L	5891805	5892165	.	361	Toll10B	Up	-1.48162601927431	-2.65406035696188	1.79213496180914	3.52859742117543	-1.03794109868719	-0.744028346908475	3.52852953841427	-2.618588285956
Region489	chr2L	5902868	5903261	.	394	Gd7	Down	1.18584248712223	0.76577479733979	2.15427548808929	2.575565243415	-2.2584071506099	0.964601675858677	0.0269469996515822	1.55849382089204
Region493	chr2L	5955801	5956293	.	493	Toll10B	Up	-1.46675250979168	-0.775230806397736	2.00942811611029	2.6057910664485	-1.75319922459404	-1.20775829348342	2.2150813279495	-0.871176527688536
Region499	chr2L	6004586	6004927	.	342	Toll10B	Up	-0.64566329094072	-1.84235363957023	0.571334630327869	2.03410208158734	-0.0656602413073351	-0.150538874469415	1.94850543013621	-1.80198834309221
Region500	chr2L	6019803	6020112	.	310	Time	Up	2.4077167443374	-0.426146257915326	2.10885270870475	3.22892556450428	-1.87064721279953	2.44988343046615	0.397109875383483	0.935440522373229
Region514	chr2L	6156644	6156994	.	351	Time	Down	-2.25785277855744	1.21987934380175	0.731331762835539	2.66849225788757	-1.07504964972521	-2.48978367276994	0.386920809063847	0.387070469573776
Region519	chr2L	6204564	6205520	.	957	Time	Up	1.93966116677944	-0.23170399115351	-1.17119779209095	2.27764713018224	1.22631968224779	1.92720560426108	-1.22462598622161	0.301342409213894
Region520	chr2L	6213118	6213781	.	664	Toll10B	Down	-0.213528301941764	1.20301326646668	-1.91166649240268	2.26876707336829	1.51241149090481	-0.525410470986165	-1.79205190372807	0.63884706455965
Region521	chr2L	6229184	6229763	.	580	Toll9	Down	-0.672504326761319	-8.91402906549209	-3.7054655747232	9.67691331858507	5.95736740023348	1.6014302028408	5.12015811501592	-9.03467809185626
Region522	chr2L	6240975	6241448	.	474	Toll9	Up	1.41843362073998	1.15657166280574	0.999543855360236	2.08535365500415	-1.24757652758972	1.08253723772922	-0.951857814170322	1.77783380795749
Region524	chr2L	6250269	6250586	.	318	Toll9	Down	0.274888227813277	-2.02500383923852	-0.820301351685513	2.20206684601039	1.34065149839461	0.777424400455072	0.996900420971798	-1.88583704376102
Region526	chr2L	6259446	6259986	.	541	Gd7	Up	0.0245183247321384	-1.55697376417453	-1.6703856327062	2.2836279496728	2.02832821173691	0.410595030755904	0.314900710856946	-1.72133838361182
Region530	chr2L	6372836	6377240	.	4405	Time	Down	-4.95584326405878	3.07910114019726	1.14917717058623	5.94658342738731	-2.02878168813655	-5.57024047787671	0.314203737513872	1.12498795753829
Region540	chr2L	6531120	6531420	.	301	Toll9	Up	2.56784970876785	1.59628948726395	1.63675792171833	3.43816357206522	-1.95813432102274	2.08564229809028	-1.4356528026408	2.73507155472278
Region542	chr2L	6543795	6544308	.	514	Toll10B	Up	-0.982505152052245	-1.58474009382825	1.46859236191941	2.37349553702635	-1.00527446425656	-0.536352683011535	2.35017664110944	-1.52390244986337
Region582	chr2L	7009658	7010881	.	1224	Toll9	Down	-2.26141411052196	-1.07266895820003	-0.994653391822741	2.69331539984055	1.20451481647949	-1.91897014002791	1.24026156854758	-2.02116419945384
Region587	chr2L	7043001	7043487	.	487	Toll10B	Down	-0.438394299709802	2.46537723686932	-0.695380176021933	2.59881281959585	-0.00304730271502318	-1.05737157842596	-2.03267506883045	1.93000989912884
Region595	chr2L	7136610	7136966	.	357	Gd7	Down	1.11970956716163	-1.26446424682035	1.93604071064181	2.5692164135282	-1.50239669194367	1.41740364858619	1.47541216457357	-0.345557332724592
Region596	chr2L	7138215	7138949	.	735	Toll9	Down	-0.857977815062481	-2.35938612912398	-1.32455143664963	2.83853225202262	1.89511099453446	-0.235728755955291	1.46200108283564	-2.71585665376654
Region599	chr2L	7212445	7212722	.	278	Toll10B	Down	0.207744514893289	1.70475553016051	-1.06383540541016	2.0201720151723	0.568754225646839	-0.240836201415446	-1.91383304767473	1.41623246698803
Region600	chr2L	7217969	7218432	.	464	Time	Down	-2.23438331374435	-0.0551200185794974	0.314709977600403	2.25711084778498	-0.329882021146231	-2.14432227967421	1.12738815808434	-0.83788129534036
Region604	chr2L	7245263	7245740	.	478	Time	Down	-2.28397877242473	0.695955824446254	0.709540913210409	2.49085564615593	-0.913365975898513	-2.38147728549706	0.782032484980155	-0.101074934948393
Region607	chr2L	7276981	7277608	.	628	Toll10B	Up	0.324646512548867	-1.74648550364018	1.90395698361094	2.60396988615005	-1.35645453612257	0.771490844595318	2.15222268303673	-1.08983635513883
Region609	chr2L	7289632	7290756	.	1125	Toll9	Down	-2.24793355647422	-1.54893352461476	-0.403738057572979	2.75960228241882	0.764167150878596	-1.7807008271924	1.89474785231386	-2.33304510345064
Region611	chr2L	7304109	7304965	.	857	Time	Down	-2.24963262829669	0.309774361855855	-1.04964169827181	2.50171037738408	0.885127631399265	-2.26071645445139	0.164150568920738	-0.776517498484582
Region612	chr2L	7305593	7305998	.	406	Time	Down	-1.95058966104287	0.941470284182334	-0.0380706052550122	2.16624460593678	-0.253485726399398	-2.12646229974621	0.0782502955821066	0.10357962055421
