seqnames	start	end	width	strand	VTID	Length	Verification.Status	Positive	stg4_6	stg7_8	stg9_10	stg11_12	stg13_14	stg15_16
chr2L	19771967	19774161	2195	*	VT10117	2194	correct	1	NA	NA	NA	brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;1	brain_subset;3	brain_subset;2
chr2L	19810066	19812148	2083	*	VT10135	2082	not_verified	1	dorsal_ectoderm_AISN_subset;1	NA	posterior_endoderm_anlage;2|ventral_nerve_cord_anlage_subset;1	brain_primordium_broad;1|ventral_nerve_cord_primordium_broad;1	brain_broad;1|ventral_nerve_cord_broad;1	ventral_nerve_cord_subset;2
chr2L	19811824	19813928	2105	*	VT10136	2104	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20027862	20030136	2275	*	VT10251	2274	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20029660	20031750	2091	*	VT10252	2090	correct	1	NA	NA	ventral_epidermis_anlage_subset;2	peripheral_nervous_system;3	head_subset;3	NA
chr2L	20031380	20033453	2074	*	VT10253	2073	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20033050	20035187	2138	*	VT10254	2137	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20034805	20036996	2192	*	VT10255	2191	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20036478	20038701	2224	*	VT10256	2223	correct	0	NA	NA	NA	NA	NA	head_subset;1
chr2L	20038283	20040379	2097	*	VT10257	2096	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20039996	20042107	2112	*	VT10258	2111	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20043420	20045529	2110	*	VT10260	2109	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20045139	20047279	2141	*	VT10261	2140	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20046848	20048965	2118	*	VT10262	2117	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20048631	20050740	2110	*	VT10263	2109	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20050348	20052416	2069	*	VT10264	2068	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20052050	20054229	2180	*	VT10265	2179	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20056325	20058244	1920	*	VT10267	1919	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20075435	20075799	365	*	VT10275	364	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20077193	20079369	2177	*	VT10276	2176	correct	1	NA	NA	NA	NA	midgut_broad;2	amnioserosa;3|midgut_broad;3|midgut_chamber;4
chr2L	20082768	20085048	2281	*	VT10279	2280	correct	1	NA	NA	NA	NA	amnioserosa;2	NA
chr2L	20085616	20087743	2128	*	VT10281	2127	correct	1	NA	NA	NA	yolk;3	hindgut;3|yolk;4|anal_pad;2	hindgut;2|anal_pad;2
chr2L	20681331	20681873	543	*	VT10552	542	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20689469	20690316	848	*	VT10554	847	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20690391	20692503	2113	*	VT10555	2112	correct	1	NA	NA	NA	antenno-maxillary-labial_complex;1|telson;2	antenno-maxillary-labial_complex;1|telson_subset;2	head_subset;3|telson_subset;3
chr2L	20692130	20694229	2100	*	VT10556	2099	correct	1	NA	NA	NA	head_subset;3	head_subset;3	head_subset;3
chr2L	20693831	20696028	2198	*	VT10557	2197	correct	1	NA	amnioserosa_anlage;2	NA	NA	NA	NA
chr2L	20695562	20697632	2071	*	VT10558	2070	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20697287	20699406	2120	*	VT10559	2119	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20702384	20704509	2126	*	VT10562	2125	correct	1	NA	NA	NA	trunk_mesoderm_primordium;2	NA	NA
chr2L	20704096	20706214	2119	*	VT10563	2118	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20705867	20707962	2096	*	VT10564	2095	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20707544	20709631	2088	*	VT10565	2087	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20711013	20713096	2084	*	VT10567	2083	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20713390	20714564	1175	*	VT10568	1174	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20719332	20721423	2092	*	VT10572	2091	correct	1	NA	NA	NA	brain_primordium_broad;1|ventral_nerve_cord_primordium_broad;2	brain_broad;3|ventral_nerve_cord_broad;3	brain_broad;2|ventral_nerve_cord_broad;2
chr2L	20767347	20768825	1479	*	VT10589	1478	correct	1	gap;4|posterior;4	posterior_endoderm_anlage;3	posterior_endoderm_anlage;2	telson;3	telson_subset;4|dorsal_epidermis_subset;3	telson_subset;3|dorsal_epidermis_subset;2
chr2L	20770730	20771165	436	*	VT10591	435	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20771787	20774066	2280	*	VT10592	2279	correct	1	NA	NA	NA	NA	midgut_broad;3|anal_pad;3	midgut_broad;3|midgut_chamber;4|anal_pad;3
chr2L	20773429	20775566	2138	*	VT10593	2137	correct	1	NA	NA	NA	posterior_midgut_primordium;3	midgut_subset;3	midgut_chamber;3
chr2L	20776603	20778724	2122	*	VT10595	2121	correct	1	NA	ventral_ectoderm_anlage;2	ventral_nerve_cord_anlage_subset;1	ventral_nerve_cord_primordium_subset;1	ventral_midline;1|ventral_nerve_cord_subset;1	ventral_nerve_cord_subset;1|posterior_hindgut;1
chr2L	20778176	20780290	2115	*	VT10596	2114	correct	1	NA	NA	NA	NA	ventral_nerve_cord_subset;3|midgut_subset;2	ventral_nerve_cord_subset;2
chr2L	20779744	20781898	2155	*	VT10597	2154	correct	1	NA	posterior_endoderm_anlage;2	malpighian_tubule_anlage;3	malpighian_tubule_primordium;3	head_subset;2|malpighian_tubule;3	head_subset;2|malpighian_tubule;3
chr2L	20783112	20785784	2673	*	VT10598	2672	not_verified	0	NA	NA	NA	NA	NA	NA
chr2L	20787549	20788489	941	*	VT10600	940	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20897898	20900023	2126	*	VT10661	2125	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20899278	20901365	2088	*	VT10662	2087	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20904331	20906436	2106	*	VT10664	2105	correct	1	amnioserosa_AISN;2|dorsal_ectoderm_AISN_broad;2	amnioserosa_anlage;2|dorsal_ectoderm_anlage_subset;2	NA	NA	midgut_interstitial_cell;1|midgut_subset;1	midgut_chamber;2|midgut_interstitial_cell;2
chr2L	20906105	20908231	2127	*	VT10665	2126	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20907921	20910016	2096	*	VT10666	2095	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20909693	20911801	2109	*	VT10667	2108	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20911482	20913582	2101	*	VT10668	2100	not_verified	0	NA	NA	NA	NA	NA	NA
chr2L	20913263	20915366	2104	*	VT10669	2103	correct	1	NA	NA	NA	ventral_nerve_cord_primordium_broad;2	ventral_nerve_cord_subset;3|amnioserosa;3|brain_broad;2|ventral_nerve_cord_broad;2|garland_cell;2	amnioserosa;3|brain_broad;2|ventral_nerve_cord_broad;2|garland_cell;3
chr2L	20915025	20917177	2153	*	VT10670	2152	correct	1	A-P_stripes;2|posterior_endoderm_AISN;2	posterior_endoderm_anlage;3|amnioserosa_anlage;3	amnioserosa_anlage;4|anterior_midgut_anlage;1	ventral_midline;1|amnioserosa;3	ventral_midline;1|amnioserosa;3	midgut_broad;1|brain_broad;1|ventral_nerve_cord_broad;1
chr2L	20916846	20918963	2118	*	VT10671	2117	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20947801	20949936	2136	*	VT10685	2135	correct	0	NA	NA	NA	NA	NA	NA
chr2L	20967302	20969446	2145	*	VT10695	2144	correct	1	posterior_endoderm_AISN;3	posterior_endoderm_anlage;3|anterior_endoderm_anlage;2	anterior_endoderm_anlage;1|posterior_midgut_anlage;1	NA	NA	NA
chr2L	20968762	20970889	2128	*	VT10696	2127	correct	1	posterior_endoderm_AISN;2	posterior_endoderm_anlage;4|anterior_endoderm_anlage;3	anterior_endoderm_anlage;3|salivary_gland_anlage;4	head_subset;3|salivary_gland_primordium;4|dorsal_epidermis_primordium_subset;3	head_subset;3|lateral_epidermis_subset;3|dorsal_epidermis_subset;4	head_epidermis_subset;3|dorsal_epidermis_subset;3
chr2L	21084188	21084755	568	*	VT10752	567	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21086300	21086948	649	*	VT10754	648	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21087511	21088633	1123	*	VT10755	1122	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21088634	21089669	1036	*	VT10756	1035	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21148034	21148597	564	*	VT10788	563	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21151366	21153446	2081	*	VT10790	2080	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21152584	21154842	2259	*	VT10791	2258	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21154878	21156284	1407	*	VT10792	1406	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21286198	21287424	1227	*	VT10855	1226	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21290337	21291165	829	*	VT10857	828	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21291555	21292020	466	*	VT10858	465	correct	1	NA	NA	NA	NA	antenno-maxillary-labial_complex;2	antenno-maxillary-labial_complex;1
chr2L	21292830	21294597	1768	*	VT10859	1767	correct	1	NA	NA	NA	NA	head_epidermis_lateral_subset;3	head_epidermis_lateral_subset;2
chr2L	21295412	21296372	961	*	VT10860	960	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21297127	21299228	2102	*	VT10861	2101	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21298546	21300840	2295	*	VT10862	2294	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21307351	21308434	1084	*	VT10865	1083	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21418809	21419598	790	*	VT10908	789	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21420061	21420177	117	*	VT10909	116	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21428619	21429795	1177	*	VT10915	1176	correct	0	NA	NA	NA	brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;1	NA	NA
chr2L	21430187	21430303	117	*	VT10916	116	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21434329	21434843	515	*	VT10920	514	correct	1	NA	NA	NA	brain_primordium_broad;2|ventral_nerve_cord_primordium_broad;2	brain_broad;1|ventral_nerve_cord_broad;1	NA
chr2L	21435229	21435359	131	*	VT10921	130	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21614105	21615170	1066	*	VT11034	1065	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21615484	21616238	755	*	VT11035	754	not_verified	0	NA	NA	NA	NA	NA	NA
chr2L	21619449	21620825	1377	*	VT11037	1376	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21622695	21623611	917	*	VT11039	916	correct	1	NA	NA	NA	NA	amnioserosa;2|salivary_gland;2	NA
chr2L	21625487	21626671	1185	*	VT11041	1184	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21627994	21630012	2019	*	VT11042	2018	correct	1	NA	ubiquitous;2	ubiquitous;2	brain_primordium_broad;2|ventral_nerve_cord_primordium_broad;2	brain_broad;3|ventral_nerve_cord_broad;2	brain_broad;2|ventral_nerve_cord_broad;2
chr2L	21642719	21643890	1172	*	VT11048	1171	correct	0	NA	NA	NA	NA	NA	head_subset;1
chr2L	21644921	21646645	1725	*	VT11049	1724	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21681090	21682151	1062	*	VT11064	1061	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21710177	21712262	2086	*	VT11075	2085	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21799602	21801780	2179	*	VT11122	2178	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21801352	21803482	2131	*	VT11123	2130	correct	1	NA	NA	NA	head_epidermis_ventral_primordium_subset;1	head_epidermis_ventral_subset;1	head_epidermis_subset;2
chr2L	21804935	21807166	2232	*	VT11125	2231	correct	1	NA	NA	head_epidermis_lateral_anlage;3|head_epidermis_ventral_anlage;3	antenno-maxillary-labial_complex;3|ventral_nerve_cord_primordium_broad;2|head_epidermis_lateral_primordium_subset;3	antenno-maxillary-labial_complex;3|brain_broad;2|ventral_nerve_cord_broad;2|dorsal_pouch;3	antenno-maxillary-labial_complex;3|brain_broad;2|ventral_nerve_cord_broad;2
chr2L	21806687	21808866	2180	*	VT11126	2179	correct	1	NA	NA	NA	NA	amnioserosa;3|anterior_ventral_nerve_cord_broad;2	amnioserosa;3|anterior_ventral_nerve_cord_broad;2
chr2L	21808403	21810591	2189	*	VT11127	2188	correct	0	NA	NA	NA	ventral_nerve_cord_primordium_subset;1	NA	brain_subset;1|anterior_ventral_nerve_cord_subset;1
chr2L	21810239	21812371	2133	*	VT11128	2132	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21813733	21815955	2223	*	VT11130	2222	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21815568	21817692	2125	*	VT11131	2124	correct	1	NA	NA	NA	NA	NA	ventral_nerve_cord_subset;3
chr2L	21817355	21819442	2088	*	VT11132	2087	correct	1	NA	NA	NA	head_subset;1|posterior_midgut_primordium;1	head_subset;3|amnioserosa;2|midgut_interstitial_cell;3|midgut_subset;3	head_subset;3|amnioserosa;2|midgut_chamber;2|head_epidermis_dorsal_subset;3|midgut_interstitial_cell;2
chr2L	21820911	21823017	2107	*	VT11134	2106	correct	1	NA	NA	NA	NA	lateral_epidermis_subset;3|midgut_interstitial_cell;3	lateral_epidermis_subset;2|midgut_interstitial_cell;2
chr2L	21828618	21830680	2063	*	VT11138	2062	correct	0	NA	NA	NA	NA	brain_broad;1|ventral_nerve_cord_broad;1	NA
chr2L	21829918	21832138	2221	*	VT11139	2220	correct	1	NA	NA	NA	NA	midgut_interstitial_cell;2|midgut_subset;2	midgut_chamber;3|midgut_interstitial_cell;3
chr2L	21831331	21833504	2174	*	VT11140	2173	correct	1	NA	NA	NA	NA	NA	trunk_epidermis_subset;2
chr2L	21838349	21840531	2183	*	VT11142	2182	correct	1	NA	NA	mesectoderm_anlage;2	ventral_midline;1	NA	NA
chr2L	21841894	21844018	2125	*	VT11144	2124	not_verified	1	trunk_mesoderm_AISN_broad;2|dorsal_ectoderm_AISN_broad;3|ventral_ectoderm_AISN;3	trunk_mesoderm_anlage_broad;4	ventral_epidermis_anlage_subset;3	ubiquitous;2|ventral_epidermis_primordium_subset;3|cardiac_mesoderm_primordium;3	lateral_epidermis_subset;3|clypeolabrum;3	NA
chr2L	21843469	21845803	2335	*	VT11145	2334	correct	1	gap;3|posterior;3	trunk_mesoderm_anlage_broad;4	trunk_mesoderm_anlage;4|hindgut_anlage;2|clypeolabrum_anlage;2	head_subset;4|clypeo-labral_primordium;4|trunk_mesoderm_primordium;4|somatic_muscle_primordium;4	head_epidermis_ventral_subset;4|dorsal_vessel;4|somatic_muscle;5|clypeolabrum;4	head_subset;3|dorsal_vessel;3|midgut_chamber;3
chr2L	21845436	21847534	2099	*	VT11146	2098	correct	1	NA	NA	NA	brain_primordium_broad;4|ventral_nerve_cord_primordium_broad;3	brain_broad;3|ventral_nerve_cord_broad;3|leading_edge_cell;2|dorsal_epidermis_subset;2	brain_broad;3|leading_edge_cell;2|dorsal_epidermis_subset;2
chr2L	21847155	21849383	2229	*	VT11147	2228	correct	0	NA	NA	NA	NA	ventral_nerve_cord_subset;1|brain_subset;1	NA
chr2L	21848927	21851083	2157	*	VT11148	2156	correct	1	NA	NA	ventral_nerve_cord_anlage_subset;3	ventral_nerve_cord_primordium_subset;3	ventral_nerve_cord_subset;3	brain_broad;1|anterior_ventral_nerve_cord_broad;3
chr2L	21856027	21858152	2126	*	VT11152	2125	correct	1	NA	NA	ventral_ectoderm_anlage;4|brain_anlage_subset;2|dorsal_epidermis_anlage_subset;2	ventral_epidermis_primordium_subset;3|dorsal_epidermis_primordium_subset;2	anterior_ventral_nerve_cord_subset;2	NA
chr2L	21857794	21859931	2138	*	VT11153	2137	correct	0	NA	NA	NA	NA	head_subset;1	head_subset;1|midgut_chamber;1
chr2L	21861349	21863465	2117	*	VT11155	2116	correct	1	NA	NA	NA	NA	NA	head_subset;2|malpighian_tubule;3
chr2L	21863109	21865298	2190	*	VT11156	2189	correct	0	NA	NA	NA	head_subset;1	head_subset;1	head_subset;1
chr2L	21864879	21867056	2178	*	VT11157	2177	correct	1	NA	NA	NA	lateral_epidermis_primordium_subset;3|ventral_epidermis_primordium_subset;3|dorsal_epidermis_primordium_subset;3	trunk_epidermis_subset;3|posterior_spiracle;3	head_epidermis_subset;3
chr2L	21866704	21868808	2105	*	VT11158	2104	correct	1	NA	NA	NA	NA	trunk_epidermis_subset;4	telson_subset;4|trunk_epidermis_subset;3
chr2L	21870198	21872378	2181	*	VT11160	2180	correct	1	NA	NA	NA	ventral_nerve_cord_primordium_subset;2	ventral_nerve_cord_subset;3|brain_subset;2	ventral_nerve_cord_subset;3|brain_subset;2
chr2L	21873761	21875859	2099	*	VT11162	2098	correct	1	NA	NA	NA	NA	NA	amnioserosa;3|anterior_ventral_nerve_cord_subset;1
chr2L	21875487	21877925	2439	*	VT11163	2438	correct	1	NA	NA	NA	NA	NA	anterior_ventral_nerve_cord_subset;3
chr2L	21878072	21880252	2181	*	VT11164	2180	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21881367	21883556	2190	*	VT11166	2189	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21883088	21885196	2109	*	VT11167	2108	not_verified	0	NA	NA	NA	NA	NA	NA
chr2L	21884776	21886832	2057	*	VT11168	2056	correct	1	NA	NA	NA	NA	lateral_epidermis_subset;2|midgut_subset;1	lateral_epidermis_subset;3|midgut_broad;1|head_epidermis_subset;3|dorsal_epidermis_subset;3
chr2L	21886425	21888523	2099	*	VT11169	2098	correct	1	NA	NA	NA	NA	proventriculus;2	proventriculus;3
chr2L	21887989	21890192	2204	*	VT11170	2203	correct	0	NA	NA	NA	NA	NA	NA
chr2L	21889776	21891962	2187	*	VT11171	2186	correct	0	NA	NA	NA	NA	ventral_nerve_cord_broad;1	brain_broad;1|ventral_nerve_cord_broad;1
chr2L	21891472	21893562	2091	*	VT11172	2090	correct	1	NA	NA	NA	NA	ventral_nerve_cord_subset;3	ventral_nerve_cord_subset;4
chr2L	21893133	21895276	2144	*	VT11173	2143	correct	1	NA	NA	ventral_nerve_cord_anlage_subset;3	ventral_nerve_cord_primordium_subset;3	ventral_nerve_cord_subset;3	ventral_nerve_cord_subset;3
chr2L	21894811	21896943	2133	*	VT11174	2132	correct	1	NA	NA	NA	NA	telson_subset;3	telson_subset;3
chr2L	21903608	21906337	2730	*	VT11177	2729	correct	0	NA	NA	NA	NA	NA	NA
chr2L	22189036	22191235	2200	*	VT11311	2199	correct	0	NA	NA	NA	NA	NA	NA
chr2L	22190536	22192631	2096	*	VT11312	2095	correct	0	NA	NA	NA	NA	NA	NA
chr2L	22209873	22212791	2919	*	VT11319	2918	correct	0	NA	NA	NA	NA	NA	NA
chr2L	19512948	19513429	482	*	VT9999	481	correct	0	NA	NA	NA	NA	NA	NA
chr3R	1035247	1036410	1164	*	VT50891	1163	correct	0	NA	NA	NA	NA	NA	NA
chr3L	24726061	24728359	2299	*	VT35629	2298	correct	0	NA	NA	NA	NA	NA	NA
chr3L	24729318	24731395	2078	*	VT35631	2077	correct	1	anterior_endoderm_AISN;3	anterior_endoderm_anlage;4	anterior_endoderm_anlage;4	epipharynx_primordium;4|hypopharynx_primordium;3	epipharynx;4|hypopharynx;3	pharynx;3
chr3L	24733345	24735521	2177	*	VT35633	2176	correct	0	NA	NA	NA	NA	NA	NA
chr2R	4850291	4852395	2105	*	VT11911	2104	correct	0	NA	NA	NA	NA	NA	NA
chr2R	4852048	4854138	2091	*	VT11912	2090	correct	0	NA	NA	NA	NA	NA	NA
chr2R	4876307	4878398	2092	*	VT11917	2091	correct	0	NA	NA	NA	NA	NA	NA
chr2R	4897060	4899360	2301	*	VT11923	2300	correct	0	NA	NA	NA	NA	NA	NA
chr2R	4914873	4916972	2100	*	VT11932	2099	correct	0	NA	NA	NA	NA	NA	NA
chr2R	4939242	4941321	2080	*	VT11939	2079	correct	0	NA	NA	NA	NA	NA	NA
chr2R	4941000	4943077	2078	*	VT11940	2077	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5027883	5029955	2073	*	VT11963	2072	correct	1	NA	NA	NA	NA	NA	head_epidermis_ventral_subset;3
chr2R	5029094	5031176	2083	*	VT11964	2082	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5030264	5032357	2094	*	VT11965	2093	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5040671	5042766	2096	*	VT11969	2095	correct	1	NA	NA	NA	head_subset;1|dorsal_epidermis_primordium_subset;2	head_subset;1	NA
chr2R	5062703	5064802	2100	*	VT11974	2099	correct	1	NA	NA	NA	brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;1	NA	NA
chr2R	5070165	5072695	2531	*	VT11979	2530	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5337493	5338384	892	*	VT12087	891	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5338822	5339858	1037	*	VT12088	1036	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5340279	5340977	699	*	VT12089	698	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5350454	5350968	515	*	VT12093	514	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5693597	5695953	2357	*	VT12222	2356	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5695163	5697898	2736	*	VT12223	2735	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5697842	5698506	665	*	VT12224	664	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5699145	5700119	975	*	VT12225	974	correct	1	anterior_endoderm_AISN;4	NA	NA	NA	NA	NA
chr2R	5702103	5703198	1096	*	VT12227	1095	correct	0	NA	NA	NA	NA	somatic_muscle;1	NA
chr2R	5705402	5706350	949	*	VT12228	948	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5709683	5711853	2171	*	VT12230	2170	not_verified	1	NA	NA	head_epidermis_ventral_anlage;3	antenno-maxillary-labial_complex;3	head_epidermis_ventral_subset;1	head_epidermis_subset;1
chr2R	5713045	5715137	2093	*	VT12232	2092	correct	1	NA	NA	NA	lateral_epidermis_primordium_subset;2	lateral_epidermis_subset;2|posterior_spiracle;2	NA
chr2R	5734954	5737069	2116	*	VT12244	2115	correct	1	head_mesoderm_AISN;1	head_mesoderm_anlage;3	head_mesoderm_anlage;3	ventral_nerve_cord_primordium_subset;2|visceral_muscle_primordium_subset;2|hypopharynx_primordium;4|head_mesoderm_primordium;2	brain_subset;4|visceral_muscle_subset;2|hypopharynx;4	head_epidermis_ventral_subset;2|pharynx;4|brain_subset;3
chr2R	5741129	5743215	2087	*	VT12246	2086	not_verified	1	NA	NA	NA	brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;1	ventral_nerve_cord_broad;2|brain_subset;3	ventral_nerve_cord_broad;2|brain_subset;3
chr2R	5747269	5749363	2095	*	VT12249	2094	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5748902	5751042	2141	*	VT12250	2140	correct	0	NA	NA	NA	NA	NA	brain_broad;1|ventral_nerve_cord_broad;1
chr2R	5798427	5801032	2606	*	VT12275	2605	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5803448	5805557	2110	*	VT12278	2109	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5804982	5807081	2100	*	VT12279	2099	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5810423	5812538	2116	*	VT12282	2115	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5812139	5814252	2114	*	VT12283	2113	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5813854	5815950	2097	*	VT12284	2096	correct	1	NA	NA	brain_anlage_subset;2|ventral_nerve_cord_anlage_subset;3	brain_primordium_subset;3|anterior_ventral_nerve_cord_primordium_subset;3	ventral_nerve_cord_subset;3|brain_subset;3	ventral_nerve_cord_subset;2|brain_subset;2
chr2R	5815585	5817662	2078	*	VT12285	2077	correct	1	NA	NA	NA	NA	NA	head_subset;3|telson_subset;3|dorsal_epidermis_subset;2
chr2R	5817266	5819408	2143	*	VT12286	2142	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5818943	5821079	2137	*	VT12287	2136	correct	1	NA	NA	NA	NA	NA	anterior_ventral_nerve_cord_subset;2
chr2R	5822381	5824579	2199	*	VT12289	2198	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5824135	5826225	2091	*	VT12290	2090	correct	1	NA	NA	NA	NA	brain_subset;2	brain_subset;2
chr2R	5825844	5827960	2117	*	VT12291	2116	correct	1	NA	NA	NA	head_subset;3	head_subset;3	head_subset;3
chr2R	5827538	5829651	2114	*	VT12292	2113	correct	1	NA	NA	amnioserosa_anlage;2	head_epidermis_ventral_primordium_subset;3|amnioserosa;3|dorsal_epidermis_primordium_subset;3	antenno-maxillary-labial_complex;3|head_epidermis_dorsal_subset;3|dorsal_epidermis_subset;3|head_epidermis_lateral_subset;3	head_subset;3|head_epidermis_dorsal_subset;4
chr2R	5829254	5831348	2095	*	VT12293	2094	correct	0	NA	NA	NA	NA	NA	NA
chr2R	5830962	5833060	2099	*	VT12294	2098	correct	1	NA	NA	ventral_nerve_cord_anlage_subset;3	brain_primordium_subset;1|anterior_ventral_nerve_cord_primordium_subset;1	anterior_ventral_nerve_cord_broad;2	ventral_nerve_cord_subset;1|brain_subset;1
