Geneid	Chr	Start	End	Strand	Length	factor	direction	Gd7	Toll10b	Toll9
Region84	chr2L	285460	285868	.	409	Toll9	Up	-0.151137095875509	-0.212954363052419	0.51898606387965
Region85	chr2L	294945	295369	.	425	Toll10b	Up	-0.249143924839568	0.277431452197319	0.014435634605097
Region86	chr2L	297698	298334	.	637	Gd7	Down	-0.188808654993999	0.0992161154295934	0.159530839656499
Region87	chr2L	305669	306053	.	385	Toll9	Up	-0.347635463714487	-0.140468925098608	0.726195733086256
Region88	chr2L	347953	348270	.	318	Toll9	Down	0.067649160102765	0.0532808131050461	-0.176039567279957
Region89	chr2L	354077	354643	.	567	Gd7	Up	2.82225165071416	-1.82634170248707	-1.92518984625777
Region90	chr2L	354907	355265	.	359	Toll9	Down	0.330595098921568	-0.0792443638233689	-0.405771533130254
Region91	chr2L	356175	356749	.	575	Toll9	Up	0.0023510800247	-0.0349807273745913	0.0431748134137552
Region92	chr2L	357823	358103	.	281	Toll10b	Up	-0.116594881596453	0.152759963406823	-0.0239276401853642
Region93	chr2L	377626	378142	.	517	Toll9	Up	-0.738940907901259	-0.752428480231688	2.15099720260456
Region94	chr2L	403750	404237	.	488	Gd7	Up	0.377830335359656	-0.369461943939031	-0.0905022877883413
Region95	chr2L	414404	415407	.	1004	Toll9	Up	-0.441888426443445	0.160382126600563	0.469488120872107
Region96	chr2L	419855	420262	.	408	Toll9	Up	-0.387061191744683	0.075885360907734	0.497687180693635
Region97	chr2L	421221	421676	.	456	Toll9	Down	0.110514567633762	-0.0189543538522466	-0.145731022359889
Region98	chr2L	430887	431959	.	1073	Toll10b	Down	0.114033019498079	-0.14039394426212	0.0113444389346423
Region99	chr2L	441747	442435	.	689	Toll9	Up	0.256079007649374	-1.32310341579801	1.37425111973101
Region100	chr2L	452821	453223	.	403	Toll9	Up	0.0244760747431809	-0.236555473087177	0.27868873373638
Region101	chr2L	455344	455670	.	327	Toll9	Up	-0.101319595214708	-0.3081002101392	0.569192822131735
Region102	chr2L	478925	479403	.	479	Toll9	Up	-0.536836913227114	-0.00028449314258708	0.831506764380114
Region103	chr2L	480736	481586	.	851	Toll10b	Up	-0.369640978092109	0.742247740161237	-0.421075916085058
Region104	chr2L	486906	487196	.	291	Toll9	Down	0.432596326647917	0.207236707932185	-0.947086743128827
Region105	chr2L	490053	491176	.	1124	Toll9	Down	0.0102311657185641	0.151332336759826	-0.218367979436539
Region106	chr2L	491937	492295	.	359	Gd7	Up	0.427274840722282	-0.237294408305315	-0.34393173508595
Region107	chr2L	501595	502174	.	580	Toll10b	Down	1.3724182196246	-1.47077650030363	-0.156424094494296
Region108	chr2L	510494	510984	.	491	Toll10b	Up	-0.424041992694337	0.592010435663826	-0.135790060804777
Region109	chr2L	514214	514792	.	579	Gd7	Up	1.82154869565785	-1.29251466327395	-1.09033176550852
Region110	chr2L	515269	515648	.	380	Toll9	Down	1.37465835389571	-0.234986497055327	-1.81375095394756
Region111	chr2L	516317	517177	.	861	Toll9	Down	0.609932916140468	0.305361814319122	-1.35295854298353
Region112	chr2L	517544	519906	.	2363	Gd7	Up	3.7282684796918	-2.20027206385482	-2.82744557362077
Region113	chr2L	521008	523965	.	2958	Gd7	Up	1.04123940628589	-0.653198814309852	-0.737860908236663
Region114	chr2L	524428	525088	.	661	Toll9	Down	2.05955510058523	-0.759055022487057	-2.17274056131999
Region115	chr2L	538660	539313	.	654	Gd7	Up	1.74609486096556	-1.13254323213588	-1.18760471313456
Region116	chr2L	540651	541275	.	625	Gd7	Down	-0.837388660249852	0.536129225270618	0.578935357372992
Region117	chr2L	542147	542633	.	487	Toll10b	Up	-0.133773340176888	0.327292518543581	-0.230909158498448
Region118	chr2L	544313	544788	.	476	Gd7	Up	0.257598473003634	-0.212351100729455	-0.114621973195543
Region119	chr2L	560126	560513	.	388	Toll10b	Down	0.290855811543278	-0.637964638973635	0.4034882405928
Region120	chr2L	564008	564504	.	497	Gd7	Up	0.196957249213603	-0.110740955426751	-0.156722716964214
Region121	chr2L	567809	568169	.	361	Gd7	Down	-0.543550863771317	0.486610563464928	0.190289215926155
Region122	chr2L	573971	574721	.	751	Toll9	Up	-0.177931167838504	-0.271703819304299	0.639092844537321
Region123	chr2L	594563	595282	.	720	Toll9	Up	0.0110675124171683	-0.213477337175593	0.268562261097072
Region124	chr2L	597717	598193	.	477	Toll10b	Down	0.657105045241536	-0.821342853704978	0.0818797123425711
Region125	chr2L	599461	599883	.	423	Toll10b	Down	0.849928791438762	-1.79667005424711	1.08863287845936
Region126	chr2L	600510	601005	.	496	Gd7	Up	2.09871434868973	-1.94757167978524	-0.642773804112457
Region127	chr2L	601494	602023	.	530	Toll10b	Down	0.596877013724819	-1.02570222229415	0.448618501873913
Region128	chr2L	701631	702371	.	741	Toll9	Down	0.52770687831392	-0.173286996929897	-0.585080869809703
Region129	chr2L	708328	708623	.	296	Gd7	Up	0.591047878876282	-0.528666489642081	-0.207540184687019
Region130	chr2L	712746	713077	.	332	Toll9	Up	-0.0718843703713191	-0.207898773156323	0.389521815173788
Region131	chr2L	713296	713808	.	513	Toll9	Up	-0.189487564951443	-0.340260743834153	0.748734137842453
Region132	chr2L	714812	715627	.	816	Toll10b	Down	0.189790127288618	-0.59818545074963	0.50672069591058
Region133	chr2L	740080	740419	.	340	Toll9	Down	1.2666986728277	2.59267453600347	-5.43086967485926
Region134	chr2L	819784	820238	.	455	Toll9	Up	-0.365476661737892	-0.122244871027589	0.729428048152424
Region135	chr2L	821252	821826	.	575	Toll9	Up	-0.0115600380126783	-0.143219674042974	0.209568144735453
Region136	chr2L	825598	826857	.	1260	Toll9	Down	0.443570911723033	0.271915795463559	-1.05063756811518
Region137	chr2L	849755	851292	.	1538	Toll9	Up	-0.0028773536207934	-0.339265908776885	0.458494517199996
Region138	chr2L	852446	853070	.	625	Gd7	Down	-0.756159284190029	0.484185948758737	0.522692502642513
Region139	chr2L	855263	855622	.	360	Gd7	Up	2.18807395457608	-1.94336149583341	-0.786754025692744
Region140	chr2L	865705	866234	.	530	Toll10b	Down	0.297006970215364	-1.12988942052692	1.05230838304476
Region141	chr2L	867041	868514	.	1474	Toll10b	Down	0.131836837121842	-0.328386505156704	0.235371318036256
Region142	chr2L	869648	869844	.	197	Gd7	Down	-0.283311844499054	0.189097120602183	0.185552000445577
Region143	chr2L	870516	871957	.	1442	Toll9	Up	-0.199783850351883	0.069930333529506	0.215715721554463
Region144	chr2L	901304	901796	.	493	Gd7	Down	-1.28712716373989	0.821266730179385	0.893616678191975
Region145	chr2L	996816	997070	.	255	Toll9	Down	-0.0804810119751438	1.01683139494333	-1.23622626060553
Region146	chr2L	1006494	1006868	.	375	Toll9	Up	-1.79466315380392	0.572597149914387	2.01217397135727
Region147	chr2L	1062414	1062900	.	487	Toll9	Up	-1.24243067952349	0.0397362097535942	1.8703408794022
Region148	chr2L	1063108	1063405	.	298	Gd7	Down	-1.00610522121345	0.791569816798048	0.498284464249492
Region149	chr2L	1066045	1067117	.	1073	Gd7	Up	1.47000380395017	-0.996279988591649	-0.942524252238752
Region150	chr2L	1067653	1068987	.	1335	Gd7	Up	0.758690069938111	-0.311464631609482	-0.757763712606567
Region151	chr2L	1076088	1078185	.	2098	Toll9	Up	-0.0465021884596777	-0.0219722034458822	0.101399681907707
Region152	chr2L	1108094	1108541	.	448	Toll9	Down	0.0274360920984511	0.0333643186354755	-0.0871278013582159
Region153	chr2L	1118106	1118528	.	423	Toll9	Down	0.518855287507323	0.359265318700146	-1.28409208763267
Region154	chr2L	1118804	1120220	.	1417	Toll9	Down	0.116533642683566	0.0888374244408782	-0.299307518721762
Region155	chr2L	1142696	1142978	.	283	Gd7	Up	0.138503633579461	-0.0948713705733032	-0.087463638337558
Region156	chr2L	1150417	1151092	.	676	Toll10b	Up	-0.123343496262407	0.161544287249976	-0.02523556363179
Region157	chr2L	1157815	1158335	.	521	Gd7	Down	-0.588373882732496	0.277348866230316	0.539738895279494
Region158	chr2L	1158640	1159023	.	384	Toll9	Up	0.02518461292006	-0.210813551432341	0.243141347989138
Region159	chr2L	1164369	1164696	.	328	Toll10b	Up	-0.343989463092594	0.42677215831402	-0.0385881465140092
Region160	chr2L	1169700	1170009	.	310	Toll10b	Up	-0.149674421908087	0.247975402661139	-0.100141091683904
Region161	chr2L	1177564	1177813	.	250	Toll10b	Up	-0.0265618125524198	0.0997991665170691	-0.092438544034334
Region162	chr2L	1183785	1184300	.	516	Toll9	Down	0.370317334316793	-0.114309444847232	-0.42034151205019
Region163	chr2L	1220246	1220707	.	462	Toll9	Down	0.638742794637626	0.333171800618827	-1.43477986074931
Region164	chr2L	1220933	1221480	.	548	Gd7	Up	2.9973451189935	-2.08799948521984	-1.84609115131586
Region165	chr2L	1227303	1227570	.	268	Gd7	Up	0.997315497536793	-0.55665028393305	-0.799069284006345
Region166	chr2L	1404834	1405566	.	733	Toll9	Down	-0.0651431170188215	0.510302603998525	-0.582084382815672
Region167	chr2L	1409138	1409525	.	388	Toll9	Up	-0.346621145752984	0.0840415243754157	0.424162869466013
Region168	chr2L	1410110	1412449	.	2340	Toll10b	Down	0.0980029998025695	-0.344416656027597	0.309205720422489
Region169	chr2L	1418155	1418569	.	415	Toll9	Up	-0.81023300268912	0.162862662503632	1.03643614095464
Region170	chr2L	1419528	1420754	.	1227	Toll9	Up	-0.14329878681378	-0.022787297468281	0.252350136151483
Region171	chr2L	1421442	1422475	.	1034	Toll9	Up	-0.265281968579058	-0.311417546313489	0.827477471013219
Region172	chr2L	1425865	1426627	.	763	Gd7	Down	-0.923347431535017	0.487518685058799	0.777071468400476
Region173	chr2L	1429508	1429999	.	492	Gd7	Up	0.972995741787475	-0.755515774579514	-0.495275821505095
Region174	chr2L	1432267	1432756	.	490	Gd7	Up	1.73545407981496	-1.09500141774408	-1.22137299136134
Region175	chr2L	1435721	1436111	.	391	Gd7	Down	-1.97594255476393	1.52383795324279	1.01978279869293
Region176	chr2L	1449932	1450149	.	218	Gd7	Up	1.11767372169884	-0.832717097610615	-0.615946364787034
Region177	chr2L	1461859	1462731	.	873	Toll10b	Up	-2.51639985938574	4.22627099061768	-1.76015431247667
Region178	chr2L	1463216	1463874	.	659	Gd7	Up	1.25298259699301	-1.24715144336267	-0.270792533972234
Region179	chr2L	1478777	1479061	.	285	Toll9	Down	0.188927833209498	0.726874999664452	-1.2652737197178
Region180	chr2L	1485782	1486395	.	614	Toll9	Down	1.07314386687897	0.587957121996757	-2.4482950402355
Region181	chr2L	1502598	1503003	.	406	Toll9	Up	-0.293674283884319	-0.0865388990670926	0.570478930229508
Region182	chr2L	1508177	1508661	.	485	Gd7	Up	3.81361228843728	-2.1234686703476	-3.06236012230623
Region183	chr2L	1508904	1509262	.	359	Toll10b	Down	1.80671331975372	-2.17551320969791	0.114353856738455
Region184	chr2L	1510180	1511287	.	1108	Toll10b	Down	1.04133019498884	-1.63790342242902	0.579829461649037
Region185	chr2L	1517079	1517344	.	266	Toll9	Up	-0.14180412673629	-0.519441374619628	0.914708647287014
Region186	chr2L	1517660	1518466	.	807	Toll9	Up	-0.523209071489539	0.0406415587168573	0.755636897323717
Region187	chr2L	1525084	1525528	.	445	Gd7	Up	1.51441397634403	-1.41252449909836	-0.454219331365574
Region188	chr2L	1556712	1557004	.	293	Toll9	Up	-1.46368750311436	0.438408310009429	1.67934550568952
Region189	chr2L	1610928	1611546	.	619	Toll9	Up	-0.157672762638872	-0.152310377570681	0.447944631700095
Region190	chr2L	1613900	1614430	.	531	Toll10b	Up	-0.984399712569619	1.08244866317165	0.0753968111898092
Region191	chr2L	1648855	1649117	.	263	Toll9	Down	0.309809089542002	-0.115510796984817	-0.325055427277062
Region192	chr2L	1651096	1651393	.	298	Toll9	Down	0.0714452705109249	0.387069201822134	-0.628625926108969
Region193	chr2L	1663092	1663473	.	382	Gd7	Down	-1.12707764107431	0.717443573061379	0.78477607307296
Region194	chr2L	1669625	1670035	.	411	Toll10b	Down	0.70017240823404	-0.776499863776657	-0.0448101950077345
Region195	chr2L	1679113	1679464	.	352	Toll9	Down	0.501116226571497	0.0639787842457055	-0.861446440522613
Region196	chr2L	1679686	1680314	.	629	Gd7	Up	2.98195212767268	-1.85979162568337	-2.12767061462203
Region197	chr2L	1710092	1710733	.	642	Gd7	Down	-0.536539574701131	0.288051994769572	0.445165485884868
Region198	chr2L	1715577	1716068	.	492	Gd7	Down	-0.340931239385666	0.323869601684518	0.0943917093810343
Region199	chr2L	1723682	1723924	.	243	Gd7	Up	1.07678690058549	-0.832559290632304	-0.552856953368446
Region200	chr2L	1724146	1724558	.	413	Toll10b	Down	0.123888121303387	-0.389424126693328	0.329364143038758
Region201	chr2L	1728742	1728975	.	234	Toll10b	Up	-0.355538856570959	0.583271033181129	-0.230150044166646
Region202	chr2L	1729768	1730062	.	295	Toll10b	Down	0.501257083616289	-0.970584111483272	0.522891798349213
Region203	chr2L	1732241	1732525	.	285	Toll9	Down	-0.0320142323480828	0.371188039718066	-0.447197093298599
Region204	chr2L	1737294	1737604	.	311	Toll10b	Up	-0.946820193151227	1.68312383515838	-0.786667499856286
Region205	chr2L	1751752	1752283	.	532	Toll9	Up	-0.0130223408544188	-0.0350040441681242	0.0670070086936359
Region206	chr2L	1758990	1759322	.	333	Toll9	Down	0.191461600532401	0.471989407449449	-0.928082892769249
Region207	chr2L	1805750	1806138	.	389	Toll10b	Up	-0.549467204972015	0.907722065127142	-0.364125002308454
Region208	chr2L	1884348	1885462	.	1115	Toll9	Up	-0.114775462084703	-0.489091328198431	0.832245624200358
Region209	chr2L	1886347	1887109	.	763	Toll9	Up	-0.704434983662081	-0.651527377564699	1.96253942183687
Region210	chr2L	1909758	1910157	.	400	Toll10b	Down	1.13319992240887	-1.26394408554739	-0.0628724806547191
Region211	chr2L	1954393	1955192	.	800	Toll9	Up	0.136160227489376	-0.667002578303642	0.681848033358849
Region212	chr2L	1958057	1958770	.	714	Toll10b	Down	2.51516044330397	-2.76130971341924	-0.198485629491748
Region213	chr2L	1960969	1961261	.	293	Toll10b	Down	0.968018092008025	-1.2594539041658	0.186851313820553
Region214	chr2L	1970323	1970991	.	669	Toll9	Up	-0.070458777141806	-0.35099229496229	0.578816894077965
Region215	chr2L	1972532	1973126	.	595	Toll10b	Down	0.249081495559644	-0.352071770609804	0.08555221290172
Region216	chr2L	1973918	1974424	.	507	Toll9	Up	-0.430709862667518	0.117825814553654	0.509134714965659
Region217	chr2L	1980476	1980976	.	501	Gd7	Down	-0.363807534258105	0.169860326013544	0.335919312163902
Region218	chr2L	1982146	1982453	.	308	Toll10b	Up	-0.131339475313688	0.470986511903002	-0.426983026861397
Region219	chr2L	2009649	2010079	.	431	Toll10b	Down	0.602552830521986	-0.876132523274744	0.239662011643045
Region220	chr2L	2013757	2014279	.	523	Toll9	Up	-0.505276196678287	-0.58448425660741	1.56447973908822
Region221	chr2L	2037453	2038556	.	1104	Toll9	Up	-0.141492905816314	-0.0993392932071123	0.352003881901496
Region222	chr2L	2045189	2045624	.	436	Toll10b	Up	-0.0870198644811674	0.0921168415026828	0.0114433235753995
Region223	chr2L	2100515	2100713	.	199	Toll9	Down	-0.15262323943073	1.05787541205279	-1.17946555953287
Region224	chr2L	2130235	2130650	.	416	Toll10b	Up	-0.850646520969823	1.28077026290776	-0.397092611874142
Region225	chr2L	2144730	2145308	.	579	Toll9	Up	-0.168046362094088	-0.289539973827017	0.647659417379723
Region226	chr2L	2146851	2147766	.	916	Toll9	Up	-0.00527428018576677	-0.245856953353202	0.337196140818736
Region227	chr2L	2151692	2152076	.	385	Gd7	Down	-0.47215193525357	0.222464219673475	0.433257297479321
Region228	chr2L	2161046	2162007	.	962	Toll10b	Up	-0.0962164658971742	0.180289269634872	-0.0923198095702203
Region229	chr2L	2162298	2164218	.	1921	Toll10b	Up	-0.412077173179757	0.655073246855453	-0.238710893886697
Region230	chr2L	2164421	2165493	.	1073	Toll10b	Down	0.145654667178769	-0.310612389687865	0.190191566913968
Region231	chr2L	2172213	2172892	.	680	Toll9	Up	-0.211421923485004	-1.10718390233969	1.8090665602495
Region232	chr2L	2175334	2175820	.	487	Toll9	Up	0.178180057705316	-0.981515196495472	1.03770579117274
Region233	chr2L	2178060	2178950	.	891	Toll10b	Down	0.0753046560376152	-0.135555860900998	0.0648285283912941
Region234	chr2L	2181426	2182501	.	1076	Toll10b	Down	0.0538086943224524	-0.147068829956682	0.113516196100592
Region235	chr2L	2182760	2183435	.	676	Gd7	Down	-0.605547613864612	0.271104786243678	0.574683566647058
Region236	chr2L	2192054	2192576	.	523	Toll10b	Up	-0.330211942350837	0.52553339505547	-0.192090617293242
Region237	chr2L	2196487	2197502	.	1016	Toll9	Up	-0.310580887865603	0.123231303598507	0.315917958532921
Region238	chr2L	2200219	2200575	.	357	Gd7	Down	-1.43077569666964	1.35239244692245	0.405206078683045
Region239	chr2L	2201978	2202964	.	987	Gd7	Down	-1.05700844737484	0.622351479218354	0.803557406326792
Region240	chr2L	2215893	2216376	.	484	Toll9	Down	1.8242299297789	-0.580295535390725	-2.04764622988296
Region241	chr2L	2217098	2217611	.	514	Toll9	Up	0.11443846318019	-0.527624370272366	0.528947509202912
Region242	chr2L	2221837	2222141	.	305	Gd7	Up	0.609318596846724	-0.478048085670383	-0.303569392737292
Region243	chr2L	2226533	2227135	.	603	Toll9	Up	-0.1081934425399	-0.3781416720807	0.673571391989479
Region244	chr2L	2236663	2237084	.	422	Toll9	Down	0.0121290833274553	0.0599070037382162	-0.0989517253011871
Region245	chr2L	2364175	2365859	.	1685	Gd7	Down	-0.506366094739991	0.485748643802147	0.13387360241675
Region246	chr2L	2374508	2374814	.	307	Toll9	Down	0.59178589542225	0.276266160443532	-1.28592475476435
Region247	chr2L	2375704	2376498	.	795	Toll9	Down	0.162213904777919	0.271806752863101	-0.61489727686187
Region248	chr2L	2380612	2381419	.	808	Toll9	Up	-0.190717768397862	0.0433159902656916	0.237297691811361
Region249	chr2L	2447939	2448844	.	906	Gd7	Up	3.11853194721146	-2.15464050209354	-1.94452577296276
Region250	chr2L	2449494	2450213	.	720	Gd7	Up	2.5997779127463	-2.5467694643914	-0.616609005075562
Region251	chr2L	2450770	2451549	.	780	Toll10b	Down	0.902344487397507	-0.994880819728861	-0.0655517694703529
Region252	chr2L	2454249	2455929	.	1681	Gd7	Up	0.977645583469985	-0.780471665961245	-0.469076175640443
Region253	chr2L	2456350	2458314	.	1965	Gd7	Up	1.91425690542768	-1.7311543414517	-0.646829956896581
Region254	chr2L	2460885	2462662	.	1778	Gd7	Up	2.98379124480501	-2.43327450776838	-1.36302534052235
Region255	chr2L	2492458	2493468	.	1011	Gd7	Down	-0.283695511926227	0.193995811057444	0.179590069694452
Region256	chr2L	2493904	2494103	.	200	Toll10b	Down	0.710801234255268	-1.39502033244481	0.766500768201496
Region257	chr2L	2574865	2575205	.	341	Gd7	Up	0.55041764973699	-0.514521918110767	-0.163566524298902
Region258	chr2L	2575641	2576987	.	1347	Toll9	Up	0.0137003001802549	-0.31297386386907	0.397642480590083
Region259	chr2L	2577620	2579055	.	1436	Toll10b	Down	0.256342548238614	-0.496792216571547	0.267990200393241
Region260	chr2L	2579324	2579662	.	339	Gd7	Down	-0.737994654129318	0.427314649312618	0.570681091001214
Region261	chr2L	2580230	2580606	.	377	Toll10b	Up	-0.511856099639129	0.530293471430574	0.0827588012831063
Region262	chr2L	2585018	2585653	.	636	Toll9	Up	-0.36397355437408	0.0881110541794028	0.445581455847591
Region263	chr2L	2739888	2740130	.	243	Toll9	Down	0.191303845633363	0.440411255608724	-0.885577593374496
Region264	chr2L	2748378	2748912	.	535	Toll9	Up	0.0701690732559014	-0.435772719441653	0.47455984172589
Region265	chr2L	2749357	2751599	.	2243	Toll10b	Down	0.297237951869155	-0.433228356401575	0.119608745851311
Region266	chr2L	2752129	2754631	.	2503	Gd7	Down	-0.301425701267927	0.136400535878287	0.284119588295898
Region267	chr2L	2754966	2756238	.	1273	Gd7	Down	-0.319232632529126	0.298325008874004	0.0949844716179449
Region268	chr2L	2757418	2757651	.	234	Gd7	Down	-0.720081304706303	0.643964905579201	0.253004603118967
Region269	chr2L	2757944	2758226	.	283	Toll9	Up	-0.672315458635621	0.0664885663973957	0.951890979818164
Region270	chr2L	2758461	2760175	.	1715	Toll9	Up	-0.130729904582246	-0.517079372385306	0.894402567866617
Region271	chr2L	2766073	2766616	.	544	Toll10b	Up	-0.355651669129557	0.444583151075413	-0.0443692903830124
Region272	chr2L	2767366	2768176	.	811	Toll9	Up	-0.455160726169164	0.0811044914746882	0.596133494165613
Region273	chr2L	2769461	2770533	.	1073	Toll9	Up	0.0595762387528607	-0.29436645047357	0.301715454153279
Region274	chr2L	2798873	2799196	.	324	Toll10b	Up	-1.32378865351914	2.45281205473241	-1.23312268904733
Region275	chr2L	2814805	2815303	.	499	Gd7	Up	0.902252642431574	-0.880166345470942	-0.218932044327246
Region276	chr2L	2855608	2856395	.	788	Toll10b	Up	-0.361115558318294	0.498926836793683	-0.108638342877711
Region277	chr2L	2857007	2857401	.	395	Gd7	Down	-0.320147298921316	0.265065677238159	0.140911538705076
Region278	chr2L	2862283	2862718	.	436	Toll9	Down	0.773487068362138	0.125192915675054	-1.36505141959269
Region279	chr2L	2867537	2867800	.	264	Toll10b	Up	-1.75361382153605	2.94798723385827	-1.23036459272469
Region280	chr2L	2873571	2875261	.	1691	Gd7	Down	-0.350509648562555	0.209120689754967	0.26278947172161
Region281	chr2L	2877951	2879449	.	1499	Toll9	Up	-0.0830014771121101	-0.0582506912621256	0.206459076586395
Region282	chr2L	2882936	2883274	.	339	Toll9	Up	-0.120074950084774	-0.47983785977096	0.828066319473309
Region283	chr2L	2884872	2885477	.	606	Toll9	Up	-0.231740271564426	0.0496039511570712	0.292393175293177
Region284	chr2L	2885693	2887230	.	1538	Toll9	Up	-0.229949600903039	0.086210979646494	0.240629661110356
Region285	chr2L	2888681	2889557	.	877	Toll9	Up	-0.390543412212562	0.022181723188542	0.574949942076417
Region286	chr2L	2897136	2897489	.	354	Toll9	Down	-0.143277927373673	0.849203228143588	-0.914667743781657
Region287	chr2L	2908839	2909057	.	219	Toll10b	Down	0.650334715235557	-1.30621461506636	0.74126572375381
Region288	chr2L	2945932	2946174	.	243	Gd7	Down	-0.656458912754633	0.584995541122633	0.233423739920227
Region289	chr2L	2957832	2958198	.	367	Toll10b	Up	-0.51658268587292	1.27074633910937	-0.900872178489307
Region290	chr2L	2969116	2969821	.	706	Toll9	Up	-0.512875290620057	0.12917187868696	0.621158037015672
Region291	chr2L	2972085	2972580	.	496	Gd7	Down	-0.630875307444	0.532980355762864	0.263427397080286
Region292	chr2L	2978805	2979494	.	690	Toll9	Up	-0.210180290211551	0.0607056712099127	0.244156767817163
Region293	chr2L	2987461	2988442	.	982	Gd7	Down	-0.402310830610683	0.214005836140281	0.336449795548725
Region294	chr2L	2992509	2993510	.	1002	Toll10b	Down	0.142181325236276	-0.397710492954791	0.312132421358607
Region295	chr2L	2999092	3001105	.	2014	Toll9	Up	-0.189252188397796	-0.313961837706871	0.713173883872986
Region296	chr2L	3005377	3005799	.	423	Toll9	Up	-1.12201139131866	-0.0416235081418785	1.79279260502747
Region297	chr2L	3006933	3007287	.	355	Gd7	Up	1.12259644502815	-0.719959741892134	-0.774470935441413
Region298	chr2L	3013016	3013780	.	765	Gd7	Up	4.03430950402135	-1.74642524891388	-3.90863904292129
Region299	chr2L	3022817	3023412	.	596	Toll9	Up	-0.295133058583583	0.0730482798627725	0.359161748665581
Region300	chr2L	3028956	3029384	.	429	Gd7	Up	0.443183961865105	-0.191978667488018	-0.429208182260201
Region301	chr2L	3030378	3030784	.	407	Toll9	Up	-0.413214448607497	0.0948095283752504	0.512851187371578
Region302	chr2L	3037045	3037291	.	247	Toll9	Up	-0.262685137152032	-0.156448767323346	0.616062245088754
Region303	chr2L	3069562	3070093	.	532	Toll10b	Up	-0.22487635588176	0.339262271834228	-0.105883428044767
Region304	chr2L	3071281	3072922	.	1642	Toll9	Down	0.172240712386125	0.0341082560698854	-0.31230860965287
Region305	chr2L	3078582	3079025	.	444	Toll9	Up	-1.99560929585155	-0.254009327451442	3.42952504020033
Region306	chr2L	3079451	3079883	.	433	Gd7	Up	0.831390464357992	-0.638662692150074	-0.432428388109285
