seqnames	start	end	width	strand	geneID	Chr	ATAC_Start	ATAC_End	Strand	Length	ATAC_factor	ATAC_direction	ATAC_Gd7	ATAC_Time	ATAC_Toll10b	ATAC_Toll9	PRO_Gd7	PRO_Toll10b	PRO_Toll9	PRO_Time	CBP_Gd7	CBP_Toll10b	CBP_Toll9	K27ac_geneID	K27ac_Chr	K27ac_Start	K27ac_End	K27ac_Strand	K27ac_Length	K27ac_factor	K27ac_direction	K27ac_Gd7	K27ac_Toll10b	K27ac_Toll9	enhancerID	enhancerGenotype	insituID	inSituLocation	inSituScore	geneID_unique	enhancer	inSitu	PC1	PC2	PC3	PC4	PC5	distance5	distance4	distance3	distance2	distance1
chr2L	1066045	1067117	1073	*	Region149	chr2L	1066045	1067117	.	1073	Toll10b	Down	1.52247890635963	-0.63918075927805	-2.41853620723092	1.38943798519486	0.308118508798032	-0.402109958266177	0.123818964361469	0.236785806712832	1.46855825553046	-0.997123284575073	-0.939086796347636	Region59	chr2L	1065576	1066116	.	541	Gd7	Up	0.711860845887603	-0.346066065544592	-0.260025615449982	None	None	None	None	-1	Region149	0	0	2.96405294456792	-0.246390348570908	-0.195278022677896	0.425888274297751	1.77028172350699	3.49281115592854	3.0109520737461	2.98067971580505	2.97427605680284	2.96405294456792
chr2L	1066045	1067117	1073	*	Region149	chr2L	1066045	1067117	.	1073	Toll10b	Down	1.52247890635963	-0.63918075927805	-2.41853620723092	1.38943798519486	0.308118508798032	-0.402109958266177	0.123818964361469	0.236785806712832	1.46855825553046	-0.997123284575073	-0.939086796347636	Region60	chr2L	1066675	1067956	.	1282	Toll10b	Down	0.802564234960733	-1.08746950702045	0.488606238074329	None	None	None	None	-1	Region149.1	0	0	3.29265828596524	0.354120776108701	0.194425627243254	-0.171461292848157	1.47187944312375	3.63326705690233	3.32177669503558	3.31734855520735	3.31164613330099	3.29265828596524
chr2L	1118804	1120220	1417	*	Region154	chr2L	1118804	1120220	.	1417	Time	Down	0.904545541895607	-2.87455707920696	0.148265086320097	-1.43451703723475	0.604601004879847	0.404308025260973	-1.43557820759758	-1.61961359480848	0.115009994634101	0.0879220771772936	-0.295694146134576	Region67	chr2L	1120174	1120834	.	661	Gd7	Up	1.44113178920678	-0.283233739482957	-0.994321992961036	None	None	None	None	-1	Region154	0	0	1.4728883093564	-2.84800609161119	-1.62437803938156	-1.69207923126383	-1.21333332156848	4.15384792194191	3.97269112937221	3.5943208933703	3.20632791050654	1.4728883093564
chr2L	1421442	1422475	1034	*	Region171	chr2L	1421442	1422475	.	1034	Toll9	Up	0.512315658540573	0.0115754027038245	-1.97128768524925	2.11773892192789	-0.170810964193372	-0.530666452443165	0.991339335805452	-1.13126901981234	-0.269636259474959	-0.314036663867269	0.837639289668835	Region82	chr2L	1420799	1421557	.	759	Toll9	Up	-0.209985573952389	-1.29888134144415	1.64734568548624	None	None	None	None	-1	Region171	0	0	2.06396051501591	2.83810429317651	-0.547618081545706	-0.0205571788033192	0.00110716365154356	3.55177116001851	3.55177098745511	3.5517114958464	3.50924051419844	2.06396051501591
chr2L	1421442	1422475	1034	*	Region171	chr2L	1421442	1422475	.	1034	Toll9	Up	0.512315658540573	0.0115754027038245	-1.97128768524925	2.11773892192789	-0.170810964193372	-0.530666452443165	0.991339335805452	-1.13126901981234	-0.269636259474959	-0.314036663867269	0.837639289668835	Region83	chr2L	1421932	1422978	.	1047	Toll9	Up	-0.346857922590575	-0.316117048726313	0.670147931370479	None	None	None	None	-1	Region171.1	0	0	1.62260555017834	2.0560659309712	-1.06771176598261	0.758389794564376	0.405490820362492	2.95632240885282	2.92838169979378	2.82847384629728	2.61920901876311	1.62260555017834
chr2L	1461859	1462731	873	*	Region177	chr2L	1461859	1462731	.	873	Toll10b	Up	-1.77570761160213	2.33799549608778	2.38684288320174	-1.00183458696612	-0.911583344748061	1.45344729337739	-0.73736199799374	0.727713772711558	-2.51838363829436	4.2250149232833	-1.75516132725975	Region84	chr2L	1462698	1463723	.	1026	Toll10b	Up	-1.34241558323277	2.44244314823237	-1.5162626287228	region 270	Toll10b	None	None	-1	Region177	1	0	-6.40382063757682	-2.27220273593955	0.424640570818181	0.486272204671641	-0.338954515090955	6.83399549796365	6.82558453928211	6.8082408627964	6.79498521201231	6.40382063757682
chr2L	1517660	1518466	807	*	Region186	chr2L	1517660	1518466	.	807	Time	Down	0.529973380243366	-2.33878372122474	-1.82710774174496	1.88830240093369	0.314628990884276	-1.69634694338893	1.93494139063339	-3.28927897220375	-0.528515367860314	0.0374441464894661	0.768059347889094	Region88	chr2L	1517411	1518017	.	607	Gd7	Up	0.244768276189774	-0.0229881650443277	-0.197039745811414	None	None	None	None	-1	Region186	0	0	2.93958781969621	1.28035959329004	-3.99190379778289	1.03666818305285	-0.930855995993332	5.30631387835477	5.22402853077429	5.12013604981251	3.20632144954871	2.93958781969621
chr2L	1517660	1518466	807	*	Region186	chr2L	1517660	1518466	.	807	Time	Down	0.529973380243366	-2.33878372122474	-1.82710774174496	1.88830240093369	0.314628990884276	-1.69634694338893	1.93494139063339	-3.28927897220375	-0.528515367860314	0.0374441464894661	0.768059347889094	Region89	chr2L	1518382	1519957	.	1576	Gd7	Up	0.364100235861052	-0.164858548287962	-0.146614316623341	None	None	None	None	-1	Region186.1	0	0	3.03784787596344	1.30968140709485	-3.89573974828669	1.00121418870671	-1.04211429652334	5.31121505407682	5.20797495612584	5.11082902198521	3.30813922101013	3.03784787596344
chr2L	1679686	1680314	629	*	Region196	chr2L	1679686	1680314	.	629	Gd7	Up	2.39228099263578	-1.4147408902691	-1.69131807754111	-0.823521178903542	1.07249996942497	-1.28614596119357	0.271314018624316	-0.686905187919693	2.977763294518	-1.8622589924808	-2.11771669823584	Region93	chr2L	1679433	1679778	.	346	Gd7	Up	1.26100144011206	-0.337285528494796	-0.769751342896182	None	None	None	None	-1	Region196	0	0	4.52201638223992	-2.37446010931284	-0.885755253520104	-0.768911281115606	2.18646814727656	5.67830281496016	5.24046561856191	5.1837491587752	5.10751338441361	4.52201638223992
chr2L	1884348	1885462	1115	*	Region208	chr2L	1884348	1885462	.	1115	Time	Up	-0.0201870238053174	1.04327447991709	-0.160718337956663	0.256435711774716	-0.992588721509274	0.544976727766314	0.656627524537704	1.87321837297816	-0.1145954192868	-0.488980829480089	0.831731828745806	Region102	chr2L	1884593	1886244	.	1652	Toll10b	Down	0.760621761401765	-2.04084215548688	1.59562738260617	None	None	None	None	-1	Region208	0	0	0.374873154634965	2.07189835201362	2.79591572234456	-0.192492116742826	-0.204616556395798	3.51131863261591	3.50535170911627	3.50006248367029	2.10553856842916	0.374873154634965
chr2L	1886347	1887109	763	*	Region209	chr2L	1886347	1887109	.	763	Toll10b	Down	1.53537295091671	0.871003982442669	-3.00409155048572	2.20683805021027	-0.116750708080047	-1.18985269913775	1.8410300977883	0.771159713584953	-0.705452352325278	-0.652143010801289	1.96474141975203	Region103	chr2L	1886800	1888417	.	1618	Toll9	Up	-0.0252656071320102	-2.80163614842194	3.16395733217557	None	None	None	None	-1	Region209	0	0	3.28589070601169	5.05593398054076	1.65689079511874	0.208754144709197	0.873300193601976	6.31752046102492	6.25686914896925	6.25338574329059	6.02988773920715	3.28589070601169
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7063	None	0	Region229.4	0	0	0.373280593908331	0.907889625487722	2.62994958610746	1.17105888499564	-0.425433384446177	3.071255325767	3.0416468748773	2.80717594733989	0.98163230074035	0.373280593908331
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7064	procephalic_ectoderm_AISN	4	Region229.5	0	0	0.373280593908331	0.907889625487722	2.62994958610746	1.17105888499564	-0.425433384446177	3.071255325767	3.0416468748773	2.80717594733989	0.98163230074035	0.373280593908331
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7065	dorsal_ectoderm_AISN_broad	4	Region229.6	0	1	0.373280593908331	0.907889625487722	2.62994958610746	1.17105888499564	-0.425433384446177	3.071255325767	3.0416468748773	2.80717594733989	0.98163230074035	0.373280593908331
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7066	ventral_ectoderm_AISN	4	Region229.7	0	1	0.373280593908331	0.907889625487722	2.62994958610746	1.17105888499564	-0.425433384446177	3.071255325767	3.0416468748773	2.80717594733989	0.98163230074035	0.373280593908331
chr2L	2164421	2165493	1073	*	Region230	chr2L	2164421	2165493	.	1073	Time	Up	-0.0558469147821911	0.746356047968262	-0.128042996759873	0.258069530597012	-0.24384347068441	-1.14669579304136	1.9625531720919	1.89216089151102	0.143384231565553	-0.311973395633008	0.195504076576672	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7064	procephalic_ectoderm_AISN	4	Region230	0	0	1.48800240506371	1.21962195014945	2.11986710653628	1.36790550846624	-0.159284794639759	3.17679123236513	3.17279543750121	2.86277232907827	1.92396176125247	1.48800240506371
chr2L	2164421	2165493	1073	*	Region230	chr2L	2164421	2165493	.	1073	Time	Up	-0.0558469147821911	0.746356047968262	-0.128042996759873	0.258069530597012	-0.24384347068441	-1.14669579304136	1.9625531720919	1.89216089151102	0.143384231565553	-0.311973395633008	0.195504076576672	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7065	dorsal_ectoderm_AISN_broad	4	Region230.1	0	1	1.48800240506371	1.21962195014945	2.11986710653628	1.36790550846624	-0.159284794639759	3.17679123236513	3.17279543750121	2.86277232907827	1.92396176125247	1.48800240506371
chr2L	2164421	2165493	1073	*	Region230	chr2L	2164421	2165493	.	1073	Time	Up	-0.0558469147821911	0.746356047968262	-0.128042996759873	0.258069530597012	-0.24384347068441	-1.14669579304136	1.9625531720919	1.89216089151102	0.143384231565553	-0.311973395633008	0.195504076576672	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7066	ventral_ectoderm_AISN	4	Region230.2	0	1	1.48800240506371	1.21962195014945	2.11986710653628	1.36790550846624	-0.159284794639759	3.17679123236513	3.17279543750121	2.86277232907827	1.92396176125247	1.48800240506371
chr2L	2164421	2165493	1073	*	Region230	chr2L	2164421	2165493	.	1073	Time	Up	-0.0558469147821911	0.746356047968262	-0.128042996759873	0.258069530597012	-0.24384347068441	-1.14669579304136	1.9625531720919	1.89216089151102	0.143384231565553	-0.311973395633008	0.195504076576672	Region117	chr2L	2165440	2167952	.	2513	Toll10b	Down	0.64392711285817	-2.63733437242289	2.37059107015994	None	None	region 7064	procephalic_ectoderm_AISN	4	Region230.3	0	0	1.58237590984798	2.91669285986852	2.43844978768339	-0.256437583155686	-0.0214375986818751	4.12592631182627	4.12587061842505	4.11789365160495	3.31828430953033	1.58237590984798
chr2L	2164421	2165493	1073	*	Region230	chr2L	2164421	2165493	.	1073	Time	Up	-0.0558469147821911	0.746356047968262	-0.128042996759873	0.258069530597012	-0.24384347068441	-1.14669579304136	1.9625531720919	1.89216089151102	0.143384231565553	-0.311973395633008	0.195504076576672	Region117	chr2L	2165440	2167952	.	2513	Toll10b	Down	0.64392711285817	-2.63733437242289	2.37059107015994	None	None	region 7065	dorsal_ectoderm_AISN_broad	4	Region230.4	0	1	1.58237590984798	2.91669285986852	2.43844978768339	-0.256437583155686	-0.0214375986818751	4.12592631182627	4.12587061842505	4.11789365160495	3.31828430953033	1.58237590984798
chr2L	2164421	2165493	1073	*	Region230	chr2L	2164421	2165493	.	1073	Time	Up	-0.0558469147821911	0.746356047968262	-0.128042996759873	0.258069530597012	-0.24384347068441	-1.14669579304136	1.9625531720919	1.89216089151102	0.143384231565553	-0.311973395633008	0.195504076576672	Region117	chr2L	2165440	2167952	.	2513	Toll10b	Down	0.64392711285817	-2.63733437242289	2.37059107015994	None	None	region 7066	ventral_ectoderm_AISN	4	Region230.5	0	1	1.58237590984798	2.91669285986852	2.43844978768339	-0.256437583155686	-0.0214375986818751	4.12592631182627	4.12587061842505	4.11789365160495	3.31828430953033	1.58237590984798
chr2L	2172213	2172892	680	*	Region231	chr2L	2172213	2172892	.	680	Toll9	Up	0.480878699906196	-0.915472457002336	-2.3054625367698	2.63668656557696	-0.220858229222619	-1.27783826949252	2.11406000918435	2.12115365264364	-0.217315445418675	-1.11072186755269	1.82273398153879	Region119	chr2L	2172844	2173303	.	460	Toll10b	Down	1.02433327695113	-2.2917539557987	1.63687239030727	region 541	Toll9	None	None	-1	Region231	1	0	3.24581647594092	3.98418218501559	1.24684491111959	1.68828484418721	0.278237202905517	5.55800109458993	5.55103235681276	5.28806718104734	5.13897190874645	3.24581647594092
chr2L	2175334	2175820	487	*	Region232	chr2L	2175334	2175820	.	487	Toll10b	Down	0.92676312942953	1.32507987303777	-1.39482298669779	0.735445177604914	-0.565110842068999	-0.436344216702061	1.42401846756755	2.12902923739905	0.179685878889813	-0.980600167617678	1.03403490600799	Region120	chr2L	2174330	2175528	.	1199	Toll9	Up	0.140972758147902	-1.95060422367442	2.05852563870075	None	None	region 7069	None	0	Region232	0	0	1.63253787962455	3.08522878236446	2.64035264911299	0.242649055143014	1.32152743266683	4.57827391042409	4.38339562936987	4.37667438583419	3.49053241897838	1.63253787962455
chr2L	2175334	2175820	487	*	Region232	chr2L	2175334	2175820	.	487	Toll10b	Down	0.92676312942953	1.32507987303777	-1.39482298669779	0.735445177604914	-0.565110842068999	-0.436344216702061	1.42401846756755	2.12902923739905	0.179685878889813	-0.980600167617678	1.03403490600799	Region121	chr2L	2175768	2176029	.	262	Toll10b	Down	0.413318711534613	-1.12834258705865	0.888759211780236	None	None	region 7069	None	0	Region232.1	0	0	1.39748570946737	2.10621463013808	2.28711589231964	1.19351793757818	1.45440931732165	3.89355839957579	3.61171573474369	3.40881291379774	2.52766816975117	1.39748570946737
chr2L	2178060	2178950	891	*	Region233	chr2L	2178060	2178950	.	891	Time	Up	0.110811500679951	0.317876100288103	0.0200207457419455	-0.178384022948836	-0.437726167817615	0.16192663170264	0.399852752377718	0.869715357153028	0.0755682465021299	-0.135395408112373	0.0641972415019504	Region123	chr2L	2177225	2178686	.	1462	Toll9	Up	-0.165788904091186	-2.19514515340335	2.61192890763808	None	None	region 7070	None	0	Region233	0	0	0.581272971011328	2.21033294007002	1.70659819613005	-1.90143488929932	-0.0357439566277228	3.42821522727226	3.42802888174326	2.85235470722371	2.28548681308532	0.581272971011328
chr2L	2181426	2182501	1076	*	Region234	chr2L	2181426	2182501	.	1076	Time	Up	0.478684693041415	2.49341650746279	-0.583644914066366	0.184830779372547	0.108106070940734	-0.582751894608886	0.664687682511219	0.750435750128773	0.0528803601163779	-0.147625238126053	0.115684535976889	Region124	chr2L	2182495	2183529	.	1035	Toll10b	Down	0.822622947344832	-1.07763000644785	0.459315609049118	None	None	region 7071	procephalic_ectoderm_AISN	3	Region234	0	0	0.961192081939975	0.642938065809413	2.39455155445945	0.594630235226734	0.475717051274239	2.76604926769823	2.72483427724712	2.6591609055894	1.15639940109413	0.961192081939975
chr2L	2182760	2183435	676	*	Region235	chr2L	2182760	2183435	.	676	Time	Up	0.287704218545549	3.0639142943215	-0.716244375735712	0.632125131798907	0.143499445115235	-0.400161955518456	0.357111587433006	1.17320463893008	-0.601471660051004	0.273545955884718	0.565057736558213	Region124	chr2L	2182495	2183529	.	1035	Toll10b	Down	0.822622947344832	-1.07763000644785	0.459315609049118	None	None	region 7071	procephalic_ectoderm_AISN	3	Region235	0	0	0.416840485699408	0.949594213115128	3.00068691639761	0.982510458643103	0.308198167279381	3.33765187549527	3.32339193169911	3.17483970151875	1.03705600625032	0.416840485699408
chr2L	2215893	2216376	484	*	Region240	chr2L	2215893	2216376	.	484	Time	Up	0.216171340272796	0.350361943753752	-0.17597297277309	-0.0414210411602858	2.05961653949905	-1.15557544273537	-1.32768361022194	-0.156960016259162	1.8275711720404	-0.578259334891166	-2.05536049485816	Region126	chr2L	2215916	2216265	.	350	Gd7	Up	1.61928030262502	-1.26259515882633	-0.0585128745720693	None	None	None	None	-1	Region240	0	0	2.80220900415261	-2.1790298492766	1.22196286960926	-1.35824009874437	0.0950400165669565	3.99344317754519	3.99231208794267	3.75416297484486	3.54972483257398	2.80220900415261
chr2L	2454249	2455929	1681	*	Region252	chr2L	2454249	2455929	.	1681	Toll10b	Down	1.03986947859894	-0.509354794485651	-1.16884813026635	0.260326019976316	3.49962852408289	-2.57158679535949	-1.40064543625312	-1.20263448114283	0.976839464144067	-0.780938268926604	-0.467173493423666	Region135	chr2L	2455137	2456534	.	1398	Gd7	Up	5.53875933657976	-3.5714989425667	-1.03785970298578	region 13	Gd7	None	None	-1	Region252	1	0	6.89471628339001	-2.98531586142784	2.07168214467139	-0.185506225146955	-2.88530807937687	8.31267138782546	7.79586447349199	7.7936570574722	7.51326982218368	6.89471628339001
chr2L	2456350	2458314	1965	*	Region253	chr2L	2456350	2458314	.	1965	Time	Down	2.22973286468078	-3.20040467006755	-2.35489534961102	0.342350182481149	6.84380718445087	-5.73507020952396	-1.74585088407244	-1.32279768039095	1.91176241740891	-1.7326172580418	-0.640980506976009	Region135	chr2L	2455137	2456534	.	1398	Gd7	Up	5.53875933657976	-3.5714989425667	-1.03785970298578	region 13	Gd7	None	None	-1	Region253	1	0	10.9128959419114	-3.87332265850895	0.29196981171139	-0.803211551179993	-1.52786948731779	11.7114775580659	11.6113875752558	11.5835733962735	11.5798931884498	10.9128959419114
