EnhancerID	Chr	ATAC_Start	ATAC_End	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	EnhancerDistance	PROseq_Classification	ATACseq_Classification
Region1152	chr2L	15839411	15839922	FBgn0041627	chr2L	15768742	15771064	68346	Time Down	Gd7 Down
Region1154	chr2L	15956063	15956586	FBgn0041627	chr2L	15768742	15771064	184998	Time Down	Gd7 Down
Region1251	chr2L	17748581	17749250	FBgn0015609	chr2L	17650387	17739518	9062	Toll10b Up	Toll10b Up
Region1314	chr2L	18894545	18895891	FBgn0003896	chr2L	18860690	18880795	13749	Gd7 Up	Gd7 Up
Region1336	chr2L	19137590	19137966	FBgn0086447	chr2L	19133055	19134980	2609	Toll9 Down	Gd7 Down
Region1339	chr2L	19155998	19157299	FBgn0010300	chr2L	19168146	19177520	10846	Toll9 Up	Time Down
Region1340	chr2L	19157889	19159217	FBgn0010300	chr2L	19168146	19177520	8928	Toll9 Up	Gd7 Down
Region1420	chr2L	20200164	20200684	FBgn0032849	chr2L	20096476	20097149	103014	Time Down	Gd7 Down
Region1602	chr2L	21847442	21848099	FBgn0003866	chr2L	21829806	21836179	11262	Time Up	Time Down
Region1701	chr2R	4730128	4730587	FBgn0026401	chr2R	4691861	4728499	1628	Toll9 Up	Toll9 Up
Region1926	chr2R	8642970	8643969	FBgn0003892	chr2R	8650422	8664333	6452	Time Down	Toll10b Down
Region2005	chr2R	9481740	9482272	FBgn0259234	chr2R	9446433	9477615	4124	Gd7 Up	Gd7 Down
Region2108	chr2R	10537974	10538432	FBgn0283521	chr2R	10482943	10533749	4224	Toll9 Up	Time Up
Region2134	chr2R	10807260	10807599	FBgn0027499	chr2R	10800726	10805686	1573	Toll9 Up	Time Up
Region2208	chr2R	11603228	11603793	FBgn0033636	chr2R	11579830	11592119	11108	Time Down	Toll10b Up
Region2352	chr2R	13194524	13195444	FBgn0027079	chr2R	13198999	13202591	3554	Toll10b Up	Gd7 Down
Region2353	chr2R	13195927	13196511	FBgn0027079	chr2R	13198999	13202591	2487	Toll10b Up	Toll9 Up
Region2367	chr2R	13336697	13337927	FBgn0033836	chr2R	13408173	13409817	70245	Toll10b Down	Toll10b Up
Region2517	chr2R	15129270	15130170	FBgn0015371	chr2R	15138215	15143448	8044	Toll10b Down	Toll9 Down
Region2534	chr2R	15353245	15353624	FBgn0034013	chr2R	15357028	15367152	3403	Time Up	Toll10b Up
Region2578	chr2R	15892106	15892309	FBgn0264089	chr2R	15871423	15890603	1502	Toll10b Down	Toll9 Down
Region2581	chr2R	15900706	15901226	FBgn0053463	chr2R	15895832	15896427	4278	Time Up	Toll9 Up
Region2625	chr2R	16335876	16336972	FBgn0262511	chr2R	16325969	16333412	2463	Toll9 Down	Toll10b Up
Region2722	chr2R	17800803	17803597	FBgn0028743	chr2R	17795127	17797766	3036	Gd7 Up	Toll10b Down
Region2723	chr2R	17803894	17804883	FBgn0259211	chr2R	17808411	17840871	3527	Toll10b Down	Toll10b Down
Region2762	chr2R	18305594	18305892	FBgn0034327	chr2R	18303596	18303952	1641	Toll9 Up	Time Down
Region2830	chr2R	19271601	19273192	FBgn0003254	chr2R	19278129	19280168	4936	Time Up	Toll9 Down
Region2857	chr2R	19630442	19632225	FBgn0003435	chr2R	19530567	19628630	1811	Time Up	Time Up
Region2901	chr2R	20106139	20106933	FBgn0004364	chr2R	20111885	20116039	4951	Gd7 Down	Time Up
Region2990	chr2R	21250131	21251816	FBgn0034606	chr2R	21218875	21238873	11257	Toll10b Down	Toll10b Down
Region3029	chr2R	21645872	21646949	FBgn0034644	chr2R	21650226	21657070	3276	Toll9 Down	Toll10b Up
Region3036	chr2R	21702609	21703894	FBgn0010228	chr2R	21698125	21698540	4068	Toll9 Up	Time Up
Region3037	chr2R	21704316	21705028	FBgn0010228	chr2R	21698125	21698540	5775	Toll9 Up	Toll10b Up
Region3069	chr2R	22317613	22318971	FBgn0013272	chr2R	22322970	22328521	3998	Toll10b Down	Toll9 Up
Region3274	chr2R	24964292	24965353	FBgn0035087	chr2R	24960850	24961680	2611	Time Up	Time Up
Region3382	chr3L	732365	732972	FBgn0035160	chr3L	737867	755415	4894	Toll9 Down	Toll10b Down
Region3489	chr3L	1885264	1885847	FBgn0262624	chr3L	1889807	1891067	3959	Toll9 Up	Time Up
Region3541	chr3L	2878830	2879250	FBgn0263392	chr3L	2788553	2871710	7119	Toll9 Up	Time Up
Region3663	chr3L	4408293	4410295	FBgn0035541	chr3L	4405364	4405970	2322	Toll9 Down	Toll10b Down
Region3804	chr3L	7155951	7157219	FBgn0265296	chr3L	7161360	7189315	4140	Toll9 Up	Toll9 Up
Region3826	chr3L	7528766	7528995	FBgn0268063	chr3L	7519685	7527044	1721	Toll10b Up	Time Up
Region3944	chr3L	9164743	9165274	FBgn0035965	chr3L	9135861	9137103	27639	Time Up	Gd7 Down
Region3972	chr3L	9505074	9505446	FBgn0036008	chr3L	9507582	9509452	2135	Toll10b Up	Toll10b Up
Region4199	chr3L	13049354	13050269	FBgn0036342	chr3L	13047081	13047449	1904	Toll9 Down	Time Down
Region4267	chr3L	14003572	14004436	FBgn0036397	chr3L	13999738	14001626	1945	Time Down	Time Up
Region4284	chr3L	14151422	14152370	FBgn0000411	chr3L	14176193	14177338	23822	Gd7 Down	Toll9 Up
Region4316	chr3L	14552303	14552691	FBgn0036428	chr3L	14542122	14550089	2213	Gd7 Up	Time Up
Region4345	chr3L	14953073	14953883	FBgn0040487	chr3L	14945835	14946068	7004	Toll10b Down	Toll9 Up
Region4357	chr3L	14978478	14978771	FBgn0040296	chr3L	14975304	14975750	2727	Toll9 Up	Time Up
Region4458	chr3L	16016353	16018308	FBgn0263601	chr3L	16006736	16011648	4704	Gd7 Down	Toll9 Up
Region4466	chr3L	16043357	16044706	FBgn0260635	chr3L	16038675	16039988	3368	Toll9 Up	Time Up
Region4467	chr3L	16045099	16045393	FBgn0260635	chr3L	16038675	16039988	5110	Toll9 Up	Toll10b Up
Region4469	chr3L	16048973	16049520	FBgn0005536	chr3L	16053306	16080842	3785	Time Up	Toll9 Up
Region4470	chr3L	16049949	16051313	FBgn0005536	chr3L	16053306	16080842	1992	Time Up	Toll10b Up
Region4585	chr3L	17668579	17669870	FBgn0036746	chr3L	17661953	17664619	3959	Toll10b Down	Time Up
Region4686	chr3L	19167461	19169122	FBgn0016797	chr3L	19143869	19146286	21174	Gd7 Down	Toll10b Down
Region4687	chr3L	19170377	19170890	FBgn0016797	chr3L	19143869	19146286	24090	Gd7 Down	Gd7 Down
Region4704	chr3L	19559278	19559830	FBgn0036886	chr3L	19552476	19554686	4591	Toll9 Down	Time Down
Region4720	chr3L	19791248	19792174	FBgn0261283	chr3L	19794910	19798736	2735	Toll10b Up	Toll10b Up
Region4765	chr3L	20405305	20405919	FBgn0028978	chr3L	20396854	20401255	4049	Time Down	Toll9 Up
Region5136	chr3R	4452309	4454113	FBgn0051522	chr3R	4442750	4447758	4550	Toll10b Up	Time Up
Region5154	chr3R	4659392	4660286	FBgn0037265	chr3R	4655533	4657809	1582	Time Down	Toll9 Up
Region5201	chr3R	4993886	4995150	FBgn0004436	chr3R	4950282	4952496	41389	Time Up	Toll9 Up
Region5232	chr3R	5124859	5126317	FBgn0037293	chr3R	5128168	5129712	1850	Time Down	Toll9 Up
Region5236	chr3R	5211222	5213313	FBgn0037297	chr3R	5219707	5221288	6393	Time Down	Toll10b Down
Region5499	chr3R	8517702	8518112	FBgn0037592	chr3R	8519620	8521155	1507	Toll9 Up	Time Up
Region5579	chr3R	9341721	9342193	FBgn0037680	chr3R	9335562	9336877	4843	Time Up	Time Up
Region5692	chr3R	10626236	10627104	FBgn0001235	chr3R	10511380	10612999	13236	Toll9 Up	Toll9 Up
Region6108	chr3R	16338379	16338728	FBgn0283477	chr3R	16340657	16341891	1928	Time Down	Time Up
Region6190	chr3R	16864704	16865591	FBgn0000014	chr3R	16809690	16828003	36700	Toll9 Up	Time Down
Region6434	chr3R	20550277	20551299	FBgn0067783	chr3R	20552912	20554898	1612	Time Down	Gd7 Down
Region6546	chr3R	21640141	21640809	FBgn0011766	chr3R	21621572	21626497	13643	Gd7 Down	Time Up
Region6826	chr3R	25632587	25633997	FBgn0039349	chr3R	25624935	25626637	5949	Time Down	Toll10b Down
Region6830	chr3R	25645958	25646412	FBgn0039350	chr3R	25648899	25650044	2486	Toll10b Down	Toll9 Up
Region6991	chr3R	29214325	29215460	FBgn0029176	chr3R	29220297	29221773	4836	Toll9 Down	Time Up
Region7011	chr3R	29306320	29308172	FBgn0015622	chr3R	29315838	29319374	7665	Time Down	Toll10b Down
Region7216	chr4	207030	207845	FBgn0051998	chr4	197881	204700	2329	Toll9 Up	Toll10b Down
Region7778	chrX	2300357	2302709	FBgn0023526	chrX	2281581	2292689	7667	Time Up	Time Up
Region7782	chrX	2308418	2308845	FBgn0023526	chrX	2281581	2292689	15728	Time Up	Toll9 Up
Region7834	chrX	2982266	2983414	FBgn0003285	chrX	2953818	2957955	24310	Toll9 Down	Time Up
Region7965	chrX	4687889	4688364	FBgn0022768	chrX	4680635	4686156	1732	Toll9 Up	Time Up
Region8191	chrX	7299621	7301336	FBgn0024250	chrX	7308473	7310584	7136	Gd7 Down	Gd7 Down
Region8288	chrX	8517141	8517610	FBgn0264975	chrX	8531947	8551988	14336	Time Up	Time Up
Region8645	chrX	12737043	12737860	FBgn0265523	chrX	12687303	12731439	5603	Time Up	Time Up
Region8723	chrX	13754678	13755556	FBgn0020909	chrX	13757271	13758541	1714	Toll9 Down	Time Up
Region9044	chrX	18092528	18092927	FBgn0030892	chrX	18089011	18090422	2105	Gd7 Down	Time Up
Region9233	chrX	20377358	20378791	FBgn0027334	chrX	20391536	20392255	12744	Toll10b Up	Gd7 Down
Region9301	chrX	21542714	21543280	FBgn0027588	chrX	21600846	21604569	57565	Toll10b Down	Gd7 Up
