Enhancer_row	Enhancer_ID	Enhancer_Chr	Enhancer_Start	Enhancer_End	Enhancer_Factor	Enhancer_Direction	enhancerID	insituID	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	Enhancer_Time	Background	Gene_row	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	Gene_Strand	Gene_Direction	Gene_Factor	Gene_Gd7	Gene_Toll10b	Gene_Toll9	Gene_Time	Distance	PROseq_Classification	ATACseq_Classification	pair_score
426	Region710	chr2L	8841302	8842999	Toll9	Up	region 556	region 7429	-7.79612924695714	-3.13781624946913	11.7301109290968	-0.091408177495885	No	3806	FBgn0085408	chr2R	14315324	14351497	+	Up	Toll9	-0.603025219783965	-0.744651556540195	1.83580545650766	-0.0366791096102922	2200	Toll9 Up	Toll9 Up	13.5659163856045
688	Region1251	chr2L	17748581	17749250	Toll10b	Up	region 319	region 8115	-9.65593511870203	18.6563427460655	-9.79223819273212	-2.08709198844	No	2121	FBgn0035624	chr3L	5607284	5608233	-	Up	Toll10b	-0.262773312903809	0.334415333064727	-0.0986155023145656	-0.13612225332999	12434	Toll10b Up	Toll10b Up	18.9907580791302
689	Region1251	chr2L	17748581	17749250	Toll10b	Up	region 320	region 8115	-9.65593511870203	18.6563427460655	-9.79223819273212	-2.08709198844	No	2121	FBgn0035624	chr3L	5607284	5608233	-	Up	Toll10b	-0.262773312903809	0.334415333064727	-0.0986155023145656	-0.13612225332999	12434	Toll10b Up	Toll10b Up	18.9907580791302
690	Region1251	chr2L	17748581	17749250	Toll10b	Up	region 319	region 8115	-9.27792205231943	18.6142311811711	-10.0913676565046	-2.08709198844	No	2121	FBgn0035624	chr3L	5607284	5608233	-	Up	Toll10b	-0.262773312903809	0.334415333064727	-0.0986155023145656	-0.13612225332999	12434	Toll10b Up	Toll10b Up	18.9486465142358
691	Region1251	chr2L	17748581	17749250	Toll10b	Up	region 320	region 8115	-9.27792205231943	18.6142311811711	-10.0913676565046	-2.08709198844	No	2121	FBgn0035624	chr3L	5607284	5608233	-	Up	Toll10b	-0.262773312903809	0.334415333064727	-0.0986155023145656	-0.13612225332999	12434	Toll10b Up	Toll10b Up	18.9486465142358
737	Region1337	chr2L	19139642	19140260	Time	Down	region 575	None	-0.781439642730154	-2.9206457467848	3.56809166072028	-1.64593347049111	No	2378	FBgn0028429	chr3L	9835011	9836505	-	Down	Time	0.261293487179821	0.126932125373415	-0.528536573639902	-0.84373749222994	30559	Time Down	Time Down	2.48967096272105
757	Region1361	chr2L	19341116	19342094	Gd7	Up	None	None	5.42671106632656	-5.91488553293288	-0.0696151959689322	-1.4236497231333	No	2445	FBgn0036150	chr3L	11233023	11235938	-	Up	Gd7	2.71228043229187	-2.02280860558943	-0.930843856404829	-0.853788150599677	6794	Gd7 Up	Gd7 Up	8.13899149861843
887	Region1748	chr2R	6220912	6221691	Toll9	Up	None	None	0.365876293885069	-2.34358491125121	1.74307692669468	0.193382725213233	No	3085	FBgn0037153	chr3L	22184093	22242656	+	Up	Toll9	-0.59218460341389	-1.15168648785641	2.37615524145518	2.20388188494278	20249	Toll9 Up	Toll9 Up	4.11923216814986
936	Region1839	chr2R	7483390	7487124	Time	Down	None	None	-1.72177186489308	-0.290815058687324	2.32963199773898	-4.45688424947789	No	63	FBgn0037297	chr3R	5219707	5221288	+	Down	Time	-0.201555385576538	0.295042703765559	-0.128194369899591	-0.394713032513424	6393	Time Down	Time Down	4.85159728199131
982	Region1905	chr2R	8236949	8238247	Time	Up	None	region 340	-0.267429754169927	2.80968872874574	-2.75653277639329	2.14866543308546	No	330	FBgn0037680	chr3R	9335562	9336877	+	Up	Time	-0.00634500411941515	0.0874828846641865	-0.110674269791777	0.552455807327221	6364	Time Up	Time Up	2.70112124041268
1103	Region2097	chr2R	10482951	10484364	Time	Down	None	None	-0.233726841063536	0.210420259753491	-0.128568338317992	-3.72457707134536	No	854	FBgn0063261	chr3R	16750971	16751273	-	Down	Time	-0.183455218875637	-0.683753077966205	1.1820223004443	-2.5459890756378	21793	Time Down	Time Down	6.27056614698316
1306	Region2427	chr2R	13991701	13991987	Time	Down	None	None	3.2744095145305	-0.131384760090796	-3.29704470083446	-1.90125873811065	No	1609	FBgn0015622	chr3R	29315838	29319374	-	Down	Time	-0.0477951685207977	0.400238206086812	-0.480812189667049	-0.481959487861116	7665	Time Down	Time Down	2.38321822597177
