EnhancerID	Chr	ATAC_Start	ATAC_End	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	EnhancerDistance	PROseq_Classification	ATACseq_Classification
Region710	chr2L	8841302	8842999	FBgn0029123	chr2L	8826494	8828776	12525	Toll9 Up	Toll9 Up
Region712	chr2L	8846571	8847608	FBgn0029123	chr2L	8826494	8828776	17794	Toll9 Up	Toll9 Up
Region740	chr2L	9449025	9450175	FBgn0002973	chr2L	9460288	9462275	10112	Time Down	Gd7 Down
Region886	chr2L	11808639	11809583	FBgn0032378	chr2L	11811120	11812431	1536	Time Down	Time Up
Region959	chr2L	12861725	12862254	FBgn0015399	chr2L	12819021	12821660	40064	Toll10b Up	Gd7 Down
Region961	chr2L	12894060	12894580	FBgn0015399	chr2L	12819021	12821660	72399	Toll10b Up	Gd7 Down
Region1132	chr2L	15654064	15654581	FBgn0010382	chr2L	15728884	15746483	74302	Time Down	Gd7 Down
Region1134	chr2L	15686748	15688180	FBgn0010382	chr2L	15728884	15746483	40703	Time Down	Gd7 Down
Region1136	chr2L	15721743	15723172	FBgn0010382	chr2L	15728884	15746483	5711	Time Down	Gd7 Down
Region1152	chr2L	15839411	15839922	FBgn0041627	chr2L	15768742	15771064	68346	Time Down	Gd7 Down
Region1154	chr2L	15956063	15956586	FBgn0041627	chr2L	15768742	15771064	184998	Time Down	Gd7 Down
Region1251	chr2L	17748581	17749250	FBgn0015609	chr2L	17650387	17739518	9062	Toll10b Up	Toll10b Up
Region1259	chr2L	17952889	17953425	FBgn0023096	chr2L	17962738	17982472	9312	Toll9 Up	Gd7 Down
Region1263	chr2L	18145005	18146007	FBgn0041184	chr2L	18139536	18142527	2477	Time Down	Toll9 Up
Region1265	chr2L	18149900	18150887	FBgn0032671	chr2L	18157212	18158540	6324	Gd7 Down	Toll9 Up
Region1314	chr2L	18894545	18895891	FBgn0003896	chr2L	18860690	18880795	13749	Gd7 Up	Gd7 Up
Region1337	chr2L	19139642	19140260	FBgn0086447	chr2L	19133055	19134980	4661	Toll9 Down	Time Down
Region1338	chr2L	19154708	19155440	FBgn0010300	chr2L	19168146	19177520	12705	Toll9 Up	Gd7 Down
Region1341	chr2L	19160645	19160995	FBgn0010300	chr2L	19168146	19177520	7150	Toll9 Up	Toll9 Up
Region1343	chr2L	19162388	19162777	FBgn0010300	chr2L	19168146	19177520	5368	Toll9 Up	Toll10b Down
Region1344	chr2L	19164583	19166351	FBgn0010300	chr2L	19168146	19177520	1794	Toll9 Up	Time Down
Region1353	chr2L	19322508	19323095	FBgn0024245	chr2L	19339168	19362839	16072	Time Down	Toll10b Up
Region1356	chr2L	19326687	19327913	FBgn0024245	chr2L	19339168	19362839	11254	Time Down	Toll9 Up
Region1358	chr2L	19333760	19334442	FBgn0024245	chr2L	19339168	19362839	4725	Time Down	Toll9 Up
Region1420	chr2L	20200164	20200684	FBgn0032849	chr2L	20096476	20097149	103014	Time Down	Gd7 Down
Region1434	chr2L	20486008	20486914	FBgn0032863	chr2L	20459418	20461569	24438	Toll9 Down	Toll10b Up
Region1435	chr2L	20488043	20488707	FBgn0032863	chr2L	20459418	20461569	26473	Toll9 Down	Toll10b Up
Region1608	chr2L	21868722	21869523	FBgn0003866	chr2L	21829806	21836179	32542	Time Up	Toll10b Down
Region1610	chr2L	21876836	21877617	FBgn0003866	chr2L	21829806	21836179	40656	Time Up	Time Down
Region1617	chr2L	22134084	22134474	FBgn0025674	chr2L	22128524	22129723	4360	Time Up	Gd7 Up
Region1624	chr2L	22261046	22261548	FBgn0032988	chr2L	22250099	22258176	2869	Time Up	Toll9 Down
Region1630	chr2L	22574337	22574669	FBgn0040011	chr2L	22579841	22585578	5171	Toll9 Up	Gd7 Up
Region1637	chr2L	23315001	23315441	FBgn0267976	chr2L	23312542	23313380	1620	Gd7 Down	Toll9 Up
Region1644	chr2R	342369	343567	FBgn0284080	chr2R	854872	855435	511304	Time Up	Gd7 Up
Region1696	chr2R	4309701	4310039	FBgn0260798	chr2R	4322536	4470882	12496	Toll9 Up	Time Down
Region1697	chr2R	4544490	4545053	FBgn0046692	chr2R	4546748	4564498	1694	Toll10b Down	Toll9 Up
Region1701	chr2R	4730128	4730587	FBgn0026401	chr2R	4691861	4728499	1628	Toll9 Up	Toll9 Up
Region1724	chr2R	5937370	5938990	FBgn0263855	chr2R	5969243	5974283	30252	Toll9 Up	Time Down
Region1743	chr2R	6193687	6194962	FBgn0262867	chr2R	6182513	6189421	4265	Time Down	Toll10b Down
Region1744	chr2R	6195578	6196912	FBgn0033069	chr2R	6200917	6201830	4004	Toll10b Down	Toll10b Down
Region1748	chr2R	6220912	6221691	FBgn0033074	chr2R	6225725	6226744	4033	Time Down	Toll9 Up
Region1757	chr2R	6459774	6460140	FBgn0086655	chr2R	6503039	6619250	42898	Toll9 Up	Toll9 Up
Region1926	chr2R	8642970	8643969	FBgn0003892	chr2R	8650422	8664333	6452	Time Down	Toll10b Down
Region2005	chr2R	9481740	9482272	FBgn0259234	chr2R	9446433	9477615	4124	Gd7 Up	Gd7 Down
Region2036	chr2R	9929474	9930178	FBgn0011656	chr2R	9916458	9921663	7810	Toll10b Up	Toll10b Up
Region2069	chr2R	10101448	10101950	FBgn0033485	chr2R	10098594	10099486	1961	Toll9 Down	Time Up
Region2108	chr2R	10537974	10538432	FBgn0283521	chr2R	10482943	10533749	4224	Toll9 Up	Time Up
Region2109	chr2R	10540344	10540855	FBgn0283521	chr2R	10482943	10533749	6594	Toll9 Up	Time Up
Region2177	chr2R	11366477	11367654	FBgn0021795	chr2R	11370456	11371012	2801	Time Up	Time Down
Region2204	chr2R	11596567	11598203	FBgn0033636	chr2R	11579830	11592119	4447	Time Down	Toll9 Up
Region2218	chr2R	11632165	11632799	FBgn0033638	chr2R	11620848	11625192	6972	Toll10b Up	Time Up
Region2219	chr2R	11633144	11633760	FBgn0033638	chr2R	11620848	11625192	7951	Toll10b Up	Toll10b Up
Region2227	chr2R	11679176	11679615	FBgn0050035	chr2R	11668579	11674428	4747	Gd7 Down	Toll9 Down
Region2307	chr2R	12775674	12777789	FBgn0003326	chr2R	12780863	12800933	3073	Toll9 Up	Toll9 Up
Region2350	chr2R	13191276	13192300	FBgn0053182	chr2R	13180085	13187825	3450	Toll9 Up	Time Up
Region2352	chr2R	13194524	13195444	FBgn0027079	chr2R	13198999	13202591	3554	Toll10b Up	Gd7 Down
Region2353	chr2R	13195927	13196511	FBgn0027079	chr2R	13198999	13202591	2487	Toll10b Up	Toll9 Up
Region2367	chr2R	13336697	13337927	FBgn0033836	chr2R	13408173	13409817	70245	Toll10b Down	Toll10b Up
Region2427	chr2R	13991701	13991987	FBgn0020620	chr2R	13985600	13989836	1864	Gd7 Up	Time Down
Region2456	chr2R	14311361	14313123	FBgn0085408	chr2R	14315324	14351497	2200	Toll9 Up	Time Down
Region2518	chr2R	15130491	15133078	FBgn0015371	chr2R	15138215	15143448	5136	Toll10b Down	Time Up
Region2533	chr2R	15352178	15352926	FBgn0034013	chr2R	15357028	15367152	4101	Time Up	Time Up
Region2534	chr2R	15353245	15353624	FBgn0034013	chr2R	15357028	15367152	3403	Time Up	Toll10b Up
Region2581	chr2R	15900706	15901226	FBgn0053463	chr2R	15895832	15896427	4278	Time Up	Toll9 Up
Region2607	chr2R	16154053	16155042	FBgn0029175	chr2R	16146385	16148657	5395	Time Up	Time Up
Region2608	chr2R	16155499	16156304	FBgn0029175	chr2R	16146385	16148657	6841	Time Up	Gd7 Down
Region2651	chr2R	16784686	16785241	FBgn0034157	chr2R	16780548	16782873	1812	Time Down	Gd7 Down
Region2683	chr2R	17460391	17461110	FBgn0028953	chr2R	17462695	17464230	1584	Toll9 Up	Toll9 Up
Region2722	chr2R	17800803	17803597	FBgn0028743	chr2R	17795127	17797766	3036	Gd7 Up	Toll10b Down
Region2723	chr2R	17803894	17804883	FBgn0259211	chr2R	17808411	17840871	3527	Toll10b Down	Toll10b Down
Region2760	chr2R	18299711	18300364	FBgn0034327	chr2R	18303596	18303952	3231	Toll9 Up	Time Down
Region2762	chr2R	18305594	18305892	FBgn0034327	chr2R	18303596	18303952	1641	Toll9 Up	Time Down
Region2763	chr2R	18306743	18307589	FBgn0034327	chr2R	18303596	18303952	2790	Toll9 Up	Toll9 Up
Region2780	chr2R	18487962	18488456	FBgn0034351	chr2R	18451376	18452713	35248	Toll10b Up	Gd7 Up
Region2815	chr2R	19142957	19143388	FBgn0034419	chr2R	19138230	19140903	2053	Toll9 Up	Gd7 Up
Region2816	chr2R	19143951	19144247	FBgn0034419	chr2R	19138230	19140903	3047	Toll9 Up	Time Down
Region2830	chr2R	19271601	19273192	FBgn0003254	chr2R	19278129	19280168	4936	Time Up	Toll9 Down
Region2859	chr2R	19661457	19662312	FBgn0015949	chr2R	19664665	19668248	2352	Time Down	Time Down
Region2909	chr2R	20168511	20169106	FBgn0004364	chr2R	20111885	20116039	52471	Gd7 Down	Toll10b Down
Region2973	chr2R	21047750	21048668	FBgn0003391	chr2R	21050809	21056473	2140	Toll9 Up	Toll10b Down
Region2990	chr2R	21250131	21251816	FBgn0034606	chr2R	21218875	21238873	11257	Toll10b Down	Toll10b Down
Region3002	chr2R	21368912	21369980	FBgn0000395	chr2R	21356009	21366843	2068	Gd7 Up	Gd7 Up
Region3039	chr2R	21707458	21708092	FBgn0004362	chr2R	21715468	21715877	7375	Time Down	Time Down
Region3069	chr2R	22317613	22318971	FBgn0013272	chr2R	22322970	22328521	3998	Toll10b Down	Toll9 Up
Region3099	chr2R	22681710	22682718	FBgn0020257	chr2R	22687036	22688721	4317	Time Down	Time Up
Region3238	chr2R	24580311	24581458	FBgn0035028	chr2R	24574990	24577461	2849	Toll10b Down	Toll10b Down
Region3305	chr3L	40052	40733	FBgn0052475	chr3L	24193	26075	13976	Toll10b Down	Toll10b Down
Region3339	chr3L	318677	320181	FBgn0052344	chr3L	321932	324655	1750	Toll9 Down	Toll9 Up
Region3364	chr3L	639465	641163	FBgn0035147	chr3L	649180	651102	8016	Gd7 Down	Time Up
Region3375	chr3L	697172	698036	FBgn0035157	chr3L	693286	694869	2302	Toll10b Down	Gd7 Up
Region3381	chr3L	726255	727441	FBgn0035160	chr3L	737867	755415	10425	Toll9 Down	Time Up
Region3382	chr3L	732365	732972	FBgn0035160	chr3L	737867	755415	4894	Toll9 Down	Toll10b Down
Region3457	chr3L	1545967	1547195	FBgn0035229	chr3L	1537710	1544072	1894	Time Down	Toll9 Down
Region3543	chr3L	2881200	2882832	FBgn0263392	chr3L	2788553	2871710	9489	Toll9 Up	Toll9 Up
Region3578	chr3L	3307640	3308182	FBgn0035432	chr3L	3310530	3313297	2347	Gd7 Up	Gd7 Up
Region3588	chr3L	3408680	3409437	FBgn0014388	chr3L	3402959	3404725	3954	Toll10b Up	Toll10b Up
Region3589	chr3L	3409665	3410535	FBgn0014388	chr3L	3402959	3404725	4939	Toll10b Up	Time Up
Region3663	chr3L	4408293	4410295	FBgn0035541	chr3L	4405364	4405970	2322	Toll9 Down	Toll10b Down
Region3664	chr3L	4541887	4542228	FBgn0035558	chr3L	4551098	4552563	8869	Toll10b Up	Time Up
Region3665	chr3L	4546266	4547293	FBgn0035558	chr3L	4551098	4552563	3804	Toll10b Up	Toll10b Up
Region3705	chr3L	5620668	5622014	FBgn0035624	chr3L	5607284	5608233	12434	Toll10b Up	Toll9 Up
Region3751	chr3L	5992873	5993391	FBgn0035656	chr3L	5967814	5975737	17135	Gd7 Down	Toll9 Up
Region3802	chr3L	7134201	7135269	FBgn0023001	chr3L	7139223	7142732	3953	Toll9 Up	Toll10b Down
Region3867	chr3L	8441799	8442537	FBgn0035896	chr3L	8444050	8449185	1512	Gd7 Up	Time Up
Region3878	chr3L	8504477	8505642	FBgn0035900	chr3L	8507601	8509644	1958	Toll9 Up	Gd7 Up
Region3895	chr3L	8669796	8671796	FBgn0001168	chr3L	8676250	8678420	4453	Time Down	Time Down
Region3903	chr3L	8824532	8824880	FBgn0263930	chr3L	8828233	8889315	3352	Toll9 Up	Toll9 Up
Region3944	chr3L	9164743	9165274	FBgn0035965	chr3L	9135861	9137103	27639	Time Up	Gd7 Down
Region3956	chr3L	9421354	9421885	FBgn0023129	chr3L	9423550	9424359	1664	Gd7 Up	Gd7 Up
Region3986	chr3L	9803924	9804451	FBgn0028429	chr3L	9835011	9836505	30559	Time Down	Gd7 Up
Region4026	chr3L	10674884	10675269	FBgn0010762	chr3L	10685050	10689107	9780	Gd7 Up	Toll10b Down
Region4027	chr3L	10675819	10676237	FBgn0010762	chr3L	10685050	10689107	8812	Gd7 Up	Toll10b Down
Region4028	chr3L	10677956	10678182	FBgn0010762	chr3L	10685050	10689107	6867	Gd7 Up	Gd7 Up
Region4076	chr3L	11242733	11244529	FBgn0036150	chr3L	11233023	11235938	6794	Gd7 Up	Gd7 Up
Region4083	chr3L	11259648	11262413	FBgn0041094	chr3L	11252891	11254472	5175	Gd7 Up	Toll9 Up
Region4199	chr3L	13049354	13050269	FBgn0036342	chr3L	13047081	13047449	1904	Toll9 Down	Time Down
Region4284	chr3L	14151422	14152370	FBgn0000411	chr3L	14176193	14177338	23822	Gd7 Down	Toll9 Up
Region4316	chr3L	14552303	14552691	FBgn0036428	chr3L	14542122	14550089	2213	Gd7 Up	Time Up
Region4345	chr3L	14953073	14953883	FBgn0040487	chr3L	14945835	14946068	7004	Toll10b Down	Toll9 Up
Region4357	chr3L	14978478	14978771	FBgn0040296	chr3L	14975304	14975750	2727	Toll9 Up	Time Up
Region4389	chr3L	15232644	15233361	FBgn0029114	chr3L	15236121	15240158	2759	Toll9 Up	Toll9 Up
Region4428	chr3L	15711068	15712595	FBgn0010105	chr3L	15722670	15728204	10074	Time Up	Time Down
Region4458	chr3L	16016353	16018308	FBgn0263601	chr3L	16006736	16011648	4704	Gd7 Down	Toll9 Up
Region4466	chr3L	16043357	16044706	FBgn0260635	chr3L	16038675	16039988	3368	Toll9 Up	Time Up
Region4467	chr3L	16045099	16045393	FBgn0260635	chr3L	16038675	16039988	5110	Toll9 Up	Toll10b Up
Region4468	chr3L	16046664	16047514	FBgn0005536	chr3L	16053306	16080842	5791	Time Up	Toll10b Up
Region4469	chr3L	16048973	16049520	FBgn0005536	chr3L	16053306	16080842	3785	Time Up	Toll9 Up
Region4470	chr3L	16049949	16051313	FBgn0005536	chr3L	16053306	16080842	1992	Time Up	Toll10b Up
Region4499	chr3L	16570619	16570994	FBgn0262732	chr3L	16574853	16575995	3858	Time Down	Toll10b Down
Region4563	chr3L	17415494	17416858	FBgn0266669	chr3L	17422111	17425099	5252	Time Up	Toll10b Down
Region4685	chr3L	19165116	19165604	FBgn0016797	chr3L	19143869	19146286	18829	Gd7 Down	Toll9 Up
Region4686	chr3L	19167461	19169122	FBgn0016797	chr3L	19143869	19146286	21174	Gd7 Down	Toll10b Down
Region4703	chr3L	19556203	19558621	FBgn0036886	chr3L	19552476	19554686	1516	Toll9 Down	Toll10b Down
Region4704	chr3L	19559278	19559830	FBgn0036886	chr3L	19552476	19554686	4591	Toll9 Down	Time Down
Region4705	chr3L	19560452	19561225	FBgn0036886	chr3L	19552476	19554686	5765	Toll9 Down	Toll10b Down
Region4706	chr3L	19562102	19563502	FBgn0005564	chr3L	19568624	19574695	5121	Toll10b Down	Toll10b Down
Region4707	chr3L	19563882	19565001	FBgn0005564	chr3L	19568624	19574695	3622	Toll10b Down	Toll10b Down
Region4765	chr3L	20405305	20405919	FBgn0028978	chr3L	20396854	20401255	4049	Time Down	Toll9 Up
Region4888	chr3L	21880217	21880870	FBgn0262737	chr3L	21907822	21925261	26951	Time Up	Time Up
Region4904	chr3L	22163275	22163843	FBgn0037153	chr3L	22184093	22242656	20249	Toll9 Up	Toll10b Down
Region4953	chr3L	22943433	22943860	FBgn0037207	chr3L	22945787	22951387	1926	Toll10b Up	Toll10b Up
Region4976	chr3L	24231394	24231840	FBgn0058045	chr3L	24028678	24035786	195607	Toll10b Down	Toll10b Up
Region4983	chr3L	25117985	25118459	FBgn0040020	chr3L	25115222	25115703	2281	Toll9 Up	Gd7 Up
Region4988	chr3L	25217079	25217542	FBgn0260008	chr3L	25120902	25121638	95440	Time Up	Toll10b Down
Region4989	chr3L	25224157	25224593	FBgn0260008	chr3L	25120902	25121638	102518	Time Up	Toll10b Down
Region5003	chr3L	26013965	26014429	FBgn0058178	chr3L	25798527	25978136	35828	Toll10b Down	Time Up
Region5068	chr3R	2038015	2038635	FBgn0010247	chr3R	3461406	3586979	1422770	Time Up	Gd7 Down
Region5071	chr3R	2052978	2053555	FBgn0010247	chr3R	3461406	3586979	1407850	Time Up	Gd7 Down
Region5073	chr3R	2069277	2069852	FBgn0010247	chr3R	3461406	3586979	1391553	Time Up	Gd7 Down
Region5136	chr3R	4452309	4454113	FBgn0051522	chr3R	4442750	4447758	4550	Toll10b Up	Time Up
Region5148	chr3R	4613631	4614061	FBgn0087012	chr3R	4622580	4632924	8518	Time Down	Gd7 Up
Region5155	chr3R	4662709	4663291	FBgn0037265	chr3R	4655533	4657809	4899	Time Down	Toll10b Down
Region5201	chr3R	4993886	4995150	FBgn0004436	chr3R	4950282	4952496	41389	Time Up	Toll9 Up
Region5205	chr3R	5025212	5026197	FBgn0010313	chr3R	5084376	5086025	58178	Toll10b Down	Time Up
Region5209	chr3R	5038686	5039610	FBgn0010313	chr3R	5084376	5086025	44765	Toll10b Down	Toll10b Down
Region5210	chr3R	5042917	5043867	FBgn0010313	chr3R	5084376	5086025	40508	Toll10b Down	Gd7 Up
Region5211	chr3R	5053560	5054186	FBgn0010313	chr3R	5084376	5086025	30189	Toll10b Down	Toll9 Down
Region5212	chr3R	5055660	5056893	FBgn0010313	chr3R	5084376	5086025	27482	Toll10b Down	Time Down
Region5213	chr3R	5060564	5061022	FBgn0010313	chr3R	5084376	5086025	23353	Toll10b Down	Gd7 Down
Region5220	chr3R	5089384	5090896	FBgn0010313	chr3R	5084376	5086025	3358	Toll10b Down	Toll10b Down
Region5227	chr3R	5112752	5113726	FBgn0037293	chr3R	5128168	5129712	14441	Time Down	Toll10b Up
Region5228	chr3R	5114142	5114524	FBgn0037293	chr3R	5128168	5129712	13643	Time Down	Gd7 Down
Region5230	chr3R	5120258	5120954	FBgn0037293	chr3R	5128168	5129712	7213	Time Down	Time Down
Region5232	chr3R	5124859	5126317	FBgn0037293	chr3R	5128168	5129712	1850	Time Down	Toll9 Up
Region5236	chr3R	5211222	5213313	FBgn0037297	chr3R	5219707	5221288	6393	Time Down	Toll10b Down
Region5349	chr3R	6809790	6811124	FBgn0000439	chr3R	6792325	6801936	7853	Toll9 Down	Gd7 Down
Region5350	chr3R	6812348	6812985	FBgn0000439	chr3R	6792325	6801936	10411	Toll9 Down	Time Down
Region5390	chr3R	6994267	6995540	FBgn0024289	chr3R	7052596	7054495	57055	Time Up	Time Down
Region5406	chr3R	7090234	7090648	FBgn0003884	chr3R	7086742	7088580	1653	Gd7 Down	Toll9 Up
Region5495	chr3R	8466502	8467256	FBgn0266801	chr3R	8365094	8443531	22970	Gd7 Up	Gd7 Up
Region5496	chr3R	8467583	8469109	FBgn0266801	chr3R	8365094	8443531	24051	Gd7 Up	Gd7 Up
Region5515	chr3R	8697315	8698357	FBgn0001180	chr3R	8691881	8694154	3160	Time Down	Time Up
Region5578	chr3R	9340815	9341497	FBgn0037680	chr3R	9335562	9336877	3937	Time Up	Time Up
Region5581	chr3R	9343242	9343530	FBgn0037680	chr3R	9335562	9336877	6364	Time Up	Gd7 Up
Region5606	chr3R	9604387	9605203	FBgn0037719	chr3R	9589733	9590929	13457	Time Down	Toll10b Down
Region5647	chr3R	10170168	10170840	FBgn0040238	chr3R	10161988	10167319	2848	Time Down	Toll10b Down
Region5692	chr3R	10626236	10627104	FBgn0001235	chr3R	10511380	10612999	13236	Toll9 Up	Toll9 Up
Region5854	chr3R	13015854	13017032	FBgn0020496	chr3R	13019620	13025469	2587	Time Up	Toll10b Down
Region5890	chr3R	13714886	13716212	FBgn0040077	chr3R	13710070	13710753	4132	Time Down	Toll9 Up
Region5974	chr3R	14652237	14652741	FBgn0086686	chr3R	14644938	14649267	2969	Time Down	Toll10b Down
Region6061	chr3R	15919590	15922233	FBgn0085305	chr3R	15926239	15926581	4005	Toll9 Down	Time Down
Region6107	chr3R	16336803	16337590	FBgn0283477	chr3R	16340657	16341891	3066	Time Down	Toll9 Up
Region6169	chr3R	16770612	16771100	FBgn0063261	chr3R	16750971	16751273	19338	Time Down	Toll9 Down
Region6170	chr3R	16771878	16772485	FBgn0063261	chr3R	16750971	16751273	20604	Time Down	Toll9 Up
Region6171	chr3R	16773067	16773836	FBgn0063261	chr3R	16750971	16751273	21793	Time Down	Time Down
Region6184	chr3R	16848469	16849052	FBgn0000014	chr3R	16809690	16828003	20465	Toll9 Up	Toll9 Up
Region6190	chr3R	16864704	16865591	FBgn0000014	chr3R	16809690	16828003	36700	Toll9 Up	Time Down
Region6195	chr3R	16891848	16892663	FBgn0000015	chr3R	16929233	16933031	36569	Time Up	Time Down
Region6220	chr3R	17053535	17054108	FBgn0020493	chr3R	17057711	17069132	3602	Gd7 Up	Time Up
Region6268	chr3R	17825608	17826652	FBgn0038552	chr3R	17809583	17811039	14568	Time Down	Toll9 Up
Region6275	chr3R	18075091	18075525	FBgn0038566	chr3R	18081121	18082464	5595	Time Down	Toll10b Down
Region6353	chr3R	19165617	19166455	FBgn0010768	chr3R	19168035	19169819	1579	Time Up	Time Up
Region6370	chr3R	19331590	19332868	FBgn0000463	chr3R	19304831	19325538	6051	Toll9 Up	Toll9 Down
Region6373	chr3R	19340601	19341163	FBgn0000463	chr3R	19304831	19325538	15062	Toll9 Up	Toll9 Up
Region6378	chr3R	19346139	19346884	FBgn0000463	chr3R	19304831	19325538	20600	Toll9 Up	Toll9 Down
Region6379	chr3R	19350256	19350943	FBgn0086613	chr3R	19369166	19402995	18222	Time Down	Toll9 Up
Region6545	chr3R	21639309	21639653	FBgn0011766	chr3R	21621572	21626497	12811	Gd7 Down	Gd7 Up
Region6547	chr3R	21641100	21642638	FBgn0011766	chr3R	21621572	21626497	14602	Gd7 Down	Toll10b Down
Region6582	chr3R	22153052	22153694	FBgn0259736	chr3R	22124128	22133087	19964	Toll9 Down	Toll10b Down
Region6583	chr3R	22163663	22165265	FBgn0051163	chr3R	22174368	22294282	9102	Time Up	Time Up
Region6826	chr3R	25632587	25633997	FBgn0039349	chr3R	25624935	25626637	5949	Time Down	Toll10b Down
Region6830	chr3R	25645958	25646412	FBgn0039350	chr3R	25648899	25650044	2486	Toll10b Down	Toll9 Up
Region6860	chr3R	26034677	26035504	FBgn0002633	chr3R	26037163	26037720	1658	Gd7 Down	Time Up
Region6992	chr3R	29215695	29216096	FBgn0029176	chr3R	29220297	29221773	4200	Toll9 Down	Toll10b Down
Region7011	chr3R	29306320	29308172	FBgn0015622	chr3R	29315838	29319374	7665	Time Down	Toll10b Down
Region7160	chr3R	31607329	31607973	FBgn0011655	chr3R	31611681	31614898	3707	Time Up	Time Up
Region7211	chr4	70324	70655	FBgn0085432	chr4	72430	108489	1774	Time Down	Time Down
Region7234	chr4	557236	557616	FBgn0026869	chr4	545666	553576	3659	Toll10b Up	Toll9 Down
Region7253	chr4	960152	960424	FBgn0052016	chr4	951842	958031	2120	Time Up	Toll10b Up
Region7834	chrX	2982266	2983414	FBgn0003285	chrX	2953818	2957955	24310	Toll9 Down	Time Up
Region7908	chrX	3861030	3862901	FBgn0000542	chrX	3820737	3856582	4447	Toll10b Down	Gd7 Down
Region7965	chrX	4687889	4688364	FBgn0022768	chrX	4680635	4686156	1732	Toll9 Up	Time Up
Region8053	chrX	5900600	5901024	FBgn0000042	chrX	5902698	5903825	1673	Gd7 Down	Time Up
Region8140	chrX	6853374	6853840	FBgn0029914	chrX	6849987	6851388	1985	Toll10b Up	Time Up
Region8144	chrX	6861404	6862008	FBgn0263993	chrX	6869390	6879851	7381	Time Down	Gd7 Down
Region8145	chrX	6862464	6863252	FBgn0263993	chrX	6869390	6879851	6137	Time Down	Toll10b Up
Region8155	chrX	6981426	6982154	FBgn0004646	chrX	6974433	6977407	4018	Toll9 Up	Time Up
Region8156	chrX	6983555	6984046	FBgn0261284	chrX	6986579	6987025	2532	Toll10b Up	Time Down
Region8159	chrX	6988611	6989360	FBgn0261284	chrX	6986579	6987025	1585	Toll10b Up	Gd7 Down
Region8189	chrX	7293002	7294827	FBgn0025549	chrX	7289149	7290250	2751	Toll9 Up	Gd7 Down
Region8191	chrX	7299621	7301336	FBgn0024250	chrX	7308473	7310584	7136	Gd7 Down	Gd7 Down
Region8214	chrX	7704886	7705972	FBgn0029504	chrX	7685918	7689995	14890	Toll10b Up	Toll10b Up
Region8361	chrX	9163645	9164687	FBgn0030096	chrX	9160490	9161974	1670	Toll9 Down	Toll10b Up
Region8374	chrX	9495523	9496580	FBgn0261260	chrX	9360317	9472416	23106	Toll10b Down	Toll10b Down
