# Program:featureCounts v2.0.0; Command:"featureCounts" "-s" "2" "-t" "gbc" "-O" "-g" "transcript_id" "-a" "references/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "counts.gbc.txt" "bam_dmel/PRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/PRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/qPRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/qPRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_dmel/PRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/PRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/qPRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/qPRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam
FBtr0089428	2L	108261	114110	+	5850	266	483	315	206
FBtr0089432	2L	108437	114110	+	5674	224	420	214	139
FBtr0089430	2L	108437	114332	+	5896	228	429	222	149
FBtr0089433	2L	108589	114332	+	5744	222	397	202	136
FBtr0089434	2L	108633	114332	+	5700	220	396	198	136
FBtr0089436	2L	110094	114110	+	4017	135	261	121	78
FBtr0330639	2L	115226	155930	+	40705	2088	3547	471	438
FBtr0078160	2L	115465	115988	-	524	9	9	0	1
FBtr0100307	2L	117070	120131	-	3062	36	56	2	4
FBtr0078156	2L	117179	121254	-	4076	119	184	2	7
FBtr0078158	2L	117179	120242	-	3064	38	58	2	4
FBtr0078157	2L	117179	120131	-	2953	36	54	2	4
FBtr0100310	2L	117274	120131	-	2858	34	54	2	4
FBtr0078153	2L	122724	130291	-	7568	1489	3134	86	115
FBtr0100379	2L	122724	128745	-	6022	139	265	45	60
FBtr0300568	2L	132577	133895	+	1319	22	60	18	21
FBtr0078114	2L	132577	134372	+	1796	34	84	21	23
FBtr0302194	2L	138484	140492	-	2009	51	83	6	4
FBtr0346127	2L	138484	139088	-	605	10	9	2	0
FBtr0302195	2L	139546	140492	-	947	22	42	4	3
FBtr0300987	2L	141177	142591	-	1415	28	52	1	3
FBtr0330644	2L	141177	142072	-	896	13	25	0	0
FBtr0330643	2L	144331	152800	-	8470	161	201	63	56
FBtr0078147	2L	153639	154805	-	1167	27	45	14	23
FBtr0340650	2L	156529	157566	+	1038	56	121	125	96
FBtr0078119	2L	156649	157566	+	918	47	90	120	95
FBtr0330652	2L	159532	201488	+	41957	1529	3117	2408	2444
FBtr0332336	2L	159532	203150	+	43619	1571	3207	2476	2511
FBtr0078121	2L	159532	203297	+	43766	1578	3224	2488	2513
FBtr0330653	2L	183320	203150	+	19831	503	1114	1261	1313
FBtr0332337	2L	183320	201488	+	18169	461	1024	1193	1246
FBtr0078124	2L	204279	204682	+	404	19	48	30	37
FBtr0078146	2L	204843	206797	-	1955	73	98	17	21
FBtr0308246	2L	204843	206297	-	1455	35	45	12	5
FBtr0332338	2L	207679	210406	+	2728	80	205	65	91
FBtr0332339	2L	207906	210625	+	2720	76	178	60	92
FBtr0078125	2L	207906	210406	+	2501	70	169	55	86
FBtr0308253	2L	210835	250323	-	39489	3635	7045	3938	4187
FBtr0078145	2L	210835	221462	-	10628	539	1147	1258	1327
FBtr0078126	2L	232987	234108	+	1122	18	31	0	0
FBtr0336990	2L	251139	251873	-	735	22	38	16	33
FBtr0078143	2L	251263	251873	-	611	20	30	10	23
FBtr0336989	2L	252689	254250	-	1562	28	52	115	117
FBtr0078141	2L	252689	271244	-	18556	535	847	400	466
FBtr0308252	2L	260049	267005	-	6957	145	196	121	166
FBtr0078142	2L	263566	267005	-	3440	76	98	85	110
FBtr0078127	2L	269588	271526	+	1939	45	47	9	10
FBtr0078139	2L	272012	273215	-	1204	54	131	57	56
FBtr0330650	2L	274840	277734	-	2895	577	1171	325	356
FBtr0330648	2L	274840	276712	-	1873	40	99	111	116
FBtr0078129	2L	278082	282067	+	3986	296	635	411	375
FBtr0343780	2L	281770	282695	-	926	121	156	27	36
FBtr0343779	2L	282071	282695	-	625	106	134	22	32
FBtr0078137	2L	282071	282769	-	699	111	137	22	32
FBtr0113009	2L	283485	291295	-	7811	2004	5397	1975	2171
FBtr0078136	2L	283485	285226	-	1742	60	111	39	47
FBtr0078135	2L	283762	286031	-	2270	1684	4617	1940	2147
FBtr0330647	2L	287352	288644	-	1293	17	21	0	1
FBtr0078134	2L	287352	288432	-	1081	12	20	0	1
FBtr0333408	2L	293059	294181	-	1123	164	398	99	94
FBtr0078133	2L	293453	294181	-	729	138	353	57	82
FBtr0078131	2L	295622	297349	+	1728	65	156	191	179
FBtr0331205	2L	298380	303834	+	5455	161	234	106	99
FBtr0331208	2L	298380	305133	+	6754	190	267	156	119
FBtr0331207	2L	302206	305133	+	2928	91	125	89	50
FBtr0078047	2L	306435	346155	+	39721	836	1003	122	130
FBtr0078049	2L	306435	355466	+	49032	1021	1197	153	158
FBtr0330674	2L	310700	346155	+	35456	667	739	65	86
FBtr0078048	2L	310700	346441	+	35742	678	750	65	86
FBtr0078050	2L	310700	347827	+	37128	708	787	68	87
FBtr0330695	2L	325622	329261	-	3640	60	70	0	2
FBtr0330696	2L	327529	329261	-	1733	31	41	0	1
FBtr0078096	2L	330010	331835	-	1826	33	49	0	0
FBtr0330651	2L	355665	357374	-	1710	95	208	73	63
FBtr0078053	2L	378612	387339	+	8728	132	125	33	26
FBtr0331204	2L	396695	401554	-	4860	52	98	20	24
FBtr0078093	2L	396695	401698	-	5004	54	102	20	25
FBtr0078054	2L	404785	407869	+	3085	67	131	76	78
FBtr0089488	2L	408130	414277	-	6148	132	240	139	137
FBtr0089489	2L	408976	412385	-	3410	76	125	77	72
FBtr0078055	2L	415567	418436	+	2870	105	192	229	215
FBtr0078090	2L	418534	419152	-	619	67	146	37	54
FBtr0078058	2L	423373	425221	+	1849	25	34	4	5
FBtr0329832	2L	431727	448601	+	16875	460	697	260	245
FBtr0331233	2L	448354	452524	-	4171	106	211	37	22
FBtr0078088	2L	448816	452524	-	3709	102	203	35	22
FBtr0304741	2L	448816	450802	-	1987	26	58	14	15
FBtr0331232	2L	448816	452252	-	3437	96	179	22	21
FBtr0078060	2L	453608	454554	+	947	32	108	29	17
FBtr0078061	2L	456031	458645	+	2615	49	68	26	65
FBtr0310034	2L	458976	471700	-	12725	206	293	13	8
FBtr0310035	2L	458976	471055	-	12080	197	274	13	8
FBtr0078062	2L	473513	476070	+	2558	56	130	60	34
FBtr0310030	2L	476546	479188	-	2643	61	98	26	57
FBtr0333012	2L	476720	540432	+	63713	4122	6936	2438	2419
FBtr0310027	2L	491335	540432	+	49098	3561	6130	2310	2299
FBtr0078063	2L	523966	540460	+	16495	549	997	913	930
FBtr0329895	2L	524236	540460	+	16225	533	915	899	916
FBtr0310028	2L	540699	542080	-	1382	115	318	78	79
FBtr0078082	2L	541337	542080	-	744	86	243	58	67
FBtr0078081	2L	541493	542080	-	588	69	203	54	57
FBtr0078080	2L	542886	544153	-	1268	210	557	154	140
FBtr0344014	2L	545025	551954	-	6930	109	136	7	14
FBtr0078064	2L	545629	546996	+	1368	27	26	0	1
FBtr0112854	2L	547116	549002	-	1887	27	32	5	1
FBtr0345429	2L	547116	552423	-	5308	118	172	10	14
FBtr0078079	2L	547116	551954	-	4839	71	93	7	6
FBtr0303763	2L	553842	559810	-	5969	113	119	23	10
FBtr0078078	2L	553842	558579	-	4738	90	93	14	10
FBtr0345577	2L	560668	563319	-	2652	48	68	5	6
FBtr0078076	2L	560668	562847	-	2180	28	32	5	4
FBtr0078067	2L	564663	566372	+	1710	78	140	54	36
FBtr0078075	2L	566466	567621	-	1156	77	214	76	60
FBtr0078068	2L	568840	572616	+	3777	112	257	184	138
FBtr0332340	2L	568840	572807	+	3968	117	261	185	138
FBtr0078074	2L	573133	573764	-	632	35	93	23	15
FBtr0310022	2L	574791	575634	+	844	77	185	25	14
FBtr0078069	2L	575008	575634	+	627	45	103	14	9
FBtr0346650	2L	575811	576396	-	586	15	10	0	1
FBtr0078070	2L	577986	579449	+	1464	14	22	0	3
FBtr0347398	2L	583640	587547	-	3908	70	91	7	13
FBtr0343220	2L	583644	594185	-	10542	218	272	51	51
FBtr0310023	2L	603313	604330	+	1018	27	59	44	23
FBtr0077999	2L	626152	628100	+	1949	12	38	0	0
FBtr0078045	2L	640113	714483	-	74371	1643	2654	922	856
FBtr0343249	2L	640406	714483	-	74078	1637	2651	920	854
FBtr0078000	2L	728862	730464	+	1603	21	50	0	1
FBtr0301317	2L	737312	743895	-	6584	162	244	9	13
FBtr0301316	2L	737312	741291	-	3980	62	64	4	5
FBtr0343785	2L	750445	762042	+	11598	236	332	29	21
FBtr0308257	2L	751109	762042	+	10934	162	191	8	7
FBtr0343787	2L	751109	762299	+	11191	165	195	8	7
FBtr0301439	2L	753300	757420	+	4121	62	59	5	6
FBtr0346526	2L	753300	762042	+	8743	129	147	5	7
FBtr0078006	2L	780982	782785	+	1804	19	30	0	0
FBtr0331651	2L	781776	782785	+	1010	10	14	0	0
FBtr0331652	2L	784836	788676	+	3841	64	72	2	9
FBtr0078007	2L	784836	786058	+	1223	27	24	0	2
FBtr0078042	2L	786253	790298	-	4046	73	69	6	5
FBtr0078009	2L	812084	813280	+	1197	18	34	6	5
FBtr0078041	2L	813414	815450	-	2037	59	109	32	69
FBtr0332972	2L	816493	817996	+	1504	31	54	13	17
FBtr0078010	2L	816493	816932	+	440	15	22	1	8
FBtr0078039	2L	818179	819008	-	830	16	30	1	1
FBtr0078011	2L	820464	821109	+	646	104	239	56	44
FBtr0305507	2L	821789	824237	+	2449	94	237	66	54
FBtr0301908	2L	821922	824237	+	2316	77	195	62	52
FBtr0078038	2L	824429	825361	-	933	44	85	42	44
FBtr0078014	2L	826469	833141	+	6673	207	358	325	265
FBtr0332973	2L	826469	832231	+	5763	181	301	269	208
FBtr0302120	2L	833684	850571	-	16888	551	1002	590	644
FBtr0302121	2L	833684	842443	-	8760	209	427	196	217
FBtr0078037	2L	833687	842443	-	8757	209	427	196	217
FBtr0334763	2L	834967	850571	-	15605	533	950	580	611
FBtr0334797	2L	851351	852230	-	880	53	124	40	68
FBtr0078034	2L	851416	852230	-	815	53	124	38	67
FBtr0078016	2L	853268	854439	+	1172	66	148	21	12
FBtr0334794	2L	853348	854439	+	1092	58	133	18	12
FBtr0334796	2L	855971	856539	+	569	6	10	0	0
FBtr0445832	2L	860697	861706	+	1010	27	46	4	13
FBtr0078018	2L	860809	861706	+	898	25	44	4	13
FBtr0078033	2L	861949	865361	-	3413	63	103	30	49
FBtr0078031	2L	861949	867854	-	5906	120	193	42	60
FBtr0078032	2L	861949	867513	-	5565	109	178	39	60
FBtr0078030	2L	868773	869357	-	585	53	173	86	60
FBtr0091489	2L	870965	876938	+	5974	836	1790	1336	1202
FBtr0091487	2L	870965	874049	+	3085	706	1474	999	927
FBtr0091486	2L	871595	874049	+	2455	214	501	584	556
FBtr0345634	2L	877272	884641	-	7370	102	136	7	1
FBtr0332181	2L	878281	884641	-	6361	96	119	7	1
FBtr0345738	2L	899000	901216	+	2217	25	25	0	0
FBtr0078025	2L	899144	901216	+	2073	25	23	0	0
FBtr0336969	2L	914586	917705	+	3120	44	72	0	3
FBtr0077949	2L	923293	957998	+	34706	565	663	28	51
FBtr0301417	2L	1008478	1047553	-	39076	633	792	96	58
FBtr0332270	2L	1011521	1034082	-	22562	315	391	28	18
FBtr0301416	2L	1011521	1042718	-	31198	490	569	44	24
FBtr0077951	2L	1037746	1038585	+	840	8	12	1	1
FBtr0301087	2L	1037746	1038433	+	688	8	8	1	1
FBtr0077993	2L	1049774	1077315	-	27542	855	1679	1192	1251
FBtr0077994	2L	1051892	1077311	-	25420	807	1564	1089	1145
FBtr0077952	2L	1078448	1080703	+	2256	66	151	47	66
FBtr0332569	2L	1081411	1085280	+	3870	159	339	88	88
FBtr0077953	2L	1081411	1083278	+	1868	74	147	50	46
FBtr0332570	2L	1083191	1102004	-	18814	248	300	13	19
FBtr0332571	2L	1083348	1102004	-	18657	247	297	13	19
FBtr0332273	2L	1103354	1107873	-	4520	83	104	17	19
FBtr0077989	2L	1103583	1107873	-	4291	78	99	17	19
FBtr0077954	2L	1109040	1112594	+	3555	49	66	5	0
FBtr0077955	2L	1113441	1114038	+	598	26	29	0	0
FBtr0077988	2L	1114754	1118531	-	3778	222	430	496	562
FBtr0077987	2L	1114754	1128453	-	13700	1587	2326	793	869
FBtr0077956	2L	1129816	1132311	+	2496	83	224	117	156
FBtr0077986	2L	1132432	1133598	-	1167	13	20	0	0
FBtr0077957	2L	1135193	1140888	+	5696	89	97	6	2
FBtr0332271	2L	1135193	1141056	+	5864	92	100	6	2
FBtr0077958	2L	1143701	1147295	+	3595	42	71	2	11
FBtr0077959	2L	1148322	1149349	+	1028	27	40	24	30
FBtr0077985	2L	1149545	1150177	-	633	22	50	31	32
FBtr0332274	2L	1151778	1155811	-	4034	61	109	31	44
FBtr0100022	2L	1151778	1157762	-	5985	352	572	69	99
FBtr0077961	2L	1159161	1160120	+	960	78	216	33	58
FBtr0331289	2L	1160390	1163386	-	2997	47	65	9	33
FBtr0077962	2L	1164943	1166325	+	1383	48	103	45	38
FBtr0077980	2L	1167272	1169579	-	2308	53	94	72	86
FBtr0304710	2L	1167272	1169442	-	2171	52	86	68	79
FBtr0344015	2L	1167272	1169865	-	2594	266	528	323	491
FBtr0077979	2L	1170853	1172305	-	1453	74	130	25	22
FBtr0331288	2L	1173509	1177489	+	3981	97	172	129	161
FBtr0077966	2L	1173509	1177396	+	3888	93	169	128	158
FBtr0344790	2L	1178190	1182354	+	4165	110	196	136	157
FBtr0077978	2L	1182397	1183520	-	1124	44	67	27	14
FBtr0077971	2L	1184565	1185598	+	1034	90	180	20	26
FBtr0307056	2L	1186257	1196707	+	10451	455	638	14	30
FBtr0335379	2L	1186395	1196707	+	10313	245	307	3	18
FBtr0077972	2L	1186754	1196707	+	9954	233	288	2	18
FBtr0114498	2L	1204715	1205150	+	436	8	11	1	0
FBtr0299796	2L	1219793	1229702	+	9910	248	311	20	17
FBtr0335383	2L	1240536	1242918	+	2383	36	48	0	2
FBtr0077920	2L	1240536	1242105	+	1570	24	40	0	0
FBtr0335384	2L	1256917	1296496	+	39580	592	723	35	37
FBtr0077921	2L	1256917	1294587	+	37671	571	690	28	37
FBtr0343837	2L	1334628	1335414	+	787	18	18	0	0
FBtr0077948	2L	1351828	1352368	-	541	6	19	0	0
FBtr0343845	2L	1351905	1352368	-	464	6	15	0	0
FBtr0077947	2L	1353070	1353609	-	540	11	13	0	1
FBtr0077944	2L	1355011	1355424	-	414	4	9	0	0
FBtr0343844	2L	1359937	1361321	-	1385	24	24	0	1
FBtr0077942	2L	1360083	1361235	-	1153	23	23	0	1
FBtr0343838	2L	1368496	1368950	+	455	4	3	0	0
FBtr0329985	2L	1380186	1419953	-	39768	2083	4578	3992	3798
FBtr0343842	2L	1443127	1443732	+	606	9	14	0	0
FBtr0077929	2L	1492795	1493545	+	751	6	8	0	0
FBtr0334817	2L	1492795	1493759	+	965	13	10	2	0
FBtr0077930	2L	1494570	1495356	+	787	13	18	0	0
FBtr0334818	2L	1495960	1496971	+	1012	12	15	0	0
FBtr0077931	2L	1496229	1496971	+	743	6	10	0	0
FBtr0077932	2L	1497743	1498483	+	741	24	14	0	0
FBtr0334822	2L	1498555	1500108	-	1554	15	25	1	5
FBtr0077936	2L	1498555	1499938	-	1384	13	24	1	5
FBtr0077938	2L	1498555	1499786	-	1232	13	17	1	5
FBtr0077937	2L	1498555	1499929	-	1375	13	24	1	5
FBtr0334820	2L	1500884	1502404	-	1521	40	110	34	37
FBtr0077933	2L	1500935	1502404	-	1470	38	107	31	36
FBtr0077873	2L	1520991	1522056	+	1066	18	24	4	1
FBtr0077874	2L	1523197	1524157	+	961	13	10	0	0
FBtr0344146	2L	1555629	1608304	+	52676	698	946	72	61
FBtr0310019	2L	1555629	1609289	+	53661	709	959	72	65
FBtr0077917	2L	1584966	1586655	-	1690	20	29	2	1
FBtr0077916	2L	1594922	1610657	-	15736	278	419	86	97
FBtr0077876	2L	1611910	1612476	+	567	12	10	1	2
FBtr0334842	2L	1612529	1613660	-	1132	49	111	92	64
FBtr0334843	2L	1612647	1613660	-	1014	48	110	92	62
FBtr0077915	2L	1612796	1613660	-	865	35	88	90	55
FBtr0307047	2L	1651758	1704582	+	52825	918	1270	228	155
FBtr0303935	2L	1651758	1698517	+	46760	823	1144	207	123
FBtr0303934	2L	1668347	1698517	+	30171	551	798	176	95
FBtr0077878	2L	1668347	1697737	+	29391	541	780	172	95
FBtr0077881	2L	1705402	1706677	+	1276	23	53	34	52
FBtr0331630	2L	1705631	1706862	+	1232	17	38	36	43
FBtr0077912	2L	1707232	1709921	-	2690	87	199	115	99
FBtr0077882	2L	1710962	1711365	+	404	39	113	20	28
FBtr0077911	2L	1711402	1715351	-	3950	116	186	92	130
FBtr0333544	2L	1711700	1715351	-	3652	85	154	91	130
FBtr0306167	2L	1716344	1723888	-	7545	122	209	62	94
FBtr0077910	2L	1716999	1723888	-	6890	109	195	60	85
FBtr0077906	2L	1724868	1729136	-	4269	191	361	110	135
FBtr0077905	2L	1725074	1729136	-	4063	180	345	95	108
FBtr0077907	2L	1725074	1727963	-	2890	127	270	87	61
FBtr0077909	2L	1725074	1727217	-	2144	48	97	55	35
FBtr0302115	2L	1725160	1727217	-	2058	46	95	38	24
FBtr0345430	2L	1729232	1729662	+	431	48	77	10	22
FBtr0077884	2L	1730387	1730970	+	584	21	59	11	14
FBtr0333543	2L	1731133	1731856	-	724	12	53	11	15
FBtr0077885	2L	1733024	1750512	+	17489	1585	3078	282	270
FBtr0077886	2L	1737967	1750512	+	12546	193	228	28	20
FBtr0077903	2L	1750787	1751622	-	836	34	96	10	9
FBtr0077902	2L	1755353	1755951	-	599	8	14	0	0
FBtr0077888	2L	1784562	1785186	+	625	7	10	0	1
FBtr0310114	2L	1789241	1789861	-	621	10	13	0	0
FBtr0077899	2L	1790717	1791323	-	607	8	12	0	1
FBtr0100188	2L	1792157	1792768	-	612	20	11	0	0
FBtr0077897	2L	1793768	1794417	-	650	7	6	0	0
FBtr0077896	2L	1821356	1822831	-	1476	15	25	0	0
FBtr0473603	2L	1824272	1826000	-	1729	25	16	1	1
FBtr0473602	2L	1824373	1826000	-	1628	22	16	1	1
FBtr0089786	2L	1837038	1858450	+	21413	306	356	6	8
FBtr0334826	2L	1858709	1880980	-	22272	516	487	17	14
FBtr0304597	2L	1858709	1880172	-	21464	478	434	12	5
FBtr0077891	2L	1870303	1870856	+	554	6	11	0	0
FBtr0334824	2L	1870303	1870932	+	630	6	13	0	0
FBtr0473590	2L	1882108	1882714	-	607	9	7	0	0
FBtr0333007	2L	1885122	1943361	+	58240	1147	1957	411	401
FBtr0077811	2L	1885122	1943718	+	58597	1151	1974	417	401
FBtr0309828	2L	1912242	1943718	+	31477	579	933	211	255
FBtr0113011	2L	1912242	1944189	+	31948	584	944	212	258
FBtr0110882	2L	1928253	1943839	+	15587	272	454	121	156
FBtr0110883	2L	1928253	1943847	+	15595	272	454	121	156
FBtr0330202	2L	1950339	1954053	-	3715	55	82	24	38
FBtr0330200	2L	1950339	1969862	-	19524	1145	1427	70	116
FBtr0334758	2L	1974457	1975313	+	857	61	146	10	19
FBtr0077813	2L	1974612	1975313	+	702	53	109	7	13
FBtr0077869	2L	1975563	1980255	-	4693	135	298	85	87
FBtr0077815	2L	1982717	1984414	+	1698	71	150	41	55
FBtr0077867	2L	1984612	1987258	-	2647	44	49	9	13
FBtr0077868	2L	1984612	1986455	-	1844	26	28	9	13
FBtr0309285	2L	1997202	2005813	-	8612	125	127	4	5
FBtr0330672	2L	2010359	2030436	+	20078	335	468	24	26
FBtr0330671	2L	2012216	2030436	+	18221	271	378	12	21
FBtr0334774	2L	2018040	2030688	+	12649	188	242	6	16
FBtr0301067	2L	2018040	2030436	+	12397	186	240	6	16
FBtr0301066	2L	2024512	2030436	+	5925	92	114	1	6
FBtr0334773	2L	2024512	2030688	+	6177	94	116	1	6
FBtr0299676	2L	2032619	2035541	-	2923	34	40	1	14
FBtr0077822	2L	2038214	2044272	+	6059	203	404	247	196
FBtr0339529	2L	2038214	2043577	+	5364	161	370	224	176
FBtr0334778	2L	2039028	2043577	+	4550	111	218	201	155
FBtr0077824	2L	2040233	2044272	+	4040	122	190	203	162
FBtr0310547	2L	2045994	2047902	+	1909	38	56	38	22
FBtr0077825	2L	2045994	2047954	+	1961	38	59	38	22
FBtr0077826	2L	2055089	2057867	+	2779	50	91	7	0
FBtr0334783	2L	2058890	2109378	-	50489	855	1052	154	133
FBtr0300671	2L	2058959	2109378	-	50420	852	1052	154	133
FBtr0334782	2L	2059224	2109378	-	50155	849	1048	154	133
FBtr0334779	2L	2080419	2081186	+	768	10	8	0	0
FBtr0334781	2L	2127409	2128737	-	1329	30	27	2	0
FBtr0077854	2L	2128312	2128737	-	426	15	6	2	0
FBtr0077828	2L	2131313	2137196	+	5884	98	124	29	17
FBtr0100485	2L	2131313	2136943	+	5631	97	120	22	16
FBtr0334814	2L	2137450	2144687	-	7238	245	374	431	405
FBtr0334813	2L	2145397	2146775	-	1379	89	224	73	43
FBtr0077852	2L	2145597	2146775	-	1179	78	204	63	29
FBtr0077829	2L	2148018	2151564	+	3547	81	121	106	124
FBtr0077831	2L	2152254	2155005	+	2752	100	210	92	100
FBtr0330657	2L	2152254	2155289	+	3036	102	215	98	108
FBtr0077832	2L	2156253	2156690	+	438	33	48	78	72
FBtr0077850	2L	2156584	2178254	-	21671	3272	7290	3689	5704
FBtr0077851	2L	2156584	2161027	-	4444	174	530	543	619
FBtr0330659	2L	2156892	2161027	-	4136	159	489	512	550
FBtr0330660	2L	2157527	2178254	-	20728	3232	7207	3604	5580
FBtr0330664	2L	2190014	2191886	-	1873	99	247	73	70
FBtr0330663	2L	2192625	2197412	-	4788	88	94	2	1
FBtr0307523	2L	2203821	2205666	-	1846	27	24	0	0
FBtr0307522	2L	2206625	2208602	-	1978	42	42	3	1
FBtr0077845	2L	2209674	2212071	-	2398	21	43	0	1
FBtr0331649	2L	2210046	2212071	-	2026	19	36	0	1
FBtr0303459	2L	2212838	2213559	-	722	9	7	5	0
FBtr0077844	2L	2212838	2213711	-	874	11	11	5	0
FBtr0077843	2L	2215072	2215811	-	740	12	31	9	17
FBtr0077835	2L	2217790	2220525	+	2736	82	137	84	65
FBtr0077836	2L	2221248	2225444	+	4197	350	687	50	61
FBtr0077837	2L	2222589	2225444	+	2856	55	75	31	30
FBtr0077838	2L	2223157	2225444	+	2288	50	58	29	27
FBtr0077839	2L	2223700	2225444	+	1745	41	49	25	24
FBtr0100673	2L	2226842	2230999	+	4158	91	204	54	72
FBtr0077840	2L	2227021	2230988	+	3968	77	158	39	39
FBtr0100674	2L	2227021	2230313	+	3293	68	133	33	33
FBtr0329964	2L	2231206	2236344	-	5139	112	228	127	100
FBtr0329965	2L	2231878	2236344	-	4467	107	205	122	91
FBtr0077809	2L	2237176	2237751	-	576	9	10	1	7
FBtr0077808	2L	2238404	2238884	-	481	9	18	0	0
FBtr0077807	2L	2239514	2240093	-	580	7	9	0	0
FBtr0335159	2L	2242878	2245174	+	2297	64	129	4	0
FBtr0077751	2L	2242878	2244314	+	1437	49	119	3	0
FBtr0302372	2L	2264331	2264821	-	491	5	5	0	0
FBtr0335162	2L	2268206	2268640	-	435	14	7	0	0
FBtr0333226	2L	2308861	2356856	-	47996	762	981	152	143
FBtr0077799	2L	2308898	2356856	-	47959	762	981	152	143
FBtr0344663	2L	2312180	2358844	+	46665	660	819	38	46
FBtr0344662	2L	2312180	2358067	+	45888	648	806	38	46
FBtr0077797	2L	2359242	2363004	-	3763	94	152	43	52
FBtr0077796	2L	2359242	2364221	-	4980	147	244	50	66
FBtr0077798	2L	2359666	2362281	-	2616	58	100	35	44
FBtr0077794	2L	2359666	2364454	-	4789	175	323	68	92
FBtr0330668	2L	2359666	2364221	-	4556	137	226	50	64
FBtr0077793	2L	2359666	2364773	-	5108	438	811	107	106
FBtr0330670	2L	2359666	2361355	-	1690	32	59	30	40
FBtr0330665	2L	2365845	2370037	+	4193	156	256	442	409
FBtr0330666	2L	2366094	2370037	+	3944	151	225	438	401
FBtr0330667	2L	2370252	2371024	-	773	20	46	20	23
FBtr0331441	2L	2372555	2373561	-	1007	21	35	6	17
FBtr0303027	2L	2372555	2373237	-	683	18	30	6	5
FBtr0077791	2L	2372555	2374127	-	1573	72	144	6	18
FBtr0077765	2L	2376341	2380406	+	4066	148	259	182	181
FBtr0331438	2L	2376341	2380168	+	3828	144	254	176	176
FBtr0077766	2L	2376609	2380168	+	3560	97	178	157	156
FBtr0331437	2L	2376833	2380406	+	3574	91	168	155	158
FBtr0077767	2L	2381597	2382973	+	1377	73	205	54	29
FBtr0077768	2L	2383702	2384647	+	946	13	26	0	0
FBtr0331439	2L	2384861	2385292	-	432	6	8	0	0
FBtr0335464	2L	2389678	2390189	-	512	6	3	0	0
FBtr0331202	2L	2392160	2410562	+	18403	279	328	11	31
FBtr0077769	2L	2400795	2410562	+	9768	142	169	5	13
FBtr0307078	2L	2401251	2410562	+	9312	136	161	5	13
FBtr0307079	2L	2410724	2414822	-	4099	43	50	1	2
FBtr0077787	2L	2415459	2416220	-	762	5	14	0	0
FBtr0077788	2L	2415534	2416156	-	623	3	10	0	0
FBtr0112752	2L	2416892	2417465	-	574	27	4	0	1
