# Program:featureCounts v2.0.0; Command:"featureCounts" "-s" "2" "-t" "ppc" "-O" "-g" "transcript_id" "-a" "references/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "counts.ppc.txt" "bam_dmel/PRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/PRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/qPRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/qPRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_dmel/PRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/PRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/qPRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/qPRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam
FBtr0078126	2L	232437	232587	+	151	1	1	1	0
FBtr0308253	2L	250723	250873	-	151	1083	2183	55	60
FBtr0336990	2L	252273	252423	-	151	115	242	32	37
FBtr0078143	2L	252273	252423	-	151	115	242	32	37
FBtr0336989	2L	254650	254800	-	151	3	6	0	0
FBtr0308252	2L	267405	267555	-	151	97	201	0	8
FBtr0078142	2L	267405	267555	-	151	97	201	0	8
FBtr0078127	2L	269038	269188	+	151	0	1	0	0
FBtr0078141	2L	271644	271794	-	151	53	83	21	32
FBtr0078139	2L	273615	273765	-	151	110	214	10	20
FBtr0330648	2L	277112	277262	-	151	448	896	97	127
FBtr0078129	2L	277532	277682	+	151	321	548	25	23
FBtr0330650	2L	278134	278284	-	151	30	31	6	3
FBtr0343780	2L	283095	283245	-	151	67	101	21	21
FBtr0343779	2L	283095	283245	-	151	67	101	21	21
FBtr0078137	2L	283169	283319	-	151	31	44	12	14
FBtr0078136	2L	285626	285776	-	151	1529	4294	1894	2097
FBtr0078135	2L	286431	286581	-	151	210	573	12	16
FBtr0078134	2L	288832	288982	-	151	6	5	0	0
FBtr0330647	2L	289044	289194	-	151	1	1	0	0
FBtr0113009	2L	291695	291845	-	151	27	75	5	11
FBtr0333408	2L	294581	294731	-	151	179	256	79	145
FBtr0078133	2L	294581	294731	-	151	179	256	79	145
FBtr0078131	2L	295072	295222	+	151	205	390	43	57
FBtr0331205	2L	297830	297980	+	151	241	517	98	133
FBtr0331208	2L	297830	297980	+	151	241	517	98	133
FBtr0331207	2L	301656	301806	+	151	3	8	0	3
FBtr0078047	2L	305885	306035	+	151	178	267	0	0
FBtr0078049	2L	305885	306035	+	151	178	267	0	0
FBtr0330674	2L	310150	310300	+	151	83	158	52	41
FBtr0078048	2L	310150	310300	+	151	83	158	52	41
FBtr0078050	2L	310150	310300	+	151	83	158	52	41
FBtr0330695	2L	329661	329811	-	151	6	7	0	0
FBtr0330696	2L	329661	329811	-	151	6	7	0	0
FBtr0078096	2L	332235	332385	-	151	4	5	0	0
FBtr0330651	2L	357774	357924	-	151	188	320	2	12
FBtr0078053	2L	378062	378212	+	151	436	1028	5	25
FBtr0331204	2L	401954	402104	-	151	3	10	0	0
FBtr0078093	2L	402098	402248	-	151	140	427	40	17
FBtr0078054	2L	404235	404385	+	151	217	513	6	4
FBtr0089489	2L	412785	412935	-	151	14	21	11	6
FBtr0089488	2L	414677	414827	-	151	75	147	27	15
FBtr0078055	2L	415017	415167	+	151	128	269	56	34
FBtr0078090	2L	419552	419702	-	151	220	247	67	74
FBtr0078058	2L	422823	422973	+	151	22	24	0	4
FBtr0329832	2L	431177	431327	+	151	2929	5764	1767	649
FBtr0304741	2L	451202	451352	-	151	45	75	1	2
FBtr0331232	2L	452652	452802	-	151	20	38	1	6
FBtr0331233	2L	452924	453074	-	151	49	79	14	26
FBtr0078088	2L	452924	453074	-	151	49	79	14	26
FBtr0078060	2L	453058	453208	+	151	111	170	28	68
FBtr0078061	2L	455481	455631	+	151	220	322	60	54
FBtr0310035	2L	471455	471605	-	151	1	5	0	0
FBtr0310034	2L	472100	472250	-	151	176	403	4	13
FBtr0078062	2L	472963	473113	+	151	247	388	1	2
FBtr0333012	2L	476170	476320	+	151	5	5	0	2
FBtr0310030	2L	479588	479738	-	151	523	1517	88	98
FBtr0310027	2L	490785	490935	+	151	149	232	79	74
FBtr0078063	2L	523416	523566	+	151	670	1348	148	172
FBtr0329895	2L	523686	523836	+	151	1534	2770	1116	1023
FBtr0310028	2L	542480	542630	-	151	95	153	43	30
FBtr0078082	2L	542480	542630	-	151	95	153	43	30
FBtr0078081	2L	542480	542630	-	151	95	153	43	30
FBtr0078080	2L	544553	544703	-	151	421	724	69	85
FBtr0078064	2L	545079	545229	+	151	41	68	21	27
FBtr0112854	2L	549402	549552	-	151	10	12	2	5
FBtr0344014	2L	552354	552504	-	151	218	438	3	10
FBtr0078079	2L	552354	552504	-	151	218	438	3	10
FBtr0345429	2L	552823	552973	-	151	3	3	0	2
FBtr0078078	2L	558979	559129	-	151	6	7	0	0
FBtr0303763	2L	560210	560360	-	151	14	30	7	0
FBtr0078076	2L	563247	563397	-	151	15	18	0	2
FBtr0345577	2L	563719	563869	-	151	5	5	2	0
FBtr0078067	2L	564113	564263	+	151	197	350	13	16
FBtr0078075	2L	568021	568171	-	151	307	474	196	241
FBtr0078068	2L	568290	568440	+	151	224	444	9	15
FBtr0332340	2L	568290	568440	+	151	224	444	9	15
FBtr0078074	2L	574164	574314	-	151	719	1461	323	480
FBtr0310022	2L	574241	574391	+	151	3	4	0	0
FBtr0078069	2L	574458	574608	+	151	63	108	1	1
FBtr0346650	2L	576796	576946	-	151	2	3	0	0
FBtr0078070	2L	577436	577586	+	151	4	9	0	0
FBtr0347398	2L	587947	588097	-	151	5	4	0	3
FBtr0343220	2L	594585	594735	-	151	518	1021	35	30
FBtr0310023	2L	602763	602913	+	151	182	260	22	22
FBtr0077999	2L	625602	625752	+	151	3	4	0	0
FBtr0078045	2L	714883	715033	-	151	1971	4824	263	224
FBtr0343249	2L	714883	715033	-	151	1971	4824	263	224
FBtr0078000	2L	728312	728462	+	151	5	2	0	0
FBtr0301316	2L	741691	741841	-	151	70	140	4	8
FBtr0301317	2L	744295	744445	-	151	6	3	0	0
FBtr0343785	2L	749895	750045	+	151	3	6	0	0
FBtr0308257	2L	750559	750709	+	151	64	133	21	14
FBtr0343787	2L	750559	750709	+	151	64	133	21	14
FBtr0301439	2L	752750	752900	+	151	1	4	0	0
FBtr0346526	2L	752750	752900	+	151	1	4	0	0
FBtr0078006	2L	780432	780582	+	151	1	2	1	0
FBtr0331651	2L	781226	781376	+	151	3	3	0	0
FBtr0331652	2L	784286	784436	+	151	3	5	0	0
FBtr0078007	2L	784286	784436	+	151	3	5	0	0
FBtr0078042	2L	790698	790848	-	151	36	78	5	4
FBtr0078009	2L	811534	811684	+	151	42	41	8	11
FBtr0078041	2L	815850	816000	-	151	138	186	14	18
FBtr0332972	2L	815943	816093	+	151	16	33	12	14
FBtr0078010	2L	815943	816093	+	151	16	33	12	14
FBtr0078039	2L	819408	819558	-	151	15	32	19	1
FBtr0078011	2L	819914	820064	+	151	70	121	20	18
FBtr0305507	2L	821239	821389	+	151	15	23	1	1
FBtr0301908	2L	821372	821522	+	151	417	775	69	100
FBtr0078038	2L	825761	825911	-	151	310	499	59	47
FBtr0078014	2L	825919	826069	+	151	774	1459	184	161
FBtr0332973	2L	825919	826069	+	151	774	1459	184	161
FBtr0302121	2L	842843	842993	-	151	7	3	1	10
FBtr0078037	2L	842843	842993	-	151	7	3	1	10
FBtr0302120	2L	850971	851121	-	151	2916	5729	82	42
FBtr0334763	2L	850971	851121	-	151	2916	5729	82	42
FBtr0334797	2L	852630	852780	-	151	38	31	12	1
FBtr0078034	2L	852630	852780	-	151	38	31	12	1
FBtr0078016	2L	852718	852868	+	151	920	1370	60	33
FBtr0334794	2L	852798	852948	+	151	1102	1679	94	50
FBtr0334796	2L	855421	855571	+	151	3	14	0	0
FBtr0445832	2L	860147	860297	+	151	10	9	0	0
FBtr0078018	2L	860259	860409	+	151	3	9	0	0
FBtr0078033	2L	865761	865911	-	151	12	19	1	2
FBtr0078032	2L	867913	868063	-	151	17	23	22	2
FBtr0078031	2L	868254	868404	-	151	1232	2320	254	233
FBtr0078030	2L	869757	869907	-	151	262	509	73	84
FBtr0091489	2L	870415	870565	+	151	835	1723	142	156
FBtr0091487	2L	870415	870565	+	151	835	1723	142	156
FBtr0091486	2L	871045	871195	+	151	271	453	196	196
FBtr0345634	2L	885041	885191	-	151	2	6	0	0
FBtr0332181	2L	885041	885191	-	151	2	6	0	0
FBtr0345738	2L	898450	898600	+	151	3	3	0	0
FBtr0078025	2L	898594	898744	+	151	1	0	0	0
FBtr0336969	2L	914036	914186	+	151	18	53	1	5
FBtr0077949	2L	922743	922893	+	151	295	612	119	145
FBtr0332270	2L	1034482	1034632	-	151	2	2	0	1
FBtr0077951	2L	1037196	1037346	+	151	83	104	4	3
FBtr0301087	2L	1037196	1037346	+	151	83	104	4	3
FBtr0301416	2L	1043118	1043268	-	151	32	83	5	0
FBtr0301417	2L	1047953	1048103	-	151	21	55	11	11
FBtr0077994	2L	1077711	1077861	-	151	1416	2559	367	359
FBtr0077993	2L	1077715	1077865	-	151	1408	2529	367	359
FBtr0077952	2L	1077898	1078048	+	151	94	133	17	19
FBtr0332569	2L	1080861	1081011	+	151	131	197	143	203
FBtr0077953	2L	1080861	1081011	+	151	131	197	143	203
FBtr0332570	2L	1102404	1102554	-	151	149	235	33	56
FBtr0332571	2L	1102404	1102554	-	151	149	235	33	56
FBtr0332273	2L	1108273	1108423	-	151	174	208	13	11
FBtr0077989	2L	1108273	1108423	-	151	174	208	13	11
FBtr0077954	2L	1108490	1108640	+	151	1	2	0	0
FBtr0077955	2L	1112891	1113041	+	151	3	7	0	0
FBtr0077988	2L	1118931	1119081	-	151	1019	1364	89	75
FBtr0077987	2L	1128853	1129003	-	151	93	126	20	16
FBtr0077956	2L	1129266	1129416	+	151	49	119	14	38
FBtr0077986	2L	1133998	1134148	-	151	4	7	0	0
FBtr0077957	2L	1134643	1134793	+	151	21	44	0	0
FBtr0332271	2L	1134643	1134793	+	151	21	44	0	0
FBtr0077958	2L	1143151	1143301	+	151	286	536	14	0
FBtr0077959	2L	1147772	1147922	+	151	110	151	12	19
FBtr0077985	2L	1150577	1150727	-	151	275	452	18	32
FBtr0332274	2L	1156211	1156361	-	151	206	344	22	26
FBtr0100022	2L	1158162	1158312	-	151	598	1024	9	2
FBtr0077961	2L	1158611	1158761	+	151	408	641	189	167
FBtr0331289	2L	1163786	1163936	-	151	116	272	17	3
FBtr0077962	2L	1164393	1164543	+	151	18	41	2	9
FBtr0304710	2L	1169842	1169992	-	151	60	111	236	367
FBtr0077980	2L	1169979	1170129	-	151	5	3	0	0
FBtr0344015	2L	1170265	1170415	-	151	3	2	0	0
FBtr0077979	2L	1172705	1172855	-	151	81	157	12	17
FBtr0331288	2L	1172959	1173109	+	151	119	173	31	12
FBtr0077966	2L	1172959	1173109	+	151	119	173	31	12
FBtr0344790	2L	1177640	1177790	+	151	400	868	35	9
FBtr0077978	2L	1183920	1184070	-	151	114	194	10	16
FBtr0077971	2L	1184015	1184165	+	151	209	324	48	26
FBtr0307056	2L	1185707	1185857	+	151	3	16	0	1
FBtr0335379	2L	1185845	1185995	+	151	65	110	7	4
FBtr0077972	2L	1186204	1186354	+	151	211	331	11	12
FBtr0114498	2L	1204165	1204315	+	151	7	11	0	0
FBtr0299796	2L	1219243	1219393	+	151	4	4	0	0
FBtr0335383	2L	1239986	1240136	+	151	3	5	0	0
FBtr0077920	2L	1239986	1240136	+	151	3	5	0	0
FBtr0335384	2L	1256367	1256517	+	151	28	83	0	0
FBtr0077921	2L	1256367	1256517	+	151	28	83	0	0
FBtr0343837	2L	1334078	1334228	+	151	0	2	0	0
FBtr0077948	2L	1352768	1352918	-	151	6	5	0	0
FBtr0343845	2L	1352768	1352918	-	151	6	5	0	0
FBtr0077947	2L	1354009	1354159	-	151	1	2	0	0
FBtr0077944	2L	1355824	1355974	-	151	3	1	0	0
FBtr0077942	2L	1361635	1361785	-	151	124	278	0	9
FBtr0343844	2L	1361721	1361871	-	151	93	179	0	0
FBtr0343838	2L	1367946	1368096	+	151	9	9	0	0
FBtr0329985	2L	1420353	1420503	-	151	4115	6457	1238	1444
FBtr0343842	2L	1442577	1442727	+	151	0	1	0	0
FBtr0077929	2L	1492245	1492395	+	151	5	9	0	0
FBtr0334817	2L	1492245	1492395	+	151	5	9	0	0
FBtr0077930	2L	1494020	1494170	+	151	3	11	5	0
FBtr0334818	2L	1495410	1495560	+	151	2	0	0	0
FBtr0077931	2L	1495679	1495829	+	151	3	5	1	0
FBtr0077932	2L	1497193	1497343	+	151	1	1	0	0
FBtr0077938	2L	1500186	1500336	-	151	5	7	8	0
FBtr0077937	2L	1500329	1500479	-	151	21	37	3	3
FBtr0077936	2L	1500338	1500488	-	151	21	37	3	3
FBtr0334822	2L	1500508	1500658	-	151	2	4	2	0
FBtr0334820	2L	1502804	1502954	-	151	174	286	101	82
FBtr0077933	2L	1502804	1502954	-	151	174	286	101	82
FBtr0077873	2L	1520441	1520591	+	151	2	3	0	1
FBtr0077874	2L	1522647	1522797	+	151	2	1	0	0
FBtr0344146	2L	1555079	1555229	+	151	970	2823	82	75
FBtr0310019	2L	1555079	1555229	+	151	970	2823	82	75
FBtr0077917	2L	1587055	1587205	-	151	0	3	0	0
FBtr0077916	2L	1611057	1611207	-	151	37	52	11	4
FBtr0077876	2L	1611360	1611510	+	151	5	12	0	0
FBtr0334842	2L	1614060	1614210	-	151	180	372	88	100
FBtr0334843	2L	1614060	1614210	-	151	180	372	88	100
FBtr0077915	2L	1614060	1614210	-	151	180	372	88	100
FBtr0307047	2L	1651208	1651358	+	151	522	855	25	29
FBtr0303935	2L	1651208	1651358	+	151	522	855	25	29
FBtr0303934	2L	1667797	1667947	+	151	11	8	0	0
FBtr0077878	2L	1667797	1667947	+	151	11	8	0	0
FBtr0077881	2L	1704852	1705002	+	151	100	154	21	14
FBtr0331630	2L	1705081	1705231	+	151	23	73	3	12
FBtr0077912	2L	1710321	1710471	-	151	342	573	71	87
FBtr0077882	2L	1710412	1710562	+	151	73	147	26	24
FBtr0077911	2L	1715751	1715901	-	151	90	150	16	20
FBtr0333544	2L	1715751	1715901	-	151	90	150	16	20
FBtr0306167	2L	1724288	1724438	-	151	347	749	61	59
FBtr0077910	2L	1724288	1724438	-	151	347	749	61	59
FBtr0077909	2L	1727617	1727767	-	151	65	136	29	21
FBtr0302115	2L	1727617	1727767	-	151	65	136	29	21
FBtr0077907	2L	1728363	1728513	-	151	12	15	7	34
FBtr0345430	2L	1728682	1728832	+	151	64	84	18	11
FBtr0077906	2L	1729536	1729686	-	151	2	3	0	0
FBtr0077905	2L	1729536	1729686	-	151	2	3	0	0
FBtr0077884	2L	1729837	1729987	+	151	173	469	77	74
FBtr0333543	2L	1732256	1732406	-	151	35	49	10	5
FBtr0077885	2L	1732474	1732624	+	151	167	421	4	5
FBtr0077886	2L	1737417	1737567	+	151	1322	2745	239	235
FBtr0077903	2L	1752022	1752172	-	151	86	181	22	14
FBtr0077902	2L	1756351	1756501	-	151	1	1	0	0
FBtr0077888	2L	1784012	1784162	+	151	5	3	0	0
FBtr0310114	2L	1790261	1790411	-	151	1	1	0	0
FBtr0077899	2L	1791723	1791873	-	151	1	0	0	0
FBtr0100188	2L	1793168	1793318	-	151	2	1	0	0
FBtr0077897	2L	1794817	1794967	-	151	3	3	0	0
FBtr0077896	2L	1823231	1823381	-	151	3	2	0	0
FBtr0473603	2L	1826400	1826550	-	151	3	5	0	0
FBtr0473602	2L	1826400	1826550	-	151	3	5	0	0
FBtr0089786	2L	1836488	1836638	+	151	53	98	12	22
FBtr0077891	2L	1869753	1869903	+	151	2	1	0	0
FBtr0334824	2L	1869753	1869903	+	151	2	1	0	0
FBtr0304597	2L	1880572	1880722	-	151	26	37	5	8
FBtr0334826	2L	1881380	1881530	-	151	4	5	0	0
FBtr0473590	2L	1883114	1883264	-	151	1	2	0	0
FBtr0333007	2L	1884572	1884722	+	151	325	571	3	26
FBtr0077811	2L	1884572	1884722	+	151	325	571	3	26
FBtr0309828	2L	1911692	1911842	+	151	101	254	0	0
FBtr0113011	2L	1911692	1911842	+	151	101	254	0	0
FBtr0110882	2L	1927703	1927853	+	151	14	22	9	9
FBtr0110883	2L	1927703	1927853	+	151	14	22	9	9
FBtr0330202	2L	1954453	1954603	-	151	797	1018	21	53
FBtr0330200	2L	1970262	1970412	-	151	2	4	0	0
FBtr0334758	2L	1973907	1974057	+	151	2	3	0	0
FBtr0077813	2L	1974062	1974212	+	151	119	211	17	9
FBtr0077869	2L	1980655	1980805	-	151	42	65	20	30
FBtr0077815	2L	1982167	1982317	+	151	64	113	55	57
FBtr0077868	2L	1986855	1987005	-	151	2	8	0	0
FBtr0077867	2L	1987658	1987808	-	151	240	583	13	9
FBtr0309285	2L	2006213	2006363	-	151	25	25	0	4
FBtr0330672	2L	2009809	2009959	+	151	8	26	2	7
FBtr0330671	2L	2011666	2011816	+	151	41	55	11	3
FBtr0334774	2L	2017490	2017640	+	151	1	2	0	0
FBtr0301067	2L	2017490	2017640	+	151	1	2	0	0
FBtr0301066	2L	2023962	2024112	+	151	3	1	0	0
FBtr0334773	2L	2023962	2024112	+	151	3	1	0	0
FBtr0299676	2L	2035941	2036091	-	151	292	342	50	8
FBtr0077822	2L	2037664	2037814	+	151	151	343	109	139
FBtr0339529	2L	2037664	2037814	+	151	151	343	109	139
FBtr0334778	2L	2038478	2038628	+	151	4	21	2	3
FBtr0077824	2L	2039683	2039833	+	151	2	5	0	0
FBtr0310547	2L	2045444	2045594	+	151	32	38	7	0
FBtr0077825	2L	2045444	2045594	+	151	32	38	7	0
FBtr0077826	2L	2054539	2054689	+	151	2	2	2	0
FBtr0334779	2L	2079869	2080019	+	151	4	0	0	0
FBtr0334783	2L	2109778	2109928	-	151	69	178	1	3
FBtr0300671	2L	2109778	2109928	-	151	69	178	1	3
FBtr0334782	2L	2109778	2109928	-	151	69	178	1	3
FBtr0334781	2L	2129137	2129287	-	151	5	18	0	0
FBtr0077854	2L	2129137	2129287	-	151	5	18	0	0
FBtr0077828	2L	2130763	2130913	+	151	237	390	13	13
FBtr0100485	2L	2130763	2130913	+	151	237	390	13	13
FBtr0334814	2L	2145087	2145237	-	151	151	224	55	100
FBtr0334813	2L	2147175	2147325	-	151	35	88	32	55
FBtr0077852	2L	2147175	2147325	-	151	35	88	32	55
FBtr0077829	2L	2147468	2147618	+	151	62	77	30	20
FBtr0077831	2L	2151704	2151854	+	151	303	627	55	73
FBtr0330657	2L	2151704	2151854	+	151	303	627	55	73
FBtr0077832	2L	2155703	2155853	+	151	187	273	254	353
FBtr0077851	2L	2161427	2161577	-	151	2303	5144	2311	4364
FBtr0330659	2L	2161427	2161577	-	151	2303	5144	2311	4364
FBtr0077850	2L	2178654	2178804	-	151	3451	5329	426	462
FBtr0330660	2L	2178654	2178804	-	151	3451	5329	426	462
FBtr0330664	2L	2192286	2192436	-	151	126	230	34	20
FBtr0330663	2L	2197812	2197962	-	151	1	1	0	1
FBtr0307523	2L	2206066	2206216	-	151	2	2	0	0
FBtr0307522	2L	2209002	2209152	-	151	2	6	0	0
FBtr0077845	2L	2212471	2212621	-	151	3	7	0	0
FBtr0331649	2L	2212471	2212621	-	151	3	7	0	0
FBtr0303459	2L	2213959	2214109	-	151	5	9	2	1
FBtr0077844	2L	2214111	2214261	-	151	39	49	0	0
FBtr0077843	2L	2216211	2216361	-	151	22	42	46	92
FBtr0077835	2L	2217240	2217390	+	151	99	140	20	19
FBtr0077836	2L	2220698	2220848	+	151	79	204	13	12
FBtr0077837	2L	2222039	2222189	+	151	270	566	18	25
FBtr0077838	2L	2222607	2222757	+	151	1	4	0	0
FBtr0077839	2L	2223150	2223300	+	151	2	2	0	0
FBtr0100673	2L	2226292	2226442	+	151	2	0	0	0
FBtr0077840	2L	2226471	2226621	+	151	229	570	7	15
FBtr0100674	2L	2226471	2226621	+	151	229	570	7	15
FBtr0329964	2L	2236744	2236894	-	151	307	481	29	35
FBtr0329965	2L	2236744	2236894	-	151	307	481	29	35
FBtr0077809	2L	2238151	2238301	-	151	0	3	0	0
FBtr0077808	2L	2239284	2239434	-	151	0	1	0	0
FBtr0077807	2L	2240493	2240643	-	151	2	8	0	0
FBtr0335159	2L	2242328	2242478	+	151	939	1907	13	16
FBtr0077751	2L	2242328	2242478	+	151	939	1907	13	16
FBtr0302372	2L	2265221	2265371	-	151	1	2	0	2
FBtr0335162	2L	2269040	2269190	-	151	4	12	5	8
FBtr0344663	2L	2311630	2311780	+	151	175	346	54	70
FBtr0344662	2L	2311630	2311780	+	151	175	346	54	70
FBtr0333226	2L	2357256	2357406	-	151	61	175	83	161
FBtr0077799	2L	2357256	2357406	-	151	61	175	83	161
FBtr0330670	2L	2361755	2361905	-	151	6	11	3	0
FBtr0077798	2L	2362681	2362831	-	151	7	10	6	2
FBtr0077797	2L	2363404	2363554	-	151	15	18	1	0
FBtr0077796	2L	2364621	2364771	-	151	232	440	35	10
FBtr0330668	2L	2364621	2364771	-	151	232	440	35	10
FBtr0077794	2L	2364854	2365004	-	151	73	135	23	21
FBtr0077793	2L	2365173	2365323	-	151	7	19	5	1
FBtr0330665	2L	2365295	2365445	+	151	372	770	27	41
FBtr0330666	2L	2365544	2365694	+	151	40	91	51	52
FBtr0330667	2L	2371424	2371574	-	151	21	37	1	8
FBtr0303027	2L	2373637	2373787	-	151	39	96	0	0
FBtr0331441	2L	2373961	2374111	-	151	2	7	0	1
FBtr0077791	2L	2374527	2374677	-	151	33	76	3	0
FBtr0077765	2L	2375791	2375941	+	151	49	72	14	28
FBtr0331438	2L	2375791	2375941	+	151	49	72	14	28
FBtr0077766	2L	2376059	2376209	+	151	35	80	2	8
FBtr0331437	2L	2376283	2376433	+	151	64	120	19	29
FBtr0077767	2L	2381047	2381197	+	151	68	163	111	49
FBtr0077768	2L	2383152	2383302	+	151	8	17	2	7
FBtr0331439	2L	2385692	2385842	-	151	10	28	0	0
FBtr0335464	2L	2390589	2390739	-	151	4	1	3	0
FBtr0331202	2L	2391610	2391760	+	151	32	70	8	13
FBtr0077769	2L	2400245	2400395	+	151	9	13	1	5
FBtr0307078	2L	2400701	2400851	+	151	3	9	0	0
FBtr0307079	2L	2415222	2415372	-	151	111	185	35	31
FBtr0077788	2L	2416556	2416706	-	151	1	3	0	0
FBtr0077787	2L	2416620	2416770	-	151	2	0	0	0
FBtr0112752	2L	2417865	2418015	-	151	2	4	0	0
FBtr0331203	2L	2419704	2419854	-	151	7	15	0	0
FBtr0112751	2L	2419913	2420063	-	151	2	2	0	0
FBtr0077770	2L	2420780	2420930	+	151	71	120	23	34
FBtr0335462	2L	2420780	2420930	+	151	71	120	23	34
FBtr0077771	2L	2428322	2428472	+	151	1	16	0	2
FBtr0077772	2L	2450143	2450293	+	151	42	69	17	10
FBtr0077773	2L	2451179	2451329	+	151	311	574	146	129
FBtr0077775	2L	2454687	2454837	+	151	320	699	643	797
FBtr0335169	2L	2492571	2492721	-	151	149	265	61	124
FBtr0077782	2L	2492571	2492721	-	151	149	265	61	124
FBtr0077777	2L	2492905	2493055	+	151	1783	2857	113	153
FBtr0077779	2L	2492905	2493055	+	151	1783	2857	113	153
