# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/CBP.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/PROseq.CBP.peak.featureCount.count.tab.txt" "PRO_seq_dm6/bam_dmel6/spikedRemoved/gd7_2-5_3h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam" "PRO_seq_dm6/bam_dmel6/spikedRemoved/gd7_2-5_3h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam" "PRO_seq_dm6/bam_dmel6/spikedRemoved/gd7_4-5_5h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam" "PRO_seq_dm6/bam_dmel6/spikedRemoved/gd7_4-5_5h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam" "PRO_seq_dm6/bam_dmel6/spikedRemoved/toll10b_2-5_3h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam" "PRO_seq_dm6/bam_dmel6/spikedRemoved/toll10b_2-5_3h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam" "PRO_seq_dm6/bam_dmel6/spikedRemoved/toll10b_4-5_5h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam" "PRO_seq_dm6/bam_dmel6/spikedRemoved/toll10b_4-5_5h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam" "PRO_seq_dm6/bam_dmel6/spikedRemoved/toll9_10_2-5_3h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam" "PRO_seq_dm6/bam_dmel6/spikedRemoved/toll9_10_2-5_3h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam" "PRO_seq_dm6/bam_dmel6/spikedRemoved/toll9_10_4-5_5h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam" "PRO_seq_dm6/bam_dmel6/spikedRemoved/toll9_10_4-5_5h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	PRO_seq_dm6/bam_dmel6/spikedRemoved/gd7_2-5_3h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam	PRO_seq_dm6/bam_dmel6/spikedRemoved/gd7_2-5_3h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam	PRO_seq_dm6/bam_dmel6/spikedRemoved/gd7_4-5_5h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam	PRO_seq_dm6/bam_dmel6/spikedRemoved/gd7_4-5_5h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam	PRO_seq_dm6/bam_dmel6/spikedRemoved/toll10b_2-5_3h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam	PRO_seq_dm6/bam_dmel6/spikedRemoved/toll10b_2-5_3h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam	PRO_seq_dm6/bam_dmel6/spikedRemoved/toll10b_4-5_5h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam	PRO_seq_dm6/bam_dmel6/spikedRemoved/toll10b_4-5_5h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam	PRO_seq_dm6/bam_dmel6/spikedRemoved/toll9_10_2-5_3h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam	PRO_seq_dm6/bam_dmel6/spikedRemoved/toll9_10_2-5_3h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam	PRO_seq_dm6/bam_dmel6/spikedRemoved/toll9_10_4-5_5h_rep1.dmel6.bowtie2.sorted.spikeRemoved.bam	PRO_seq_dm6/bam_dmel6/spikedRemoved/toll9_10_4-5_5h_rep2.dmel6.bowtie2.sorted.spikeRemoved.bam
Region41	chr211000022279876	1043	1373	.	331	0	0	0	0	0	0	0	0	0	0	0	0
Region42	chr211000022280016	2080	2387	.	308	0	0	0	0	0	0	0	0	0	0	0	0
Region43	chr211000022280025	655	825	.	171	0	0	0	0	0	0	0	0	0	0	0	0
Region44	chr211000022280026	640	848	.	209	0	0	0	0	0	0	0	0	0	0	0	0
Region45	chr211000022280236	540	885	.	346	0	0	0	0	0	0	0	0	0	0	0	0
Region46	chr211000022280497	13	129	.	117	0	0	0	0	0	0	0	0	0	0	0	0
Region47	chr211000022280519	1300	1676	.	377	0	0	0	0	0	0	0	0	0	0	0	0
Region48	chr211000022280598	727	936	.	210	0	0	0	0	0	0	0	0	0	0	0	0
Region49	chr211000022280687	1951	2177	.	227	0	0	0	0	0	0	0	0	0	0	0	0
Region50	chr211000022280748	2268	2599	.	332	0	0	0	0	0	0	0	0	0	0	0	0
Region51	chr211000022280748	4049	4378	.	330	0	0	0	0	0	0	0	0	0	0	0	0
Region52	chr211000022280762	1997	2409	.	413	0	0	0	0	0	0	0	0	0	0	0	0
Region53	chr2L	224	6008	.	5785	1037	483	449	425	522	598	460	491	1055	1029	374	880
Region54	chr2L	18442	18705	.	264	750	460	625	559	562	652	701	777	633	553	380	512
Region55	chr2L	27035	27519	.	485	774	431	27	17	160	193	14	11	361	341	14	34
Region56	chr2L	28009	29052	.	1044	516	268	38	53	118	108	15	25	287	292	32	72
Region57	chr2L	35512	35929	.	418	54	31	21	18	19	16	5	7	35	50	7	17
Region58	chr2L	66674	67518	.	845	1015	722	789	776	857	976	1055	1402	807	844	601	972
Region59	chr2L	89189	89518	.	330	32	15	10	2	2	8	5	2	10	2	1	2
Region60	chr2L	90106	90445	.	340	37	19	8	5	8	5	3	6	9	3	6	4
Region61	chr2L	91221	91973	.	753	189	115	37	32	32	36	25	21	46	42	7	7
Region62	chr2L	102167	102646	.	480	341	239	226	247	170	159	126	209	225	193	121	206
Region63	chr2L	107736	108386	.	651	1192	712	807	886	806	934	953	1300	881	898	501	884
Region64	chr2L	114532	114855	.	324	424	241	190	220	140	175	144	146	179	171	68	145
Region65	chr2L	155063	155938	.	876	1447	918	596	576	664	720	624	696	971	920	412	614
Region66	chr2L	158885	159311	.	427	1165	745	694	871	710	927	747	1024	1105	1037	567	949
Region67	chr2L	160417	162272	.	1856	1477	742	976	1065	670	859	1162	1456	918	909	612	1350
Region68	chr2L	165473	165923	.	451	324	131	155	157	118	133	158	147	186	234	91	278
Region69	chr2L	166163	167088	.	926	512	273	303	263	195	244	207	217	347	357	156	354
Region70	chr2L	207184	207645	.	462	366	273	263	255	192	231	184	204	291	249	130	190
Region71	chr2L	220420	220886	.	467	811	412	285	241	319	372	229	262	537	609	155	300
Region72	chr2L	221620	224740	.	3121	6137	3347	2131	2364	2596	2857	2113	2340	4478	4334	1176	2582
Region73	chr2L	224978	225429	.	452	375	205	150	159	149	157	127	118	245	261	86	154
Region74	chr2L	246472	247148	.	677	1035	511	376	370	440	437	268	319	710	670	194	530
Region75	chr2L	247430	247810	.	381	256	102	140	106	136	172	106	118	161	156	61	164
Region76	chr2L	248757	249585	.	829	1564	818	591	580	734	750	461	607	965	1053	295	603
Region77	chr2L	249822	251232	.	1411	2788	1454	1313	1409	1339	1437	1620	1744	1881	1780	801	1694
Region78	chr2L	252153	252470	.	318	226	150	239	239	138	186	178	207	163	190	140	168
Region79	chr2L	273416	273935	.	520	223	135	209	177	161	202	281	334	198	193	87	151
Region80	chr2L	277007	278241	.	1235	2548	1421	881	752	1346	1523	887	1051	1791	1679	658	905
Region81	chr2L	278601	279126	.	526	904	473	101	111	376	415	83	100	605	601	61	147
Region82	chr2L	282210	283269	.	1060	1117	533	268	245	431	559	163	154	679	639	139	281
Region83	chr2L	283860	284182	.	323	160	57	53	40	42	60	26	25	123	95	23	58
Region84	chr2L	285460	285868	.	409	2552	1385	1650	2335	914	1083	1451	1695	1457	1209	1201	2398
Region85	chr2L	294945	295369	.	425	457	281	288	287	268	308	306	319	373	405	208	293
Region86	chr2L	297698	298334	.	637	551	342	385	434	342	447	436	711	450	469	293	495
Region87	chr2L	305669	306053	.	385	104	61	130	98	68	88	85	100	91	111	80	98
Region88	chr2L	347953	348270	.	318	79	56	33	41	21	26	20	30	54	39	18	29
Region89	chr2L	354077	354643	.	567	136	50	31	21	14	22	7	10	36	62	18	23
Region90	chr2L	354907	355265	.	359	112	63	42	49	28	38	34	38	55	60	23	31
Region91	chr2L	356175	356749	.	575	298	147	121	123	192	195	82	107	205	229	49	125
Region92	chr2L	357823	358103	.	281	354	267	260	305	305	318	328	417	340	310	105	356
Region93	chr2L	377626	378142	.	517	104	57	171	283	42	73	112	159	143	119	138	345
Region94	chr2L	403750	404237	.	488	57	31	18	12	21	30	9	10	25	28	5	7
Region95	chr2L	414404	415407	.	1004	941	645	638	567	699	829	619	809	718	725	393	634
Region96	chr2L	419855	420262	.	408	2292	1287	1337	1514	1440	1601	1839	2351	1813	1545	763	1615
Region97	chr2L	421221	421676	.	456	425	263	275	289	332	353	315	331	326	297	138	233
Region98	chr2L	430887	431959	.	1073	4428	3376	3192	4158	2890	3294	3173	4456	4591	3872	2019	4924
Region99	chr2L	441747	442435	.	689	91	74	115	98	62	73	32	51	83	97	31	74
Region100	chr2L	452821	453223	.	403	158	109	243	182	175	200	261	372	172	154	197	199
Region101	chr2L	455344	455670	.	327	324	242	228	210	257	311	190	229	282	243	100	174
Region102	chr2L	478925	479403	.	479	37	11	66	60	22	29	48	43	30	30	24	64
Region103	chr2L	480736	481586	.	851	16	13	27	33	18	26	25	36	24	29	20	41
Region104	chr2L	486906	487196	.	291	6	0	3	3	4	4	4	2	6	7	3	7
Region105	chr2L	490053	491176	.	1124	86	77	132	102	77	109	120	160	69	58	90	91
Region106	chr2L	491937	492295	.	359	17	11	9	10	8	8	9	9	12	6	5	6
Region107	chr2L	501595	502174	.	580	24	12	36	18	10	9	19	24	13	14	11	22
Region108	chr2L	510494	510984	.	491	14	4	21	28	2	4	18	15	11	18	9	16
Region109	chr2L	514214	514792	.	579	11	5	28	30	2	13	21	16	8	8	6	16
Region110	chr2L	515269	515648	.	380	3	7	12	10	3	5	13	4	5	1	1	5
Region111	chr2L	516317	517177	.	861	29	18	45	29	10	8	28	31	12	11	3	25
Region112	chr2L	517544	519906	.	2363	619	364	223	207	136	164	166	150	218	201	63	110
Region113	chr2L	521008	523965	.	2958	3841	2421	2485	2805	1800	2321	1949	2809	2771	2941	1308	2357
Region114	chr2L	524428	525088	.	661	639	272	507	381	40	54	95	94	40	50	30	67
Region115	chr2L	538660	539313	.	654	419	251	501	473	23	33	76	78	45	38	29	77
Region116	chr2L	540651	541275	.	625	439	220	488	597	129	124	167	207	220	180	91	226
Region117	chr2L	542147	542633	.	487	664	408	341	295	504	599	369	439	419	484	234	389
Region118	chr2L	544313	544788	.	476	1245	809	467	399	563	557	434	506	748	674	278	429
Region119	chr2L	560126	560513	.	388	43	26	33	16	20	15	17	23	40	17	9	11
Region120	chr2L	564008	564504	.	497	709	419	240	207	427	403	256	318	457	417	144	234
Region121	chr2L	567809	568169	.	361	959	571	396	401	552	666	360	442	681	663	202	306
Region122	chr2L	573971	574721	.	751	1248	765	727	668	846	999	798	1066	1449	1458	553	1285
Region123	chr2L	594563	595282	.	720	2634	1595	297	415	909	974	270	358	1607	1535	164	427
Region124	chr2L	597717	598193	.	477	13	5	2	2	4	6	3	2	3	5	2	3
Region125	chr2L	599461	599883	.	423	7	4	4	5	2	4	0	0	3	8	5	6
Region126	chr2L	600510	601005	.	496	13	13	7	5	6	6	5	3	15	10	3	3
Region127	chr2L	601494	602023	.	530	14	4	5	4	3	2	3	2	6	6	4	5
Region128	chr2L	701631	702371	.	741	69	50	125	168	46	50	50	67	74	78	67	215
Region129	chr2L	708328	708623	.	296	54	29	53	64	13	27	17	18	35	34	29	86
Region130	chr2L	712746	713077	.	332	25	13	71	40	11	17	18	17	19	46	23	70
Region131	chr2L	713296	713808	.	513	43	17	106	125	32	52	66	67	70	82	65	154
Region132	chr2L	714812	715627	.	816	2740	1869	3744	5898	1674	2051	2380	3612	2677	2733	2184	6593
Region133	chr2L	740080	740419	.	340	1	2	7	1	3	4	0	3	2	2	13	3
Region134	chr2L	819784	820238	.	455	329	243	118	106	222	239	147	171	265	286	96	134
Region135	chr2L	821252	821826	.	575	1291	810	524	437	804	893	610	689	854	868	371	522
Region136	chr2L	825598	826857	.	1260	2438	1639	1165	1599	1601	1743	1680	1951	1949	1950	934	1575
Region137	chr2L	849755	851292	.	1538	3796	2022	1641	1877	1730	1849	2000	2284	2735	2741	1788	2376
Region138	chr2L	852446	853070	.	625	702	417	248	183	272	348	198	224	695	712	262	352
Region139	chr2L	855263	855622	.	360	7	5	8	9	2	2	0	8	6	1	2	2
Region140	chr2L	865705	866234	.	530	79	42	46	41	21	35	25	31	55	51	20	46
Region141	chr2L	867041	868514	.	1474	1780	1099	1149	1099	722	857	349	531	1126	1119	498	1018
Region142	chr2L	869648	869844	.	197	1025	772	454	609	583	647	589	659	838	891	347	541
Region143	chr2L	870516	871957	.	1442	4378	2305	2852	3625	2093	2576	2876	3177	3485	3249	1631	3218
Region144	chr2L	901304	901796	.	493	5476	3207	4180	3391	3175	3690	2894	3410	8007	7684	4304	5030
Region145	chr2L	996816	997070	.	255	31	29	68	76	31	48	86	93	34	30	36	32
Region146	chr2L	1006494	1006868	.	375	2	0	2	2	1	1	3	2	0	2	1	0
Region147	chr2L	1062414	1062900	.	487	159	85	199	173	133	123	125	161	152	166	101	182
Region148	chr2L	1063108	1063405	.	298	59	31	80	75	43	61	42	64	98	109	38	99
Region149	chr2L	1066045	1067117	.	1073	406	210	376	309	272	295	207	222	312	342	139	295
Region150	chr2L	1067653	1068987	.	1335	370	198	405	415	288	335	229	263	330	358	163	335
Region151	chr2L	1076088	1078185	.	2098	2258	1460	1815	1731	1709	2178	2018	2633	2006	2054	1291	2293
Region152	chr2L	1108094	1108541	.	448	59	41	88	77	35	55	138	150	60	44	85	82
Region153	chr2L	1118106	1118528	.	423	282	134	71	38	253	324	63	75	241	213	27	57
Region154	chr2L	1118804	1120220	.	1417	2709	1434	708	583	1450	1670	620	624	1464	1399	239	373
Region155	chr2L	1142696	1142978	.	283	2	4	3	2	11	8	8	5	7	5	2	6
Region156	chr2L	1150417	1151092	.	676	649	416	253	211	500	588	586	617	636	642	219	409
Region157	chr2L	1157815	1158335	.	521	578	323	208	295	486	410	612	671	396	334	147	344
Region158	chr2L	1158640	1159023	.	384	846	512	434	407	465	475	369	439	705	579	355	325
Region159	chr2L	1164369	1164696	.	328	39	29	54	36	17	27	40	49	38	42	35	33
Region160	chr2L	1169700	1170009	.	310	575	350	153	160	333	350	227	289	414	384	150	177
Region161	chr2L	1177564	1177813	.	250	762	464	332	544	368	389	508	607	438	400	169	397
Region162	chr2L	1183785	1184300	.	516	436	333	296	289	298	313	343	437	411	376	269	406
Region163	chr2L	1220246	1220707	.	462	103	77	44	51	25	30	34	49	46	48	15	31
Region164	chr2L	1220933	1221480	.	548	116	57	29	21	8	14	11	17	46	56	10	28
Region165	chr2L	1227303	1227570	.	268	95	58	33	25	25	29	18	24	43	46	11	13
Region166	chr2L	1404834	1405566	.	733	483	251	436	384	298	307	270	306	596	651	258	693
Region167	chr2L	1409138	1409525	.	388	359	161	251	281	177	170	127	160	336	345	126	327
Region168	chr2L	1410110	1412449	.	2340	1618	712	1304	1267	824	990	830	901	1687	1706	821	1910
Region169	chr2L	1418155	1418569	.	415	237	111	194	186	144	190	120	181	252	296	139	291
Region170	chr2L	1419528	1420754	.	1227	4693	2935	2456	3562	2153	2661	2475	3302	5163	4726	2003	4679
Region171	chr2L	1421442	1422475	.	1034	153	119	45	51	92	120	40	40	148	164	42	68
Region172	chr2L	1425865	1426627	.	763	25	22	54	15	20	36	15	19	34	33	98	33
Region173	chr2L	1429508	1429999	.	492	39	23	19	21	14	18	13	16	32	42	14	16
Region174	chr2L	1432267	1432756	.	490	3	5	5	8	4	2	2	3	3	5	3	6
Region175	chr2L	1435721	1436111	.	391	2	3	3	2	0	1	2	6	4	6	2	4
Region176	chr2L	1449932	1450149	.	218	5	2	1	4	4	2	1	1	4	2	1	1
Region177	chr2L	1461859	1462731	.	873	99	52	45	46	59	77	125	136	56	47	59	83
Region178	chr2L	1463216	1463874	.	659	47	39	6	9	19	27	8	8	21	39	8	15
Region179	chr2L	1478777	1479061	.	285	15	13	5	0	9	13	0	5	12	10	5	8
Region180	chr2L	1485782	1486395	.	614	8	9	3	4	10	5	3	2	12	7	6	5
Region181	chr2L	1502598	1503003	.	406	1300	844	336	364	1000	1145	443	565	1048	935	242	382
Region182	chr2L	1508177	1508661	.	485	31	13	4	1	4	3	4	3	13	5	2	5
Region183	chr2L	1508904	1509262	.	359	65	26	6	10	7	1	10	7	9	9	1	3
Region184	chr2L	1510180	1511287	.	1108	109	56	9	10	11	9	18	9	23	15	4	14
Region185	chr2L	1517079	1517344	.	266	1851	978	38	49	629	762	24	39	1313	1142	65	111
Region186	chr2L	1517660	1518466	.	807	9799	5543	1004	775	4012	5129	337	479	7071	7352	929	1459
Region187	chr2L	1525084	1525528	.	445	144	76	10	4	35	37	6	3	89	84	3	2
Region188	chr2L	1556712	1557004	.	293	3	0	4	0	5	3	5	3	1	5	4	4
Region189	chr2L	1610928	1611546	.	619	104	72	99	89	80	73	96	93	133	106	54	121
Region190	chr2L	1613900	1614430	.	531	467	323	245	330	320	370	292	406	438	383	159	349
Region191	chr2L	1648855	1649117	.	263	8	9	4	2	1	4	4	2	6	1	2	4
Region192	chr2L	1651096	1651393	.	298	226	132	130	75	132	182	129	163	160	115	104	181
Region193	chr2L	1663092	1663473	.	382	5	2	6	1	2	4	8	2	3	2	0	7
Region194	chr2L	1669625	1670035	.	411	1	2	5	2	1	8	6	6	1	2	10	6
Region195	chr2L	1679113	1679464	.	352	99	48	35	32	18	36	30	23	57	53	18	33
Region196	chr2L	1679686	1680314	.	629	97	53	36	19	22	20	17	10	51	50	10	32
Region197	chr2L	1710092	1710733	.	642	1170	772	519	449	792	804	518	720	896	913	330	646
Region198	chr2L	1715577	1716068	.	492	194	145	136	115	113	94	111	178	123	134	103	111
Region199	chr2L	1723682	1723924	.	243	17	12	44	42	20	19	24	31	31	19	17	35
Region200	chr2L	1724146	1724558	.	413	347	230	372	340	139	196	223	305	233	222	207	277
Region201	chr2L	1728742	1728975	.	234	232	151	87	98	112	141	87	94	144	138	39	66
Region202	chr2L	1729768	1730062	.	295	327	206	183	179	120	173	133	142	219	189	61	149
Region203	chr2L	1732241	1732525	.	285	94	75	63	65	23	28	22	33	43	54	29	21
Region204	chr2L	1737294	1737604	.	311	639	471	772	720	858	1138	1295	1931	583	580	674	1158
Region205	chr2L	1751752	1752283	.	532	135	85	129	110	127	131	182	235	111	119	96	124
Region206	chr2L	1758990	1759322	.	333	55	35	18	19	21	28	33	22	28	28	4	9
Region207	chr2L	1805750	1806138	.	389	46	21	23	31	21	32	22	17	34	41	16	24
Region208	chr2L	1884348	1885462	.	1115	173	93	344	317	152	224	369	465	230	198	290	411
Region209	chr2L	1886347	1887109	.	763	57	31	89	82	42	45	36	43	76	94	56	98
Region210	chr2L	1909758	1910157	.	400	9	13	50	53	7	18	30	23	26	25	27	36
Region211	chr2L	1954393	1955192	.	800	1769	1177	350	338	887	838	264	438	1270	1143	350	443
Region212	chr2L	1958057	1958770	.	714	31	26	12	13	10	12	8	7	23	19	11	18
Region213	chr2L	1960969	1961261	.	293	10	10	5	3	3	2	2	1	7	15	3	4
Region214	chr2L	1970323	1970991	.	669	109	85	68	55	57	62	51	76	106	93	50	82
Region215	chr2L	1972532	1973126	.	595	36	28	10	11	7	14	3	3	24	31	10	6
Region216	chr2L	1973918	1974424	.	507	285	209	250	229	194	227	288	331	220	214	156	240
Region217	chr2L	1980476	1980976	.	501	56	28	84	69	33	51	93	97	46	50	54	100
Region218	chr2L	1982146	1982453	.	308	136	96	144	125	77	95	163	162	89	77	107	89
Region219	chr2L	2009649	2010079	.	431	19	17	47	31	5	13	17	14	19	13	25	33
Region220	chr2L	2013757	2014279	.	523	17	6	7	9	9	7	11	12	12	17	6	12
Region221	chr2L	2037453	2038556	.	1104	847	542	357	279	491	597	373	437	604	610	236	395
Region222	chr2L	2045189	2045624	.	436	172	122	54	76	74	90	58	68	80	92	46	44
Region223	chr2L	2100515	2100713	.	199	13	7	18	18	8	5	11	13	17	22	8	13
Region224	chr2L	2130235	2130650	.	416	4	1	2	3	2	3	2	2	6	5	2	4
Region225	chr2L	2144730	2145308	.	579	773	481	312	273	397	489	337	354	604	548	229	256
Region226	chr2L	2146851	2147766	.	916	1312	813	409	365	663	773	355	450	965	898	298	382
Region227	chr2L	2151692	2152076	.	385	651	426	351	392	402	464	486	592	559	577	176	523
Region228	chr2L	2161046	2162007	.	962	2383	1339	1548	1814	1396	1511	2291	3497	1933	1925	1382	2822
Region229	chr2L	2162298	2164218	.	1921	311	187	904	924	227	275	666	740	601	630	480	1251
