"ENSEMBL"	"ENTREZID"	"SYMBOL"
"FBgn0036547"	"39736"	"CG17032"
"FBgn0263599"	"39737"	"l(3)72Ab"
"FBgn0036549"	"39738"	"CG10516"
"FBgn0000212"	"39744"	"brm"
"FBgn0036551"	"39740"	"CG17029"
"FBgn0000115"	"39745"	"Arl1"
"FBgn0263600"	"39746"	"DNApol-delta"
"FBgn0259824"	"39747"	"Hip14"
"FBgn0036556"	"39748"	"CG5830"
"FBgn0036557"	"39749"	"mRpS31"
"FBgn0263601"	"39750"	"mib1"
"FBgn0044028"	"39751"	"Notum"
"FBgn0261633"	"10178784"	"CG42716"
"FBgn0260646"	"8673985"	"CG42538"
"FBgn0036560"	"39752"	"CG5895"
"FBgn0260635"	"39753"	"Diap1"
"FBgn0005536"	"49070"	"Mbs"
"FBgn0053258"	"3885664"	"CG33258"
"FBgn0036563"	"39756"	"CG13075"
"FBgn0263602"	"39757"	"Tasp1"
"FBgn0036565"	"39758"	"CG5235"
"FBgn0036566"	"39759"	"ClC-c"
"FBgn0036568"	"39761"	"ATPsynbetaL"
"FBgn0036569"	"39762"	"IleRS-m"
"FBgn0036570"	"39763"	"IntS9"
"FBgn0263603"	"39764"	"Zn72D"
"FBgn0010280"	"39765"	"Taf4"
"FBgn0036571"	"39766"	"Strumpellin"
"FBgn0003076"	"44010"	"Pgm"
"FBgn0011016"	"39768"	"SsRbeta"
"FBgn0266724"	"39769"	"Trs20"
"FBgn0036574"	"39770"	"elg1"
"FBgn0036576"	"39772"	"CG5151"
"FBgn0052152"	"317885"	"CG32152"
"FBgn0263605"	"39774"	"l(3)72Dn"
"FBgn0036579"	"39775"	"CG5027"
"FBgn0036580"	"39776"	"PDCD-5"
"FBgn0036581"	"39777"	"MED10"
"FBgn0263606"	"5740624"	"Hsc20"
"FBgn0263607"	"317887"	"l(3)72Dp"
"FBgn0036612"	"39808"	"CG4998"
"FBgn0285951"	"39809"	"mRpS34"
"FBgn0036614"	"39810"	"Golgin104"
"FBgn0283681"	"39811"	"Tcs3"
"FBgn0036619"	"39816"	"Cpr72Ec"
"FBgn0036621"	"39818"	"roq"
"FBgn0036622"	"39819"	"CG4753"
"FBgn0036623"	"39820"	"CG4729"
"FBgn0036624"	"39821"	"RAF2"
"FBgn0266099"	"39825"	"CG44836"
"FBgn0014163"	"39826"	"fax"
"FBgn0028399"	"39827"	"TMS1"
"FBgn0036629"	"39828"	"GluRS-m"
"FBgn0027080"	"39829"	"TyrRS"
"FBgn0053158"	"39834"	"CG33158"
"FBgn0261799"	"39831"	"dsx-c73A"
"FBgn0004569"	"39833"	"aos"
"FBgn0263131"	"39835"	"CG43373"
"FBgn0260388"	"8674108"	"CG42514"
"FBgn0003515"	"39836"	"st"
"FBgn0026061"	"39841"	"Mipp1"
"FBgn0262732"	"39842"	"mbf1"
"FBgn0036640"	"39843"	"nxf2"
"FBgn0036641"	"39844"	"Smn"
"FBgn0028693"	"39845"	"Rpn12"
"FBgn0250814"	"39846"	"UQCR-C2"
"FBgn0036643"	"39847"	"Syx8"
"FBgn0052163"	"317891"	"CG32163"
"FBgn0002283"	"48903"	"l(3)73Ah"
"FBgn0003741"	"39849"	"tra"
"FBgn0027500"	"39850"	"spd-2"
"FBgn0042178"	"59216"	"CG32165"
"FBgn0042177"	"59215"	"CG32164"
"FBgn0036648"	"39854"	"CG4098"
"FBgn0002284"	"39855"	"Prosbeta6"
"FBgn0004465"	"39856"	"Su(P)"
"FBgn0025558"	"39857"	"CG4101"
"FBgn0017572"	"39858"	"Mo25"
"FBgn0000017"	"45821"	"Abl"
"FBgn0260960"	"39860"	"Baldspot"
"FBgn0010223"	"39861"	"Galphaf"
"FBgn0040512"	"39862"	"zetaCOP"
"FBgn0036652"	"39863"	"CG13032"
"FBgn0063485"	"39864"	"Lasp"
"FBgn0264605"	"14462875"	"CG43954"
"FBgn0000414"	"39866"	"Dab"
"FBgn0036655"	"39867"	"CG13031"
"FBgn0043578"	"39870"	"PGRP-SB1"
"FBgn0004556"	"39871"	"Dbp73D"
"FBgn0004108"	"39873"	"Nrt"
"FBgn0036660"	"39874"	"CG13025"
"FBgn0036661"	"39875"	"CG9705"
"FBgn0036662"	"39876"	"CG9706"
"FBgn0025582"	"39877"	"eIF3e"
"FBgn0036663"	"39878"	"CG9674"
"FBgn0021768"	"39879"	"nudC"
"FBgn0036666"	"39881"	"TSG101"
"FBgn0036667"	"39882"	"CG9669"
"FBgn0036668"	"39883"	"Zcchc7"
"FBgn0052161"	"317890"	"CG32161"
"FBgn0003250"	"39887"	"Rh4"
"FBgn0003410"	"39884"	"sina"
"FBgn0259794"	"39885"	"sinah"
"FBgn0036670"	"39886"	"CG13029"
"FBgn0036671"	"39888"	"CG9951"
"FBgn0261565"	"39889"	"Lmpt"
"FBgn0036678"	"39895"	"CG11905"
"FBgn0036680"	"39897"	"Cpr73D"
"FBgn0036681"	"2768955"	"Obp73a"
"FBgn0010352"	"39899"	"Nc73EF"
"FBgn0261547"	"39900"	"Exn"
"FBgn0036684"	"39902"	"CG3764"
"FBgn0036685"	"39903"	"CG6664"
"FBgn0036686"	"39904"	"CG7728"
"FBgn0036687"	"39905"	"CG6652"
"FBgn0036688"	"39907"	"Fit2"
"FBgn0036689"	"39908"	"CG7730"
"FBgn0036691"	"39910"	"beg"
"FBgn0261872"	"3346235"	"scaf6"
"FBgn0036695"	"39914"	"Papst2"
"FBgn0036696"	"39915"	"CG14057"
"FBgn0036697"	"39917"	"rogdi"
"FBgn0036698"	"39918"	"CG7724"
"FBgn0260943"	"39919"	"Rbp6"
"FBgn0036702"	"39922"	"CG6512"
"FBgn0036710"	"39930"	"CG6479"
"FBgn0036712"	"39932"	"brv2"
"FBgn0036713"	"39933"	"Mip"
"FBgn0036714"	"39934"	"CG7692"
"FBgn0015550"	"39935"	"tap"
"FBgn0036715"	"39936"	"Cad74A"
"FBgn0036716"	"39937"	"CG13728"
"FBgn0027660"	"39939"	"blot"
"FBgn0266669"	"39940"	"Sec3"
"FBgn0040793"	"50266"	"CG7630"
"FBgn0053051"	"39941"	"CG33051"
"FBgn0053052"	"326245"	"CG33052"
"FBgn0042641"	"39943"	"frc"
"FBgn0052174"	"261607"	"CG32174"
"FBgn0052176"	"39944"	"CG32176"
"FBgn0036725"	"39947"	"CG18265"
"FBgn0036726"	"39948"	"QIL1"
"FBgn0036727"	"39949"	"CG7589"
"FBgn0036728"	"39950"	"UQCR-Q"
"FBgn0085279"	"5740115"	"CG34250"
"FBgn0036732"	"39954"	"Oatp74D"
"FBgn0052185"	"317900"	"edin"
"FBgn0036733"	"39955"	"U4-U6-60K"
"FBgn0036734"	"39956"	"CG7564"
"FBgn0036735"	"39957"	"Edc3"
"FBgn0259174"	"39958"	"Nedd4"
"FBgn0023197"	"39959"	"Jon74E"
"FBgn0025455"	"39961"	"CycT"
"FBgn0000567"	"39962"	"Eip74EF"
"FBgn0036740"	"39964"	"Vps60"
"FBgn0036741"	"39965"	"CG7510"
"FBgn0036742"	"39966"	"CG7497"
"FBgn0004401"	"45961"	"Pep"
"FBgn0262531"	"12797926"	"CG43085"
"FBgn0052177"	"326197"	"Ndfip"
"FBgn0052179"	"326198"	"Krn"
"FBgn0036745"	"39969"	"CG7484"
"FBgn0036746"	"39970"	"Crtc"
"FBgn0036747"	"39971"	"CG6052"
"FBgn0036749"	"39973"	"CG7460"
"FBgn0036750"	"39974"	"CG6034"
"FBgn0036751"	"39975"	"Adgf-B"
"FBgn0036752"	"39976"	"Adgf-A"
"FBgn0043025"	"64879"	"Adgf-A2"
"FBgn0052182"	"317898"	"CG32182"
"FBgn0052181"	"317897"	"CG32181"
"FBgn0261997"	"10178812"	"CG42815"
"FBgn0261998"	"39977"	"CG42816"
"FBgn0052190"	"39978"	"NUCB1"
"FBgn0036754"	"39979"	"CG5589"
"FBgn0052187"	"39980"	"CG32187"
"FBgn0001134"	"39984"	"Grd"
"FBgn0036759"	"39985"	"CG5577"
"FBgn0036760"	"39986"	"CG5567"
"FBgn0036761"	"39987"	"MED19"
"FBgn0036762"	"39988"	"CG7430"
"FBgn0036763"	"39989"	"TrpRS-m"
"FBgn0036764"	"39990"	"CG5535"
"FBgn0036765"	"39991"	"CG7408"
"FBgn0036771"	"39997"	"CG14353"
"FBgn0036772"	"39998"	"CG5290"
"FBgn0000568"	"39999"	"Eip75B"
"FBgn0036774"	"40001"	"mRpS26"
"FBgn0036775"	"40002"	"CG5147"
"FBgn0002901"	"40003"	"mus304"
"FBgn0052195"	"317907"	"CG32195"
"FBgn0036777"	"40004"	"CG7341"
"FBgn0262100"	"10178880"	"CG42853"
"FBgn0036778"	"40005"	"Cyp312a1"
"FBgn0020300"	"50263"	"geko"
"FBgn0036781"	"40008"	"CG13699"
"FBgn0003997"	"40009"	"hid"
"FBgn0011706"	"40015"	"rpr"
"FBgn0036786"	"40016"	"skl"
"FBgn0036789"	"40019"	"AstC-R2"
"FBgn0036791"	"40021"	"CG7271"
"FBgn0003683"	"47208"	"term"
"FBgn0036793"	"40023"	"CG4174"
"FBgn0052201"	"317911"	"CG32201"
"FBgn0013717"	"40030"	"not"
"FBgn0259791"	"40031"	"bora"
"FBgn0036801"	"40032"	"MYPT-75D"
"FBgn0260027"	"8674004"	"CG42495"
"FBgn0042134"	"59172"	"Capr"
"FBgn0040322"	"40033"	"GNBP2"
"FBgn0040323"	"40034"	"GNBP1"
"FBgn0036804"	"40035"	"Sgf11"
"FBgn0052202"	"326199"	"CG32202"
"FBgn0036805"	"40036"	"Chmp1"
"FBgn0036806"	"40037"	"Cyp12c1"
"FBgn0036809"	"40040"	"CG12477"
"FBgn0036810"	"40041"	"CG6885"
"FBgn0036811"	"40042"	"MED11"
"FBgn0036812"	"40043"	"Nufip"
"FBgn0036813"	"40044"	"Atg3"
"FBgn0001078"	"40045"	"ftz-f1"
"FBgn0036814"	"40046"	"CG14073"
"FBgn0036815"	"40047"	"HipHop"
"FBgn0000261"	"40048"	"Cat"
"FBgn0036816"	"40049"	"Indy"
"FBgn0036817"	"40050"	"CG6865"
"FBgn0036818"	"40051"	"CG14074"
"FBgn0036819"	"40052"	"Dysb"
"FBgn0036820"	"40053"	"Grx1"
"FBgn0025807"	"40054"	"Rad9"
"FBgn0085284"	"5740347"	"Blos3"
"FBgn0014075"	"40055"	"Ugt"
"FBgn0036821"	"40056"	"CG3961"
"FBgn0036824"	"40059"	"CG3902"
"FBgn0036825"	"40060"	"RpL26"
"FBgn0036826"	"40061"	"arx"
"FBgn0036827"	"40062"	"CG6843"
"FBgn0027057"	"40063"	"CSN1b"
"FBgn0036828"	"40064"	"CG6841"
"FBgn0036835"	"40071"	"CG14075"
"FBgn0036836"	"40072"	"CG11619"
"FBgn0036837"	"40073"	"CG18135"
"FBgn0036838"	"40074"	"CG3808"
"FBgn0036839"	"40075"	"SmydA-2"
"FBgn0002945"	"44843"	"nkd"
"FBgn0036842"	"40079"	"CG3797"
"FBgn0036844"	"40081"	"Mkp3"
"FBgn0036846"	"40083"	"MESR6"
"FBgn0036847"	"40084"	"CNPYb"
"FBgn0036848"	"40085"	"CG10424"
"FBgn0036850"	"40087"	"Gem2"
"FBgn0016797"	"40090"	"fz2"
"FBgn0036853"	"40091"	"mRpL21"
"FBgn0040075"	"40092"	"rept"
"FBgn0026630"	"40093"	"nes"
"FBgn0260857"	"40094"	"Bet1"
"FBgn0017578"	"40095"	"Max"
"FBgn0259720"	"7354371"	"CG42374"
"FBgn0036856"	"40096"	"CG9666"
"FBgn0266456"	"19835713"	"CG45081"
"FBgn0036857"	"40097"	"CG9629"
"FBgn0036859"	"40099"	"CG14085"
"FBgn0036861"	"40101"	"CG14089"
"FBgn0036862"	"40102"	"Gbs-76A"
"FBgn0028380"	"43927"	"fal"
"FBgn0003089"	"40104"	"pip"
"FBgn0052206"	"40105"	"CG32206"
"FBgn0036868"	"40109"	"ms(3)76Ba"
"FBgn0053062"	"318840"	"CG33062"
"FBgn0023395"	"40111"	"Chd3"
"FBgn0036874"	"40116"	"brv1"
"FBgn0036875"	"40117"	"CG9449"
"FBgn0036880"	"40122"	"Cpr76Bc"
"FBgn0036881"	"40123"	"Cpr76Bd"
"FBgn0036882"	"40124"	"CG9279"
"FBgn0262517"	"40127"	"Ltn1"
"FBgn0036886"	"40128"	"CG9300"
"FBgn0005564"	"40129"	"Shal"
"FBgn0036887"	"40130"	"CG9231"
"FBgn0036888"	"40131"	"CG9330"
"FBgn0036889"	"40132"	"CG14100"
"FBgn0005386"	"40133"	"ash1"
"FBgn0010417"	"40134"	"Taf6"
"FBgn0036890"	"40135"	"CG9368"
"FBgn0036892"	"40138"	"Lon"
"FBgn0036893"	"40139"	"PIG-F"
"FBgn0260655"	"40140"	"l(3)76BDm"
"FBgn0029094"	"40141"	"asf1"
"FBgn0036895"	"40142"	"ms(3)76Cc"
"FBgn0036896"	"40143"	"wnd"
"FBgn0036897"	"40144"	"CG8786"
"FBgn0022774"	"40145"	"Oat"
"FBgn0036899"	"40146"	"tey"
"FBgn0036900"	"40147"	"CG8765"
"FBgn0261341"	"40149"	"verm"
"FBgn0260653"	"40150"	"serp"
"FBgn0262516"	"40152"	"Trpml"
"FBgn0262516"	"8673965"	"CG42638"
"FBgn0261360"	"40153"	"CG42637"
"FBgn0261360"	"8674026"	"Gyc76C"
"FBgn0261361"	"40152"	"Trpml"
"FBgn0261361"	"8673965"	"CG42638"
"FBgn0266136"	"40153"	"CG42637"
"FBgn0266136"	"8674026"	"Gyc76C"
"FBgn0261283"	"40155"	"SREBP"
"FBgn0036906"	"40156"	"CG14102"
"FBgn0260874"	"40157"	"Ir76a"
"FBgn0036908"	"40158"	"TORIP"
"FBgn0036909"	"40159"	"CG15881"
"FBgn0083952"	"4379912"	"CG34116"
"FBgn0024889"	"40160"	"Kap-alpha1"
"FBgn0023094"	"40162"	"cyc"
"FBgn0036911"	"40163"	"Fibp"
"FBgn0013799"	"40164"	"Deaf1"
"FBgn0003744"	"40165"	"trc"
"FBgn0052221"	"317924"	"CG32221"
"FBgn0001324"	"44830"	"kto"
"FBgn0020389"	"40167"	"Papss"
"FBgn0262518"	"40168"	"Rab8"
"FBgn0036913"	"40169"	"Usp32"
"FBgn0262519"	"40170"	"Mi-2"
"FBgn0014037"	"40171"	"Su(Tpl)"
"FBgn0036915"	"40172"	"Prp3"
"FBgn0036916"	"40173"	"Mtr3"
"FBgn0028695"	"40174"	"Rpn1"
"FBgn0020887"	"48071"	"Su(z)12"
"FBgn0036918"	"40176"	"Pfdn6"
"FBgn0036919"	"40177"	"Grasp65"
"FBgn0036920"	"40178"	"CG8004"
"FBgn0036921"	"40179"	"RhoGDI"
"FBgn0004852"	"40180"	"Ac76E"
"FBgn0036922"	"40181"	"CG14182"
"FBgn0036923"	"40182"	"CG17732"
"FBgn0013303"	"40186"	"Nca"
"FBgn0036926"	"40187"	"CG7646"
"FBgn0036927"	"40188"	"Gabat"
"FBgn0036928"	"40189"	"Tom20"
"FBgn0036929"	"40190"	"CG7668"
"FBgn0261574"	"40191"	"kug"
"FBgn0036931"	"40192"	"CG14183"
"FBgn0036932"	"40193"	"CG14184"
"FBgn0036935"	"40196"	"CG14186"
"FBgn0036936"	"40197"	"CG14185"
"FBgn0036937"	"40198"	"Ir76b"
"FBgn0036939"	"40200"	"CG7365"
"FBgn0005198"	"40201"	"gig"
"FBgn0261556"	"40205"	"CG42674"
"FBgn0260393"	"40216"	"CG17147"
"FBgn0260397"	"40217"	"Su(var)3-3"
"FBgn0036956"	"40218"	"CG13813"
"FBgn0036958"	"40220"	"CG17233"
"FBgn0024814"	"40221"	"Clc"
"FBgn0036959"	"40222"	"CG6951"
"FBgn0265959"	"40224"	"rdgC"
"FBgn0052228"	"326202"	"CG32228"
"FBgn0052227"	"40225"	"gogo"
"FBgn0036962"	"40226"	"CG17122"
"FBgn0036964"	"40228"	"FRG1"
"FBgn0052226"	"40229"	"Pex23"
"FBgn0036967"	"40231"	"SCCRO4"
"FBgn0003124"	"40232"	"polo"
"FBgn0250791"	"40233"	"alphaSnap"
"FBgn0036973"	"40239"	"Rbbp5"
"FBgn0036974"	"40240"	"eRF1"
"FBgn0036975"	"40241"	"CG5618"
"FBgn0024887"	"40242"	"kin17"
"FBgn0036977"	"40243"	"CG5665"
"FBgn0259676"	"44915"	"DNApol-alpha60"
"FBgn0036978"	"40245"	"Toll-9"
"FBgn0001259"	"40246"	"in"
"FBgn0036979"	"40247"	"CG13247"
"FBgn0001247"	"40248"	"Ide"
"FBgn0036980"	"40249"	"RhoBTB"
"FBgn0027565"	"40250"	"CG5498"
"FBgn0011205"	"46234"	"fbl"
"FBgn0053969"	"40252"	"CG33969"
"FBgn0028978"	"43999"	"trbl"
"FBgn0036985"	"40255"	"zye"
"FBgn0036986"	"40256"	"CG5282"
"FBgn0036987"	"40257"	"CG5274"
"FBgn0036988"	"40258"	"CG5262"
"FBgn0029158"	"40259"	"Las"
"FBgn0284421"	"40260"	"Psn"
"FBgn0036990"	"40261"	"mRpL15"
"FBgn0036991"	"40262"	"CG5872"
"FBgn0036993"	"40264"	"CG5910"
"FBgn0036994"	"40265"	"CG5199"
"FBgn0036995"	"40266"	"atk"
"FBgn0036997"	"40268"	"CG5955"
"FBgn0052428"	"50105"	"CG32428"
"FBgn0036998"	"40269"	"CG5969"
"FBgn0036999"	"40270"	"isoQC"
"FBgn0037000"	"40271"	"ZnT77C"
"FBgn0037001"	"40272"	"ND-39"
"FBgn0052425"	"40273"	"CG32425"
"FBgn0037004"	"40275"	"CG17637"
"FBgn0037007"	"40278"	"CG5059"
"FBgn0037008"	"40279"	"mTerf3"
"FBgn0037009"	"40280"	"CG5104"
"FBgn0037010"	"40281"	"CG4825"
"FBgn0037011"	"40282"	"CG4858"
"FBgn0037012"	"40283"	"Rcd2"
"FBgn0001323"	"40285"	"knrl"
"FBgn0037014"	"40286"	"CG13251"
"FBgn0001320"	"40287"	"kni"
"FBgn0037017"	"40290"	"CG4074"
"FBgn0040634"	"50107"	"CG4186"
"FBgn0037018"	"40291"	"CG4042"
"FBgn0016696"	"40292"	"Pitslre"
"FBgn0037019"	"40293"	"Pex16"
"FBgn0037020"	"40294"	"Pex14"
"FBgn0037021"	"40295"	"CG11399"
"FBgn0037022"	"40296"	"CG11396"
"FBgn0027364"	"40297"	"Six4"
"FBgn0037024"	"40299"	"tzn"
"FBgn0037025"	"40300"	"Spc105R"
"FBgn0037026"	"40301"	"CG3634"
"FBgn0037027"	"40302"	"HIPP1"
"FBgn0037028"	"40303"	"CG3618"
"FBgn0259243"	"40305"	"Pka-R1"
"FBgn0037030"	"40307"	"CG3288"
"FBgn0027055"	"40308"	"CSN3"
"FBgn0037031"	"40309"	"CG11456"
"FBgn0052432"	"40310"	"CG32432"
"FBgn0011591"	"40314"	"fng"
"FBgn0037035"	"40313"	"CG10589"
"FBgn0037040"	"40319"	"CG12983"
"FBgn0053287"	"2768986"	"CG33287"
"FBgn0053286"	"2768984"	"CG33286"
"FBgn0003415"	"43906"	"skd"
"FBgn0037044"	"40323"	"CG10585"
"FBgn0037045"	"40324"	"CG10584"
"FBgn0028402"	"40325"	"Sin"
"FBgn0037046"	"40326"	"CG10581"
"FBgn0026179"	"40327"	"siz"
"FBgn0262482"	"12798436"	"CG43072"
"FBgn0020294"	"40330"	"ko"
"FBgn0037050"	"40331"	"ICA69"
"FBgn0037051"	"40332"	"CG10565"
"FBgn0024150"	"40333"	"Ac78C"
"FBgn0021760"	"43901"	"chb"
"FBgn0259239"	"40335"	"CG42337"
"FBgn0041100"	"40336"	"park"
"FBgn0085290"	"5740205"	"CG34261"
"FBgn0037057"	"40339"	"CG10512"
"FBgn0037060"	"40342"	"CG10508"
"FBgn0037061"	"40343"	"CG12975"
"FBgn0028427"	"53573"	"Ilk"
"FBgn0004865"	"40345"	"Eip78C"
"FBgn0037063"	"40346"	"CG9391"
"FBgn0037064"	"40347"	"CG9389"
"FBgn0012034"	"40348"	"AcCoAS"
"FBgn0027945"	"40349"	"ppl"
"FBgn0037065"	"40350"	"CG12974"
"FBgn0259785"	"40351"	"pzg"
"FBgn0263841"	"14462901"	"CG43702"
"FBgn0037070"	"40356"	"CG11309"
"FBgn0037071"	"40357"	"CG7632"
"FBgn0003042"	"40358"	"Pc"
"FBgn0086913"	"40359"	"Rab26"
"FBgn0037073"	"40360"	"Tsr1"
"FBgn0037074"	"40361"	"CG7324"
"FBgn0052436"	"40362"	"CG32436"
"FBgn0037076"	"40363"	"ebd2"
"FBgn0261258"	"40368"	"rgn"
"FBgn0037081"	"40369"	"barc"
"FBgn0053288"	"2768968"	"CG33288"
"FBgn0005694"	"40370"	"Aef1"
"FBgn0037082"	"40371"	"CG5664"
"FBgn0283479"	"40372"	"Alp1"
"FBgn0267849"	"36173"	"Syx7"
"FBgn0014143"	"40374"	"croc"
"FBgn0037085"	"40375"	"Neu2"
"FBgn0037086"	"40376"	"CG7202"
"FBgn0037087"	"40377"	"CG7519"
"FBgn0015239"	"40378"	"Hr78"
"FBgn0264561"	"40382"	"Glg1"
"FBgn0037090"	"40381"	"Est-Q"
"FBgn0037092"	"40383"	"M6"
"FBgn0026371"	"40384"	"SAK"
"FBgn0037093"	"40385"	"Cdk12"
"FBgn0037094"	"40386"	"CG7611"
"FBgn0052442"	"318031"	"Arv1"
"FBgn0029152"	"44131"	"Mkrn1"
"FBgn0053289"	"2768987"	"ppk5"
"FBgn0015283"	"40388"	"Rpn10"
"FBgn0263911"	"40390"	"COX8"
"FBgn0028663"	"40389"	"VhaM9.7-b"
"FBgn0053290"	"2768993"	"CG33290"
"FBgn0037098"	"40391"	"Wnk"
"FBgn0037099"	"40392"	"CG7173"
"FBgn0037100"	"40393"	"CapaR"
"FBgn0037102"	"40395"	"CRIF"
"FBgn0052438"	"326215"	"SMC5"
"FBgn0052441"	"40396"	"CG32441"
"FBgn0261953"	"40398"	"TfAP-2"
"FBgn0037105"	"40399"	"S1P"
"FBgn0037106"	"40400"	"CG11307"
"FBgn0037108"	"40402"	"CG11306"
"FBgn0037109"	"40403"	"MED1"
"FBgn0037110"	"40404"	"ORMDL"
"FBgn0043783"	"40406"	"CG32444"
"FBgn0052445"	"261603"	"CG32445"
"FBgn0052446"	"326216"	"Atox1"
"FBgn0264711"	"2768995"	"CG43980"
"FBgn0037115"	"40409"	"CG11249"
"FBgn0037116"	"40410"	"Als2"
"FBgn0037117"	"40411"	"CG11248"
"FBgn0052447"	"40412"	"CG32447"
"FBgn0037120"	"40414"	"CG11247"
"FBgn0037121"	"40415"	"Rpb8"
"FBgn0037130"	"40424"	"Syn1"
"FBgn0022936"	"40429"	"CycH"
"FBgn0037134"	"40430"	"CG7407"
"FBgn0037135"	"40431"	"CG7414"
"FBgn0052448"	"318032"	"CG32448"
"FBgn0046301"	"40432"	"CG7148"
"FBgn0037137"	"40433"	"Nopp140"
"FBgn0037138"	"40434"	"P5CDh1"
"FBgn0262737"	"40436"	"mub"
"FBgn0037140"	"40437"	"SLC22A"
"FBgn0037141"	"40438"	"DNApol-eta"
"FBgn0037142"	"40439"	"CG14562"
"FBgn0037144"	"40441"	"CG7458"
"FBgn0029091"	"40442"	"CS-2"
"FBgn0037146"	"40443"	"CG7470"
"FBgn0000045"	"40444"	"Act79B"
"FBgn0004514"	"42452"	"Oct-TyrR"
"FBgn0037149"	"40447"	"CG14561"
"FBgn0027532"	"40448"	"CG7139"
"FBgn0037150"	"40449"	"CG7133"
"FBgn0037151"	"40450"	"CG7130"
"FBgn0000100"	"40451"	"RpLP0"
"FBgn0037153"	"40453"	"olf413"
"FBgn0028500"	"40456"	"Rich"
"FBgn0015075"	"40457"	"Ddx1"
"FBgn0037156"	"40458"	"CG11523"
"FBgn0004179"	"40459"	"Csp"
"FBgn0025702"	"40461"	"Srpk79D"
"FBgn0011771"	"40462"	"Hem"
"FBgn0027086"	"45785"	"IleRS"
"FBgn0004449"	"40464"	"Ten-m"
"FBgn0037164"	"40469"	"CG11438"
"FBgn0266591"	"19835569"	"CG45116"
"FBgn0037182"	"40487"	"ArfGAP3"
"FBgn0052452"	"318035"	"CG32452"
"FBgn0016034"	"40489"	"mael"
"FBgn0037183"	"40488"	"CG14451"
"FBgn0037184"	"40490"	"CG14450"
"FBgn0037185"	"40491"	"CG11367"
"FBgn0260481"	"318037"	"CG32454"
"FBgn0037186"	"40492"	"CG11241"
"FBgn0010830"	"46158"	"l(3)04053"
"FBgn0037188"	"2768961"	"CG7369"
"FBgn0052451"	"40495"	"SPoCk"
"FBgn0037191"	"40497"	"CG14448"
"FBgn0027339"	"43924"	"jim"
"FBgn0053169"	"40504"	"CG33169"
"FBgn0053170"	"326267"	"CG33170"
"FBgn0037199"	"40505"	"CG11137"
"FBgn0010348"	"40506"	"Arf79F"
"FBgn0037200"	"40507"	"CG11109"
"FBgn0044324"	"40508"	"Chro"
"FBgn0037202"	"40509"	"Ssl1"
"FBgn0037203"	"40510"	"slif"
"FBgn0037205"	"40512"	"BoYb"
"FBgn0037206"	"40513"	"CG12768"
"FBgn0037207"	"40514"	"Mes2"
"FBgn0262509"	"40515"	"nrm"
"FBgn0024733"	"43864"	"RpL10"
"FBgn0264492"	"48448"	"CkIIalpha"
"FBgn0053217"	"2768951"	"CG33217"
"FBgn0052350"	"317987"	"Vps11"
"FBgn0054031"	"3885665"	"CG34031"
"FBgn0266347"	"40521"	"nAChRalpha4"
"FBgn0010215"	"40517"	"alpha-Cat"
"FBgn0052230"	"317928"	"ND-MLRQ"
"FBgn0250816"	"3355150"	"AGO3"
"FBgn0039977"	"7354399"	"CG17454"
"FBgn0040056"	"4379919"	"CG17698"
"FBgn0058045"	"3355079"	"CG40045"
"FBgn0044510"	"3355089"	"mRpS5"
"FBgn0028993"	"3355151"	"scro"
"FBgn0085736"	"3355155"	"ND-AGGG"
"FBgn0085736"	"8673970"	"CG40472"
"FBgn0058002"	"3355155"	"ND-AGGG"
"FBgn0058002"	"8673970"	"CG40472"
"FBgn0040022"	"3354971"	"Set1"
"FBgn0040020"	"3354977"	"MED21"
"FBgn0260008"	"5740185"	"UQCR-11"
"FBgn0267429"	"26067050"	"CG45782"
"FBgn0040001"	"3355111"	"FASN3"
"FBgn0058178"	"3354941"	"CG40178"
"FBgn0058160"	"3354965"	"CG40160"
"FBgn0063670"	"5740664"	"CG40228"
"FBgn0260987"	"3354896"	"vtd"
"FBgn0028697"	"3354918"	"RpL15"
"FBgn0024804"	"3354919"	"Dbp80"
"FBgn0020660"	"3355041"	"eIF4B"
"FBgn0039959"	"3355040"	"CG17514"
"FBgn0284080"	"3355120"	"CG40439"
"FBgn0284080"	"30522392"	"CG46302"
"FBgn0003256"	"3354888"	"rl"
"FBgn0058191"	"3354930"	"CG40191"
"FBgn0267398"	"7354404"	"Yeti"
"FBgn0262123"	"5740691"	"l(2)41Ab"
"FBgn0267861"	"3354925"	"Maf1"
"FBgn0039993"	"3355069"	"CG17691"
"FBgn0087011"	"5740294"	"CG41520"
"FBgn0263780"	"3355066"	"CG17684"
"FBgn0058263"	"3354861"	"MFS17"
"FBgn0085638"	"5740475"	"CG41378"
"FBgn0262124"	"5740320"	"uex"
"FBgn0046706"	"3355064"	"Haspin"
"FBgn0262115"	"3355011"	"CG17683"
"FBgn0262116"	"3355016"	"RNASEK"
"FBgn0262117"	"3355010"	"IntS3"
"FBgn0260798"	"3355013"	"Gprk1"
"FBgn0040007"	"3355144"	"RpL38"
"FBgn0046692"	"3355135"	"Stlk"
"FBgn0260799"	"3355143"	"p120ctn"
"FBgn0032997"	"3355138"	"CG17486"
"FBgn0040005"	"3355139"	"CG17883"
"FBgn0026401"	"3355136"	"Nipped-B"
"FBgn0039994"	"3355133"	"conu"
"FBgn0250830"	"3355145"	"CG12547"
