SampleInfo	Antibody	Assaytype	Nuclearcycle	Genotype	seqID	bamFiles	Time	Treatment	Replicate	Experiment
H3K4me1 ChIP-seq cycle 14a	H3K4me1	ChIP-seq	14a	wt	SRR1505717	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505717.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K4me1 ChIP-seq cycle 14c	H3K4me1	ChIP-seq	14c	wt	SRR1505718	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505718.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K4me3 ChIP-seq cycle 8	H3K4me3	ChIP-seq	8	wt	SRR1505719	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505719.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K4me3 ChIP-seq cycle 12	H3K4me3	ChIP-seq	12	wt	SRR1505720	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505720.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K4me3 ChIP-seq cycle 14a	H3K4me3	ChIP-seq	14a	wt	SRR1505721	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505721.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K4me3 ChIP-seq cycle 14c	H3K4me3	ChIP-seq	14c	wt	SRR1505722	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505722.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K9ac ChIP-seq cycle 8	H3K9ac	ChIP-seq	8	wt	SRR1505723	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505723.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K9ac ChIP-seq cycle 12	H3K9ac	ChIP-seq	12	wt	SRR1505724	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505724.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K9ac ChIP-seq cycle 14a	H3K9ac	ChIP-seq	14a	wt	SRR1505725	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505725.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K9ac ChIP-seq cycle 14c	H3K9ac	ChIP-seq	14c	wt	SRR1505726	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505726.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K27me3 ChIP-seq cycle 12	H3K27me3	ChIP-seq	12	wt	SRR1505727	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505727.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K27me3 ChIP-seq cycle 14a	H3K27me3	ChIP-seq	14a	wt	SRR1505728	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505728.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K27me3 ChIP-seq cycle 14c	H3K27me3	ChIP-seq	14c	wt	SRR1505729	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505729.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K36me3 ChIP-seq cycle 12	H3K36me3	ChIP-seq	12	wt	SRR1505730	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505730.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K36me3 ChIP-seq cycle 14a	H3K36me3	ChIP-seq	14a	wt	SRR1505731	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505731.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K36me3 ChIP-seq cycle 14c	H3K36me3	ChIP-seq	14c	wt	SRR1505732	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505732.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3 ChIP-seq cycle 8	H3	ChIP-seq	8	wt	SRR1505733	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505733.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3 ChIP-seq cycle 12	H3	ChIP-seq	12	wt	SRR1505734	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505734.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3 ChIP-seq cycle 14a	H3	ChIP-seq	14a	wt	SRR1505735	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505735.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3 ChIP-seq cycle 14c	H3	ChIP-seq	14c	wt	SRR1505736	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505736.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
Zelda ChIP-seq  wt embryos	Zelda	ChIP-seq	2_4_hrs	wt	SRR1508419	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508419.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
Zelda ChIP-seq  zelda mutant embryos	Zelda	ChIP-seq	2_4_hrs	zelda	SRR1508420	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508420.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3 ChIP-seq  wt embryos	H3	ChIP-seq	2_4_hrs	wt	SRR1508421	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508421.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3 ChIP-seq  zelda mutant embryos	H3	ChIP-seq	2_4_hrs	zelda	SRR1508422	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508422.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K4me1 ChIP-seq  wt embryos	H3K4me1	ChIP-seq	2_4_hrs	wt	SRR1508423	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508423.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K4me1 ChIP-seq  zelda mutant embryos	H3K4me1	ChIP-seq	2_4_hrs	zelda	SRR1508424	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508424.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K18ac ChIP-seq  wt embryos	H3K18ac	ChIP-seq	2_4_hrs	wt	SRR1508425	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508425.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
H3K18ac ChIP-seq  zelda mutant embryos	H3K18ac	ChIP-seq	2_4_hrs	zelda	SRR1508426	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508426.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
Input  cycle 8 ChIP-seq samples	Input	ChIP-seq	8	wt	SRR1505737	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505737.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
Input  cycle 12 ChIP-seq samples	Input	ChIP-seq	12	wt	SRR1505738	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505738.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
Input  cycle 14a ChIP-seq samples	Input	ChIP-seq	14a	wt	SRR1505739	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505739.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
Input  cycle 14c ChIP-seq samples	Input	ChIP-seq	14c	wt	SRR1505740	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505740.dm6.bowtie2.sorted.bam	NA	NA	Rep1	Eisen Chip-Seq
WT_15121502_NC11_03_rep1	NA	ATAC-Seq	NC11	WT	SRR3727933	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727933.dm6.bowtie2.sorted.bam	3	NA	rep1	Wieschaus ATAC-Seq
WT_15042205_NC13_03_rep1	NA	ATAC-Seq	NC13	WT	SRR3727955	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727955.dm6.bowtie2.sorted.bam	3	NA	rep1	Wieschaus ATAC-Seq
WT_15042302_NC12_03_rep3	NA	ATAC-Seq	NC12	WT	SRR3727944	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727944.dm6.bowtie2.sorted.bam	3	NA	rep3	Wieschaus ATAC-Seq
WT_15042802_NC13_18_rep3	NA	ATAC-Seq	NC13	WT	SRR3727972	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727972.dm6.bowtie2.sorted.bam	18	NA	rep3	Wieschaus ATAC-Seq
WT_15042405_NC12_06_rep3	NA	ATAC-Seq	NC12	WT	SRR3727947	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727947.dm6.bowtie2.sorted.bam	6	NA	rep3	Wieschaus ATAC-Seq
WT_15042106_NC12_03_rep1	NA	ATAC-Seq	NC12	WT	SRR3727942	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727942.dm6.bowtie2.sorted.bam	3	NA	rep1	Wieschaus ATAC-Seq
WT_15042804_NC13_03_rep3	NA	ATAC-Seq	NC13	WT	SRR3727957	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727957.dm6.bowtie2.sorted.bam	3	NA	rep3	Wieschaus ATAC-Seq
WT_15121604_NC11_09_rep2	NA	ATAC-Seq	NC11	WT	SRR3727940	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727940.dm6.bowtie2.sorted.bam	9	NA	rep2	Wieschaus ATAC-Seq
WT_15042404_NC13_18_rep2	NA	ATAC-Seq	NC13	WT	SRR3727971	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727971.dm6.bowtie2.sorted.bam	18	NA	rep2	Wieschaus ATAC-Seq
WT_15042204_NC13_12_rep1	NA	ATAC-Seq	NC13	WT	SRR3727964	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727964.dm6.bowtie2.sorted.bam	12	NA	rep1	Wieschaus ATAC-Seq
WT_15042303_NC12_09_rep2	NA	ATAC-Seq	NC12	WT	SRR3727949	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727949.dm6.bowtie2.sorted.bam	9	NA	rep2	Wieschaus ATAC-Seq
WT_15042306_NC13_03_rep2	NA	ATAC-Seq	NC13	WT	SRR3727956	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727956.dm6.bowtie2.sorted.bam	3	NA	rep2	Wieschaus ATAC-Seq
WT_15121801_NC11_06_rep3	NA	ATAC-Seq	NC11	WT	SRR3727938	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727938.dm6.bowtie2.sorted.bam	6	NA	rep3	Wieschaus ATAC-Seq
WT_15042403_NC13_15_rep2	NA	ATAC-Seq	NC13	WT	SRR3727968	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727968.dm6.bowtie2.sorted.bam	15	NA	rep2	Wieschaus ATAC-Seq
WT_15121602_NC11_03_rep2	NA	ATAC-Seq	NC11	WT	SRR3727934	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727934.dm6.bowtie2.sorted.bam	3	NA	rep2	Wieschaus ATAC-Seq
WT_15042304_NC12_12_rep2	NA	ATAC-Seq	NC12	WT	SRR3727952	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727952.dm6.bowtie2.sorted.bam	12	NA	rep2	Wieschaus ATAC-Seq
WT_15042702_NC12_12_rep3	NA	ATAC-Seq	NC12	WT	SRR3727953	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727953.dm6.bowtie2.sorted.bam	12	NA	rep3	Wieschaus ATAC-Seq
WT_15042806_NC13_15_rep3	NA	ATAC-Seq	NC13	WT	SRR3727969	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727969.dm6.bowtie2.sorted.bam	15	NA	rep3	Wieschaus ATAC-Seq
WT_15042104_NC12_12_rep1	NA	ATAC-Seq	NC12	WT	SRR3727951	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727951.dm6.bowtie2.sorted.bam	12	NA	rep1	Wieschaus ATAC-Seq
WT_15121802_NC11_03_rep3	NA	ATAC-Seq	NC11	WT	SRR3727935	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727935.dm6.bowtie2.sorted.bam	3	NA	rep3	Wieschaus ATAC-Seq
WT_15042902_NC13_12_rep3	NA	ATAC-Seq	NC13	WT	SRR3727966	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727966.dm6.bowtie2.sorted.bam	12	NA	rep3	Wieschaus ATAC-Seq
WT_15042704_NC13_06_rep3	NA	ATAC-Seq	NC13	WT	SRR3727960	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727960.dm6.bowtie2.sorted.bam	6	NA	rep3	Wieschaus ATAC-Seq
WT_15042305_NC13_12_rep2	NA	ATAC-Seq	NC13	WT	SRR3727965	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727965.dm6.bowtie2.sorted.bam	12	NA	rep2	Wieschaus ATAC-Seq
WT_15042107_NC12_09_rep1	NA	ATAC-Seq	NC12	WT	SRR3727948	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727948.dm6.bowtie2.sorted.bam	9	NA	rep1	Wieschaus ATAC-Seq
WT_15042201_NC13_18_rep1	NA	ATAC-Seq	NC13	WT	SRR3727970	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727970.dm6.bowtie2.sorted.bam	18	NA	rep1	Wieschaus ATAC-Seq
WT_15042307_NC13_09_rep1	NA	ATAC-Seq	NC13	WT	SRR3727961	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727961.dm6.bowtie2.sorted.bam	9	NA	rep1	Wieschaus ATAC-Seq
WT_15042701_NC12_09_rep3	NA	ATAC-Seq	NC12	WT	SRR3727950	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727950.dm6.bowtie2.sorted.bam	9	NA	rep3	Wieschaus ATAC-Seq
WT_15042805_NC13_09_rep3	NA	ATAC-Seq	NC13	WT	SRR3727963	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727963.dm6.bowtie2.sorted.bam	9	NA	rep3	Wieschaus ATAC-Seq
WT_15121603_NC11_06_rep2	NA	ATAC-Seq	NC11	WT	SRR3727937	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727937.dm6.bowtie2.sorted.bam	6	NA	rep2	Wieschaus ATAC-Seq
WT_15121504_NC11_06_rep1	NA	ATAC-Seq	NC11	WT	SRR3727936	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727936.dm6.bowtie2.sorted.bam	6	NA	rep1	Wieschaus ATAC-Seq
WT_15042803_NC12_12_rep4	NA	ATAC-Seq	NC12	WT	SRR3727954	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727954.dm6.bowtie2.sorted.bam	12	NA	rep4	Wieschaus ATAC-Seq
WT_15121804_NC11_09_rep3	NA	ATAC-Seq	NC11	WT	SRR3727941	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727941.dm6.bowtie2.sorted.bam	9	NA	rep3	Wieschaus ATAC-Seq
WT_15042103_NC13_06_rep1	NA	ATAC-Seq	NC13	WT	SRR3727958	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727958.dm6.bowtie2.sorted.bam	6	NA	rep1	Wieschaus ATAC-Seq
WT_15042308_NC13_09_rep2	NA	ATAC-Seq	NC13	WT	SRR3727962	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727962.dm6.bowtie2.sorted.bam	9	NA	rep2	Wieschaus ATAC-Seq
WT_15042206_NC13_06_rep2	NA	ATAC-Seq	NC13	WT	SRR3727959	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727959.dm6.bowtie2.sorted.bam	6	NA	rep2	Wieschaus ATAC-Seq
WT_15121503_NC11_09_rep1	NA	ATAC-Seq	NC11	WT	SRR3727939	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727939.dm6.bowtie2.sorted.bam	9	NA	rep1	Wieschaus ATAC-Seq
WT_15042202_NC12_03_rep2	NA	ATAC-Seq	NC12	WT	SRR3727943	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727943.dm6.bowtie2.sorted.bam	3	NA	rep2	Wieschaus ATAC-Seq
WT_15042105_NC13_15_rep1	NA	ATAC-Seq	NC13	WT	SRR3727967	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727967.dm6.bowtie2.sorted.bam	15	NA	rep1	Wieschaus ATAC-Seq
WT_15042102_NC12_06_rep1	NA	ATAC-Seq	NC12	WT	SRR3727945	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727945.dm6.bowtie2.sorted.bam	6	NA	rep1	Wieschaus ATAC-Seq
WT_15042401_NC12_06_rep2	NA	ATAC-Seq	NC12	WT	SRR3727946	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727946.dm6.bowtie2.sorted.bam	6	NA	rep2	Wieschaus ATAC-Seq
Toll10B_3h_1	NA	ATAC-Seq	NA	Toll10B	P13169_1001_S53	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1001_S53.dmel.bowtie2.sorted.bam	3h	NA	1	Toll ATAC-Seq
Toll10B_3h_2	NA	ATAC-Seq	NA	Toll10B	P13169_1002_S54	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1002_S54.dmel.bowtie2.sorted.bam	3h	NA	2	Toll ATAC-Seq
Toll10B_3h_3	NA	ATAC-Seq	NA	Toll10B	P13169_1003_S55	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1003_S55.dmel.bowtie2.sorted.bam	3h	NA	3	Toll ATAC-Seq
Toll10B_4h_1	NA	ATAC-Seq	NA	Toll10B	P13169_1004_S56	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1004_S56.dmel.bowtie2.sorted.bam	4h	NA	1	Toll ATAC-Seq
Toll10B_4h_2	NA	ATAC-Seq	NA	Toll10B	P13169_1005_S57	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1005_S57.dmel.bowtie2.sorted.bam	4h	NA	2	Toll ATAC-Seq
Toll10B_4h_3	NA	ATAC-Seq	NA	Toll10B	P13169_1006_S58	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1006_S58.dmel.bowtie2.sorted.bam	4h	NA	3	Toll ATAC-Seq
Toll10B_5h_1	NA	ATAC-Seq	NA	Toll10B	P13169_1007_S59	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1007_S59.dmel.bowtie2.sorted.bam	5h	NA	1	Toll ATAC-Seq
Toll10B_5h_2	NA	ATAC-Seq	NA	Toll10B	P13169_1008_S60	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1008_S60.dmel.bowtie2.sorted.bam	5h	NA	2	Toll ATAC-Seq
Toll10B_5h_3	NA	ATAC-Seq	NA	Toll10B	P13169_1009_S61	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1009_S61.dmel.bowtie2.sorted.bam	5h	NA	3	Toll ATAC-Seq
Toll9/10_3h_1	NA	ATAC-Seq	NA	Toll9/10	P13169_1010_S62	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1010_S62.dmel.bowtie2.sorted.bam	3h	NA	1	Toll ATAC-Seq
Toll9/10_3h_2	NA	ATAC-Seq	NA	Toll9/10	P13169_1011_S63	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1011_S63.dmel.bowtie2.sorted.bam	3h	NA	2	Toll ATAC-Seq
Toll9/10_3h_3	NA	ATAC-Seq	NA	Toll9/10	P13169_1012_S64	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1012_S64.dmel.bowtie2.sorted.bam	3h	NA	3	Toll ATAC-Seq
Toll9/10_4h_1	NA	ATAC-Seq	NA	Toll9/10	P13169_1013_S65	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1013_S65.dmel.bowtie2.sorted.bam	4h	NA	1	Toll ATAC-Seq
Toll9/10_4h_2	NA	ATAC-Seq	NA	Toll9/10	P13169_1014_S66	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1014_S66.dmel.bowtie2.sorted.bam	4h	NA	2	Toll ATAC-Seq
Toll9/10_4h_3	NA	ATAC-Seq	NA	Toll9/10	P13169_1015_S67	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1015_S67.dmel.bowtie2.sorted.bam	4h	NA	3	Toll ATAC-Seq
Toll9/10_5h_1	NA	ATAC-Seq	NA	Toll9/10	P13169_1016_S68	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1016_S68.dmel.bowtie2.sorted.bam	5h	NA	1	Toll ATAC-Seq
Toll9/10_5h_2	NA	ATAC-Seq	NA	Toll9/10	P13169_1017_S69	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1017_S69.dmel.bowtie2.sorted.bam	5h	NA	2	Toll ATAC-Seq
Toll9/10_5h_3	NA	ATAC-Seq	NA	Toll9/10	P13169_1018_S70	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1018_S70.dmel.bowtie2.sorted.bam	5h	NA	3	Toll ATAC-Seq
gd7_3h_1	NA	ATAC-Seq	NA	gd7	P13169_1019_S71	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1019_S71.dmel.bowtie2.sorted.bam	3h	NA	1	Toll ATAC-Seq
gd7_3h_2	NA	ATAC-Seq	NA	gd7	P13169_1020_S72	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1020_S72.dmel.bowtie2.sorted.bam	3h	NA	2	Toll ATAC-Seq
gd7_3h_3	NA	ATAC-Seq	NA	gd7	P13169_1021_S73	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1021_S73.dmel.bowtie2.sorted.bam	3h	NA	3	Toll ATAC-Seq
gd7_4h_1	NA	ATAC-Seq	NA	gd7	P13169_1022_S74	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1022_S74.dmel.bowtie2.sorted.bam	4h	NA	1	Toll ATAC-Seq
gd7_4h_2	NA	ATAC-Seq	NA	gd7	P13169_1023_S75	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1023_S75.dmel.bowtie2.sorted.bam	4h	NA	2	Toll ATAC-Seq
gd7_4h_3	NA	ATAC-Seq	NA	gd7	P13169_1024_S76	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1024_S76.dmel.bowtie2.sorted.bam	4h	NA	3	Toll ATAC-Seq
gd7_5h_1	NA	ATAC-Seq	NA	gd7	P13169_1025_S77	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1025_S77.dmel.bowtie2.sorted.bam	5h	NA	1	Toll ATAC-Seq
gd7_5h_2	NA	ATAC-Seq	NA	gd7	P13169_1026_S78	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1026_S78.dmel.bowtie2.sorted.bam	5h	NA	2	Toll ATAC-Seq
