# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "ppc" "-g" "transcript_id" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/CBP_PPC.featureCount.count.tab.txt" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_CBP_S7.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_input_S1.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_CBP_S8.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_input_S2.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_CBP_S11.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_input_S5.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_CBP_S12.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_input_S6.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_CBP_S9.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_input_S3.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_CBP_S10.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_input_S4.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/Undetermined_S0.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_CBP_S7.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_input_S1.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_CBP_S8.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_input_S2.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_CBP_S11.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_input_S5.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_CBP_S12.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_input_S6.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_CBP_S9.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_input_S3.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_CBP_S10.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_input_S4.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/Undetermined_S0.dm6.bowtie2.sorted.bam
FBtr0332336	2L	158982	159132	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078121	2L	158982	159132	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330653	2L	182770	182920	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332337	2L	182770	182920	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078124	2L	203729	203879	+	151	173	83	29	103	100	101	11	77	73	67	43	77	13
FBtr0308246	2L	206697	206847	-	151	7	71	3	77	11	89	1	73	3	62	0	80	10
FBtr0332338	2L	207129	207279	+	151	16	13	10	26	14	19	2	19	9	21	4	20	1
FBtr0078146	2L	207197	207347	-	151	3	0	5	2	2	0	1	0	2	1	1	1	0
FBtr0332339	2L	207356	207506	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078125	2L	207356	207506	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078145	2L	221862	222012	-	151	678	50	728	77	235	68	206	72	389	79	306	67	40
FBtr0078126	2L	232437	232587	+	151	20	66	26	61	7	77	8	75	20	64	9	70	6
FBtr0308253	2L	250723	250873	-	151	376	63	327	84	146	59	91	61	187	71	138	61	29
FBtr0336990	2L	252273	252423	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078143	2L	252273	252423	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0336989	2L	254650	254800	-	151	19	68	16	65	12	52	10	63	20	59	11	52	7
FBtr0308252	2L	267405	267555	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078142	2L	267405	267555	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078127	2L	269038	269188	+	151	7	30	13	54	6	61	6	36	5	42	2	61	4
FBtr0078141	2L	271644	271794	-	151	179	83	127	114	71	87	48	90	124	72	68	85	21
FBtr0078139	2L	273615	273765	-	151	179	59	197	76	83	71	83	86	116	76	93	72	17
FBtr0330648	2L	277112	277262	-	151	378	51	387	49	156	52	125	53	235	31	184	52	28
FBtr0078129	2L	277532	277682	+	151	228	75	196	70	94	80	44	79	128	67	107	78	14
FBtr0330650	2L	278134	278284	-	151	90	47	94	51	34	54	25	58	61	55	37	80	10
FBtr0343780	2L	283095	283245	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343779	2L	283095	283245	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078137	2L	283169	283319	-	151	24	20	35	28	7	18	7	10	12	19	7	28	2
FBtr0078136	2L	285626	285776	-	151	171	52	183	54	58	43	51	45	105	43	93	64	15
FBtr0078135	2L	286431	286581	-	151	68	45	70	61	34	56	33	80	25	45	24	63	13
FBtr0078134	2L	288832	288982	-	151	13	40	26	49	10	47	9	45	17	44	11	59	4
FBtr0330647	2L	289044	289194	-	151	10	80	8	61	7	74	4	54	7	65	3	71	3
FBtr0113009	2L	291695	291845	-	151	33	45	21	41	12	46	15	48	17	42	18	40	7
FBtr0333408	2L	294581	294731	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078133	2L	294581	294731	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078131	2L	295072	295222	+	151	328	66	242	66	141	85	81	82	147	56	125	75	28
FBtr0331205	2L	297830	297980	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331208	2L	297830	297980	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331207	2L	301656	301806	+	151	12	52	7	59	9	70	2	62	8	47	3	66	6
FBtr0078047	2L	305885	306035	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078049	2L	305885	306035	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330674	2L	310150	310300	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078048	2L	310150	310300	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078050	2L	310150	310300	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330695	2L	329661	329811	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330696	2L	329661	329811	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078096	2L	332235	332385	-	151	3	42	2	65	2	52	0	72	4	65	1	56	6
FBtr0330651	2L	357774	357924	-	151	161	81	135	88	68	78	48	89	94	66	57	82	24
FBtr0078053	2L	378062	378212	+	151	64	51	52	58	19	52	20	59	55	47	33	52	8
FBtr0331204	2L	401954	402104	-	151	7	47	6	33	1	52	3	43	3	31	1	42	3
FBtr0078093	2L	402098	402248	-	151	26	35	11	57	12	40	3	50	7	38	4	56	8
FBtr0078054	2L	404235	404385	+	151	121	69	81	89	75	75	32	76	60	59	34	79	27
FBtr0089489	2L	412785	412935	-	151	33	76	29	72	18	57	12	62	16	58	13	73	3
FBtr0089488	2L	414677	414827	-	151	387	45	459	59	238	46	136	64	302	58	230	76	29
FBtr0078055	2L	415017	415167	+	151	276	58	339	71	128	53	92	63	183	56	143	77	25
FBtr0078090	2L	419552	419702	-	151	60	97	55	70	33	88	16	90	36	78	27	73	17
FBtr0078058	2L	422823	422973	+	151	60	51	61	68	16	51	15	59	18	42	24	52	7
FBtr0329832	2L	431177	431327	+	151	206	56	219	66	82	74	57	78	116	41	94	71	24
FBtr0304741	2L	451202	451352	-	151	43	48	47	59	6	65	12	63	16	55	18	62	10
FBtr0331232	2L	452652	452802	-	151	52	59	61	78	30	65	9	82	31	53	32	54	13
FBtr0331233	2L	452924	453074	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078088	2L	452924	453074	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078060	2L	453058	453208	+	151	103	36	99	39	26	34	27	50	55	27	28	43	10
FBtr0078061	2L	455481	455631	+	151	251	61	259	65	100	62	61	65	151	56	129	83	14
FBtr0310035	2L	471455	471605	-	151	12	51	19	53	11	43	10	77	8	39	5	69	5
FBtr0310034	2L	472100	472250	-	151	36	64	43	47	16	56	15	58	16	52	11	48	9
FBtr0078062	2L	472963	473113	+	151	44	85	26	86	18	86	2	79	13	74	5	70	13
FBtr0333012	2L	476170	476320	+	151	0	75	0	68	1	64	0	58	0	58	0	76	7
FBtr0310030	2L	479588	479738	-	151	46	38	65	53	29	46	25	51	37	30	26	71	6
FBtr0310027	2L	490785	490935	+	151	441	41	522	49	180	60	149	50	221	43	181	44	38
FBtr0078063	2L	523416	523566	+	151	509	41	495	49	122	58	77	47	196	43	137	59	23
FBtr0329895	2L	523686	523836	+	151	405	51	405	64	139	59	98	65	211	41	131	64	24
FBtr0310028	2L	542480	542630	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078082	2L	542480	542630	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078081	2L	542480	542630	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078080	2L	544553	544703	-	151	205	56	224	45	76	59	51	56	120	49	78	66	9
FBtr0078064	2L	545079	545229	+	151	24	39	28	48	10	56	8	59	16	38	9	58	10
FBtr0112854	2L	549402	549552	-	151	13	39	23	54	6	62	8	49	15	31	4	53	7
FBtr0344014	2L	552354	552504	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078079	2L	552354	552504	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345429	2L	552823	552973	-	151	19	33	23	46	13	51	3	56	15	47	9	48	9
FBtr0078078	2L	558979	559129	-	151	1	50	5	60	5	60	0	58	2	47	0	58	2
FBtr0303763	2L	560210	560360	-	151	130	38	146	44	41	34	34	32	77	35	72	56	10
FBtr0078076	2L	563247	563397	-	151	20	49	20	36	12	38	8	53	17	39	16	48	5
FBtr0345577	2L	563719	563869	-	151	11	76	8	96	4	71	3	60	6	63	4	76	5
FBtr0078067	2L	564113	564263	+	151	218	59	196	39	95	72	36	66	107	64	73	60	15
FBtr0078075	2L	568021	568171	-	151	157	49	171	40	93	67	46	90	92	49	75	51	10
FBtr0078068	2L	568290	568440	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332340	2L	568290	568440	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078074	2L	574164	574314	-	151	67	13	58	16	16	18	17	17	49	10	34	19	5
FBtr0310022	2L	574241	574391	+	151	75	18	81	21	34	17	30	25	52	14	42	22	9
FBtr0078069	2L	574458	574608	+	151	258	66	284	78	110	75	72	80	148	57	106	84	13
FBtr0346650	2L	576796	576946	-	151	59	55	85	48	38	49	20	53	44	46	44	58	11
FBtr0078070	2L	577436	577586	+	151	22	46	25	47	7	39	8	56	20	43	9	54	3
FBtr0347398	2L	587947	588097	-	151	65	72	37	67	28	74	3	60	34	60	19	62	5
FBtr0343220	2L	594585	594735	-	151	385	61	386	65	132	48	83	65	215	52	163	57	23
FBtr0310023	2L	602763	602913	+	151	18	76	20	91	29	76	16	73	39	79	14	70	11
FBtr0077999	2L	625602	625752	+	151	9	60	5	67	5	67	1	76	2	85	2	50	9
FBtr0078045	2L	714883	715033	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343249	2L	714883	715033	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078000	2L	728312	728462	+	151	9	40	6	59	4	55	5	66	4	45	0	50	5
FBtr0301316	2L	741691	741841	-	151	17	43	17	47	3	43	6	44	10	26	8	47	4
FBtr0301317	2L	744295	744445	-	151	16	33	17	39	12	46	8	35	5	24	6	40	3
FBtr0343785	2L	749895	750045	+	151	13	38	9	55	9	46	7	57	8	29	2	46	5
FBtr0308257	2L	750559	750709	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343787	2L	750559	750709	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301439	2L	752750	752900	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0346526	2L	752750	752900	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078006	2L	780432	780582	+	151	10	47	13	53	12	34	5	46	9	42	11	45	5
FBtr0331651	2L	781226	781376	+	151	18	47	15	35	5	57	10	44	10	32	10	41	11
FBtr0331652	2L	784286	784436	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078007	2L	784286	784436	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078042	2L	790698	790848	-	151	16	36	12	55	9	41	4	56	7	26	7	38	9
FBtr0078009	2L	811534	811684	+	151	87	57	112	55	41	49	25	58	54	49	52	47	12
FBtr0078041	2L	815850	816000	-	151	57	26	30	31	10	34	5	36	18	20	12	26	4
FBtr0332972	2L	815943	816093	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078010	2L	815943	816093	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078039	2L	819408	819558	-	151	67	57	80	53	26	57	19	56	52	58	30	64	9
FBtr0078011	2L	819914	820064	+	151	184	58	208	83	81	61	49	71	135	62	91	70	24
FBtr0305507	2L	821239	821389	+	151	119	41	103	42	52	43	24	41	57	42	38	34	8
FBtr0301908	2L	821372	821522	+	151	247	46	216	34	94	33	63	39	135	31	100	41	13
FBtr0078038	2L	825761	825911	-	151	229	35	264	40	106	49	70	47	146	37	98	42	17
FBtr0078014	2L	825919	826069	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332973	2L	825919	826069	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302121	2L	842843	842993	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078037	2L	842843	842993	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302120	2L	850971	851121	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334763	2L	850971	851121	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334797	2L	852630	852780	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078034	2L	852630	852780	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078016	2L	852718	852868	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334794	2L	852798	852948	+	151	51	12	44	14	14	13	13	15	22	16	21	15	6
FBtr0334796	2L	855421	855571	+	151	378	88	402	82	89	62	53	82	147	57	127	62	28
FBtr0445832	2L	860147	860297	+	151	11	25	13	26	2	30	2	24	6	21	6	22	1
FBtr0078018	2L	860259	860409	+	151	9	30	4	26	2	27	6	28	7	22	8	31	1
FBtr0078033	2L	865761	865911	-	151	210	67	249	68	59	62	43	53	126	41	105	65	29
FBtr0078032	2L	867913	868063	-	151	334	65	359	98	106	54	64	57	171	67	147	57	26
FBtr0078031	2L	868254	868404	-	151	344	72	353	76	144	61	94	70	188	55	153	82	19
FBtr0078030	2L	869757	869907	-	151	158	81	141	78	68	68	45	71	91	69	71	64	18
FBtr0091489	2L	870415	870565	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0091487	2L	870415	870565	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0091486	2L	871045	871195	+	151	229	54	226	86	106	73	74	72	145	59	91	66	10
FBtr0345634	2L	885041	885191	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332181	2L	885041	885191	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345738	2L	898450	898600	+	151	3	17	11	32	6	22	2	22	1	20	7	31	3
FBtr0078025	2L	898594	898744	+	151	9	26	6	32	8	19	1	30	10	19	6	32	2
FBtr0336969	2L	914036	914186	+	151	14	47	15	46	32	43	30	46	27	42	8	48	9
FBtr0077949	2L	922743	922893	+	151	37	41	52	49	20	53	21	70	23	40	13	38	10
FBtr0332270	2L	1034482	1034632	-	151	15	42	18	35	14	36	4	43	4	36	7	38	4
FBtr0077951	2L	1037196	1037346	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
