Chr	Start	End	Target	Score	IM_PET
chr2L	15721302	15723302	THG	0.971	0
chr2L	15721302	15723302	FBgn0051807	0.959	0
chr2L	15721865	15723865	FBgn0032551	0.971	0
chr2L	15721865	15723865	THG	0.971	0
chr2L	15721865	15723865	FBgn0051735	0.961	0
chr2L	15740696	15742696	FBgn0032551	0.961	0
chr2L	15740696	15742696	THG	0.961	0
chr2L	15740696	15742696	FBgn0051807	0.969	0
chr2L	16280591	16282591	kek3	0.965	0
chr2L	16280591	16282591	FBgn0265607	0.911	0
chr2L	16280591	16282591	FBgn0045486	0.911	0
chr2L	16281188	16283188	kek3	0.964	0
chr2L	16281188	16283188	CG42817	0.914	0
chr2L	16281188	16283188	Cyp303a1	0.974	0
chr2L	16317094	16319094	Syx5	0.957	0
chr2L	16317094	16319094	CG31817	0.973	0
chr2L	16317094	16319094	FBgn0045486	0.961	0
chr2L	16318328	16320328	kek3	0.941	0
chr2L	16318328	16320328	cact	0.996	0
chr2L	16318328	16320328	FBgn0045486	0.961	0
chr2L	16322831	16324831	kek3	0.911	0
chr2L	16322831	16324831	CG31817	0.98	0
chr2L	16322831	16324831	FBgn0045486	0.961	0
chr2L	17748937	17750937	CG31789	0.961	0
chr2L	17748937	17750937	CG10383	0.929	0
chr2L	17748937	17750937	Grip71	0.961	0
chr2L	18135628	18137628	beat-IIIc	0.964	0
chr2L	18135628	18137628	CG10600	0.974	0
chr2L	18135628	18137628	FBgn0263982	0.964	0
chr2L	18136077	18138077	beat-IIIc	0.964	0
chr2L	18136077	18138077	CG10600	0.974	0
chr2L	18136077	18138077	FBgn0263982	0.964	0
chr2L	18893753	18895753	ref(2)P	0.953	0
chr2L	18893753	18895753	CG10268	0.977	0
chr2L	18893753	18895753	FBgn0032824	0.957	0
chr2L	19064547	19066547	CG31785	0.973	0
chr2L	19064547	19066547	FBgn0001301	0.961	0
chr2L	19064547	19066547	CG31793	0.932	0
chr2L	19139063	19141063	l(2)37Bb	0.979	0
chr2L	19139063	19141063	FBgn0032824	0.979	0
chr2L	19139063	19141063	neb	0.974	0
chr2L	19162358	19164358	FBgn0032824	0.964	0
chr2L	19162358	19164358	CG10721	0.967	0
chr2L	19162358	19164358	Taf13	0.966	0
chr2L	19165295	19167295	FBgn0032824	0.96	0
chr2L	19165295	19167295	CG10721	0.964	0
chr2L	19165295	19167295	Taf13	0.963	0
chr2L	19166102	19168102	FBgn0032824	0.96	0
chr2L	19166102	19168102	CG10721	0.964	0
chr2L	19166102	19168102	Taf13	0.963	0
chr2L	19322270	19324270	CG31789	0.971	0
chr2L	19322270	19324270	CG10721	0.931	0
chr2L	19322270	19324270	FBgn0259998	0.971	0
chr2L	19323361	19325361	CG31789	0.971	0
chr2L	19323361	19325361	CG10721	0.931	0
chr2L	19323361	19325361	FBgn0259998	0.964	0
chr2L	19333297	19335297	CG31789	0.967	0
chr2L	19333297	19335297	neb	0.958	0
chr2L	19333297	19335297	FBgn0259998	0.959	0
chr2L	19336873	19338873	CG31789	0.961	0
chr2L	19336873	19338873	CG10730	0.947	0
chr2L	19336873	19338873	neb	0.958	0
chr2L	19341135	19343135	CG31789	0.957	0
chr2L	19341135	19343135	CG10730	0.954	0
chr2L	19341135	19343135	neb	0.961	0
chr2L	19342522	19344522	CG31789	0.958	0
chr2L	19342522	19344522	CG10730	0.954	0
chr2L	19342522	19344522	neb	0.961	0
chr2L	19342699	19344699	CG31789	0.958	0
chr2L	19342699	19344699	CG10730	0.954	0
chr2L	19342699	19344699	neb	0.961	0
chr2L	19343666	19345666	CG31789	0.958	0
chr2L	19343666	19345666	CG10730	0.954	0
chr2L	19343666	19345666	neb	0.963	0
chr2L	19358392	19360392	neb	0.971	0
chr2L	19358392	19360392	CG10721	0.964	0
chr2L	19358392	19360392	Taf13	0.963	0
chr2L	19359992	19361992	CG10730	0.965	0
chr2L	19359992	19361992	neb	0.971	0
chr2L	19359992	19361992	CG10721	0.966	0
chr2L	21628703	21630703	phr6-4	0.946	0
chr2L	21628703	21630703	CG9328	0.956	0
chr2L	21628703	21630703	CG9270	0.97	0
chr2L	21782068	21784068	l(2)05287	0.984	0
chr2L	21782068	21784068	CG9257	0.968	0
chr2L	21782068	21784068	CG46307	0.979	0
chr2L	21828965	21830965	FBgn0051675	0.966	0
chr2L	21828965	21830965	CG46307	0.967	0
chr2L	21828965	21830965	Acon	0.964	0
chr2L	21829254	21831254	FBgn0051675	0.966	0
chr2L	21829254	21831254	CG46307	0.967	0
chr2L	21829254	21831254	Acon	0.964	0
chr2L	21840089	21842089	FBgn0051675	0.966	0
chr2L	21840089	21842089	CG46307	0.957	0
chr2L	21840089	21842089	Acon	0.971	0
chr2L	21840089	21842089	Mcm10	0.957	0
chr2L	21840648	21842648	FBgn0051675	0.966	0
chr2L	21840648	21842648	CG46307	0.957	0
chr2L	21840648	21842648	Acon	0.971	0
chr2L	21840648	21842648	Mcm10	0.957	0
chr2L	21841037	21843037	FBgn0051675	0.966	0
chr2L	21841037	21843037	CG46307	0.958	0
chr2L	21841037	21843037	Acon	0.971	0
chr2L	21841569	21843569	FBgn0051675	0.963	0
chr2L	21841569	21843569	CG46307	0.958	0
chr2L	21841569	21843569	Acon	0.972	0
chr2L	21842286	21844286	FBgn0051675	0.963	0
chr2L	21842286	21844286	Acon	0.972	0
chr2L	21842286	21844286	Mcm10	0.962	0
chr2L	21844234	21846234	FBgn0051675	0.962	0
chr2L	21844234	21846234	Acon	0.972	0
chr2L	21844234	21846234	Mcm10	0.962	0
chr2L	21845115	21847115	FBgn0051675	0.962	0
chr2L	21845115	21847115	Acon	0.972	0
chr2L	21845115	21847115	Mcm10	0.963	0
chr2L	21845547	21847547	FBgn0051675	0.962	0
chr2L	21845547	21847547	Acon	0.972	0
chr2L	21845547	21847547	Mcm10	0.963	0
chr2L	21848179	21850179	FBgn0051675	0.956	0
chr2L	21848179	21850179	Acon	0.972	0
chr2L	21848179	21850179	Mcm10	0.963	0
chr2L	21849050	21851050	FBgn0051675	0.956	0
chr2L	21849050	21851050	CG9270	0.956	0
chr2L	21849050	21851050	Acon	0.972	0
chr2L	21849050	21851050	Mcm10	0.963	0
chr2L	21849296	21851296	CG9270	0.956	0
chr2L	21849296	21851296	Acon	0.972	0
chr2L	21849296	21851296	Mcm10	0.963	0
chr2L	21850393	21852393	CG9270	0.956	0
chr2L	21850393	21852393	Acon	0.972	0
chr2L	21850393	21852393	Mcm10	0.964	0
chr2L	21851202	21853202	CG9270	0.956	0
chr2L	21851202	21853202	Acon	0.974	0
chr2L	21851202	21853202	Mcm10	0.964	0
chr2L	21854879	21856879	CG9270	0.956	0
chr2L	21854879	21856879	Acon	0.974	0
chr2L	21854879	21856879	Mcm10	0.965	0
chr2L	21854966	21856966	CG9270	0.956	0
chr2L	21854966	21856966	Acon	0.974	0
chr2L	21854966	21856966	Mcm10	0.965	0
chr2L	21875856	21877856	CG9270	0.956	0
chr2L	21875856	21877856	Acon	0.971	0
chr2L	21875856	21877856	Mcm10	0.967	0
chr2L	21877508	21879508	E2f2	0.968	0
chr2L	21877508	21879508	CG9249	0.969	0
chr2L	21877508	21879508	CG31624	0.968	0
chr2L	22147307	22149307	CG31624	0.957	0
chr2L	22147307	22149307	Atg18b	0.969	0
chr2L	22147307	22149307	Gr39a	0.963	0
chr2L	22147789	22149789	CG31624	0.957	0
chr2L	22147789	22149789	Atg18b	0.969	0
chr2L	22147789	22149789	Gr39a	0.963	0
chr2L	22249400	22251400	Gr39a	0.965	0
chr2L	22249400	22251400	dimm	0.873	0
chr2L	22249400	22251400	CG17018	0.884	0
chr2L	22535079	22537079	FBgn0032966	0.9	0
chr2L	22535079	22537079	FBgn0040519	0.886	0
chr2L	22535079	22537079	CG10834	0.885	0
chr2L	22535532	22537532	Lamp1	0.966	0
chr2L	22535532	22537532	step	0.921	0
chr2L	22535532	22537532	Tim23	0.928	0
chr2L	22535931	22537931	Lamp1	0.966	0
chr2L	22535931	22537931	step	0.921	0
chr2L	22535931	22537931	Tim23	0.928	0
chr2L	22538165	22540165	Lamp1	0.966	0
chr2L	22538165	22540165	step	0.921	0
chr2L	22538165	22540165	Tim23	0.928	0
chr2L	22538348	22540348	Lamp1	0.966	0
chr2L	22538348	22540348	step	0.921	0
chr2L	22538348	22540348	Tim23	0.928	0
chr2L	22569411	22571411	Df31	0.852	0
chr2L	22569411	22571411	FBgn0032966	0.97	0
chr2L	22569411	22571411	CG17018	0.891	0
chr2L	22576412	22578412	FBgn0032966	0.972	0
chr2L	22576412	22578412	FBgn0051703	0.846	0
chr2L	22576412	22578412	FBgn0040519	0.846	0
chr2L	22576538	22578538	FBgn0032966	0.972	0
chr2L	22576538	22578538	FBgn0051703	0.846	0
chr2L	22576538	22578538	FBgn0040519	0.846	0
chr2L	22578794	22580794	FBgn0032966	0.972	0
chr2L	22578794	22580794	FBgn0051703	0.845	0
chr2L	22578794	22580794	FBgn0040519	0.845	0
chr2L	22578794	22580794	CG10834	0.845	0
chr2L	22578794	22580794	CG17018	0.91	0
chr2L	22579117	22581117	FBgn0032966	0.972	0
chr2L	22579117	22581117	FBgn0051703	0.845	0
chr2L	22579117	22581117	FBgn0040519	0.845	0
chr2L	22579117	22581117	CG10834	0.845	0
chr2L	22579117	22581117	CG17018	0.911	0
chr2L	22923556	22925556	FBgn0051703	0.938	0
chr2L	22923556	22925556	FBgn0040519	0.938	0
chr2L	22923556	22925556	CG10834	0.921	0
chr2L	22980795	22982795	FBgn0051703	0.923	0
chr2L	22980795	22982795	FBgn0040519	0.923	0
chr2L	22980795	22982795	CG17018	0.957	0
chr2L	22981535	22983535	FBgn0051703	0.923	0
chr2L	22981535	22983535	FBgn0040519	0.923	0
chr2L	22981535	22983535	CG17018	0.957	0
chr2L	22981740	22983740	FBgn0051703	0.923	0
chr2L	22981740	22983740	FBgn0040519	0.923	0
chr2L	22981740	22983740	CG17018	0.957	0
chr2L	23068480	23070480	FBgn0051703	0.948	0
chr2L	23068480	23070480	FBgn0040519	0.948	0
chr2L	23068480	23070480	CG10834	0.94	0
chr2L	23163733	23165733	CG3635	0.82	0
chr2L	23163733	23165733	CG17018	0.96	0
chr2L	23163733	23165733	CG12567	0.708	0
chr2L	23171998	23173998	CG3635	0.815	0
chr2L	23171998	23173998	CG17018	0.964	0
chr2L	23171998	23173998	CG40006	0.616	0
chr2L	23173451	23175451	CG3635	0.815	0
chr2L	23173451	23175451	CG17018	0.964	0
chr2L	23173451	23175451	CG40006	0.617	0
chr2L	23173550	23175550	CG3635	0.815	0
chr2L	23173550	23175550	CG17018	0.964	0
chr2L	23173550	23175550	CG40006	0.617	0
chr2L	23311890	23313890	CG17018	0.946	0
chr2L	23311890	23313890	CG40006	0.859	0
chr2L	23311890	23313890	FBgn0063368	0.636	0
chr2L	23314239	23316239	CG17018	0.946	0
chr2L	23314239	23316239	CG40006	0.86	0
chr2L	23314239	23316239	FBgn0063368	0.997	0
chr2L	23314806	23316806	CG17018	0.946	0
chr2L	23314806	23316806	CG40006	0.86	0
chr2L	23314806	23316806	FBgn0063368	0.946	0
chr2R	1069624	1071624	rl	0.639	0
chr2R	1069624	1071624	Yeti	0.909	0
chr2R	1069624	1071624	CG17691	0.535	0
chr2R	1070249	1072249	FBgn0069969	0.579	0
chr2R	1070249	1072249	rl	0.639	0
chr2R	1070249	1072249	Yeti	0.919	0
chr2R	1071926	1073926	FBgn0069969	0.558	0
chr2R	1071926	1073926	rl	0.639	0
chr2R	1071926	1073926	Yeti	0.914	0
chr2R	1214080	1216080	FBgn0267428	0.924	0
chr2R	1214080	1216080	rl	0.733	0
chr2R	1214080	1216080	CG41520	0.535	0
chr2R	1241003	1243003	FBgn0267428	0.939	0
chr2R	1241003	1243003	CG40191	0.871	0
chr2R	1241003	1243003	Yeti	0.593	0
chr2R	1263048	1265048	FBgn0267428	0.957	0
chr2R	1263048	1265048	CG40191	0.636	0
chr2R	1263048	1265048	Yeti	0.612	0
chr2R	3500906	3502906	CG17683	0.694	0
chr2R	3500906	3502906	RNASEK	0.779	0
chr2R	3500906	3502906	IntS3	0.866	0
chr2R	4011857	4013857	uex	0.601	0
chr2R	4011857	4013857	Haspin	0.756	0
chr2R	4011857	4013857	FBgn0040849	0.886	0
chr2R	4012576	4014576	uex	0.571	0
chr2R	4012576	4014576	Haspin	0.756	0
chr2R	4012576	4014576	FBgn0040849	0.886	0
chr2R	4013925	4015925	uex	0.595	0
chr2R	4013925	4015925	Haspin	0.756	0
chr2R	4013925	4015925	FBgn0040849	0.886	0
chr2R	4122937	4124937	CG17683	0.656	0
chr2R	4122937	4124937	RNASEK	0.591	0
chr2R	4122937	4124937	FBgn0040849	0.902	0
chr2R	5359249	5361249	FBgn0040502	0.958	0
chr2R	5359249	5361249	CG30432	0.957	0
chr2R	5359249	5361249	eIF3f2	0.964	0
chr2R	5362491	5364491	FBgn0040502	0.949	0
chr2R	5362491	5364491	CG30432	0.955	0
chr2R	5362491	5364491	eIF3f2	0.961	0
chr2R	5362556	5364556	FBgn0040502	0.949	0
chr2R	5362556	5364556	CG30432	0.955	0
chr2R	5362556	5364556	eIF3f2	0.961	0
chr2R	5363345	5365345	CG10417	0.981	0
chr2R	5363345	5365345	CG30432	0.955	0
chr2R	5363345	5365345	eIF3f2	0.959	0
chr2R	5370870	5372870	CG30432	0.955	0
chr2R	5370870	5372870	eIF3f2	0.958	0
chr2R	5370870	5372870	bin3	0.958	0
chr2R	5414397	5416397	FBgn0033027	0.943	0
chr2R	5414397	5416397	FBgn0040502	0.93	0
chr2R	5414397	5416397	bin3	0.946	0
chr2R	5669253	5671253	FBgn0040849	0.911	0
chr2R	5669253	5671253	CG30438	0.96	0
chr2R	5669253	5671253	Trap1	0.959	0
chr2R	5669487	5671487	FBgn0040849	0.911	0
chr2R	5669487	5671487	CG30438	0.96	0
chr2R	5669487	5671487	Trap1	0.959	0
chr2R	5671591	5673591	FBgn0040849	0.911	0
chr2R	5671591	5673591	Trap1	0.959	0
chr2R	5671591	5673591	Adf1	0.9	0
chr2R	5671591	5673591	CG15908	0.9	0
chr2R	5966711	5968711	Fmo-2	0.982	0
chr2R	5966711	5968711	Opbp	0.971	0
chr2R	5966711	5968711	Tdc2	0.97	0
chr2R	6083920	6085920	Atf6	0.974	0
chr2R	6083920	6085920	CG43647	0.975	0
chr2R	6083920	6085920	Tsp42Ep	0.96	0
chr2R	6438646	6440646	Gp210	0.982	0
chr2R	6438646	6440646	ZnT41F	0.972	0
chr2R	6438646	6440646	FBgn0015039	0.98	0
chr2R	6438646	6440646	Spn43Ab	0.972	0
chr2R	6439463	6441463	Gp210	0.982	0
chr2R	6439463	6441463	FBgn0015039	0.98	0
chr2R	6439463	6441463	Spn43Ab	0.975	0
chr2R	6510845	6512845	FBgn0085414	0.96	0
chr2R	6510845	6512845	CG11060	0.976	0
chr2R	6510845	6512845	CG30503	0.965	0
chr2R	6512159	6514159	FBgn0085414	0.962	0
chr2R	6512159	6514159	CG11060	0.975	0
chr2R	6512159	6514159	CG30503	0.965	0
chr2R	6575480	6577480	Fis1	0.959	0
chr2R	6575480	6577480	FBgn0265631	0.971	0
chr2R	6575480	6577480	Ady43A	0.962	0
chr2R	6575480	6577480	CG1598	0.959	0
chr2R	6577232	6579232	FBgn0265631	0.971	0
chr2R	6577232	6579232	Ady43A	0.961	0
chr2R	6577232	6579232	CG1598	0.959	0
chr2R	6602099	6604099	Gp210	0.969	0
chr2R	6602099	6604099	CG30503	0.963	0
chr2R	6602099	6604099	CG1598	0.969	0
chr2R	6636149	6638149	ap	0.945	0
chr2R	6636149	6638149	Gp210	0.945	0
chr2R	6636149	6638149	ZnT41F	0.96	0
chr2R	6636149	6638149	Aldh-III	0.954	0
chr2R	6654658	6656658	ap	0.941	0
chr2R	6654658	6656658	Gr43a	0.957	0
chr2R	6654658	6656658	Aldh-III	0.943	0
chr2R	6655403	6657403	ap	0.941	0
chr2R	6655403	6657403	Adf1	0.943	0
chr2R	6655403	6657403	Gr43a	0.957	0
chr2R	6662812	6664812	ap	0.941	0
chr2R	6662812	6664812	Gr43a	0.967	0
chr2R	6662812	6664812	CG30495	0.943	0
chr2R	6672286	6674286	CG9410	0.987	0
chr2R	6672286	6674286	mEFTu2	0.955	0
chr2R	6672286	6674286	FBgn0033203	0.951	0
chr2R	7386950	7388950	CG9422	0.981	0
chr2R	7386950	7388950	Tdc2	0.979	0
chr2R	7386950	7388950	sut3	0.98	0
chr2R	7405839	7407839	CG9422	0.971	0
chr2R	7405839	7407839	FBgn0033164	0.982	0
chr2R	7405839	7407839	sut3	0.98	0
chr2R	7445636	7447636	RagC-D	0.964	0
chr2R	7445636	7447636	FBgn0033285	0.962	0
chr2R	7445636	7447636	FBgn0262988	0.966	0
chr2R	7447031	7449031	RagC-D	0.964	0
chr2R	7447031	7449031	FBgn0033285	0.958	0
chr2R	7447031	7449031	FBgn0262988	0.966	0
chr2R	7462020	7464020	Fmo-2	0.961	0
chr2R	7462020	7464020	RagC-D	0.974	0
chr2R	7462020	7464020	FBgn0262988	0.963	0
chr2R	7462503	7464503	Fmo-2	0.961	0
chr2R	7462503	7464503	RagC-D	0.974	0
chr2R	7462503	7464503	FBgn0262988	0.963	0
chr2R	7462973	7464973	Fmo-2	0.961	0
chr2R	7462973	7464973	RagC-D	0.974	0
chr2R	7462973	7464973	FBgn0262988	0.963	0
chr2R	7489347	7491347	Fmo-2	0.969	0
chr2R	7489347	7491347	RagC-D	0.971	0
chr2R	7489347	7491347	FBgn0033275	0.973	0
chr2R	7489855	7491855	Fmo-2	0.969	0
chr2R	7489855	7491855	RagC-D	0.97	0
chr2R	7489855	7491855	FBgn0033275	0.973	0
chr2R	7499617	7501617	dpa	0.986	0
chr2R	7499617	7501617	az2	0.985	0
chr2R	7499617	7501617	FBgn0033275	0.981	0
chr2R	7954935	7956935	FBgn0033153	0.971	0
chr2R	7954935	7956935	Vps25	0.967	0
chr2R	7954935	7956935	CG8272	0.973	0
chr2R	7955218	7957218	FBgn0033153	0.971	0
chr2R	7955218	7957218	Vps25	0.967	0
chr2R	7955218	7957218	CG8272	0.973	0
chr2R	7957437	7959437	FBgn0033153	0.971	0
chr2R	7957437	7959437	Vps25	0.967	0
chr2R	7957437	7959437	CG8272	0.965	0
chr2R	7959835	7961835	FBgn0033153	0.967	0
chr2R	7959835	7961835	Vps25	0.966	0
chr2R	7959835	7961835	FANCI	0.966	0
chr2R	7960390	7962390	FBgn0033153	0.964	0
chr2R	7960390	7962390	Vps25	0.966	0
chr2R	7960390	7962390	FANCI	0.966	0
chr2R	7971593	7973593	CG2906	0.968	0
chr2R	7971593	7973593	FBgn0050355	0.963	0
chr2R	7971593	7973593	FANCI	0.966	0
