# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/H3K4me1.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/H3K4me1.featureCount.count.tab.txt" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_H3K4me1_rep1.dm6.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_H3K4me1_rep1.dm6.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region33	chr2L	5800172	5800392	.	221	182	444	696	46	72	115	81	8	16	8	51	32
Region34	chr2L	6498473	6498692	.	220	289	911	1477	36	90	104	101	4	14	4	42	31
Region35	chr2L	6610825	6611046	.	222	225	371	709	36	78	106	86	9	16	5	51	22
Region36	chr2L	6622686	6622910	.	225	504	1199	4362	34	65	62	42	6	5	7	35	29
Region37	chr2L	6797533	6797699	.	167	181	635	1146	29	48	29	34	8	12	2	37	15
Region38	chr2L	6851915	6852201	.	287	558	993	2537	57	86	66	74	3	12	11	48	30
Region39	chr2L	6854023	6854180	.	158	82	405	495	31	42	55	55	3	7	11	34	21
Region40	chr2L	6966607	6966802	.	196	111	306	509	36	67	105	93	2	18	7	54	29
Region41	chr2L	6971698	6971998	.	301	316	879	1479	38	104	70	78	4	22	5	52	34
Region42	chr2L	7281546	7281755	.	210	330	852	1813	43	68	55	62	2	16	6	38	29
Region43	chr2L	7388115	7388379	.	265	363	1340	2404	52	93	103	85	2	22	6	69	36
Region44	chr2L	7496276	7496541	.	266	225	712	1183	38	78	93	74	5	22	11	60	27
Region45	chr2L	7998702	7999012	.	311	395	851	1439	62	98	108	112	6	20	16	67	29
Region46	chr2L	8888888	8889157	.	270	369	939	2044	48	60	82	53	4	21	7	36	27
Region47	chr2L	9158390	9158738	.	349	280	1235	1811	63	84	106	84	7	32	7	75	37
Region48	chr2L	9520873	9521043	.	171	216	961	2025	24	52	31	58	1	14	5	33	17
Region49	chr2L	9673074	9673232	.	159	79	378	363	17	40	61	46	1	12	5	35	15
Region50	chr2L	9727229	9727382	.	154	66	256	382	19	39	85	37	0	5	4	19	19
Region51	chr2L	9731247	9731647	.	401	715	1381	3065	70	90	161	190	6	26	17	94	46
Region52	chr2L	9887874	9888141	.	268	365	1471	1847	32	100	94	106	8	17	14	70	25
Region53	chr2L	9987974	9988275	.	302	255	319	547	57	100	148	169	9	18	12	76	45
Region54	chr2L	9989728	9989994	.	267	163	206	403	51	99	110	77	3	14	9	40	38
Region55	chr2L	9996894	9997134	.	241	198	665	1751	34	63	131	85	3	27	16	72	39
Region56	chr2L	10506684	10506940	.	257	188	565	1435	38	71	98	99	4	15	11	58	33
Region57	chr2L	10665857	10666017	.	161	66	349	364	24	47	61	67	0	9	9	34	21
Region58	chr2L	11172102	11172246	.	145	123	860	961	25	52	38	29	5	10	5	26	17
Region59	chr2L	11517130	11517417	.	288	992	1625	4174	38	85	83	87	6	23	12	44	33
Region60	chr2L	11948585	11948774	.	190	157	895	1943	36	51	54	39	2	11	6	26	24
Region61	chr2L	12133464	12133596	.	133	90	364	458	20	39	52	42	1	11	7	22	17
Region62	chr2L	12520360	12520657	.	298	392	308	1213	49	91	77	75	8	32	11	53	40
Region63	chr2L	12546638	12546857	.	220	161	343	555	39	56	50	64	4	23	11	37	20
Region64	chr2L	12547090	12547274	.	185	139	701	1165	25	49	28	34	2	7	8	21	8
Region65	chr2L	12862308	12862625	.	318	439	502	670	151	227	146	282	20	23	34	225	73
Region66	chr2L	13445589	13445835	.	247	250	910	1566	34	60	63	76	3	10	2	38	17
Region67	chr2L	14287949	14288200	.	252	610	2570	4606	43	83	84	88	10	20	4	51	32
Region68	chr2L	14588990	14589195	.	206	455	657	2104	38	50	47	65	9	12	6	36	22
Region69	chr2L	14851803	14851965	.	163	151	676	1283	22	41	70	75	1	11	3	28	20
Region70	chr2L	14972934	14973134	.	201	261	935	2187	35	54	32	34	0	10	3	28	12
Region71	chr2L	15060758	15060927	.	170	131	264	309	35	63	80	78	5	11	6	39	30
Region72	chr2L	15440539	15440706	.	168	125	502	651	23	38	64	89	1	5	5	37	21
Region73	chr2L	15476832	15478224	.	1393	644	2569	601	189	283	778	627	36	108	69	422	189
Region74	chr2L	15498853	15499142	.	290	384	839	1326	49	101	67	84	11	23	11	75	28
Region75	chr2L	15653204	15653458	.	255	319	509	318	156	245	133	289	22	26	36	198	60
Region76	chr2L	15722277	15722592	.	316	427	505	656	137	204	124	224	25	33	39	196	56
Region77	chr2L	16330630	16330977	.	348	103	600	979	42	95	146	99	8	34	20	94	51
Region78	chr2L	16848929	16849057	.	129	91	319	534	29	49	28	24	0	5	3	10	17
Region79	chr2L	17368593	17368757	.	165	229	766	1430	21	61	36	40	5	8	4	25	19
Region80	chr2L	17501086	17501266	.	181	125	409	555	31	75	58	62	1	15	8	39	22
Region81	chr2L	17603316	17603535	.	220	246	926	1780	29	67	44	71	4	14	3	26	18
Region82	chr2L	17715863	17716146	.	284	336	1113	2090	55	60	145	160	12	27	14	68	34
Region83	chr2L	17728437	17728793	.	357	497	515	651	175	245	126	291	27	45	52	271	61
Region84	chr2L	17743429	17743771	.	343	193	279	445	44	65	112	70	5	24	13	69	39
Region85	chr2L	17952549	17953079	.	531	809	808	995	272	431	206	488	51	62	77	384	115
Region86	chr2L	17963131	17963411	.	281	571	1250	3254	46	71	91	105	5	13	8	63	34
Region87	chr2L	18152289	18152708	.	420	1253	2076	4089	56	122	224	172	10	29	16	129	63
Region88	chr2L	18454525	18454737	.	213	108	360	484	39	74	94	81	0	22	7	48	33
Region89	chr2L	18590776	18590908	.	133	78	281	356	20	38	38	33	1	5	6	31	18
Region90	chr2L	18714213	18714381	.	169	241	854	1456	35	56	23	33	2	15	4	28	14
Region91	chr2L	18776658	18776844	.	187	245	931	1735	36	55	18	34	1	12	4	34	17
Region92	chr2L	18859224	18859469	.	246	720	794	1998	44	76	84	101	7	12	13	55	33
Region93	chr2L	19009149	19009508	.	360	689	1139	2628	65	103	142	147	16	22	16	105	52
Region94	chr2L	19161709	19162078	.	370	282	206	659	57	124	167	144	5	29	16	81	46
Region95	chr2L	19378451	19378923	.	473	361	673	1638	91	107	119	120	10	35	20	70	47
Region96	chr2L	19393791	19394061	.	271	1225	2491	7973	42	69	80	96	2	20	13	47	33
Region97	chr2L	19453386	19453696	.	311	401	992	1569	54	83	126	135	4	22	14	102	40
Region98	chr2L	19571950	19572204	.	255	158	616	673	44	86	127	130	8	28	7	72	47
Region99	chr2L	19575913	19576176	.	264	211	562	759	44	74	147	166	4	37	11	74	35
Region100	chr2L	19590661	19590908	.	248	230	743	1134	47	66	56	83	11	17	15	50	24
Region101	chr2L	19817207	19817571	.	365	466	1157	2191	73	106	107	126	6	16	11	59	38
Region102	chr2L	19819882	19820155	.	274	165	479	708	51	81	118	118	6	31	14	67	37
Region103	chr2L	19859814	19860201	.	388	318	897	2091	56	99	124	128	8	38	16	60	40
Region104	chr2L	19887499	19887812	.	314	571	1079	2193	52	98	59	93	22	13	10	66	28
Region105	chr2L	19915305	19915495	.	191	356	435	1283	30	57	40	45	3	11	5	12	13
Region106	chr2L	20120955	20121140	.	186	203	581	997	16	40	82	66	4	14	9	65	27
Region107	chr2L	20294010	20294243	.	234	496	1593	2703	47	77	51	67	6	15	10	51	22
Region108	chr2L	20486919	20487460	.	542	176	1363	152	63	81	152	169	24	32	37	121	65
Region109	chr2L	20487745	20488792	.	1048	425	1961	1407	134	181	360	359	17	58	46	207	105
Region110	chr2L	20494352	20494699	.	348	221	784	2111	48	73	102	90	8	14	11	66	36
Region111	chr2L	20787415	20787707	.	293	393	1161	1803	45	106	80	99	2	16	5	51	42
Region112	chr2L	20835627	20835817	.	191	270	1438	2158	27	51	46	68	3	16	7	29	17
Region113	chr2L	20851666	20851850	.	185	250	1339	2542	32	68	56	39	5	3	5	44	19
Region114	chr2L	21251056	21251229	.	174	110	335	411	32	49	65	65	1	9	10	36	23
Region115	chr2L	21296490	21296761	.	272	240	363	645	42	83	135	160	5	23	18	68	40
Region116	chr2L	21397349	21397582	.	234	185	709	1267	46	68	94	80	11	13	9	45	33
Region117	chr2L	21405712	21406028	.	317	973	1447	4334	252	324	1227	1129	70	190	130	377	358
Region118	chr2L	21677769	21677955	.	187	144	555	712	45	69	54	113	2	16	21	48	34
Region119	chr2L	21683231	21683464	.	234	212	566	1070	31	78	74	103	7	24	16	60	31
Region120	chr2L	22179624	22179898	.	275	759	1446	2284	42	78	111	184	15	21	26	79	44
Region121	chr2R	581709	581912	.	204	514	1079	3445	69	92	148	273	6	35	37	68	43
Region122	chr2R	1698812	1699089	.	278	1188	1268	5371	40	80	128	153	10	28	10	57	42
Region123	chr2R	2079720	2079974	.	255	228	591	1274	49	63	79	109	5	26	23	48	31
Region124	chr2R	2087747	2087987	.	241	769	1388	5110	53	92	160	291	15	34	27	71	52
Region125	chr2R	2273163	2273481	.	319	1147	1208	5066	53	99	126	188	7	25	12	57	51
Region126	chr2R	3209645	3209790	.	146	121	367	575	18	34	109	96	2	14	14	36	32
Region127	chr2R	4319828	4320225	.	398	2871	3815	12510	110	155	209	304	7	44	38	100	82
Region128	chr2R	5693127	5693572	.	446	859	763	2385	64	110	120	164	12	28	25	56	56
Region129	chr2R	5753292	5753506	.	215	407	907	2244	30	68	43	82	2	9	11	29	22
Region130	chr2R	6015874	6016086	.	213	275	592	1960	37	64	57	79	5	14	5	46	25
Region131	chr2R	6151084	6151471	.	388	318	506	913	71	100	122	135	12	35	19	113	59
Region132	chr2R	7012083	7012319	.	237	234	541	722	50	73	111	111	5	16	8	75	34
Region133	chr2R	7407768	7407990	.	223	367	747	1349	40	89	60	62	2	25	6	59	24
Region134	chr2R	7453985	7454220	.	236	402	593	1794	35	77	55	70	9	20	5	46	28
Region135	chr2R	7481914	7482141	.	228	81	290	295	39	72	82	89	0	25	13	65	43
Region136	chr2R	7483253	7483557	.	305	106	437	498	59	98	179	149	2	34	15	65	59
Region137	chr2R	7485213	7485883	.	671	299	1012	1193	95	183	461	440	14	57	30	193	100
Region138	chr2R	7486636	7487006	.	371	297	247	835	51	107	151	129	1	43	17	77	55
Region139	chr2R	7916411	7916970	.	560	679	815	2504	91	129	123	132	9	39	34	90	63
Region140	chr2R	8067873	8068138	.	266	177	293	616	42	84	95	84	2	21	5	57	27
Region141	chr2R	8251580	8251760	.	181	136	331	473	38	80	36	84	3	20	11	50	15
Region142	chr2R	8396701	8397006	.	306	349	1064	2858	41	85	129	111	10	17	12	59	47
Region143	chr2R	8631887	8632114	.	228	306	871	1857	35	69	49	58	3	13	4	28	17
Region144	chr2R	8656239	8656499	.	261	176	260	650	36	74	114	81	8	9	9	65	38
Region145	chr2R	8665378	8665516	.	139	95	545	877	26	49	42	32	3	14	6	26	18
Region146	chr2R	8759718	8759880	.	163	128	450	843	29	47	37	37	2	7	2	26	13
Region147	chr2R	8914433	8914608	.	176	100	283	484	41	74	39	63	0	13	12	40	18
Region148	chr2R	8943121	8943283	.	163	99	458	578	29	51	80	61	6	13	6	34	26
Region149	chr2R	8992352	8992531	.	180	163	656	1374	33	58	33	43	6	13	3	18	19
Region150	chr2R	9006899	9007159	.	261	175	813	1361	40	81	105	83	8	20	11	45	28
Region151	chr2R	9132339	9132549	.	211	163	346	496	38	52	68	79	1	21	12	56	22
Region152	chr2R	9207252	9207504	.	253	298	417	1169	43	70	58	58	6	20	7	33	23
Region153	chr2R	9541722	9541934	.	213	191	269	1155	49	53	47	59	2	13	11	43	16
Region154	chr2R	9693580	9693808	.	229	314	571	1008	45	68	32	57	2	20	7	42	21
Region155	chr2R	9810735	9810891	.	157	153	678	946	35	77	48	51	5	7	8	47	23
Region156	chr2R	9910729	9910985	.	257	336	1279	2085	42	87	68	63	8	14	6	49	42
Region157	chr2R	9972837	9972994	.	158	106	355	419	30	61	51	78	5	8	8	36	24
Region158	chr2R	9979563	9979928	.	366	215	209	360	61	79	294	87	2	43	24	61	48
Region159	chr2R	9988944	9989154	.	211	247	626	874	41	81	111	139	8	17	9	87	47
Region160	chr2R	10533150	10534127	.	978	467	1187	1309	200	280	540	361	20	95	54	235	149
Region161	chr2R	10739818	10739957	.	140	78	366	403	36	43	47	64	0	12	8	40	27
Region162	chr2R	11410822	11411060	.	239	240	407	1687	45	66	38	49	3	5	5	20	22
Region163	chr2R	11435648	11435881	.	234	113	520	704	54	65	49	59	0	11	12	34	15
Region164	chr2R	12065931	12066470	.	540	567	1065	1900	45	76	160	164	3	22	14	67	52
Region165	chr2R	12138613	12138849	.	237	327	580	1619	43	87	87	92	7	10	9	53	40
Region166	chr2R	12140504	12140720	.	217	150	551	1072	34	64	53	47	2	17	13	38	14
Region167	chr2R	12201088	12201303	.	216	312	1082	1868	34	79	76	61	1	22	8	50	29
Region168	chr2R	12452954	12453284	.	331	302	827	1265	62	102	199	153	5	27	22	102	59
Region169	chr2R	12612164	12612327	.	164	170	449	569	25	55	25	64	2	11	7	35	13
Region170	chr2R	12665771	12666157	.	387	1878	2939	12874	61	109	118	100	12	36	10	58	63
Region171	chr2R	12670136	12670377	.	242	126	767	1340	34	76	103	125	3	23	10	48	38
Region172	chr2R	13043239	13043536	.	298	1206	186	3743	41	80	54	67	11	19	6	16	28
Region173	chr2R	13556949	13557178	.	230	141	272	358	50	71	192	113	0	24	12	50	41
Region174	chr2R	13824498	13824690	.	193	192	426	591	35	58	69	77	2	12	6	35	19
Region175	chr2R	13934372	13934728	.	357	232	424	721	55	87	77	124	14	20	17	67	40
Region176	chr2R	13942137	13942363	.	227	156	706	869	42	97	87	59	4	14	8	48	23
Region177	chr2R	13957213	13957461	.	249	136	468	629	38	76	91	87	3	21	12	47	32
Region178	chr2R	14140898	14141145	.	248	213	562	549	45	63	85	79	0	18	7	66	32
Region179	chr2R	14903783	14903929	.	147	63	369	385	24	43	49	54	0	7	7	29	23
Region180	chr2R	15010762	15011055	.	294	271	748	2042	49	76	99	69	1	13	7	59	32
Region181	chr2R	15114430	15114669	.	240	538	729	2856	49	89	48	51	3	14	2	36	27
Region182	chr2R	15657766	15658219	.	454	802	1099	2616	62	83	205	156	3	32	10	57	53
Region183	chr2R	15698105	15698309	.	205	417	554	2460	35	67	38	52	8	11	11	17	17
Region184	chr2R	15821354	15821685	.	332	582	999	2772	57	102	84	98	4	15	7	60	28
Region185	chr2R	16571717	16571907	.	191	263	1014	1777	43	59	43	46	7	14	0	23	22
Region186	chr2R	17016041	17016199	.	159	100	528	910	36	47	54	55	3	19	6	31	27
Region187	chr2R	17098520	17098780	.	261	469	1383	3703	43	64	81	55	6	13	11	46	33
Region188	chr2R	17145723	17146064	.	342	95	518	379	43	79	133	131	4	29	16	118	48
Region189	chr2R	17444888	17445136	.	249	283	950	1458	42	76	57	56	3	22	4	40	15
Region190	chr2R	17545048	17545216	.	169	95	462	553	29	60	44	36	2	16	2	33	18
Region191	chr2R	17604651	17604799	.	149	111	272	634	44	67	88	41	5	18	8	58	26
Region192	chr2R	17870218	17870545	.	328	240	212	644	57	94	126	137	2	30	23	81	52
Region193	chr2R	17871979	17872215	.	237	336	660	1208	41	77	72	76	8	6	9	75	39
Region194	chr2R	18047878	18048135	.	258	311	736	1133	49	46	75	78	5	20	11	50	44
Region195	chr2R	19449602	19449888	.	287	215	227	677	50	80	171	102	2	25	15	61	52
Region196	chr2R	19450110	19450464	.	355	191	427	775	70	110	164	131	4	30	17	90	54
Region197	chr2R	19659127	19659472	.	346	116	811	1065	48	89	168	163	7	22	14	91	68
Region198	chr2R	19659729	19661786	.	2058	651	5413	9987	308	496	732	681	60	220	87	546	305
Region199	chr2R	20552076	20552275	.	200	223	930	948	41	60	58	77	5	4	9	60	24
Region200	chr2R	20832388	20832610	.	223	191	615	967	32	71	69	62	7	19	12	51	17
Region201	chr2R	20906607	20906761	.	155	115	250	479	29	48	45	21	0	11	1	27	10
Region202	chr2R	20938100	20938292	.	193	271	609	1183	29	47	25	36	6	6	4	28	8
Region203	chr2R	21251563	21251781	.	219	353	729	1067	43	75	68	66	5	11	5	47	22
Region204	chr2R	21535397	21535711	.	315	289	896	1385	52	116	62	98	3	14	11	54	29
Region205	chr2R	21973012	21973193	.	182	128	496	846	24	50	70	62	7	8	6	23	21
Region206	chr2R	22060742	22061006	.	265	201	799	1390	43	86	115	86	5	27	10	57	35
Region207	chr2R	22297891	22298019	.	129	69	374	336	35	36	22	26	0	1	2	20	11
Region208	chr2R	22854184	22854406	.	223	356	860	1457	48	68	49	58	7	17	8	45	22
Region209	chr2R	23046940	23047192	.	253	174	294	196	39	57	175	201	4	9	12	53	34
Region210	chr2R	23047401	23047687	.	287	153	291	125	49	69	225	89	0	19	14	66	42
Region211	chr2R	23048278	23048559	.	282	117	443	107	39	63	121	111	6	18	8	68	32
Region212	chr2R	23072397	23072682	.	286	221	995	1313	54	90	109	117	11	17	14	69	29
Region213	chr2R	23074635	23074898	.	264	284	822	1598	26	73	101	100	3	21	14	53	48
Region214	chr2R	23554042	23554311	.	270	459	351	1515	33	75	167	118	6	34	11	68	42
Region215	chr2R	23647074	23647334	.	261	102	284	317	49	77	118	105	2	33	14	67	39
Region216	chr2R	23652329	23652645	.	317	542	1120	1563	50	92	125	133	2	26	21	82	39
Region217	chr2R	24599780	24599936	.	157	116	407	583	36	65	84	88	6	13	5	55	26
Region218	chr2R	24797347	24797603	.	257	286	992	2013	52	89	96	79	2	14	15	44	22
Region219	chr2R	25038990	25039202	.	213	189	523	1173	39	60	93	69	2	17	9	44	39
Region220	chr2R	25084266	25084697	.	432	263	888	2302	79	138	133	115	0	37	16	74	52
Region221	chr2R	25085397	25085684	.	288	250	682	1364	41	68	54	65	11	18	8	55	35
Region222	chr2R	25085920	25086107	.	188	77	306	462	36	61	48	49	0	13	7	35	29
Region223	chr2R	25182857	25183343	.	487	1700	1887	8112	70	147	119	140	6	35	11	58	68
Region224	chr2R	25187842	25188134	.	293	193	546	1954	48	82	115	136	4	28	22	60	47
Region225	chr2R	25189496	25190838	.	1343	1446	2052	9247	202	258	220	283	30	71	33	122	133
Region226	chr3L	248228	248465	.	238	147	458	958	38	83	90	86	4	16	20	72	39
Region227	chr3L	292240	292428	.	189	137	495	1296	32	69	103	54	1	21	13	54	38
Region228	chr3L	332576	332786	.	211	171	1109	1675	40	61	43	45	1	10	4	41	22
Region229	chr3L	441632	441864	.	233	296	460	1526	46	49	53	43	4	14	7	27	24
Region230	chr3L	506093	506345	.	253	359	641	1318	27	59	131	130	4	24	7	70	50
Region231	chr3L	604808	605037	.	230	326	898	2089	50	82	49	52	2	10	9	19	24
Region232	chr3L	607030	607250	.	221	255	868	1450	26	78	30	44	3	5	6	35	24
Region233	chr3L	710533	710830	.	298	278	936	2404	42	92	65	64	9	18	11	37	30
Region234	chr3L	712146	712297	.	152	88	276	560	32	68	49	52	0	12	5	26	16
Region235	chr3L	749403	750313	.	911	356	1144	753	136	228	605	289	21	76	63	239	140
Region236	chr3L	750647	751060	.	414	131	601	426	60	128	135	121	5	16	17	86	51
Region237	chr3L	752235	752527	.	293	113	418	380	53	65	105	79	7	22	15	78	40
Region238	chr3L	1576517	1576693	.	177	147	252	510	39	67	35	45	2	7	5	37	22
Region239	chr3L	1876317	1876474	.	158	117	365	699	19	66	48	61	3	9	5	33	23
Region240	chr3L	1890964	1891266	.	303	561	2156	5325	42	68	101	112	10	22	11	72	50
Region241	chr3L	2265767	2266043	.	277	503	697	1211	39	61	125	98	3	9	9	49	26
Region242	chr3L	2409414	2409557	.	144	154	450	877	25	28	43	21	9	2	6	14	11
