# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "ppc" "-g" "transcript_id" "-T" "8" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/ChIP_Toll_PPC.featureCount.count.tab.txt" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam
FBtr0300568	2L	132027	132177	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078114	2L	132027	132177	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0346127	2L	139488	139638	-	151	63	30	37	42	8	26	26	41	46	47	45	30	40	85	45	15
FBtr0302194	2L	140892	141042	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302195	2L	140892	141042	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330644	2L	142472	142622	-	151	38	40	24	26	4	35	17	33	46	33	49	32	25	45	33	26
FBtr0300987	2L	142991	143141	-	151	36	37	8	15	8	51	9	31	31	27	49	28	25	37	33	10
FBtr0330643	2L	153200	153350	-	151	65	42	28	16	2	32	9	29	30	39	34	40	24	59	38	13
FBtr0078147	2L	155205	155355	-	151	356	130	13	11	39	178	9	22	17	12	44	27	175	448	14	14
FBtr0340650	2L	155979	156129	+	151	431	116	12	8	32	157	9	16	8	9	33	19	115	315	17	11
FBtr0078119	2L	156099	156249	+	151	425	134	24	9	48	177	11	9	10	4	36	20	187	406	33	9
FBtr0330652	2L	158982	159132	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332336	2L	158982	159132	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078121	2L	158982	159132	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330653	2L	182770	182920	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332337	2L	182770	182920	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078124	2L	203729	203879	+	151	241	91	11	10	25	155	13	23	17	12	37	33	136	299	28	19
FBtr0308246	2L	206697	206847	-	151	66	37	6	5	7	48	3	19	37	24	48	38	32	60	13	8
FBtr0332338	2L	207129	207279	+	151	68	21	2	2	9	18	0	11	13	10	19	9	28	50	3	4
FBtr0078146	2L	207197	207347	-	151	18	3	1	0	7	11	0	2	0	0	1	0	0	3	0	0
FBtr0332339	2L	207356	207506	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078125	2L	207356	207506	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078145	2L	221862	222012	-	151	199	97	10	14	16	79	6	34	10	7	66	26	80	176	38	26
FBtr0078126	2L	232437	232587	+	151	49	33	10	7	2	14	4	22	23	19	44	34	22	48	21	20
FBtr0308253	2L	250723	250873	-	151	588	183	40	22	104	240	17	31	14	12	51	26	379	828	26	28
FBtr0336990	2L	252273	252423	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078143	2L	252273	252423	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0336989	2L	254650	254800	-	151	60	22	20	20	2	30	18	20	25	45	40	34	18	35	43	25
FBtr0308252	2L	267405	267555	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078142	2L	267405	267555	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078127	2L	269038	269188	+	151	26	23	16	7	2	20	8	14	29	20	49	27	29	38	25	11
FBtr0078141	2L	271644	271794	-	151	241	79	7	8	21	116	8	19	9	12	60	31	171	407	19	15
FBtr0078139	2L	273615	273765	-	151	179	89	9	14	27	76	11	28	19	20	46	23	126	340	12	12
FBtr0330648	2L	277112	277262	-	151	382	287	21	40	53	247	8	65	24	18	53	29	299	698	24	26
FBtr0078129	2L	277532	277682	+	151	442	199	29	15	56	239	8	27	20	12	53	25	223	561	23	20
FBtr0330650	2L	278134	278284	-	151	495	341	83	19	58	195	22	73	35	36	49	24	360	715	26	29
FBtr0343780	2L	283095	283245	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343779	2L	283095	283245	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078137	2L	283169	283319	-	151	72	50	2	1	8	21	4	9	18	10	14	8	52	110	16	7
FBtr0078136	2L	285626	285776	-	151	163	92	26	23	12	68	25	46	27	38	56	23	112	241	35	11
FBtr0078135	2L	286431	286581	-	151	275	174	13	8	19	92	21	40	39	44	46	30	123	208	29	17
FBtr0078134	2L	288832	288982	-	151	50	39	33	35	6	34	16	40	38	35	41	21	34	67	52	34
FBtr0330647	2L	289044	289194	-	151	32	18	9	7	1	48	10	15	26	14	40	24	14	53	20	13
FBtr0113009	2L	291695	291845	-	151	35	35	15	27	6	36	16	49	47	32	45	33	24	70	39	28
FBtr0333408	2L	294581	294731	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078133	2L	294581	294731	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078131	2L	295072	295222	+	151	490	200	22	9	55	239	9	22	13	11	61	40	171	460	21	21
FBtr0331205	2L	297830	297980	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331208	2L	297830	297980	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331207	2L	301656	301806	+	151	60	35	13	9	8	18	7	24	22	18	40	29	29	34	14	15
FBtr0078047	2L	305885	306035	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078049	2L	305885	306035	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330674	2L	310150	310300	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078048	2L	310150	310300	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078050	2L	310150	310300	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330695	2L	329661	329811	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330696	2L	329661	329811	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078096	2L	332235	332385	-	151	28	15	15	16	1	25	7	19	22	16	51	24	16	27	32	13
FBtr0330651	2L	357774	357924	-	151	208	84	23	10	42	113	8	19	22	16	53	24	142	335	30	19
FBtr0078053	2L	378062	378212	+	151	58	48	296	181	2	10	264	195	29	27	29	28	29	50	264	139
FBtr0331204	2L	401954	402104	-	151	35	21	16	23	7	20	12	11	12	10	31	17	16	31	28	14
FBtr0078093	2L	402098	402248	-	151	31	19	21	10	14	32	5	17	19	16	37	26	17	42	28	8
FBtr0078054	2L	404235	404385	+	151	145	61	8	7	25	78	7	20	23	18	53	38	133	319	17	10
FBtr0089489	2L	412785	412935	-	151	49	29	12	8	9	45	5	50	30	20	47	29	27	57	23	12
FBtr0089488	2L	414677	414827	-	151	192	89	13	7	18	118	10	37	10	16	54	33	171	475	14	15
FBtr0078055	2L	415017	415167	+	151	247	124	27	12	33	134	17	37	21	9	54	33	214	503	17	22
FBtr0078090	2L	419552	419702	-	151	267	109	6	8	23	238	4	16	16	17	56	33	217	630	16	17
FBtr0078058	2L	422823	422973	+	151	141	96	7	17	8	75	18	24	37	37	44	39	43	84	42	22
FBtr0329832	2L	431177	431327	+	151	214	93	20	9	23	137	19	38	16	12	70	42	117	200	20	17
FBtr0304741	2L	451202	451352	-	151	75	63	22	7	12	62	15	34	35	33	41	16	36	100	46	16
FBtr0331232	2L	452652	452802	-	151	221	104	13	8	36	129	8	19	31	28	60	27	190	341	20	17
FBtr0331233	2L	452924	453074	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078088	2L	452924	453074	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078060	2L	453058	453208	+	151	93	52	13	9	16	49	7	23	8	8	30	12	54	127	7	5
FBtr0078061	2L	455481	455631	+	151	90	61	24	15	10	46	18	33	17	11	58	23	51	95	21	19
FBtr0310035	2L	471455	471605	-	151	23	25	18	12	4	28	21	25	33	34	34	24	7	16	27	12
FBtr0310034	2L	472100	472250	-	151	34	28	12	15	1	21	13	32	40	40	49	25	9	12	31	16
FBtr0078062	2L	472963	473113	+	151	91	37	3	6	4	41	6	20	5	5	53	28	74	184	7	12
FBtr0333012	2L	476170	476320	+	151	49	30	12	9	3	17	9	18	32	22	53	37	19	29	19	13
FBtr0310030	2L	479588	479738	-	151	103	82	8	21	7	26	6	45	31	45	40	24	55	111	33	18
FBtr0310027	2L	490785	490935	+	151	70	54	14	11	5	18	11	24	31	36	46	16	13	34	20	13
FBtr0078063	2L	523416	523566	+	151	91	59	19	10	8	37	17	42	19	13	51	27	22	67	26	13
FBtr0329895	2L	523686	523836	+	151	130	85	22	21	12	48	20	38	11	13	69	39	27	50	49	15
FBtr0310028	2L	542480	542630	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078082	2L	542480	542630	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078081	2L	542480	542630	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078080	2L	544553	544703	-	151	532	416	38	17	27	125	24	45	10	13	59	24	130	380	21	14
FBtr0078064	2L	545079	545229	+	151	72	73	34	19	8	11	31	47	31	54	43	28	35	103	50	19
FBtr0112854	2L	549402	549552	-	151	34	33	72	72	4	39	101	79	30	41	37	24	23	54	87	36
FBtr0344014	2L	552354	552504	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078079	2L	552354	552504	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345429	2L	552823	552973	-	151	25	34	37	24	4	17	45	40	31	36	37	27	15	29	40	20
FBtr0078078	2L	558979	559129	-	151	6	11	4	9	0	30	7	22	23	22	26	21	11	30	23	2
FBtr0303763	2L	560210	560360	-	151	121	91	22	23	19	60	15	46	30	31	36	20	100	142	26	4
FBtr0078076	2L	563247	563397	-	151	39	25	17	14	6	53	25	34	24	42	23	21	56	88	33	20
FBtr0345577	2L	563719	563869	-	151	35	26	11	5	1	29	8	17	31	26	46	30	27	44	21	16
FBtr0078067	2L	564113	564263	+	151	140	75	5	14	11	59	10	25	17	17	61	31	129	259	29	21
FBtr0078075	2L	568021	568171	-	151	249	127	11	18	40	208	5	28	15	18	41	25	157	378	18	6
FBtr0078068	2L	568290	568440	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332340	2L	568290	568440	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078074	2L	574164	574314	-	151	61	58	9	11	7	54	6	18	13	11	13	4	67	160	10	7
FBtr0310022	2L	574241	574391	+	151	37	15	2	4	3	30	3	5	3	5	18	9	36	95	2	2
FBtr0078069	2L	574458	574608	+	151	169	83	17	14	14	75	14	25	21	20	46	21	153	366	18	21
FBtr0346650	2L	576796	576946	-	151	43	35	28	24	4	26	30	35	26	42	34	27	30	92	29	24
FBtr0078070	2L	577436	577586	+	151	15	39	155	106	7	26	163	74	37	45	39	37	31	46	75	23
FBtr0347398	2L	587947	588097	-	151	55	26	216	206	7	24	341	85	20	27	40	28	28	69	210	58
FBtr0343220	2L	594585	594735	-	151	27	27	285	237	4	20	436	127	28	14	55	23	16	35	345	118
FBtr0310023	2L	602763	602913	+	151	294	104	23	31	55	207	14	33	25	28	47	34	307	657	31	19
FBtr0077999	2L	625602	625752	+	151	36	25	18	17	3	39	19	22	21	16	27	27	20	38	52	19
FBtr0078045	2L	714883	715033	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343249	2L	714883	715033	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078000	2L	728312	728462	+	151	18	19	16	7	2	21	12	15	9	26	39	25	17	25	44	16
FBtr0301316	2L	741691	741841	-	151	15	20	13	26	1	7	25	41	22	28	37	29	9	14	34	11
FBtr0301317	2L	744295	744445	-	151	10	14	25	16	2	25	21	52	26	31	30	29	7	10	20	20
FBtr0343785	2L	749895	750045	+	151	9	27	15	14	1	14	20	31	28	24	38	30	10	12	36	15
FBtr0308257	2L	750559	750709	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343787	2L	750559	750709	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301439	2L	752750	752900	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0346526	2L	752750	752900	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078006	2L	780432	780582	+	151	24	16	23	31	2	14	28	27	20	29	29	35	10	28	53	35
FBtr0331651	2L	781226	781376	+	151	19	34	46	36	0	23	30	47	30	56	29	15	19	43	57	26
FBtr0331652	2L	784286	784436	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078007	2L	784286	784436	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078042	2L	790698	790848	-	151	21	38	25	15	0	27	28	50	23	44	29	30	7	7	54	20
FBtr0078009	2L	811534	811684	+	151	49	77	14	17	7	43	11	32	27	20	36	34	78	159	26	16
FBtr0078041	2L	815850	816000	-	151	144	52	8	6	6	50	5	15	9	7	28	13	100	225	6	7
FBtr0332972	2L	815943	816093	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078010	2L	815943	816093	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078039	2L	819408	819558	-	151	123	63	20	5	6	59	7	27	44	31	48	30	60	113	30	2
FBtr0078011	2L	819914	820064	+	151	189	133	59	25	21	117	11	43	14	20	45	33	204	484	11	16
FBtr0305507	2L	821239	821389	+	151	34	25	7	2	10	39	4	14	8	6	38	22	20	54	34	15
FBtr0301908	2L	821372	821522	+	151	148	100	33	21	19	55	14	36	11	19	34	18	102	271	21	17
FBtr0078038	2L	825761	825911	-	151	236	128	44	20	19	126	19	42	17	17	47	21	108	252	13	11
FBtr0078014	2L	825919	826069	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332973	2L	825919	826069	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302121	2L	842843	842993	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078037	2L	842843	842993	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302120	2L	850971	851121	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334763	2L	850971	851121	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334797	2L	852630	852780	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078034	2L	852630	852780	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078016	2L	852718	852868	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334794	2L	852798	852948	+	151	93	70	3	9	10	33	5	19	11	8	12	10	83	121	11	7
FBtr0334796	2L	855421	855571	+	151	39	24	15	10	3	10	4	26	21	24	49	30	9	33	26	12
FBtr0445832	2L	860147	860297	+	151	14	23	24	21	1	16	22	33	18	35	24	18	17	36	23	12
FBtr0078018	2L	860259	860409	+	151	14	19	16	17	2	7	16	22	14	22	19	10	13	13	24	3
FBtr0078033	2L	865761	865911	-	151	72	41	13	4	11	34	9	33	18	12	53	27	25	57	17	8
FBtr0078032	2L	867913	868063	-	151	414	171	17	10	29	86	9	27	23	19	51	32	194	347	17	19
FBtr0078031	2L	868254	868404	-	151	332	139	9	10	21	60	9	21	22	19	63	24	130	285	41	23
FBtr0078030	2L	869757	869907	-	151	382	206	33	19	36	206	8	34	12	16	56	43	186	517	11	20
FBtr0091489	2L	870415	870565	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0091487	2L	870415	870565	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
