# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "ppc" "-g" "transcript_id" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/K27me3-PROseq.counts.pmt.txt" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam
FBtr0078141	2L	271644	271794	-	151	7	8	8	19	19	15	60	31	19	11	43	5	37	5	49
FBtr0078139	2L	273615	273765	-	151	9	14	11	28	12	12	46	23	13	9	49	5	20	6	37
FBtr0330648	2L	277112	277262	-	151	21	40	8	65	24	26	53	29	18	8	102	4	40	4	76
FBtr0078129	2L	277532	277682	+	151	29	15	8	27	23	20	53	25	26	13	65	4	43	5	80
FBtr0330650	2L	278134	278284	-	151	83	19	22	73	26	29	49	24	29	12	105	16	38	3	140
FBtr0343780	2L	283095	283245	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343779	2L	283095	283245	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078137	2L	283169	283319	-	151	2	1	4	9	16	7	14	8	13	8	31	3	17	3	28
FBtr0078136	2L	285626	285776	-	151	26	23	25	46	35	11	56	23	25	15	86	2	25	5	80
FBtr0078135	2L	286431	286581	-	151	13	8	21	40	29	17	46	30	27	17	83	4	48	2	67
FBtr0078134	2L	288832	288982	-	151	33	35	16	40	52	34	41	21	23	17	110	6	26	6	70
FBtr0330647	2L	289044	289194	-	151	9	7	10	15	20	13	40	24	12	7	28	5	10	14	38
FBtr0113009	2L	291695	291845	-	151	15	27	16	49	39	28	45	33	25	18	100	10	41	3	87
FBtr0333408	2L	294581	294731	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078133	2L	294581	294731	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078131	2L	295072	295222	+	151	22	9	9	22	21	21	61	40	28	11	51	7	35	3	34
FBtr0331205	2L	297830	297980	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331208	2L	297830	297980	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331207	2L	301656	301806	+	151	13	9	7	24	14	15	40	29	20	19	48	6	16	3	50
FBtr0078047	2L	305885	306035	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078049	2L	305885	306035	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330674	2L	310150	310300	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078048	2L	310150	310300	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078050	2L	310150	310300	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330695	2L	329661	329811	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330696	2L	329661	329811	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078096	2L	332235	332385	-	151	15	16	7	19	32	13	51	24	10	8	38	2	14	3	33
FBtr0330651	2L	357774	357924	-	151	23	10	8	19	30	19	53	24	27	10	55	7	25	6	55
FBtr0078053	2L	378062	378212	+	151	296	181	264	195	264	139	29	28	33	16	89	6	21	0	62
FBtr0331204	2L	401954	402104	-	151	16	23	12	11	28	14	31	17	15	11	39	5	13	2	34
FBtr0078093	2L	402098	402248	-	151	21	10	5	17	28	8	37	26	12	4	38	4	25	0	34
FBtr0078054	2L	404235	404385	+	151	8	7	7	20	17	10	53	38	19	17	43	9	39	1	48
FBtr0089489	2L	412785	412935	-	151	12	8	5	50	23	12	47	29	36	19	94	7	33	1	69
FBtr0089488	2L	414677	414827	-	151	13	7	10	37	14	15	54	33	15	8	50	11	31	3	62
FBtr0078055	2L	415017	415167	+	151	27	12	17	37	17	22	54	33	17	12	64	8	34	5	64
FBtr0078090	2L	419552	419702	-	151	6	8	4	16	16	17	56	33	11	5	38	11	20	0	39
FBtr0078058	2L	422823	422973	+	151	7	17	18	24	42	22	44	39	28	7	78	6	23	2	54
FBtr0329832	2L	431177	431327	+	151	20	9	19	38	20	17	70	42	39	8	94	6	54	15	74
FBtr0304741	2L	451202	451352	-	151	22	7	15	34	46	16	41	16	19	10	68	1	37	3	61
FBtr0331232	2L	452652	452802	-	151	13	8	8	19	20	17	60	27	28	18	55	8	31	1	51
FBtr0331233	2L	452924	453074	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078088	2L	452924	453074	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078060	2L	453058	453208	+	151	13	9	7	23	7	5	30	12	15	7	52	3	22	0	48
FBtr0078061	2L	455481	455631	+	151	24	15	18	33	21	19	58	23	20	12	53	6	49	4	52
FBtr0310035	2L	471455	471605	-	151	18	12	21	25	27	12	34	24	17	14	57	0	20	5	67
FBtr0310034	2L	472100	472250	-	151	12	15	13	32	31	16	49	25	34	14	81	11	15	1	72
FBtr0078062	2L	472963	473113	+	151	3	6	6	20	7	12	53	28	22	13	48	8	35	4	38
FBtr0333012	2L	476170	476320	+	151	12	9	9	18	19	13	53	37	25	12	42	5	29	1	37
FBtr0310030	2L	479588	479738	-	151	8	21	6	45	33	18	40	24	20	10	81	7	25	4	37
FBtr0310027	2L	490785	490935	+	151	14	11	11	24	20	13	46	16	25	14	81	4	23	3	54
FBtr0078063	2L	523416	523566	+	151	19	10	17	42	26	13	51	27	14	6	78	6	30	4	62
FBtr0329895	2L	523686	523836	+	151	22	21	20	38	49	15	69	39	31	10	88	4	50	7	75
FBtr0310028	2L	542480	542630	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078082	2L	542480	542630	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078081	2L	542480	542630	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078080	2L	544553	544703	-	151	38	17	24	45	21	14	59	24	24	13	127	12	28	5	105
FBtr0078064	2L	545079	545229	+	151	34	19	31	47	50	19	43	28	26	11	102	12	31	3	76
FBtr0112854	2L	549402	549552	-	151	72	72	101	79	87	36	37	24	13	11	66	5	16	3	51
FBtr0344014	2L	552354	552504	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078079	2L	552354	552504	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345429	2L	552823	552973	-	151	37	24	45	40	40	20	37	27	19	11	60	3	23	2	48
FBtr0078078	2L	558979	559129	-	151	4	9	7	22	23	2	26	21	6	7	33	2	10	2	22
FBtr0303763	2L	560210	560360	-	151	22	23	15	46	26	4	36	20	23	15	83	12	29	5	51
FBtr0078076	2L	563247	563397	-	151	17	14	25	34	33	20	23	21	21	6	56	2	17	0	53
FBtr0345577	2L	563719	563869	-	151	11	5	8	17	21	16	46	30	19	7	37	4	9	2	35
FBtr0078067	2L	564113	564263	+	151	5	14	10	25	29	21	61	31	24	11	86	7	40	4	50
FBtr0078075	2L	568021	568171	-	151	11	18	5	28	18	6	41	25	18	14	67	6	25	4	49
FBtr0078068	2L	568290	568440	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332340	2L	568290	568440	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078074	2L	574164	574314	-	151	9	11	6	18	10	7	13	4	11	1	54	4	11	1	26
FBtr0310022	2L	574241	574391	+	151	2	4	3	5	2	2	18	9	3	1	13	0	5	2	17
FBtr0078069	2L	574458	574608	+	151	17	14	14	25	18	21	46	21	12	13	57	6	22	6	39
FBtr0346650	2L	576796	576946	-	151	28	24	30	35	29	24	34	27	16	13	85	1	30	7	54
FBtr0078070	2L	577436	577586	+	151	155	106	163	74	75	23	39	37	21	19	112	4	31	3	82
FBtr0347398	2L	587947	588097	-	151	216	206	341	85	210	58	40	28	26	5	55	7	22	2	51
FBtr0343220	2L	594585	594735	-	151	285	237	436	127	345	118	55	23	17	14	80	10	35	4	50
FBtr0310023	2L	602763	602913	+	151	23	31	14	33	31	19	47	34	17	14	69	10	34	8	45
FBtr0077999	2L	625602	625752	+	151	18	17	19	22	52	19	27	27	21	9	33	7	26	6	28
FBtr0078045	2L	714883	715033	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343249	2L	714883	715033	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078000	2L	728312	728462	+	151	16	7	12	15	44	16	39	25	6	9	27	3	27	0	35
FBtr0301316	2L	741691	741841	-	151	13	26	25	41	34	11	37	29	16	10	56	5	30	3	49
FBtr0301317	2L	744295	744445	-	151	25	16	21	52	20	20	30	29	27	9	68	7	14	2	55
FBtr0343785	2L	749895	750045	+	151	15	14	20	31	36	15	38	30	19	8	26	3	16	1	46
FBtr0308257	2L	750559	750709	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343787	2L	750559	750709	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301439	2L	752750	752900	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0346526	2L	752750	752900	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078006	2L	780432	780582	+	151	23	31	28	27	53	35	29	35	23	8	60	9	8	5	36
FBtr0331651	2L	781226	781376	+	151	46	36	30	47	57	26	29	15	15	8	70	6	11	4	67
FBtr0331652	2L	784286	784436	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078007	2L	784286	784436	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078042	2L	790698	790848	-	151	25	15	28	50	54	20	29	30	21	9	83	4	16	5	52
FBtr0078009	2L	811534	811684	+	151	14	17	11	32	26	16	36	34	14	10	78	5	12	5	38
FBtr0078041	2L	815850	816000	-	151	8	6	5	15	6	7	28	13	9	3	17	3	9	1	20
FBtr0332972	2L	815943	816093	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078010	2L	815943	816093	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078039	2L	819408	819558	-	151	20	5	7	27	30	2	48	30	23	9	70	10	23	15	55
FBtr0078011	2L	819914	820064	+	151	59	25	11	43	11	16	45	33	19	16	79	11	22	3	70
FBtr0305507	2L	821239	821389	+	151	7	2	4	14	34	15	38	22	12	10	29	4	15	0	19
FBtr0301908	2L	821372	821522	+	151	33	21	14	36	21	17	34	18	18	7	47	7	36	2	37
FBtr0078038	2L	825761	825911	-	151	44	20	19	42	13	11	47	21	25	11	97	6	35	8	76
FBtr0078014	2L	825919	826069	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332973	2L	825919	826069	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302121	2L	842843	842993	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078037	2L	842843	842993	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302120	2L	850971	851121	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334763	2L	850971	851121	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334797	2L	852630	852780	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078034	2L	852630	852780	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078016	2L	852718	852868	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0334794	2L	852798	852948	+	151	3	9	5	19	11	7	12	10	12	3	47	4	19	0	26
FBtr0334796	2L	855421	855571	+	151	15	10	4	26	26	12	49	30	25	13	75	12	34	2	72
FBtr0445832	2L	860147	860297	+	151	24	21	22	33	23	12	24	18	13	9	63	4	9	3	32
FBtr0078018	2L	860259	860409	+	151	16	17	16	22	24	3	19	10	14	7	43	5	13	0	59
FBtr0078033	2L	865761	865911	-	151	13	4	9	33	17	8	53	27	21	14	83	5	34	5	81
FBtr0078032	2L	867913	868063	-	151	17	10	9	27	17	19	51	32	16	17	69	6	38	3	50
FBtr0078031	2L	868254	868404	-	151	9	10	9	21	41	23	63	24	28	19	69	8	51	4	58
FBtr0078030	2L	869757	869907	-	151	33	19	8	34	11	20	56	43	23	8	59	8	26	6	50
FBtr0091489	2L	870415	870565	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0091487	2L	870415	870565	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0091486	2L	871045	871195	+	151	54	27	25	43	58	72	51	36	26	12	67	11	43	11	70
FBtr0345634	2L	885041	885191	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332181	2L	885041	885191	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345738	2L	898450	898600	+	151	34	29	27	47	39	16	22	21	11	11	64	5	12	1	48
FBtr0078025	2L	898594	898744	+	151	29	34	43	51	41	17	17	16	13	7	59	3	8	6	41
FBtr0336969	2L	914036	914186	+	151	37	15	21	62	62	19	28	27	19	9	68	6	17	1	44
FBtr0077949	2L	922743	922893	+	151	30	13	31	40	53	21	35	34	21	11	88	3	33	7	70
FBtr0332270	2L	1034482	1034632	-	151	22	14	24	19	53	25	32	26	14	7	62	8	25	2	39
FBtr0077951	2L	1037196	1037346	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301087	2L	1037196	1037346	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301416	2L	1043118	1043268	-	151	21	26	28	54	55	38	16	27	17	12	101	4	13	3	36
FBtr0301417	2L	1047953	1048103	-	151	15	18	8	51	48	30	36	35	21	15	110	7	17	3	84
FBtr0077994	2L	1077711	1077861	-	151	0	0	2	1	1	0	3	1	1	0	2	0	3	0	1
