# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/K27me3.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/K27me3.featureCount.count.tab.txt" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region33	chr2L	3539586	3544802	.	5217	10577	8289	16031	3600	9269	6928	709	1117	1647	1459	104	336	199	724	615
Region34	chr2L	3545013	3545942	.	930	1606	1284	2394	627	1648	1087	133	189	409	328	23	64	40	150	114
Region35	chr2L	3546479	3547896	.	1418	2530	1945	3896	829	1957	970	157	279	429	508	38	98	46	198	160
Region36	chr2L	3548777	3554593	.	5817	7039	5384	10854	2096	7110	3802	779	1138	1737	1576	109	341	212	751	602
Region37	chr2L	3555071	3555728	.	658	671	580	975	185	618	315	87	120	197	209	16	48	25	90	77
Region38	chr2L	3556187	3556821	.	635	633	546	1028	229	716	362	93	117	213	155	17	39	19	82	59
Region39	chr2L	3557030	3558358	.	1329	1454	1015	2324	370	1405	680	182	276	436	384	30	82	47	172	138
Region40	chr2L	3558939	3559589	.	651	598	543	945	176	689	297	94	149	188	155	10	43	20	61	67
Region41	chr2L	3559945	3560371	.	427	306	371	516	144	540	205	57	72	137	77	10	20	15	43	47
Region42	chr2L	3561005	3564609	.	3605	4767	2243	5398	720	4620	1450	458	594	1025	920	64	211	121	362	361
Region43	chr2L	3565204	3568462	.	3259	3897	2272	5382	839	4038	1321	409	549	959	854	43	200	107	306	337
Region44	chr2L	3570194	3570546	.	353	415	285	590	92	421	137	52	59	95	105	1	31	17	54	46
Region45	chr2L	3573362	3574758	.	1397	1958	1181	1560	414	1917	640	189	279	461	326	21	87	34	130	138
Region46	chr2L	3575223	3580484	.	5262	8289	5394	10204	2325	9568	4254	728	951	2069	1464	98	343	194	564	553
Region47	chr2L	3581424	3583981	.	2558	5360	4200	6501	1875	5072	2835	317	498	793	614	42	143	86	316	272
Region48	chr2L	3584793	3587431	.	2639	3510	2795	5236	1164	3552	1783	295	491	800	674	44	169	90	350	278
Region49	chr2L	3589857	3590640	.	784	943	906	1629	339	1036	526	115	153	207	167	15	43	32	106	88
Region50	chr2L	3591420	3593484	.	2065	2699	1909	3588	704	2616	1128	253	377	642	556	30	148	77	253	236
Region51	chr2L	3594869	3595652	.	784	1077	916	1576	405	1222	660	104	122	225	173	16	32	23	88	77
Region52	chr2L	3596052	3606521	.	10470	15761	14631	23476	6476	17148	11419	1262	2035	3447	2721	179	650	357	1362	1141
Region53	chr2L	3606924	3618011	.	11088	26202	20332	34299	10163	23803	16675	1407	2122	3756	3142	188	709	416	1576	1267
Region54	chr2L	3658171	3664540	.	6370	10368	10668	16454	5108	10737	8080	760	1222	1560	1304	111	354	197	767	570
Region55	chr2L	3664742	3666698	.	1957	2374	1918	4283	704	2144	1364	246	346	482	554	37	92	54	207	158
Region56	chr2L	3666927	3667430	.	504	592	370	900	146	619	297	63	103	168	137	11	24	16	67	55
Region57	chr2L	3815447	3817475	.	2029	2589	1991	3506	922	2411	1495	244	388	526	485	39	112	72	261	192
Region58	chr2L	3817705	3818774	.	1070	1984	1034	2856	420	1724	861	173	228	402	402	36	93	46	170	132
Region59	chr2L	3818985	3825430	.	6446	15857	10355	18923	4568	12989	10010	804	1391	1881	1815	127	397	222	976	691
Region60	chr2L	3825722	3827773	.	2052	5672	5181	6685	3267	5672	6112	276	491	895	578	45	137	78	335	215
Region61	chr2L	3827983	3836571	.	8589	17588	14578	22766	6703	14794	12205	1149	1770	2318	2181	149	492	305	1079	933
Region62	chr2L	3836799	3848566	.	11768	21896	14564	26272	6397	21101	13403	1384	2208	3275	2812	194	718	397	1412	1217
Region63	chr2L	3849957	3850940	.	984	1317	836	1746	339	1161	539	144	205	286	283	18	58	41	123	110
Region64	chr2L	3851693	3852267	.	575	559	475	946	181	571	305	85	116	133	154	10	37	24	67	58
Region65	chr2L	3853247	3854049	.	803	1083	394	1373	117	819	378	97	152	261	263	14	45	23	137	103
Region66	chr2L	3854346	3855022	.	677	1000	360	1116	119	918	308	85	130	243	185	12	51	27	101	73
Region67	chr2L	3856688	3859729	.	3042	4433	2602	4494	1041	3998	1631	374	541	870	755	61	187	116	380	339
Region68	chr2L	3860287	3861048	.	762	1039	738	1062	276	1057	314	106	156	211	174	19	43	24	92	72
Region69	chr2L	4805673	4806053	.	381	506	250	406	76	440	222	56	76	133	113	3	21	19	39	41
Region70	chr2L	4807024	4807402	.	379	395	299	539	94	501	271	56	58	115	114	5	19	11	40	34
Region71	chr2L	5359719	5360291	.	573	719	427	1051	185	588	287	93	106	296	245	8	37	26	87	75
Region72	chr2L	5373824	5374177	.	354	450	267	453	95	408	201	53	85	151	142	5	22	14	49	25
Region73	chr2L	5374490	5374960	.	471	685	372	714	135	494	258	58	105	182	193	8	34	17	66	62
Region74	chr2L	5375326	5375749	.	424	450	291	489	108	487	185	44	78	127	87	10	28	12	49	61
Region75	chr2L	5376999	5377540	.	542	586	364	638	125	509	171	104	124	182	172	12	33	15	78	65
Region76	chr2L	5377813	5378320	.	508	669	442	660	170	626	221	61	103	168	166	13	27	14	55	56
Region77	chr2L	5379211	5379777	.	567	648	469	770	208	630	298	103	109	244	203	8	34	27	67	69
Region78	chr2L	5380184	5380710	.	527	568	474	560	183	543	223	68	123	151	140	10	38	18	70	70
Region79	chr2L	5381337	5381701	.	365	452	215	439	58	414	99	66	88	135	125	14	24	16	71	42
Region80	chr2L	5384627	5386515	.	1889	1786	1549	2261	663	1900	927	280	339	453	425	26	89	57	183	185
Region81	chr2L	5387267	5389161	.	1895	2275	1864	2869	743	2161	913	261	350	595	449	40	128	50	209	189
Region82	chr2L	5389733	5393457	.	3725	4539	3260	5490	1210	4164	1938	458	692	977	904	71	201	129	460	353
Region83	chr2L	5394025	5403230	.	9206	18136	12505	21803	5421	17568	9044	1190	1826	2434	2213	137	564	315	1064	955
Region84	chr2L	5403925	5415925	.	12001	21978	17184	25434	7572	22388	11877	1550	2269	3576	2905	216	648	380	1428	1176
Region85	chr2L	5416651	5417589	.	939	1236	854	1601	280	1106	406	140	205	189	215	17	52	41	102	89
Region86	chr2L	5419312	5424518	.	5207	7429	3804	8091	1286	7058	2165	631	969	1244	1206	74	324	171	533	504
Region87	chr2L	5424969	5426301	.	1333	1631	887	2124	273	1332	477	172	241	372	376	12	76	45	143	143
Region88	chr2L	5426679	5428451	.	1773	1868	1296	2440	540	1885	806	245	320	575	432	14	101	47	192	187
Region89	chr2L	5429382	5429941	.	560	972	388	1404	137	749	262	68	112	239	273	4	57	17	85	85
Region90	chr2L	5430537	5432548	.	2012	2322	1420	2936	516	2034	794	274	394	556	606	57	116	72	245	252
Region91	chr2L	5432920	5433494	.	575	742	384	1004	103	640	255	70	103	210	233	8	35	17	66	69
Region92	chr2L	5435031	5436180	.	1150	1478	781	2339	243	1380	566	144	166	422	370	19	72	45	145	121
Region93	chr2L	5436425	5436848	.	424	617	301	843	97	490	197	68	89	143	159	13	20	16	55	55
Region94	chr2L	5437365	5438266	.	902	1049	582	1337	181	930	395	124	173	288	308	16	50	32	119	130
Region95	chr2L	5445454	5445813	.	360	393	254	464	88	361	124	69	80	98	83	14	16	13	46	38
Region96	chr2L	5446174	5446710	.	537	574	288	743	84	596	226	80	108	174	153	8	26	15	65	55
Region97	chr2L	5447364	5447857	.	494	615	340	1111	108	662	273	81	102	128	161	19	36	22	61	65
Region98	chr2L	5448174	5449689	.	1516	2200	1147	3013	389	2073	838	203	270	471	470	17	80	52	165	170
Region99	chr2L	5449917	5452390	.	2474	3131	2092	4399	839	3104	1337	295	462	675	538	40	146	81	324	250
Region100	chr2L	5452625	5457334	.	4710	7553	4779	9412	1787	7490	3092	558	912	1238	1123	54	278	165	553	453
Region101	chr2L	5457672	5460664	.	2993	6478	5191	7836	2369	6537	2981	372	656	659	711	56	208	109	351	292
Region102	chr2L	5461655	5467347	.	5693	12646	8674	13439	3963	14584	8346	758	1171	1827	1373	112	326	197	646	578
Region103	chr2L	5467742	5477500	.	9759	14417	10113	14243	4166	12369	6648	1271	1868	2481	2384	189	558	302	1221	1040
Region104	chr2L	5478607	5479029	.	423	534	401	652	173	464	244	60	95	146	135	6	26	21	62	64
Region105	chr2L	5479450	5480165	.	716	948	579	1076	225	755	378	101	137	247	231	18	40	21	107	68
Region106	chr2L	5481398	5481912	.	515	775	393	778	138	545	262	73	83	185	188	2	44	24	78	56
Region107	chr2L	5485684	5485966	.	283	334	227	358	85	357	115	42	71	92	90	4	20	8	33	21
Region108	chr2L	5486582	5487183	.	602	823	413	757	146	733	242	87	104	222	235	11	46	27	66	65
Region109	chr2L	5488229	5488751	.	523	697	320	527	116	584	134	77	115	162	170	5	29	19	60	62
Region110	chr2L	5490875	5491429	.	555	672	405	731	148	597	205	78	129	242	157	7	37	32	79	65
Region111	chr2L	5493275	5493740	.	466	490	255	482	103	476	149	66	78	158	163	9	28	11	59	63
Region112	chr2L	5498023	5498463	.	441	523	337	471	168	558	185	66	80	135	112	12	28	17	60	42
Region113	chr2L	5504032	5504596	.	565	596	386	586	112	519	157	79	110	170	171	10	36	20	83	66
Region114	chr2L	5507471	5508104	.	634	849	433	736	143	782	252	71	106	274	231	9	33	24	74	56
Region115	chr2L	5508781	5509215	.	435	833	248	660	92	496	186	67	80	193	256	4	40	30	48	58
Region116	chr2L	5875969	5876394	.	426	223	464	379	239	188	186	68	96	144	121	10	24	17	61	69
Region117	chr2L	6016105	6016939	.	835	1195	472	1187	194	1281	754	103	162	343	257	11	50	40	114	114
Region118	chr2L	6017621	6018270	.	650	707	374	683	125	712	296	96	143	170	200	9	49	31	99	88
Region119	chr2L	6018553	6019546	.	994	2435	661	2171	289	2250	1370	127	179	490	402	12	73	38	137	114
Region120	chr2L	6020122	6022087	.	1966	3746	995	2816	408	3764	1887	262	366	814	631	39	112	66	248	243
Region121	chr2L	6174156	6178535	.	4380	8940	7407	7826	3877	7006	5074	582	811	1337	1326	67	256	136	566	454
Region122	chr2L	6373819	6377640	.	3822	587	4429	470	3216	452	841	502	646	2205	1563	63	339	152	625	590
Region123	chr2L	6533035	6534010	.	976	1027	731	1828	358	983	742	118	149	320	216	19	40	34	112	79
Region124	chr2L	6534596	6536055	.	1460	2088	1752	2930	690	1779	1024	182	275	489	378	26	85	60	223	159
Region125	chr2L	6536421	6540185	.	3765	8298	4896	11250	2009	7829	4960	455	678	1032	1046	66	210	138	453	358
Region126	chr2L	6540393	6541342	.	950	1434	852	2241	353	1381	658	112	155	357	263	15	39	34	103	113
Region127	chr2L	6541762	6549841	.	8080	14836	11319	22969	4817	13669	9457	990	1456	2496	2030	141	498	276	987	862
Region128	chr2L	6550803	6551448	.	646	499	629	1345	267	500	398	87	103	204	161	4	30	24	85	89
Region129	chr2L	6551805	6552236	.	432	363	424	1006	161	371	275	58	95	155	148	5	31	23	68	63
Region130	chr2L	6814572	6815222	.	651	780	428	1313	130	742	363	92	113	243	188	14	54	34	97	70
Region131	chr2L	6816024	6816960	.	937	1400	711	2610	251	1177	575	121	154	331	313	15	64	45	122	121
Region132	chr2L	6817367	6817860	.	494	458	504	634	174	696	274	87	85	186	125	13	29	9	63	63
Region133	chr2L	6818232	6819577	.	1346	1843	1295	2871	557	1791	888	172	229	359	354	27	83	46	164	127
Region134	chr2L	6820155	6823165	.	3011	4563	3912	6274	1771	6020	3595	347	522	999	700	46	171	94	270	278
Region135	chr2L	6823749	6824896	.	1148	1230	775	2263	299	1303	603	138	190	340	287	15	76	40	136	139
Region136	chr2L	6825226	6825631	.	406	511	321	791	81	507	268	60	64	110	101	6	22	13	49	23
Region137	chr2L	6827412	6827847	.	436	464	363	917	99	427	229	55	74	144	111	7	17	13	73	52
Region138	chr2L	6828478	6830300	.	1823	2686	1729	3231	764	2555	1368	198	275	540	479	24	89	58	212	175
Region139	chr2L	6830692	6833434	.	2743	3152	3890	5003	2006	5768	3294	344	416	1008	528	31	143	75	229	206
Region140	chr2L	6833972	6838641	.	4670	6718	6011	9832	2608	7169	4075	523	736	1139	998	80	250	160	530	421
Region141	chr2L	6839030	6839360	.	331	440	314	608	100	367	193	59	73	94	89	10	21	19	43	39
Region142	chr2L	6840807	6841498	.	692	733	463	1180	127	652	317	108	130	241	219	5	30	31	77	73
Region143	chr2L	6844565	6844931	.	367	422	287	704	117	380	227	48	64	106	110	4	18	17	56	52
Region144	chr2L	7135318	7135683	.	366	204	447	169	231	214	154	61	83	101	82	1	26	16	30	29
Region145	chr2L	7135940	7137021	.	1082	555	1271	467	617	458	397	145	219	313	261	18	64	36	149	112
Region146	chr2L	7137227	7138167	.	941	649	1374	431	730	511	473	120	188	279	182	18	71	29	87	99
Region147	chr2L	7139264	7139734	.	471	330	592	275	227	235	242	89	90	115	97	14	38	24	56	57
Region148	chr2L	7140420	7140811	.	392	328	442	296	200	289	261	49	72	152	129	8	36	19	60	44
Region149	chr2L	7282408	7282820	.	413	683	232	455	73	570	214	55	79	238	223	11	21	29	61	53
Region150	chr2L	7286948	7287508	.	561	1084	354	1073	147	936	723	75	95	216	218	16	40	21	92	60
Region151	chr2L	7287845	7289270	.	1426	1566	1146	1670	505	1429	1026	179	285	364	379	32	77	45	155	160
Region152	chr2L	7292248	7293328	.	1081	1074	1269	1563	527	919	967	142	244	418	382	13	76	30	166	140
Region153	chr2L	7293934	7294373	.	440	453	548	805	249	372	472	78	107	177	172	7	28	15	55	53
Region154	chr2L	7296585	7297424	.	840	1022	580	1368	232	879	546	123	206	268	242	26	43	36	119	92
Region155	chr2L	7297800	7298953	.	1154	1743	1496	2248	723	1814	1507	144	242	355	267	18	82	41	175	124
Region156	chr2L	7299251	7306755	.	7505	14097	10945	19267	4923	13985	11063	943	1505	2076	1957	148	479	300	1030	806
Region157	chr2L	7307088	7311393	.	4306	6909	6787	11557	3227	6076	6467	633	977	1383	1171	65	270	176	668	506
Region158	chr2L	7312821	7314794	.	1974	2077	1801	3093	787	2226	1624	256	367	697	584	32	126	78	244	226
Region159	chr2L	7319067	7319482	.	416	479	289	632	111	440	222	81	87	171	173	4	19	17	49	52
Region160	chr2L	7342883	7343348	.	466	505	235	388	69	483	126	49	78	154	126	10	23	15	42	62
Region161	chr2L	7351773	7352253	.	481	814	204	554	88	656	183	66	77	237	242	4	22	17	58	61
Region162	chr2L	7358716	7360132	.	1417	1610	635	2092	270	1706	478	162	197	518	396	19	86	53	138	169
Region163	chr2L	8812726	8815930	.	3205	4755	1917	4784	861	3976	2049	396	619	968	863	64	208	108	404	343
Region164	chr2L	8816607	8816952	.	346	439	215	583	68	330	215	45	99	76	93	13	21	18	45	51
Region165	chr2L	8817401	8825264	.	7864	16584	6458	20349	2631	14112	10733	1005	1570	2333	2071	140	486	285	932	803
Region166	chr2L	8825705	8841008	.	15304	23698	8791	24397	4523	23638	14935	1999	3144	5196	3981	263	954	559	1992	1674
Region167	chr2L	8842542	8843118	.	577	833	267	667	95	689	367	94	141	228	186	25	41	25	88	66
Region168	chr2L	8843415	8845873	.	2459	5180	1206	3281	619	3799	1998	350	497	694	752	46	166	75	323	315
Region169	chr2L	8847836	8848557	.	722	1263	411	850	154	939	424	98	160	234	165	21	54	21	113	84
Region170	chr2L	8849209	8851568	.	2360	3417	1028	2892	331	2971	1423	297	455	768	747	52	142	92	300	248
Region171	chr2L	8852973	8853694	.	722	897	358	936	180	884	603	90	148	262	209	9	47	18	72	75
Region172	chr2L	8853968	8854577	.	610	762	288	1054	101	552	492	111	126	226	205	12	40	25	104	77
Region173	chr2L	8854895	8857030	.	2136	2515	849	3159	282	2214	1355	298	412	634	562	42	124	87	269	256
Region174	chr2L	8860092	8860827	.	736	689	247	637	97	715	367	99	134	220	198	9	49	20	99	60
Region175	chr2L	8862065	8862365	.	301	501	121	533	38	377	187	44	76	144	121	2	29	10	53	43
Region176	chr2L	8863973	8864478	.	506	722	200	848	67	577	293	69	96	255	244	2	33	15	87	76
Region177	chr2L	8864903	8865617	.	715	871	329	989	114	854	464	101	161	354	267	16	42	19	107	99
Region178	chr2L	8867141	8867560	.	420	536	196	620	60	446	223	60	107	152	190	6	35	26	68	61
Region179	chr2L	8869146	8870352	.	1207	1369	462	1081	184	1231	426	161	232	334	315	19	74	38	153	123
Region180	chr2L	8870939	8872112	.	1174	1574	575	1056	258	1308	553	177	269	391	294	28	79	35	181	123
Region181	chr2L	8873103	8875451	.	2349	4164	1062	2469	523	3164	918	319	486	675	582	42	153	75	326	238
Region182	chr2L	8875793	8876336	.	544	834	296	991	92	658	336	76	145	315	298	18	38	25	76	57
Region183	chr2L	8881115	8881691	.	577	887	253	846	112	670	267	85	112	219	234	3	33	25	83	62
Region184	chr2L	8882078	8882581	.	504	623	232	603	83	516	192	69	119	179	146	14	27	20	76	46
Region185	chr2L	8882939	8883744	.	806	998	342	866	104	1002	279	115	176	247	208	14	52	31	114	73
Region186	chr2L	8884187	8884601	.	415	481	154	297	62	429	123	62	85	149	122	9	32	20	52	57
Region187	chr2L	9577239	9581689	.	4451	15629	9409	14423	4558	13002	7333	630	952	1551	1461	81	332	169	634	548
Region188	chr2L	9581899	9601626	.	19728	36076	26335	34353	11101	32309	13016	2511	3614	5715	5181	327	1231	658	2408	2078
Region189	chr2L	9601991	9612300	.	10310	27679	18784	28211	9639	24339	14024	1296	1930	3398	2962	218	642	338	1329	1065
