# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/K27ac.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/K27ac.featureCount.count.tab.txt" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region35	chr2L	413973	415693	.	1721	1216	3936	359	1131	2480	1681	240	383	519	510	35	124	79	248	184
Region36	chr2L	418892	420479	.	1588	1771	4319	482	1476	3307	1907	241	374	685	495	43	104	61	296	159
Region37	chr2L	420905	421421	.	517	411	1165	108	502	974	550	80	147	309	211	11	37	31	110	84
Region38	chr2L	431279	431708	.	430	332	780	139	356	851	426	70	114	150	152	8	28	19	96	83
Region39	chr2L	441220	442900	.	1681	530	2822	152	2174	3641	1187	196	320	669	462	26	117	68	217	167
Region40	chr2L	452493	452973	.	481	290	729	90	213	541	384	64	141	156	152	15	41	20	83	79
Region41	chr2L	453188	453694	.	507	225	761	98	272	503	376	57	118	268	178	23	42	21	104	78
Region42	chr2L	519452	520494	.	1043	221	498	64	1185	2476	281	160	228	299	241	24	79	38	115	107
Region43	chr2L	541852	542605	.	754	754	1966	228	1032	1638	815	96	167	467	250	8	53	30	134	102
Region44	chr2L	542993	544648	.	1656	759	2359	221	4018	5578	933	245	309	1190	848	28	126	84	286	211
Region45	chr2L	564208	564664	.	457	225	880	53	307	489	427	64	117	311	244	9	34	24	81	58
Region46	chr2L	567483	568945	.	1463	1063	2668	286	876	1642	1125	200	307	683	483	36	95	53	211	161
Region47	chr2L	573690	575013	.	1324	605	2486	128	720	1168	1146	186	264	660	422	22	92	48	202	145
Region48	chr2L	602613	603309	.	697	479	1568	121	267	630	752	99	171	214	182	23	46	39	135	75
Region49	chr2L	810636	810954	.	319	99	443	16	111	177	205	46	79	146	105	12	17	22	39	44
Region50	chr2L	815402	816503	.	1102	685	2129	128	695	1349	916	153	245	512	403	30	75	49	172	140
Region51	chr2L	819943	820529	.	587	363	1531	71	459	728	632	95	136	408	293	7	60	37	83	73
Region52	chr2L	821466	822130	.	665	371	1421	126	646	978	655	94	166	434	307	10	51	21	116	91
Region53	chr2L	825393	826529	.	1137	1016	2630	285	1227	2652	1076	145	257	552	482	34	82	43	233	159
Region54	chr2L	847538	849725	.	2188	698	4173	373	1924	3998	2117	303	467	777	598	50	143	90	334	225
Region55	chr2L	850112	850950	.	839	544	2594	259	916	1773	1153	135	187	491	237	15	40	32	140	109
Region56	chr2L	852129	853271	.	1143	610	1949	138	885	1388	987	151	228	618	398	21	56	50	181	152
Region57	chr2L	867769	868380	.	612	245	1019	86	565	1384	509	95	163	228	205	10	57	20	145	89
Region58	chr2L	869263	872062	.	2800	3802	9194	1061	3825	10060	3798	420	668	937	847	58	196	101	443	362
Region59	chr2L	1065576	1066116	.	541	197	615	83	363	696	329	74	141	171	157	23	30	20	106	74
Region60	chr2L	1066675	1067956	.	1282	382	1829	166	867	1580	902	178	308	427	340	24	93	63	215	161
Region61	chr2L	1068269	1068640	.	372	161	503	127	241	556	277	65	100	156	159	10	25	22	97	39
Region62	chr2L	1069003	1069619	.	617	285	693	216	350	661	380	78	140	190	167	11	51	28	115	66
Region63	chr2L	1076062	1076448	.	387	112	583	121	175	335	328	64	96	99	89	13	23	11	71	38
Region64	chr2L	1076771	1078372	.	1602	780	2567	408	1097	2033	1271	221	369	705	638	31	95	65	281	201
Region65	chr2L	1080941	1081434	.	494	300	1133	83	310	554	472	95	114	251	192	8	26	24	96	68
Region66	chr2L	1117630	1118285	.	656	243	887	79	324	640	332	99	130	210	279	20	53	21	113	78
Region67	chr2L	1120174	1120834	.	661	306	871	127	571	1302	371	101	141	209	153	11	27	28	97	59
Region68	chr2L	1128199	1129004	.	806	456	1778	150	530	1170	718	103	166	364	343	17	55	25	150	109
Region69	chr2L	1129281	1129880	.	600	426	1350	128	442	988	576	87	141	277	258	6	50	32	126	93
Region70	chr2L	1147830	1148314	.	485	256	759	54	333	505	333	80	99	292	189	6	43	26	85	56
Region71	chr2L	1150196	1151293	.	1098	975	2239	218	1249	2044	909	153	235	647	484	36	83	42	179	141
Region72	chr2L	1158637	1159287	.	651	766	1720	193	1156	1499	652	96	164	431	228	14	50	21	118	99
Region73	chr2L	1164460	1164862	.	403	179	744	63	235	344	335	61	82	244	173	11	29	22	49	60
Region74	chr2L	1169400	1169906	.	507	339	925	73	389	654	454	78	120	323	240	16	48	25	95	82
Region75	chr2L	1170194	1170524	.	331	210	585	46	202	581	238	57	105	117	89	10	24	21	76	62
Region76	chr2L	1172519	1173463	.	945	439	1359	100	450	949	627	120	216	342	279	24	63	41	143	94
Region77	chr2L	1177702	1178263	.	562	459	1093	110	579	1250	497	98	135	297	252	14	35	34	126	84
Region78	chr2L	1184076	1184475	.	400	151	668	50	170	235	282	78	91	194	114	4	26	12	53	50
Region79	chr2L	1405152	1406368	.	1217	565	1417	183	639	975	706	177	323	342	332	16	66	35	200	127
Region80	chr2L	1406728	1410896	.	4169	2586	9076	1304	3659	6264	4295	568	909	1558	1257	78	305	149	740	540
Region81	chr2L	1411364	1420387	.	9024	4714	16036	2044	5398	9927	7872	1187	2092	2969	2899	207	647	362	1526	1057
Region82	chr2L	1420799	1421557	.	759	324	2005	127	666	1007	1015	110	172	263	241	24	58	29	140	108
Region83	chr2L	1421932	1422978	.	1047	443	1901	247	732	1349	1083	164	256	402	395	15	80	45	238	111
Region84	chr2L	1462698	1463723	.	1026	787	914	307	430	819	443	150	236	268	271	25	57	41	188	101
Region85	chr2L	1464154	1464460	.	307	183	273	77	58	166	136	41	87	58	96	4	5	10	45	28
Region86	chr2L	1473816	1474381	.	566	167	689	64	187	317	360	81	116	198	179	5	40	20	60	64
Region87	chr2L	1502426	1502864	.	439	269	877	83	219	358	390	71	109	200	198	6	38	17	78	50
Region88	chr2L	1517411	1518017	.	607	299	871	117	413	837	427	93	159	262	227	25	37	21	128	92
Region89	chr2L	1518382	1519957	.	1576	1222	3087	289	1174	3246	1406	215	387	303	340	37	81	39	158	137
Region90	chr2L	1610770	1611100	.	331	110	594	38	154	276	236	51	81	147	164	2	26	17	63	47
Region91	chr2L	1611452	1611810	.	359	194	569	36	219	374	259	75	86	166	160	3	31	22	67	54
Region92	chr2L	1613642	1614120	.	479	396	1374	112	481	1021	546	80	116	168	178	6	37	24	95	81
Region93	chr2L	1679433	1679778	.	346	136	234	21	214	388	100	41	74	91	126	6	16	20	35	30
Region94	chr2L	1704915	1705474	.	560	550	1787	127	468	1093	680	91	154	215	170	11	43	31	89	73
Region95	chr2L	1709840	1710965	.	1126	903	2802	162	1130	2128	1141	169	263	443	410	12	50	54	195	125
Region96	chr2L	1715354	1715821	.	468	247	985	64	289	454	428	72	112	313	205	14	38	15	79	48
Region97	chr2L	1723540	1724345	.	806	457	1417	110	718	1044	635	108	151	327	222	6	48	40	105	76
Region98	chr2L	1728081	1728512	.	432	385	886	118	327	745	434	66	127	105	119	12	32	12	69	50
Region99	chr2L	1728730	1729318	.	589	380	1326	104	418	672	533	82	116	237	172	14	34	20	68	57
Region100	chr2L	1731896	1732291	.	396	152	724	44	168	332	336	50	116	126	141	16	13	13	75	41
Region101	chr2L	1751619	1752082	.	464	206	790	66	302	398	365	69	85	211	222	15	30	17	83	60
Region102	chr2L	1884593	1886244	.	1652	464	3779	205	1396	2244	1610	220	338	623	542	30	111	60	203	171
Region103	chr2L	1886800	1888417	.	1618	228	3037	81	672	1164	1360	283	403	570	422	41	114	64	159	165
Region104	chr2L	1974109	1974665	.	557	325	1183	77	409	724	545	71	114	365	319	8	48	37	103	97
Region105	chr2L	1979723	1980752	.	1030	635	1522	113	676	1016	606	132	172	528	413	24	71	51	157	125
Region106	chr2L	1981210	1981712	.	503	268	643	53	295	532	290	72	110	250	227	12	37	24	93	61
Region107	chr2L	1982221	1982689	.	469	286	1014	65	411	537	421	63	112	249	203	8	41	16	79	70
Region108	chr2L	2013455	2013847	.	393	276	347	128	148	318	210	56	77	131	109	1	34	19	73	46
Region109	chr2L	2037674	2038566	.	893	676	1907	202	1055	1848	765	105	208	418	325	18	71	33	159	130
Region110	chr2L	2045542	2045960	.	419	305	811	56	244	587	366	62	98	175	151	5	34	11	60	50
Region111	chr2L	2144539	2145853	.	1315	984	2693	228	1256	2423	1149	195	287	488	396	22	71	55	180	140
Region112	chr2L	2146592	2147989	.	1398	973	3148	248	1238	2468	1292	193	315	695	533	38	128	62	269	193
Region113	chr2L	2151773	2152488	.	716	409	1348	118	367	814	603	97	176	292	284	22	51	32	114	96
Region114	chr2L	2160230	2161425	.	1196	384	1882	99	586	961	929	155	278	540	412	28	88	44	172	160
Region115	chr2L	2161853	2163784	.	1932	705	2865	413	1256	2294	1571	241	459	632	592	28	141	66	328	226
Region116	chr2L	2163998	2164717	.	720	204	1455	156	834	1607	789	89	216	249	214	25	51	30	121	76
Region117	chr2L	2165440	2167952	.	2513	362	3427	146	1155	2025	1908	333	557	841	754	53	172	102	409	305
Region118	chr2L	2169801	2172170	.	2370	309	2832	61	639	1020	1385	319	490	612	560	41	142	74	311	241
Region119	chr2L	2172844	2173303	.	460	89	657	8	276	462	373	81	83	148	165	10	44	15	74	43
Region120	chr2L	2174330	2175528	.	1199	260	1461	41	402	884	815	182	303	408	427	28	87	54	200	157
Region121	chr2L	2175768	2176029	.	262	58	362	15	124	293	192	38	53	97	82	5	24	12	40	21
Region122	chr2L	2176586	2177008	.	423	106	525	27	189	234	269	65	119	155	123	6	38	23	72	57
Region123	chr2L	2177225	2178686	.	1462	241	2104	76	552	965	1164	229	364	569	511	42	118	65	255	177
Region124	chr2L	2182495	2183529	.	1035	239	1032	100	625	906	622	144	221	408	303	10	88	44	137	135
Region125	chr2L	2214232	2214628	.	397	195	715	52	196	472	314	63	102	132	130	16	34	17	78	68
Region126	chr2L	2215916	2216265	.	350	207	567	24	399	703	274	58	80	191	154	6	42	18	74	48
Region127	chr2L	2216716	2217760	.	1045	776	2123	177	743	1668	851	163	238	388	333	21	66	49	175	114
Region128	chr2L	2225769	2227264	.	1496	1223	3082	335	1225	2777	1309	189	335	571	525	35	115	60	291	199
Region129	chr2L	2236414	2236837	.	424	240	782	71	325	487	378	84	81	229	127	17	40	18	69	56
Region130	chr2L	2356793	2357356	.	564	205	845	63	166	386	354	73	126	195	116	19	27	15	81	65
Region131	chr2L	2364461	2366727	.	2267	1079	4538	302	1549	3729	1843	298	474	699	650	57	130	91	342	261
Region132	chr2L	2375880	2376705	.	826	876	2140	258	915	2578	929	98	194	288	252	13	45	27	123	96
Region133	chr2L	2381125	2381659	.	535	333	1089	93	630	907	460	83	124	355	225	8	43	19	98	80
Region134	chr2L	2420759	2421260	.	502	193	944	41	215	372	400	69	108	181	166	4	26	27	59	51
Region135	chr2L	2455137	2456534	.	1398	194	1143	62	2020	3129	573	186	347	596	369	9	94	48	165	159
Region136	chr2L	2456765	2459022	.	2258	377	1555	91	3745	5282	812	263	427	1168	598	36	130	73	246	270
Region137	chr2L	2461123	2461377	.	255	45	122	1	277	610	60	46	67	77	63	18	14	11	36	33
Region138	chr2L	2492107	2492640	.	534	347	1066	80	356	779	491	83	125	252	194	17	55	25	93	82
Region139	chr2L	2492959	2494018	.	1060	765	2473	242	753	1386	1029	154	254	412	320	16	75	34	186	136
Region140	chr2L	2574313	2574971	.	659	313	1004	112	349	541	446	108	162	276	235	18	50	38	117	86
Region141	chr2L	2575307	2580858	.	5552	5249	13930	1621	6094	9980	6029	794	1208	2576	1968	122	407	243	896	655
Region142	chr2L	2584886	2585355	.	470	241	770	58	284	569	347	81	102	164	137	15	33	24	83	50
Region143	chr2L	2744337	2745857	.	1521	1195	2939	245	979	2419	1236	226	349	551	466	47	100	44	225	174
Region144	chr2L	2747923	2748751	.	829	736	1382	214	955	1796	604	138	179	469	374	15	70	44	168	128
Region145	chr2L	2758551	2760401	.	1851	1450	3692	371	2131	3537	1635	246	445	1017	788	42	135	73	326	233
Region146	chr2L	2765203	2765761	.	559	344	889	69	372	807	365	83	119	240	154	13	43	21	99	72
Region147	chr2L	2766226	2766750	.	525	324	1147	87	428	751	482	94	115	339	299	11	45	36	107	94
Region148	chr2L	2767318	2768417	.	1100	995	2778	226	1195	2311	1173	135	252	579	543	32	72	54	214	153
Region149	chr2L	2769223	2770688	.	1466	1133	3490	319	1378	2435	1427	201	348	797	439	34	113	73	274	176
Region150	chr2L	2814475	2814895	.	421	139	574	18	285	614	245	85	83	140	126	3	30	20	69	53
Region151	chr2L	2856037	2856555	.	519	246	888	134	456	936	396	75	134	293	182	12	42	24	113	91
Region152	chr2L	2872801	2874573	.	1773	1417	3792	451	1457	3698	1815	197	379	548	511	47	116	68	281	188
Region153	chr2L	2874869	2875430	.	562	447	1081	131	687	1473	458	86	128	286	198	11	43	21	129	64
Region154	chr2L	2878493	2879513	.	1021	547	2165	129	748	1122	845	160	234	571	390	18	76	38	151	115
Region155	chr2L	2884714	2886650	.	1937	1442	3573	425	1462	3820	1622	258	486	524	577	64	104	67	317	252
Region156	chr2L	2968821	2969672	.	852	1705	3168	408	1295	2245	1226	136	178	506	315	20	67	30	149	102
Region157	chr2L	2971829	2973452	.	1624	768	3064	211	691	1260	1287	222	335	603	481	49	106	66	222	186
Region158	chr2L	2976398	2977661	.	1264	627	2085	184	848	1410	972	165	297	575	433	39	96	48	235	173
Region159	chr2L	2978777	2979280	.	504	364	1091	73	622	1053	459	72	114	301	321	14	45	35	125	70
Region160	chr2L	2986737	2987798	.	1062	774	2840	219	843	1982	1176	160	241	320	257	25	85	46	190	124
Region161	chr2L	2988006	2988685	.	680	324	1318	87	725	1275	577	100	165	391	410	12	52	29	133	99
Region162	chr2L	2992206	2993579	.	1374	1265	3632	321	1388	3114	1500	188	343	655	597	21	97	51	227	196
Region163	chr2L	2999325	2999907	.	583	428	1041	155	581	1506	472	82	150	202	144	8	46	25	109	62
Region164	chr2L	3022608	3023724	.	1117	821	2289	188	837	1340	1030	148	256	579	362	21	93	32	196	133
Region165	chr2L	3028649	3029837	.	1189	589	2276	131	609	1507	925	173	271	482	333	11	83	42	174	154
Region166	chr2L	3030570	3031079	.	510	344	1135	55	389	757	477	72	121	253	184	10	43	20	117	74
Region167	chr2L	3036821	3037229	.	409	200	577	51	251	326	269	56	92	273	212	8	42	18	55	65
Region168	chr2L	3039401	3039916	.	516	291	952	48	284	793	451	79	147	183	155	8	46	19	83	62
Region169	chr2L	3040155	3040702	.	548	333	805	53	354	661	331	83	131	302	219	23	39	19	75	60
Region170	chr2L	3048004	3048435	.	432	266	727	44	398	632	292	50	80	227	210	6	45	26	77	53
Region171	chr2L	3070874	3072272	.	1399	601	1622	156	1041	1497	814	202	299	686	420	16	116	60	206	183
Region172	chr2L	3072556	3073038	.	483	140	607	66	446	703	324	55	107	203	197	12	41	17	70	71
Region173	chr2L	3145220	3145709	.	490	278	958	65	394	659	440	89	119	306	197	12	23	22	97	69
Region174	chr2L	3159248	3159635	.	388	204	973	80	158	646	432	67	93	116	105	2	35	23	72	57
Region175	chr2L	3159936	3160613	.	678	483	1463	108	367	911	618	92	144	226	205	8	32	25	113	68
Region176	chr2L	3170358	3171070	.	713	594	1183	122	346	780	537	96	178	338	272	32	56	27	135	88
Region177	chr2L	3172174	3172864	.	691	392	1433	95	385	980	647	97	178	263	227	7	57	33	106	100
Region178	chr2L	3302479	3303142	.	664	221	967	89	337	637	499	81	149	236	198	9	32	31	84	76
Region179	chr2L	3303394	3303660	.	267	163	392	51	171	373	229	38	75	62	51	0	14	10	33	29
Region180	chr2L	3319399	3319867	.	469	252	899	88	380	828	387	73	120	167	121	10	47	13	79	56
Region181	chr2L	3372975	3373389	.	415	205	956	57	318	678	407	67	115	192	171	13	23	15	56	46
Region182	chr2L	3376258	3377553	.	1296	544	2276	138	667	1468	1018	125	263	415	346	26	66	40	174	130
Region183	chr2L	3452493	3452860	.	368	225	624	81	274	569	304	47	106	222	172	10	35	27	58	54
Region184	chr2L	3456570	3457056	.	487	283	837	61	477	703	384	77	116	299	211	11	50	19	96	56
Region185	chr2L	3457318	3457709	.	392	155	747	52	215	503	291	71	83	140	124	9	35	17	50	41
Region186	chr2L	3464814	3466940	.	2127	2851	6053	762	3438	6142	2318	303	433	1043	726	30	162	76	362	277
Region187	chr2L	3469240	3470010	.	771	509	1916	147	554	1001	847	131	153	443	326	19	65	37	149	122
Region188	chr2L	3475786	3476490	.	705	156	827	65	468	1124	496	117	182	207	178	12	42	20	100	75
Region189	chr2L	3476767	3477402	.	636	161	954	73	1078	2090	431	87	142	254	215	10	55	18	79	89
Region190	chr2L	3477723	3478268	.	546	127	673	54	725	1354	366	77	119	225	153	18	33	20	68	74
Region191	chr2L	3514120	3515356	.	1237	815	2401	156	736	1279	1060	173	268	471	307	29	90	41	191	120
Region192	chr2L	3529750	3530346	.	597	437	1433	107	489	940	629	84	149	254	216	20	45	29	114	80
Region193	chr2L	3711142	3711706	.	565	417	1450	107	300	577	597	72	138	232	153	6	46	20	67	60
Region194	chr2L	3713105	3714016	.	912	551	1702	203	741	2069	718	114	215	331	308	34	89	51	178	177
Region195	chr2L	3770566	3770993	.	428	115	518	17	256	667	302	59	121	86	94	6	31	15	39	45
Region196	chr2L	3805883	3806349	.	467	243	634	71	204	353	291	88	117	148	140	11	28	25	66	58
Region197	chr2L	3813032	3813371	.	340	294	753	75	295	702	333	63	101	177	138	4	27	13	63	38
