Symbol	symbol_synonym	Function/Homology						KnownTarget	Location
u-shaped (ush)	CG2762	Zn-finger TF	1.2	6	5.2		Frank and Rushlow, 1996	Literature	Ectoderm
zerknüllt (zen)	CG1046	homeobox TF	_1.0	21.9	22.7		Doyle et al., 1989	Literature	Ectoderm
Ect1	CG12919	TNF receptor ligand	2.1	11.9	11.4	A		InSitu	Ectoderm
Ect2 = Dorsocross	CG5133	T domain TF	1.1	28.6	32.5	A		InSitu	Ectoderm
Ect3	CG3132	galactosidase	_1.4	15.5	20.9	A		InSitu	Ectoderm
Ect4	CG7915	SAM,TIR, Pro-rich domains	_1.0	6.4	6.6	A		InSitu	Ectoderm
Ect5 = C15	CG7937	homeobox TF	1.6	6.8	5.2	A		InSitu	Ectoderm
Adult cuticle protein1	CG7216	structural cuticle protein	2.2	7.3	6			MicroArrray	Ectoderm
Lcp65Ag2	CG10534	structural cuticle protein	_3.1	13.3	19.9			MicroArrray	Ectoderm
	CG5093	T domain TF	_1.0	4.9	5.1	A	below cutoff	InSitu	Ectoderm
	CG5468(=CG5476)	unknown (embryo EST)	1.6	17.2	15.5			MicroArrray	Ectoderm
	CG5476(=CG5468)	unknown (embryo EST)	1.6	11.4	11.2			MicroArrray	Ectoderm
	CG6180	phospholipid binding	_1.4	6.1	8.6	NL		MicroArrray	Ectoderm
	CG9358	ligand binding/carrier	1.9	6	6.4			MicroArrray	Ectoderm
	CG9466	alpha-mannosidase	2.6	6.4	5.4			MicroArrray	Ectoderm
	CG11776	bipartite nls	_1.6	6.1	6.4			MicroArrray	Ectoderm
	CG12011	unknown (embryo EST)	1.2	10.2	6.8			MicroArrray	Ectoderm
	CG14365	"bipartite nls; Pro-rich"	1.6	6.5	4			MicroArrray	Ectoderm
	CG15282	unknown (embryo EST)	1.8	7.6	7.2			MicroArrray	Ectoderm
