experiment	protein	celltype	treatment	drug	time	replicate	antibody	sampleNr	bamFiles
CBP_ChIP_seq_mapped	pcgs	S2	C646	C646	30	R1	INPUT	S2	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C646_30_R1_INPUT_S2.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C646	30	R2	dRING	S12	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C646_30_R2_dRING_S12.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C37	30	R2	INPUT	S3	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C37_30_R2_INPUT_S3.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C646	30	R2	INPUT	S4	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C646_30_R2_INPUT_S4.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C37	30	R2	dRING	S11	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C37_30_R2_dRING_S11.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C646	30	R2	Ez	S8	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C646_30_R2_Ez_S8.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R2	CBP	S7	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2/bam_dmel/C37_R2_CBP_S7.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R1	INPUT	S2	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2/bam_dmel/C646_R1_INPUT_S2.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R1	CBP	S6	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2/bam_dmel/C646_R1_CBP_S6.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R2	CBP	S8	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2/bam_dmel/C646_R2_CBP_S8.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R2	INPUT	S3	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2/bam_dmel/C37_R2_INPUT_S3.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R2	INPUT	S4	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2/bam_dmel/C646_R2_INPUT_S4.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R1	CBP	S5	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2/bam_dmel/C37_R1_CBP_S5.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R1	INPUT	S1	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2/bam_dmel/C37_R1_INPUT_S1.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	toll10B	30	R1	CBP	S11	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/toll10B_R1_CBP_S11.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	toll910	30	R2	input	S4	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/toll910_R2_input_S4.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	toll910	30	R1	CBP	S9	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/toll910_R1_CBP_S9.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	gd7	30	R1	input	S1	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/gd7_R1_input_S1.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	toll910	30	R1	input	S3	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/toll910_R1_input_S3.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	gd7	30	R2	CBP	S8	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/gd7_R2_CBP_S8.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	gd7	30	R1	CBP	S7	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/gd7_R1_CBP_S7.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	toll910	30	R2	CBP	S10	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/toll910_R2_CBP_S10.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	gd7	30	R2	input	S2	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/gd7_R2_input_S2.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	toll10B	30	R1	input	S5	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/toll10B_R1_input_S5.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	toll10B	30	R2	input	S6	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/toll10B_R2_input_S6.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	toll10B	30	R2	CBP	S12	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/toll10B_R2_CBP_S12.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R2	CBP	S7	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2local/bam_dmel/C37_R2_CBP_S7.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R1	INPUT	S2	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2local/bam_dmel/C646_R1_INPUT_S2.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R1	CBP	S6	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2local/bam_dmel/C646_R1_CBP_S6.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R2	CBP	S8	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2local/bam_dmel/C646_R2_CBP_S8.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R2	INPUT	S3	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2local/bam_dmel/C37_R2_INPUT_S3.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R2	INPUT	S4	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2local/bam_dmel/C646_R2_INPUT_S4.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R1	CBP	S5	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2local/bam_dmel/C37_R1_CBP_S5.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R1	INPUT	S1	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2local/bam_dmel/C37_R1_INPUT_S1.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R2	CBP	S7	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2N1/bam_dmel/C37_R2_CBP_S7.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R1	CBP	S6	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2N1/bam_dmel/C646_R1_CBP_S6.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R2	INPUT	S3	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2N1/bam_dmel/C37_R2_INPUT_S3.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R1	CBP	S5	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2N1/bam_dmel/C37_R1_CBP_S5.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R1	INPUT	S1	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2N1/bam_dmel/C37_R1_INPUT_S1.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R2	CBP	S7	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped/bam_dmel/C37_R2_CBP_S7.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R1	INPUT	S2	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped/bam_dmel/C646_R1_INPUT_S2.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R1	CBP	S6	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped/bam_dmel/C646_R1_CBP_S6.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R2	CBP	S8	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped/bam_dmel/C646_R2_CBP_S8.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R2	INPUT	S3	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped/bam_dmel/C37_R2_INPUT_S3.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C646	30	R2	INPUT	S4	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped/bam_dmel/C646_R2_INPUT_S4.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R1	CBP	S5	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped/bam_dmel/C37_R1_CBP_S5.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	C37	30	R1	INPUT	S1	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped/bam_dmel/C37_R1_INPUT_S1.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	Undetermined	30	none	none	S0	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/Undetermined_S0.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	Undetermined	30	none	none	S0	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2/bam_dmel/Undetermined_S0.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	embryo	mapped	Undetermined	30	none	none	S0	./CBP_ChIP_seq_mapped/CBP_embryo_mapped_4/bam_dmel/Undetermined_S0.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	Undetermined	30	none	none	S0	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped_v2local/bam_dmel/Undetermined_S0.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	CBP	S2	C646	Undetermined	30	none	none	S0	./CBP_ChIP_seq_mapped/CBP_S2_C646_mapped/bam_dmel/Undetermined_S0.dmel.bowtie2.sorted.bam
